# f, Suu, Svv, Sww
0.000000000000000000e+00 1.788967813461831216e-02 3.531860618493525006e-03 2.231696470746506906e-03
3.030303030303030300e-04 1.268584274464548578e+00 3.501746895061509934e-01 6.958859696743499579e-02
6.060606060606060601e-04 7.964467226358603602e-01 1.874600282638445303e-01 5.707063951078236719e-02
9.090909090909090901e-04 5.607592707962167911e-01 1.141991596877519194e-01 5.962014077294586212e-02
1.212121212121212120e-03 5.569261953098660900e-01 1.084096960099807938e-01 5.390702579574061654e-02
1.515151515151515150e-03 5.097021382506103926e-01 8.588975258696605886e-02 5.886834169520983873e-02
1.818181818181818180e-03 5.766065370358774977e-01 8.478560170366059023e-02 6.294667377154052057e-02
2.121212121212121427e-03 5.466080133310111666e-01 8.320808339638309514e-02 6.406339645273426142e-02
2.424242424242424240e-03 5.396812546839020452e-01 9.582268105567189054e-02 5.819728748780114702e-02
2.727272727272727487e-03 5.559561054740137509e-01 1.189572468680305112e-01 5.130668193434741176e-02
3.030303030303030300e-03 5.577938109207211115e-01 1.188468365671756372e-01 5.143809179074606414e-02
3.333333333333333547e-03 5.882247481444229376e-01 9.297129040264137667e-02 6.051589999744325793e-02
3.636363636363636360e-03 5.802517143078509410e-01 9.976472755801681080e-02 6.001048965096148630e-02
3.939393939393939607e-03 5.130213272692801807e-01 8.325294504804679752e-02 5.190533551989127276e-02
4.242424242424242854e-03 5.498206577089816971e-01 8.138729817997458760e-02 5.801270221025092710e-02
4.545454545454545234e-03 5.582800735836883632e-01 9.561187388606350035e-02 5.919847087388131757e-02
4.848484848484848481e-03 5.983030870511221178e-01 1.209327852472208698e-01 5.460161824488171667e-02
5.151515151515151728e-03 5.850191289203775513e-01 1.051671726045286248e-01 5.848798870053745907e-02
5.454545454545454974e-03 6.426824788449154724e-01 1.310309565561879330e-01 6.334660118647368610e-02
5.757575757575757354e-03 5.043063898552783142e-01 1.039047682251152821e-01 6.020088137209852336e-02
6.060606060606060601e-03 5.128637173777179648e-01 1.272442080786874707e-01 6.225467436358040479e-02
6.363636363636363848e-03 4.303795792309379475e-01 1.163495664446137501e-01 6.235638828069776929e-02
6.666666666666667095e-03 5.563172504526500139e-01 1.238773364589493137e-01 5.950743543750144221e-02
6.969696969696969474e-03 5.379929792954897261e-01 1.002857558592497589e-01 6.323637585546189321e-02
7.272727272727272721e-03 5.864073228931121484e-01 1.191514629326332758e-01 6.772318314057351740e-02
7.575757575757575968e-03 5.509570411937785295e-01 1.222575537493311854e-01 6.918678745797085528e-02
7.878787878787879215e-03 5.254210958453310321e-01 1.008000787487708938e-01 6.279644535728824695e-02
8.181818181818182462e-03 4.640098114182422129e-01 9.745148075424402145e-02 5.994886415154229015e-02
8.484848484848485708e-03 5.916695735521649846e-01 1.543280307741880242e-01 6.760966714405852729e-02
8.787878787878787221e-03 5.261072899910069767e-01 1.333795913497239916e-01 6.340884058319121164e-02
9.090909090909090468e-03 5.494483748021311564e-01 1.365842387267613145e-01 6.577868485426315026e-02
9.393939393939393714e-03 4.276552879990657141e-01 1.446660821851608880e-01 5.982992026767117166e-02
9.696969696969696961e-03 4.271059368744921647e-01 9.842797656874985313e-02 5.707715761233726065e-02
1.000000000000000021e-02 4.028825716093120124e-01 8.974908769955113053e-02 6.267901833237948805e-02
1.030303030303030346e-02 3.909668193192398777e-01 9.395485701834123404e-02 6.049970442967237544e-02
1.060606060606060670e-02 4.683663261163134028e-01 1.173410985936249873e-01 6.806373692748064752e-02
1.090909090909090995e-02 4.560889509702287792e-01 1.282077608193572804e-01 7.229887054438875749e-02
1.121212121212121146e-02 4.573384849478518976e-01 1.336043059856071025e-01 6.424946386129276599e-02
1.151515151515151471e-02 4.823814574156403689e-01 1.506840861811027110e-01 6.958870277336033638e-02
1.181818181818181795e-02 4.196093179378233562e-01 1.742947508774860266e-01 7.012042050898238676e-02
1.212121212121212120e-02 3.307552063179047819e-01 1.447455950988059681e-01 5.834525565152803850e-02
1.242424242424242445e-02 3.907898380379204450e-01 1.059566940557993553e-01 6.796976487884991147e-02
1.272727272727272770e-02 3.911357649807994941e-01 1.118227085072543842e-01 6.474868108014900092e-02
1.303030303030303094e-02 4.586545119330110443e-01 1.358903168399812622e-01 7.213708557749187733e-02
1.333333333333333419e-02 4.994408793145173053e-01 1.163407383621586355e-01 6.354229822381557424e-02
1.363636363636363570e-02 4.999947871195657978e-01 1.458829691379746885e-01 6.950781108184636570e-02
1.393939393939393895e-02 4.091643316843032174e-01 1.302021550067881672e-01 5.878841448710264012e-02
1.424242424242424220e-02 4.012121353113315414e-01 1.388575147331020665e-01 5.907764443375492641e-02
1.454545454545454544e-02 4.868051959879053925e-01 1.967373121159959048e-01 6.752447570743171090e-02
1.484848484848484869e-02 4.192595617903782101e-01 1.128626373144306499e-01 6.640208562374161350e-02
1.515151515151515194e-02 4.444790355804136839e-01 1.545055842296819693e-01 6.969328547093217585e-02
1.545454545454545518e-02 3.719185270495259932e-01 1.296370627922207586e-01 6.867167292086549801e-02
1.575757575757575843e-02 4.253243154417805649e-01 1.327558613938442655e-01 6.679584357726361943e-02
1.606060606060605994e-02 3.754046462482138469e-01 8.964532665404136014e-02 6.969745647141940836e-02
1.636363636363636492e-02 4.644614350316629281e-01 1.195979453112824692e-01 7.045608076063369918e-02
1.666666666666666644e-02 3.969551233103261745e-01 1.156960257771682959e-01 7.133411551835248943e-02
1.696969696969697142e-02 3.748164078401712840e-01 1.513254361202984732e-01 5.987694907774639835e-02
1.727272727272727293e-02 4.262580185273732725e-01 1.818424749205641011e-01 7.696649701274203836e-02
1.757575757575757444e-02 3.548000974455462475e-01 1.290257296267539322e-01 6.282014321020244763e-02
1.787878787878787942e-02 3.652585721283669873e-01 1.479807928450446175e-01 6.616318972981612145e-02
1.818181818181818094e-02 3.896080108626349681e-01 1.365988270791899384e-01 6.995383711905352186e-02
1.848484848484848592e-02 3.325980896520126517e-01 1.716437838939650629e-01 6.958226690286063720e-02
1.878787878787878743e-02 3.410605792942738579e-01 1.294080391112224504e-01 6.769210161576218188e-02
1.909090909090909241e-02 3.611156540401541104e-01 1.388384692860141767e-01 6.456558027863082416e-02
1.939393939393939392e-02 3.210194814612040148e-01 1.192225112170051810e-01 6.524426578832606682e-02
1.969696969696969543e-02 3.161960830080354778e-01 1.282982102462987550e-01 6.376729295038892353e-02
2.000000000000000042e-02 3.181465491442923565e-01 1.579566033158515681e-01 6.922860606684540230e-02
2.030303030303030193e-02 3.729183177643094482e-01 1.610658779124622408e-01 7.313223501512197688e-02
2.060606060606060691e-02 3.627460368404176183e-01 1.489764462576069759e-01 6.941289935623866370e-02
2.090909090909090842e-02 4.071269795008890524e-01 1.825940342504092095e-01 7.877565501457016450e-02
2.121212121212121340e-02 3.418014359352533615e-01 1.564731683748257496e-01 7.502853297123621146e-02
2.151515151515151492e-02 3.388083063257975591e-01 1.322334684066693022e-01 7.680572258066302449e-02
2.181818181818181990e-02 3.458965243160065373e-01 1.233934240263198923e-01 6.238416981959466617e-02
2.212121212121212141e-02 3.449802650906830248e-01 1.353252906921805498e-01 7.052402791407766380e-02
2.242424242424242292e-02 3.137937793295957345e-01 1.498977841802467403e-01 6.813500471799595337e-02
2.272727272727272790e-02 3.157138123514471317e-01 1.434638726007831933e-01 7.047279021445464198e-02
2.303030303030302942e-02 3.179132738654551482e-01 1.665227744884740513e-01 6.879309296148908293e-02
2.333333333333333440e-02 2.995232281077321312e-01 1.468427303040477916e-01 6.879507208509434701e-02
2.363636363636363591e-02 2.767173030266754652e-01 1.558894227364031604e-01 6.469685884548158350e-02
2.393939393939394089e-02 3.495802837130785878e-01 1.640567677074246111e-01 7.225788194367316342e-02
2.424242424242424240e-02 3.728297442138444051e-01 1.825847101324949706e-01 7.923918409508667882e-02
2.454545454545454392e-02 3.222961193087054421e-01 1.688451877409296031e-01 7.595093303264603690e-02
2.484848484848484890e-02 3.005910231814967748e-01 1.386830447924576326e-01 7.196350539647275446e-02
