# Xi, RijLong, Xi, RijLat
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.689252771408074061e+00 9.653030492207407276e-01 3.689252771408130016e+00 9.055066983897829269e-01
7.378505542816148122e+00 8.822969679851769831e-01 7.378505542816179208e+00 6.859238332045352049e-01
1.106775831422422129e+01 7.866332002424172298e-01 1.106775831422422840e+01 4.524010924043305737e-01
1.475701108563229624e+01 6.979530297588426579e-01 1.475701108563227848e+01 2.597139956439006858e-01
1.844626385704037119e+01 6.198815444138947583e-01 1.844626385704040672e+01 1.161565012036902267e-01
2.213551662844844259e+01 5.516817911948239672e-01 2.213551662844845680e+01 1.595698751675026644e-02
2.582476939985651754e+01 4.927326079634992695e-01 2.582476939985650688e+01 -5.044249269238270522e-02
2.951402217126459249e+01 4.420489766254900865e-01 2.951402217126463867e+01 -8.970138197982929773e-02
3.320327494267267099e+01 3.979813265775151709e-01 3.320327494267268520e+01 -1.074686101983255843e-01
3.689252771408074238e+01 3.599504224122676010e-01 3.689252771408073528e+01 -1.119496757396141184e-01
4.058178048548881378e+01 3.270076671767953025e-01 4.058178048548887062e+01 -1.089008729525340058e-01
4.427103325689688518e+01 2.987378294808555879e-01 4.427103325689691360e+01 -1.017297560620529645e-01
4.796028602830495657e+01 2.733639488418726504e-01 4.796028602830496368e+01 -9.201701183303102882e-02
5.164953879971303508e+01 2.496249463772635679e-01 5.164953879971301376e+01 -8.109239213772605204e-02
5.533879157112111358e+01 2.284603666361520735e-01 5.533879157112114910e+01 -7.108919501130012142e-02
5.902804434252918497e+01 2.096706354945516715e-01 5.902804434252919918e+01 -6.281432489363764082e-02
6.271729711393726348e+01 1.927093231425033582e-01 6.271729711393724926e+01 -5.543829258373265262e-02
6.640654988534534198e+01 1.783669924817922470e-01 6.640654988534537040e+01 -4.908260772733678140e-02
7.009580265675340627e+01 1.664882465188258498e-01 7.009580265675343469e+01 -4.244147065075178082e-02
7.378505542816148477e+01 1.556341241888332949e-01 7.378505542816147056e+01 -3.494906861561000722e-02
7.747430819956954906e+01 1.451715391503718977e-01 7.747430819956960590e+01 -2.857138760099062549e-02
8.116356097097762756e+01 1.354600483643246533e-01 8.116356097097765598e+01 -2.317822514295454772e-02
8.485281374238570606e+01 1.264229478585184308e-01 8.485281374238570606e+01 -1.671220156278755906e-02
8.854206651379377035e+01 1.173855001607398557e-01 8.854206651379382720e+01 -1.024924721311074559e-02
9.223131928520186307e+01 1.086068912376985801e-01 9.223131928520189149e+01 -6.023842323036421136e-03
9.592057205660991315e+01 1.005138533967707692e-01 9.592057205660992736e+01 -3.534303033014040644e-03
9.960982482801800586e+01 9.263287317413633482e-02 9.960982482801797744e+01 -1.400814558832369494e-03
1.032990775994260702e+02 8.618989152998451919e-02 1.032990775994260986e+02 -2.824792602183761204e-04
1.069883303708341629e+02 8.150513583113995486e-02 1.069883303708341629e+02 1.086199162783914318e-03
1.106775831422422272e+02 7.671594911336399036e-02 1.106775831422422129e+02 2.940740576152695712e-03
1.143668359136503057e+02 7.080513878308665465e-02 1.143668359136503483e+02 3.311855574562655967e-03
1.180560886850583699e+02 6.526025165038619458e-02 1.180560886850583984e+02 2.737472035096785630e-03
1.217453414564664342e+02 6.177424103876306971e-02 1.217453414564664342e+02 3.516821136755946247e-03
1.254345942278745270e+02 5.941337314941266823e-02 1.254345942278745696e+02 5.334022439972113325e-03
1.291238469992825912e+02 5.691391214623223865e-02 1.291238469992826197e+02 6.581430352309517590e-03
1.328130997706906840e+02 5.411564826045107968e-02 1.328130997706906840e+02 6.778761647383986164e-03
1.365023525420987482e+02 5.156710771892149964e-02 1.365023525420987198e+02 5.165279305300341482e-03
1.401916053135068125e+02 4.954977689024335497e-02 1.401916053135068694e+02 3.170205613903093883e-03
1.438808580849148768e+02 4.762974628721804854e-02 1.438808580849149052e+02 2.781649437935683131e-03
1.475701108563229695e+02 4.499212188184058964e-02 1.475701108563229411e+02 1.855146172927223981e-03
