# z, Alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 8.197347916472963458e-02
5.000000000000000000e+00 1.019652266255236112e-01
7.500000000000000000e+00 9.546391223205685783e-02
1.000000000000000000e+01 8.150645553729400639e-02
1.250000000000000000e+01 6.965356385079372881e-02
1.500000000000000000e+01 6.032653328837492279e-02
1.750000000000000000e+01 5.409165796029508089e-02
2.000000000000000000e+01 5.012887161339108638e-02
2.250000000000000000e+01 4.821925138336634331e-02
2.500000000000000000e+01 4.734000916758736993e-02
2.750000000000000000e+01 4.746332704334658981e-02
3.000000000000000000e+01 4.782720569937624205e-02
3.250000000000000000e+01 4.817197660451968955e-02
3.500000000000000000e+01 4.877037582674374067e-02
3.750000000000000000e+01 5.015020214081014616e-02
4.000000000000000000e+01 5.181292770223393240e-02
4.250000000000000000e+01 5.342432720470235985e-02
4.500000000000000000e+01 5.489483120655117010e-02
4.750000000000000000e+01 5.654060854221872739e-02
5.000000000000000000e+01 5.816609408484267607e-02
5.250000000000000000e+01 5.972595281125959304e-02
5.500000000000000000e+01 6.092702214782527714e-02
5.750000000000000000e+01 6.195391854791425235e-02
6.000000000000000000e+01 6.341803050855994439e-02
6.250000000000000000e+01 6.492196925460605450e-02
6.500000000000000000e+01 6.590124823863893755e-02
6.750000000000000000e+01 6.664474482483991047e-02
7.000000000000000000e+01 6.755790582704157554e-02
7.250000000000000000e+01 6.883468441304163576e-02
7.500000000000000000e+01 7.027735843643673208e-02
7.750000000000000000e+01 7.147592012810384532e-02
8.000000000000000000e+01 7.231227901990881779e-02
8.250000000000000000e+01 7.341574490493263383e-02
8.500000000000000000e+01 7.471140129256303997e-02
8.750000000000000000e+01 7.566408261960388959e-02
9.000000000000000000e+01 7.622708563175202567e-02
9.250000000000000000e+01 7.734198809499606697e-02
9.500000000000000000e+01 7.902024993517302309e-02
9.750000000000000000e+01 8.120629402991010048e-02
1.000000000000000000e+02 8.385511371811338321e-02
1.025000000000000000e+02 8.515122143712661185e-02
1.050000000000000000e+02 8.530446382167079789e-02
1.075000000000000000e+02 8.625237638189134359e-02
1.100000000000000000e+02 8.756877345401085921e-02
1.125000000000000000e+02 8.853961482952926731e-02
1.150000000000000000e+02 8.961786426693717222e-02
1.175000000000000000e+02 9.107201876377231387e-02
1.200000000000000000e+02 9.276359959569224767e-02
1.225000000000000000e+02 9.366395967486577934e-02
1.250000000000000000e+02 9.427464315146012741e-02
1.275000000000000000e+02 9.537087983106017075e-02
1.300000000000000000e+02 9.615651397298947967e-02
1.325000000000000000e+02 9.643396390208165692e-02
1.350000000000000000e+02 9.735443953558167718e-02
1.375000000000000000e+02 9.917879590821912505e-02
1.400000000000000000e+02 9.954930113002104231e-02
1.425000000000000000e+02 9.910377588222336886e-02
1.450000000000000000e+02 9.907256865163509285e-02
1.475000000000000000e+02 9.869680235949349068e-02
1.500000000000000000e+02 9.879591006563591404e-02
1.525000000000000000e+02 9.920796102866655253e-02
1.550000000000000000e+02 9.859499161167661896e-02
1.575000000000000000e+02 9.764870232726002852e-02
1.600000000000000000e+02 9.746606336731603037e-02
1.625000000000000000e+02 9.796085574140366015e-02
1.650000000000000000e+02 9.951622092722887947e-02
1.675000000000000000e+02 1.015388744076266420e-01
1.700000000000000000e+02 1.023932342047736282e-01
1.725000000000000000e+02 1.023578266425912570e-01
1.750000000000000000e+02 1.019785184428886743e-01
1.775000000000000000e+02 1.013684991132295238e-01
1.800000000000000000e+02 1.007201875201519103e-01
1.825000000000000000e+02 1.000914439144114099e-01
1.850000000000000000e+02 1.001687115486309398e-01
1.875000000000000000e+02 1.009209689622325296e-01
1.900000000000000000e+02 1.018065507903940514e-01
1.925000000000000000e+02 1.036914725320542685e-01
1.950000000000000000e+02 1.057517159320905259e-01
1.975000000000000000e+02 1.051060148505667119e-01
2.000000000000000000e+02 1.031567038079997251e-01
2.025000000000000000e+02 1.030166400512696756e-01
2.050000000000000000e+02 1.044369573287728808e-01
2.075000000000000000e+02 1.048416209965021550e-01
2.100000000000000000e+02 1.041481230258355234e-01
2.125000000000000000e+02 1.035955667104723060e-01
2.150000000000000000e+02 1.039079611921881474e-01
2.175000000000000000e+02 1.049910613815471100e-01
2.200000000000000000e+02 1.053481893781276491e-01
2.225000000000000000e+02 1.053437318897508385e-01
2.250000000000000000e+02 1.058268033722973706e-01
2.275000000000000000e+02 1.056987529211387694e-01
2.300000000000000000e+02 1.042445627142918885e-01
2.325000000000000000e+02 1.027239205791724008e-01
2.350000000000000000e+02 1.010614876085853264e-01
2.375000000000000000e+02 1.005348259840148917e-01
2.400000000000000000e+02 1.013758711909029525e-01
2.425000000000000000e+02 1.019975348937848941e-01
2.450000000000000000e+02 1.003110855345300811e-01
2.475000000000000000e+02 9.705190085708441383e-02
2.500000000000000000e+02 9.385488928264693054e-02
2.525000000000000000e+02 9.104268625360339984e-02
2.550000000000000000e+02 8.915735783422679139e-02
2.575000000000000000e+02 8.854224012555049483e-02
2.600000000000000000e+02 8.829427151574352484e-02
2.625000000000000000e+02 8.742872977815586977e-02
2.650000000000000000e+02 8.646584303829234208e-02
2.675000000000000000e+02 8.625427596181882428e-02
2.700000000000000000e+02 8.609798702398180348e-02
2.725000000000000000e+02 8.658970232694504499e-02
2.750000000000000000e+02 8.853775286593366933e-02
2.775000000000000000e+02 9.100403310174780269e-02
2.800000000000000000e+02 9.144199261391537659e-02
2.825000000000000000e+02 8.992165596094996161e-02
2.850000000000000000e+02 8.957317196443644047e-02
2.875000000000000000e+02 9.061448888664343226e-02
2.900000000000000000e+02 9.150195400240496157e-02
2.925000000000000000e+02 9.236636114143616239e-02
2.950000000000000000e+02 9.185205231696096095e-02
2.975000000000000000e+02 9.099732226082056508e-02
3.000000000000000000e+02 9.249372197361027670e-02
3.025000000000000000e+02 9.308739969154462834e-02
3.050000000000000000e+02 9.182266972360290935e-02
3.075000000000000000e+02 9.191390427908727179e-02
3.100000000000000000e+02 9.334267950915936529e-02
3.125000000000000000e+02 9.398419340624059037e-02
3.150000000000000000e+02 9.374453926271343607e-02
3.175000000000000000e+02 9.140938417840364927e-02
3.200000000000000000e+02 8.777487093943862895e-02
3.225000000000000000e+02 8.547575415137918797e-02
3.250000000000000000e+02 8.449684861520513623e-02
3.275000000000000000e+02 8.381689563350504246e-02
3.300000000000000000e+02 8.206360870256998452e-02
3.325000000000000000e+02 8.006803148687847982e-02
3.350000000000000000e+02 8.066484862078691920e-02
3.375000000000000000e+02 8.346943102005828508e-02
3.400000000000000000e+02 8.616352199358197350e-02
3.425000000000000000e+02 8.752894551095687092e-02
3.450000000000000000e+02 8.668367288071804344e-02
3.475000000000000000e+02 8.590832793574297577e-02
3.500000000000000000e+02 8.571450075241275612e-02
3.525000000000000000e+02 8.332028443036819387e-02
3.550000000000000000e+02 8.093499718479507665e-02
3.575000000000000000e+02 8.053664120266745829e-02
3.600000000000000000e+02 7.974655856336970716e-02
3.625000000000000000e+02 7.644255150388294673e-02
3.650000000000000000e+02 7.279205458179827115e-02
3.675000000000000000e+02 7.166395452887210082e-02
3.700000000000000000e+02 7.215680007843294774e-02
3.725000000000000000e+02 7.246548979812302005e-02
3.750000000000000000e+02 7.270443854314520560e-02
3.775000000000000000e+02 7.397641322465757507e-02
3.800000000000000000e+02 7.608201800588965114e-02
3.825000000000000000e+02 7.737693792999034148e-02
3.850000000000000000e+02 7.714945801467697206e-02
3.875000000000000000e+02 7.599460500281780828e-02
3.900000000000000000e+02 7.546501881365969000e-02
3.925000000000000000e+02 7.717858670350381811e-02
3.950000000000000000e+02 7.933160315332557500e-02
3.975000000000000000e+02 7.798068310879829879e-02
4.000000000000000000e+02 7.434867320738940133e-02
4.025000000000000000e+02 7.192882047975222848e-02
4.050000000000000000e+02 7.108397802030060053e-02
4.075000000000000000e+02 6.998116076688451481e-02
4.100000000000000000e+02 6.782987630987789840e-02
4.125000000000000000e+02 6.686232921350822311e-02
4.150000000000000000e+02 6.719100972497521473e-02
4.175000000000000000e+02 6.674663862401682135e-02
4.200000000000000000e+02 6.619529386475979382e-02
4.225000000000000000e+02 6.868054931771394589e-02
4.250000000000000000e+02 7.399347877201582768e-02
4.275000000000000000e+02 7.757587932371483308e-02
4.300000000000000000e+02 7.853388377749034865e-02
4.325000000000000000e+02 7.748604862621907841e-02
4.350000000000000000e+02 7.552172393328768218e-02
4.375000000000000000e+02 7.539090874378080731e-02
4.400000000000000000e+02 7.652500370090051240e-02
4.425000000000000000e+02 7.663574367434462797e-02
4.450000000000000000e+02 7.629147889717534381e-02
4.475000000000000000e+02 7.684452504082679714e-02
4.500000000000000000e+02 7.655965836900634203e-02
4.525000000000000000e+02 7.583569243659459003e-02
4.550000000000000000e+02 7.641934826677047876e-02
4.575000000000000000e+02 7.755005772637284245e-02
4.600000000000000000e+02 7.887529491410381899e-02
4.625000000000000000e+02 8.051233888046081810e-02
4.650000000000000000e+02 8.075444668579351282e-02
4.675000000000000000e+02 7.790660703080419525e-02
4.700000000000000000e+02 7.276412750276839425e-02
4.725000000000000000e+02 6.925358518448170020e-02
4.750000000000000000e+02 6.932245171104481352e-02
4.775000000000000000e+02 7.086643497210870501e-02
4.800000000000000000e+02 7.081605174465648023e-02
4.825000000000000000e+02 7.039853934657119838e-02
4.850000000000000000e+02 7.070154776374652783e-02
4.875000000000000000e+02 7.072342668310026281e-02
4.900000000000000000e+02 6.925728912040582386e-02
4.925000000000000000e+02 6.780403096161700949e-02
4.950000000000000000e+02 6.630639262478028872e-02
4.975000000000000000e+02 6.743179680312783031e-02
5.000000000000000000e+02 7.032965515160392866e-02
5.025000000000000000e+02 7.298438354247452353e-02
5.050000000000000000e+02 7.263018250109742890e-02
5.075000000000000000e+02 7.107508878722049173e-02
5.100000000000000000e+02 6.754166699639151117e-02
5.125000000000000000e+02 6.434092834840331177e-02
5.150000000000000000e+02 6.245155774402273707e-02
5.175000000000000000e+02 6.253515397455221281e-02
5.200000000000000000e+02 6.220894619211855825e-02
5.225000000000000000e+02 6.268191105522002982e-02
5.250000000000000000e+02 6.256077657390832214e-02
5.275000000000000000e+02 6.305305175582863464e-02
5.300000000000000000e+02 5.996311765550300238e-02
5.325000000000000000e+02 5.637371965694713827e-02
5.350000000000000000e+02 5.505220752685765356e-02
5.375000000000000000e+02 5.425193374959097481e-02
5.400000000000000000e+02 5.475399542306767092e-02
5.425000000000000000e+02 5.322800100712245241e-02
5.450000000000000000e+02 5.517198831970661355e-02
5.475000000000000000e+02 5.265983915721161868e-02
5.500000000000000000e+02 5.728738508919473116e-02
5.525000000000000000e+02 5.264064129186932922e-02
5.550000000000000000e+02 6.026195963825717317e-02
5.575000000000000000e+02 4.889354856918935732e-02
5.600000000000000000e+02 5.899812761942970635e-02
5.625000000000000000e+02 3.855588561933143144e-02
5.650000000000000000e+02 5.781679574229043467e-02
5.675000000000000000e+02 2.865257745136461781e-02
5.700000000000000000e+02 6.094781366416761326e-02
5.725000000000000000e+02 1.785094779215403230e-02
5.750000000000000000e+02 6.474603925468581933e-02
5.775000000000000000e+02 3.876837916722328421e-03
5.800000000000000000e+02 7.345223519446167360e-02
5.825000000000000000e+02 -8.775668668772917611e-03
5.850000000000000000e+02 8.286106956926235501e-02
5.875000000000000000e+02 -2.427185294979997479e-02
5.900000000000000000e+02 9.357949401503491693e-02
5.925000000000000000e+02 -4.008029815269030516e-02
5.950000000000000000e+02 1.072916417658360960e-01
5.975000000000000000e+02 -5.723228937920483983e-02
6.000000000000000000e+02 1.226141986173368142e-01
6.025000000000000000e+02 -7.543291360004755752e-02
6.050000000000000000e+02 1.414881767485226538e-01
6.075000000000000000e+02 -9.568292567143636684e-02
6.100000000000000000e+02 1.640199864167850574e-01
6.125000000000000000e+02 -1.228914781741760609e-01
6.150000000000000000e+02 1.891242791684184799e-01
6.175000000000000000e+02 -1.529508016979395923e-01
6.200000000000000000e+02 2.229557986920765456e-01
6.225000000000000000e+02 -1.858087611748543977e-01
6.250000000000000000e+02 2.647205712146517564e-01
6.275000000000000000e+02 -2.257110607187885754e-01
6.300000000000000000e+02 3.127643463874547058e-01
6.325000000000000000e+02 -2.764723635971079729e-01
6.350000000000000000e+02 3.701374196803300931e-01
6.375000000000000000e+02 -3.382130346744596228e-01
6.400000000000000000e+02 4.476620539655533637e-01
6.425000000000000000e+02 -4.581731244175401563e-01
6.450000000000000000e+02 5.909679278639214939e-01
6.475000000000000000e+02 -6.145561155704437617e-01
6.500000000000000000e+02 5.765445549073617837e-01
6.525000000000000000e+02 -5.943313105729910450e-01
6.550000000000000000e+02 5.715546684020874624e-01
6.575000000000000000e+02 -5.100875616906163090e-01
6.600000000000000000e+02 5.338384096708382875e-01
6.625000000000000000e+02 -5.017568834164224389e-01
6.650000000000000000e+02 5.048006245209537557e-01
6.675000000000000000e+02 -4.792598164668457894e-01
6.700000000000000000e+02 4.759757574045635486e-01
6.725000000000000000e+02 -4.563479748221555554e-01
6.750000000000000000e+02 4.469879108370399812e-01
6.775000000000000000e+02 -4.322407883868353839e-01
6.800000000000000000e+02 4.193761810082093366e-01
6.825000000000000000e+02 -4.083243858024846462e-01
6.850000000000000000e+02 3.922857160103801477e-01
6.875000000000000000e+02 -3.808847257915637941e-01
6.900000000000000000e+02 3.668300462458503608e-01
6.925000000000000000e+02 -3.496519485751012901e-01
6.950000000000000000e+02 3.418595127290802171e-01
6.975000000000000000e+02 -3.203579590873419924e-01
7.000000000000000000e+02 3.138120512764552283e-01
7.025000000000000000e+02 -2.951357294166818135e-01
7.050000000000000000e+02 2.822498732739388561e-01
7.075000000000000000e+02 -2.705252683581795270e-01
7.100000000000000000e+02 2.510229762226979244e-01
7.125000000000000000e+02 -2.420845310950073825e-01
7.150000000000000000e+02 2.231844721614603677e-01
7.175000000000000000e+02 -2.093488651825141100e-01
7.200000000000000000e+02 1.975227773024813838e-01
7.225000000000000000e+02 -1.758093979702794185e-01
7.250000000000000000e+02 1.702198590717195203e-01
7.275000000000000000e+02 -1.452302323849997689e-01
7.300000000000000000e+02 1.385308900465966331e-01
7.325000000000000000e+02 -1.179879293065176499e-01
7.350000000000000000e+02 1.030275514217565275e-01
7.375000000000000000e+02 -9.144082327501013019e-02
7.400000000000000000e+02 6.678713335078659274e-02
7.425000000000000000e+02 -6.168964587902779628e-02
7.450000000000000000e+02 3.698732360507609590e-02
7.475000000000000000e+02 -1.954939265926860029e-02
7.500000000000000000e+02 3.879832565030080782e-02
7.525000000000000000e+02 -3.617599225523665529e-02
7.550000000000000000e+02 4.694757926160248590e-02
7.575000000000000000e+02 -5.575145805661842896e-02
7.600000000000000000e+02 6.421345281445689501e-02
7.625000000000000000e+02 -7.295571870962863636e-02
7.650000000000000000e+02 8.142299635111893696e-02
7.675000000000000000e+02 -8.992423705344196327e-02
7.700000000000000000e+02 9.820427127174131965e-02
7.725000000000000000e+02 -1.065047357829004698e-01
7.750000000000000000e+02 1.146038725585617618e-01
7.775000000000000000e+02 -1.226968324066254473e-01
7.800000000000000000e+02 1.306179716790003276e-01
7.825000000000000000e+02 -1.385062589259903054e-01
7.850000000000000000e+02 1.462520386271425610e-01
7.875000000000000000e+02 -1.539381778317882310e-01
7.900000000000000000e+02 1.615115951465363464e-01
7.925000000000000000e+02 -1.689975801896359819e-01
7.950000000000000000e+02 1.764018898178419392e-01
7.975000000000000000e+02 -1.836898604490161679e-01
8.000000000000000000e+02 1.909284927112310792e-01
8.025000000000000000e+02 -1.980209437479396040e-01
8.050000000000000000e+02 2.050973869737035271e-01
8.075000000000000000e+02 -2.119971184742600878e-01
