# z, TI
0.000000000000000000e+00 6.706768181576151788e-02
2.500000000000000000e+00 7.218079152527526188e-02
5.000000000000000000e+00 7.161566901095765825e-02
7.500000000000000000e+00 6.890909458262352294e-02
1.000000000000000000e+01 6.565898752557203233e-02
1.250000000000000000e+01 6.239891840769719311e-02
1.500000000000000000e+01 5.947352501819790777e-02
1.750000000000000000e+01 5.697014616742657883e-02
2.000000000000000000e+01 5.489706440577200863e-02
2.250000000000000000e+01 5.320796530919930101e-02
2.500000000000000000e+01 5.181671064677283167e-02
2.750000000000000000e+01 5.061786594559730679e-02
3.000000000000000000e+01 4.956075003935714318e-02
3.250000000000000000e+01 4.862465743061120810e-02
3.500000000000000000e+01 4.779180323773145334e-02
3.750000000000000000e+01 4.704446250088856890e-02
4.000000000000000000e+01 4.637492591958611299e-02
4.250000000000000000e+01 4.577146923746022722e-02
4.500000000000000000e+01 4.522371775204152983e-02
4.750000000000000000e+01 4.473345599084746493e-02
5.000000000000000000e+01 4.428405566034797347e-02
5.250000000000000000e+01 4.384397781805049465e-02
5.500000000000000000e+01 4.341467629332135952e-02
5.750000000000000000e+01 4.300553326974867335e-02
6.000000000000000000e+01 4.261412247531613101e-02
6.250000000000000000e+01 4.224388518381454877e-02
6.500000000000000000e+01 4.189572643772256771e-02
6.750000000000000000e+01 4.156681283004107219e-02
7.000000000000000000e+01 4.125583805555507744e-02
7.250000000000000000e+01 4.095810028202690606e-02
7.500000000000000000e+01 4.066907843186418764e-02
7.750000000000000000e+01 4.039353486678684546e-02
8.000000000000000000e+01 4.014292069307428407e-02
8.250000000000000000e+01 3.990927672363891315e-02
8.500000000000000000e+01 3.967360942299487381e-02
8.750000000000000000e+01 3.943560420015691098e-02
9.000000000000000000e+01 3.920590241868174286e-02
9.250000000000000000e+01 3.897664495774812859e-02
9.500000000000000000e+01 3.874493134354092122e-02
9.750000000000000000e+01 3.851881053083818646e-02
1.000000000000000000e+02 3.829717867834921824e-02
1.025000000000000000e+02 3.807510649403888364e-02
1.050000000000000000e+02 3.785149910121111960e-02
1.075000000000000000e+02 3.762747282461664788e-02
1.100000000000000000e+02 3.740408694905587861e-02
1.125000000000000000e+02 3.718488501799818713e-02
1.150000000000000000e+02 3.696978125488677852e-02
1.175000000000000000e+02 3.676364041878713018e-02
1.200000000000000000e+02 3.656339876718154441e-02
1.225000000000000000e+02 3.635644557538757898e-02
1.250000000000000000e+02 3.614566866087741415e-02
1.275000000000000000e+02 3.593486456738979179e-02
1.300000000000000000e+02 3.572497737652415711e-02
1.325000000000000000e+02 3.552076538602572109e-02
1.350000000000000000e+02 3.531834396427287193e-02
1.375000000000000000e+02 3.510684136843747472e-02
1.400000000000000000e+02 3.487835248456534060e-02
1.425000000000000000e+02 3.464541612383201935e-02
1.450000000000000000e+02 3.442015258589419674e-02
1.475000000000000000e+02 3.421329480389345007e-02
1.500000000000000000e+02 3.402867526725223551e-02
1.525000000000000000e+02 3.385031630072644210e-02
1.550000000000000000e+02 3.366899452090706818e-02
1.575000000000000000e+02 3.349004932054772121e-02
1.600000000000000000e+02 3.331629846011654322e-02
1.625000000000000000e+02 3.314811158100534200e-02
1.650000000000000000e+02 3.298510450275905087e-02
1.675000000000000000e+02 3.282336288545130432e-02
1.700000000000000000e+02 3.265684735628526097e-02
1.725000000000000000e+02 3.248242471984583851e-02
1.750000000000000000e+02 3.230722640972610166e-02
1.775000000000000000e+02 3.213823447197385053e-02
1.800000000000000000e+02 3.197247078754771044e-02
1.825000000000000000e+02 3.181457476765644360e-02
1.850000000000000000e+02 3.166340958495145880e-02
1.875000000000000000e+02 3.151245136910451466e-02
1.900000000000000000e+02 3.135814940301496351e-02
1.925000000000000000e+02 3.119896826855694805e-02
1.950000000000000000e+02 3.104266672315975084e-02
1.975000000000000000e+02 3.089310019779559907e-02
2.000000000000000000e+02 3.074470231704272763e-02
2.025000000000000000e+02 3.059235615160264821e-02
2.050000000000000000e+02 3.043832322309145133e-02
2.075000000000000000e+02 3.028423464395222503e-02
2.100000000000000000e+02 3.012936409805704388e-02
2.125000000000000000e+02 2.997234632435842247e-02
2.150000000000000000e+02 2.981141883561762296e-02
2.175000000000000000e+02 2.965645085510286785e-02
2.200000000000000000e+02 2.951317903977270993e-02
2.225000000000000000e+02 2.937029980726761288e-02
2.250000000000000000e+02 2.921936898340294145e-02
2.275000000000000000e+02 2.906130162105646439e-02
2.300000000000000000e+02 2.890347553331692673e-02
2.325000000000000000e+02 2.874863933546926986e-02
2.350000000000000000e+02 2.859704850161456230e-02
2.375000000000000000e+02 2.845296604944150959e-02
2.400000000000000000e+02 2.831219733003123226e-02
2.425000000000000000e+02 2.816954744652568413e-02
2.450000000000000000e+02 2.802116098747903586e-02
2.475000000000000000e+02 2.787005504946529766e-02
2.500000000000000000e+02 2.771907795667540378e-02
2.525000000000000000e+02 2.756578256117583892e-02
2.550000000000000000e+02 2.741196245404356469e-02
2.575000000000000000e+02 2.726267816822625437e-02
2.600000000000000000e+02 2.711691754477415367e-02
2.625000000000000000e+02 2.697496333759591761e-02
2.650000000000000000e+02 2.683573689771765261e-02
2.675000000000000000e+02 2.669282337805386346e-02
2.700000000000000000e+02 2.654287245406921833e-02
2.725000000000000000e+02 2.639832606774459092e-02
2.750000000000000000e+02 2.626445236088859395e-02
2.775000000000000000e+02 2.612890809763843830e-02
2.800000000000000000e+02 2.599193243019289404e-02
2.825000000000000000e+02 2.586095183266107558e-02
2.850000000000000000e+02 2.572943031395788158e-02
2.875000000000000000e+02 2.559044347080315432e-02
2.900000000000000000e+02 2.544482508097560200e-02
2.925000000000000000e+02 2.529971845452751167e-02
2.950000000000000000e+02 2.515965148048249569e-02
2.975000000000000000e+02 2.502573800806656007e-02
3.000000000000000000e+02 2.489132710466651979e-02
3.025000000000000000e+02 2.475002577404777568e-02
3.050000000000000000e+02 2.460447297225677732e-02
3.075000000000000000e+02 2.445936261129090170e-02
3.100000000000000000e+02 2.431295980047565308e-02
3.125000000000000000e+02 2.416473809198753028e-02
3.150000000000000000e+02 2.401707450446061848e-02
3.175000000000000000e+02 2.387017168436214934e-02
3.200000000000000000e+02 2.372961235568037466e-02
3.225000000000000000e+02 2.359786133524587048e-02
3.250000000000000000e+02 2.347156631721063896e-02
3.275000000000000000e+02 2.334958108912209979e-02
3.300000000000000000e+02 2.323433565196687811e-02
3.325000000000000000e+02 2.312174470672892848e-02
3.350000000000000000e+02 2.300692716823418693e-02
3.375000000000000000e+02 2.289017583463466912e-02
3.400000000000000000e+02 2.277275775687116061e-02
3.425000000000000000e+02 2.265579062625357187e-02
3.450000000000000000e+02 2.253822906119631875e-02
3.475000000000000000e+02 2.241685389328617814e-02
3.500000000000000000e+02 2.229110706405459247e-02
3.525000000000000000e+02 2.216298310463609561e-02
3.550000000000000000e+02 2.203324322798584645e-02
3.575000000000000000e+02 2.190156809340693470e-02
3.600000000000000000e+02 2.176988350602296687e-02
3.625000000000000000e+02 2.164651346475558388e-02
3.650000000000000000e+02 2.153340576135841580e-02
3.675000000000000000e+02 2.141810221409714762e-02
3.700000000000000000e+02 2.129387401275237984e-02
3.725000000000000000e+02 2.116758030136784569e-02
3.750000000000000000e+02 2.104027695856771490e-02
3.775000000000000000e+02 2.090608434071719590e-02
3.800000000000000000e+02 2.076337135457847691e-02
3.825000000000000000e+02 2.061717299903824061e-02
3.850000000000000000e+02 2.047125846457805570e-02
3.875000000000000000e+02 2.032641648983002022e-02
3.900000000000000000e+02 2.018225073373322229e-02
3.925000000000000000e+02 2.004163239552418652e-02
3.950000000000000000e+02 1.990434998413191311e-02
3.975000000000000000e+02 1.976768299031260445e-02
4.000000000000000000e+02 1.962922725919542116e-02
4.025000000000000000e+02 1.949013407528038533e-02
4.050000000000000000e+02 1.935695040525362356e-02
4.075000000000000000e+02 1.923026608290962641e-02
4.100000000000000000e+02 1.910087251699678357e-02
4.125000000000000000e+02 1.896452939497986906e-02
4.150000000000000000e+02 1.882449775367112457e-02
4.175000000000000000e+02 1.868111306632965624e-02
4.200000000000000000e+02 1.853736927715789184e-02
4.225000000000000000e+02 1.839156568066252842e-02
4.250000000000000000e+02 1.823791283831568272e-02
4.275000000000000000e+02 1.807316696112912929e-02
4.300000000000000000e+02 1.790082125016039666e-02
4.325000000000000000e+02 1.772618895019970400e-02
4.350000000000000000e+02 1.755369790562292392e-02
4.375000000000000000e+02 1.738138970897850494e-02
4.400000000000000000e+02 1.720828574751965753e-02
4.425000000000000000e+02 1.703506957399428604e-02
4.450000000000000000e+02 1.685745933130457577e-02
4.475000000000000000e+02 1.667668634055921237e-02
4.500000000000000000e+02 1.650078541791939746e-02
4.525000000000000000e+02 1.633286575098350998e-02
4.550000000000000000e+02 1.617014468529339583e-02
4.575000000000000000e+02 1.600843329786365288e-02
4.600000000000000000e+02 1.584187162470353238e-02
4.625000000000000000e+02 1.566002611114768184e-02
4.650000000000000000e+02 1.546187271575564376e-02
4.675000000000000000e+02 1.525691803239296804e-02
4.700000000000000000e+02 1.505133604338371005e-02
4.725000000000000000e+02 1.485412842314061399e-02
4.750000000000000000e+02 1.466699279279937498e-02
4.775000000000000000e+02 1.448738594115106006e-02
4.800000000000000000e+02 1.431418007388375255e-02
4.825000000000000000e+02 1.415182170900994817e-02
4.850000000000000000e+02 1.399446604017179872e-02
4.875000000000000000e+02 1.383902823447762456e-02
4.900000000000000000e+02 1.367792965477671908e-02
4.925000000000000000e+02 1.351792702082486863e-02
4.950000000000000000e+02 1.335539727298554365e-02
4.975000000000000000e+02 1.319213024764640495e-02
5.000000000000000000e+02 1.302013073129999927e-02
5.025000000000000000e+02 1.284803711700963774e-02
5.050000000000000000e+02 1.267073836708649918e-02
5.075000000000000000e+02 1.249852825884056710e-02
5.100000000000000000e+02 1.231728953840410465e-02
5.125000000000000000e+02 1.213965431708488411e-02
5.150000000000000000e+02 1.195711631506937364e-02
5.175000000000000000e+02 1.178854696480552237e-02
5.200000000000000000e+02 1.161081212035803938e-02
5.225000000000000000e+02 1.143913382018020911e-02
5.250000000000000000e+02 1.124968713516042579e-02
5.275000000000000000e+02 1.107145023593406226e-02
5.300000000000000000e+02 1.087830664965024931e-02
5.325000000000000000e+02 1.070056669619194080e-02
5.350000000000000000e+02 1.050996799875955449e-02
5.375000000000000000e+02 1.033722923169101693e-02
5.400000000000000000e+02 1.014397594723068577e-02
5.425000000000000000e+02 9.964745072227046072e-03
5.450000000000000000e+02 9.770072166919305939e-03
5.475000000000000000e+02 9.595023188340190065e-03
5.500000000000000000e+02 9.408810762492881424e-03
5.525000000000000000e+02 9.236134221903493854e-03
5.550000000000000000e+02 9.049350619085726535e-03
5.575000000000000000e+02 8.871408677498577103e-03
5.600000000000000000e+02 8.694793450561733028e-03
5.625000000000000000e+02 8.527446774826159120e-03
5.650000000000000000e+02 8.363117483204089361e-03
5.675000000000000000e+02 8.196405334062016254e-03
5.700000000000000000e+02 8.026461839755373237e-03
5.725000000000000000e+02 7.852219975247664435e-03
5.750000000000000000e+02 7.684005172112634736e-03
5.775000000000000000e+02 7.512213224721820369e-03
5.800000000000000000e+02 7.348403351585023127e-03
5.825000000000000000e+02 7.180922201254535779e-03
5.850000000000000000e+02 7.025905072829087203e-03
5.875000000000000000e+02 6.865260856821817255e-03
5.900000000000000000e+02 6.715378904743799990e-03
5.925000000000000000e+02 6.564104588868147246e-03
5.950000000000000000e+02 6.416985353552341100e-03
5.975000000000000000e+02 6.279832414216307036e-03
6.000000000000000000e+02 6.142847978591631231e-03
6.025000000000000000e+02 6.028385336716763666e-03
6.050000000000000000e+02 5.901466862344214442e-03
6.075000000000000000e+02 5.804009416206758892e-03
6.100000000000000000e+02 5.677970295049183935e-03
6.125000000000000000e+02 5.598618674005840373e-03
6.150000000000000000e+02 5.472815488805535776e-03
6.175000000000000000e+02 5.426731840393881831e-03
6.200000000000000000e+02 5.296882197319023253e-03
6.225000000000000000e+02 5.287403690701656875e-03
6.250000000000000000e+02 5.142408286807880619e-03
6.275000000000000000e+02 5.171804086051758065e-03
6.300000000000000000e+02 5.013795306219825249e-03
6.325000000000000000e+02 5.080289150139628146e-03
6.350000000000000000e+02 4.902909083925886639e-03
6.375000000000000000e+02 4.978880956321623218e-03
6.400000000000000000e+02 4.771351967822902614e-03
6.425000000000000000e+02 4.833653688090434712e-03
6.450000000000000000e+02 4.497822455288271772e-03
6.475000000000000000e+02 4.512669416800985621e-03
6.500000000000000000e+02 3.733278290417053284e-03
6.525000000000000000e+02 3.443132656776077324e-03
6.550000000000000000e+02 2.780934524488082402e-03
6.575000000000000000e+02 2.484962744336339374e-03
6.600000000000000000e+02 2.333742919732611446e-03
6.625000000000000000e+02 2.222458515844781893e-03
6.650000000000000000e+02 2.114008045036093030e-03
