# z, veer
0.000000000000000000e+00 2.245353402186268283e+02
2.500000000000000000e+00 2.245882044073682664e+02
5.000000000000000000e+00 2.246514646802259563e+02
7.500000000000000000e+00 2.247170505754734222e+02
1.000000000000000000e+01 2.247815423459766464e+02
1.250000000000000000e+01 2.248424555104347178e+02
1.500000000000000000e+01 2.248988241643825745e+02
1.750000000000000000e+01 2.249516581635699310e+02
2.000000000000000000e+01 2.250032083045805109e+02
2.250000000000000000e+01 2.250535792281258978e+02
2.500000000000000000e+01 2.251026864105457150e+02
2.750000000000000000e+01 2.251505937200701908e+02
3.000000000000000000e+01 2.251965961386493973e+02
3.250000000000000000e+01 2.252410382319045539e+02
3.500000000000000000e+01 2.252841997650545522e+02
3.750000000000000000e+01 2.253256273827003895e+02
4.000000000000000000e+01 2.253644222012330829e+02
4.250000000000000000e+01 2.254009390201252927e+02
4.500000000000000000e+01 2.254357472607528905e+02
4.750000000000000000e+01 2.254693822332428965e+02
5.000000000000000000e+01 2.255033955728181638e+02
5.250000000000000000e+01 2.255386024899036670e+02
5.500000000000000000e+01 2.255743645461625704e+02
5.750000000000000000e+01 2.256103726723800094e+02
6.000000000000000000e+01 2.256466423569368942e+02
6.250000000000000000e+01 2.256830248162454495e+02
6.500000000000000000e+01 2.257203598607874255e+02
6.750000000000000000e+01 2.257595359059914699e+02
7.000000000000000000e+01 2.258004383523591514e+02
7.250000000000000000e+01 2.258421975051689685e+02
7.500000000000000000e+01 2.258834917192313014e+02
7.750000000000000000e+01 2.259234690904707747e+02
8.000000000000000000e+01 2.259622960849490028e+02
8.250000000000000000e+01 2.260008713069211126e+02
8.500000000000000000e+01 2.260397812913609528e+02
8.750000000000000000e+01 2.260801183303829305e+02
9.000000000000000000e+01 2.261215822064695544e+02
9.250000000000000000e+01 2.261625291952414045e+02
9.500000000000000000e+01 2.262027824103734019e+02
9.750000000000000000e+01 2.262430633804168849e+02
1.000000000000000000e+02 2.262833068192679491e+02
1.025000000000000000e+02 2.263236844007911373e+02
1.050000000000000000e+02 2.263650449198486285e+02
1.075000000000000000e+02 2.264079879486154709e+02
1.100000000000000000e+02 2.264520603967949057e+02
1.125000000000000000e+02 2.264961803167153676e+02
1.150000000000000000e+02 2.265405060601914329e+02
1.175000000000000000e+02 2.265861367053151127e+02
1.200000000000000000e+02 2.266334770274928871e+02
1.225000000000000000e+02 2.266818166746786574e+02
1.250000000000000000e+02 2.267303203150993909e+02
1.275000000000000000e+02 2.267792845437412268e+02
1.300000000000000000e+02 2.268288893437841125e+02
1.325000000000000000e+02 2.268784443399384259e+02
1.350000000000000000e+02 2.269278052657606679e+02
1.375000000000000000e+02 2.269775319060295828e+02
1.400000000000000000e+02 2.270275825462360046e+02
1.425000000000000000e+02 2.270773516988560914e+02
1.450000000000000000e+02 2.271268178843075418e+02
1.475000000000000000e+02 2.271763282454075181e+02
1.500000000000000000e+02 2.272258806258612367e+02
1.525000000000000000e+02 2.272756812325253577e+02
1.550000000000000000e+02 2.273265554388025294e+02
1.575000000000000000e+02 2.273788659615331369e+02
1.600000000000000000e+02 2.274320689203744621e+02
1.625000000000000000e+02 2.274853646633465871e+02
1.650000000000000000e+02 2.275383894642038740e+02
1.675000000000000000e+02 2.275909057185591564e+02
1.700000000000000000e+02 2.276428006394796455e+02
1.725000000000000000e+02 2.276938731408530714e+02
1.750000000000000000e+02 2.277438994211049135e+02
1.775000000000000000e+02 2.277934225174735161e+02
1.800000000000000000e+02 2.278426880962305461e+02
1.825000000000000000e+02 2.278919618587541436e+02
1.850000000000000000e+02 2.279415936664200331e+02
1.875000000000000000e+02 2.279910128751688774e+02
1.900000000000000000e+02 2.280393029455158285e+02
1.925000000000000000e+02 2.280863765346239518e+02
1.950000000000000000e+02 2.281329653994298212e+02
1.975000000000000000e+02 2.281802349340686646e+02
2.000000000000000000e+02 2.282286030165407738e+02
2.025000000000000000e+02 2.282772350304672955e+02
2.050000000000000000e+02 2.283256240063596465e+02
