# z, uu, uv, uw, vv, vw, ww, tke
0.000000000000000000e+00 8.827791236002782704e-02 6.190188600307770794e-02 8.791925390410609001e-06 8.022876073651016848e-02 1.780218443586725752e-05 1.081650561510804948e-05 8.425874480107654885e-02
2.500000000000000000e+00 1.337090422129069700e-01 1.009781519742083966e-01 -4.371544806900897438e-03 1.215753318022220614e-01 -4.068440995762086926e-03 6.631919376299830280e-04 1.279737829763795132e-01
5.000000000000000000e+00 1.534444960213847131e-01 1.156746535260995690e-01 -9.686771264996518055e-03 1.386268091553143622e-01 -8.939332387751438083e-03 2.884576937921700182e-03 1.474779410573104077e-01
7.500000000000000000e+00 1.561741339714339261e-01 1.133826508796430266e-01 -1.298567031963135908e-02 1.398668280674608411e-01 -1.181648572447428248e-02 5.596379795338456836e-03 1.508186709171165929e-01
1.000000000000000000e+01 1.492088725752768186e-01 1.030236689472970313e-01 -1.521271842355706623e-02 1.335515112269775595e-01 -1.362766388400937431e-02 8.800569686305603767e-03 1.457804767442799909e-01
1.250000000000000000e+01 1.379490569297467106e-01 9.052618285317269586e-02 -1.633893882881103099e-02 1.241897852852112683e-01 -1.439414548701632018e-02 1.202874833078528514e-02 1.370837952728716225e-01
1.500000000000000000e+01 1.262597301477315914e-01 7.899503360405413233e-02 -1.706915334182813535e-02 1.144487489371004973e-01 -1.478511790346060187e-02 1.534218612542533229e-02 1.280253326051287166e-01
1.750000000000000000e+01 1.158971342570707941e-01 6.927502054601135384e-02 -1.744509576649505567e-02 1.054184938333923849e-01 -1.485795668625929621e-02 1.838146356506892981e-02 1.198485458277660509e-01
2.000000000000000000e+01 1.073066509287968484e-01 6.138034010125936746e-02 -1.769928376512974744e-02 9.759837597000020626e-02 -1.482559461850650566e-02 2.111788030572921485e-02 1.130114536022631400e-01
2.250000000000000000e+01 1.004495695494863755e-01 5.505700123970419524e-02 -1.783584550613653494e-02 9.111620114341177634e-02 -1.468594079906738667e-02 2.343162986607960283e-02 1.074987002794888791e-01
2.500000000000000000e+01 9.494364164840005116e-02 4.995058679402265833e-02 -1.793563029958760921e-02 8.578355283540198273e-02 -1.452086314019113665e-02 2.536464645962437786e-02 1.030459204717132093e-01
2.750000000000000000e+01 9.037124420022971116e-02 4.563886008137047617e-02 -1.799196925396092175e-02 8.124955348726763116e-02 -1.431935319455383826e-02 2.691141339401329977e-02 9.926610554075530890e-02
3.000000000000000000e+01 8.648740542541095977e-02 4.191682199861471170e-02 -1.803361560196905036e-02 7.735030497729791787e-02 -1.411114716079055718e-02 2.813470273456783813e-02 9.598620656863836309e-02
3.250000000000000000e+01 8.316938222565260774e-02 3.873199709483296505e-02 -1.805667173264558292e-02 7.402381527982480891e-02 -1.389200235126460473e-02 2.907176143500619231e-02 9.313247947024180795e-02
3.500000000000000000e+01 8.033540782552993365e-02 3.603496622300728786e-02 -1.807151537846620609e-02 7.115181008795412598e-02 -1.367182590207142480e-02 2.978762014197827712e-02 9.063741902773117531e-02
3.750000000000000000e+01 7.792261405278022579e-02 3.371712488040846251e-02 -1.807348723260714107e-02 6.862983588201441998e-02 -1.344226816281959315e-02 3.032329015356216226e-02 8.843787004417841269e-02
4.000000000000000000e+01 7.589715893334109120e-02 3.170786478880872894e-02 -1.806946824435819166e-02 6.640813928741524930e-02 -1.321363742898971037e-02 3.072288841982383570e-02 8.651409332029008636e-02
4.250000000000000000e+01 7.419542615440624655e-02 2.995615560655779872e-02 -1.805874847386060300e-02 6.444435132242795627e-02 -1.298556528785575759e-02 3.100805655568954211e-02 8.482391701626187941e-02
4.500000000000000000e+01 7.274486896871977526e-02 2.843402636798285713e-02 -1.804539630147497520e-02 6.269777178254512529e-02 -1.276126578077974028e-02 3.121164654883099368e-02 8.332714365004793844e-02
4.750000000000000000e+01 7.152385128073666942e-02 2.714988005875333676e-02 -1.802560424939791961e-02 6.117629665406353751e-02 -1.253859675357474161e-02 3.135648217880580846e-02 8.202831505680299728e-02
5.000000000000000000e+01 7.044962833112096423e-02 2.603733290201744668e-02 -1.800052009075903819e-02 5.983192867806114840e-02 -1.232021238805058871e-02 3.145365640717198014e-02 8.086760670817705332e-02
5.250000000000000000e+01 6.940913990172190018e-02 2.497817077318646717e-02 -1.797069553675539888e-02 5.854265195347788109e-02 -1.210306572753129355e-02 3.150835651397435738e-02 7.973007418458706586e-02
5.500000000000000000e+01 6.839296125165940377e-02 2.399626217877343787e-02 -1.793930680151122059e-02 5.731886252259078829e-02 -1.188947747566827286e-02 3.153150932541900348e-02 7.862166654983460123e-02
5.750000000000000000e+01 6.742185879385470537e-02 2.314158509399032518e-02 -1.790645269527463973e-02 5.620580393908172767e-02 -1.167914595357943432e-02 3.152167836303428755e-02 7.757467054798536377e-02
6.000000000000000000e+01 6.652539979359174682e-02 2.240898677322399404e-02 -1.786912133177565726e-02 5.515385346023017610e-02 -1.147066979388523984e-02 3.148058123977158507e-02 7.657991724679674705e-02
6.250000000000000000e+01 6.572701667709003603e-02 2.175555749156221283e-02 -1.782719950274323090e-02 5.416481875567188964e-02 -1.126387432722886391e-02 3.141468501174327077e-02 7.565326022225260516e-02
6.500000000000000000e+01 6.500236740960649295e-02 2.112448966843740242e-02 -1.778283753485880581e-02 5.325635449931939713e-02 -1.106179431051258766e-02 3.133800230064908571e-02 7.479836210478749137e-02
6.750000000000000000e+01 6.434464132739325937e-02 2.048480563233399596e-02 -1.773742268723723162e-02 5.239821422189573641e-02 -1.086328332417090849e-02 3.126163093007440497e-02 7.400224323968170037e-02
