z Tu Tv Tw
0.000000000000000000e+00 1.393800630467012532e-14 1.458602127968333632e-14 1.188979470434503599e-18
2.500000000000000000e+00 2.741558091656770594e-14 2.880824467865750354e-14 -1.873501354054951761e-20
5.000000000000000000e+00 2.602291715447790834e-14 2.722799763432703806e-14 -4.035415563177508959e-18
7.500000000000000000e+00 3.222453415219206133e-14 3.058175934711471392e-14 -9.768031328642077993e-19
1.000000000000000000e+01 -1.625380718905944344e-13 -1.616797362657962396e-13 -5.333407326890693430e-19
1.250000000000000000e+01 3.009290594491176203e-14 2.909246177296154387e-14 -1.494331396260418761e-18
1.500000000000000000e+01 2.877413862734101618e-14 3.005879989359528098e-14 1.263746052249104031e-18
1.750000000000000000e+01 3.504965206957422407e-14 3.152536010020412402e-14 -4.070340616241111186e-18
2.000000000000000000e+01 2.919477992691099334e-14 2.983142621815204872e-14 -5.976556055609095087e-19
2.250000000000000000e+01 3.218474375898950010e-14 2.999058779096230625e-14 2.384429616135495842e-18
2.500000000000000000e+01 3.153672878397628437e-14 2.975184543174691364e-14 6.030373546926088643e-18
2.750000000000000000e+01 3.368541001691483050e-14 3.192326403222978047e-14 -5.405698751378475009e-18
3.000000000000000000e+01 3.163904693792574015e-14 3.342393029015511088e-14 3.305397110034264590e-18
3.250000000000000000e+01 3.088871380896307495e-14 3.172999640810303558e-14 6.332090485452782072e-18
3.500000000000000000e+01 3.238938006688840535e-14 3.124114300590008369e-14 -1.296043686997650015e-17
3.750000000000000000e+01 3.185505192959681206e-14 2.657998265931382864e-14 -6.984333791043985282e-18
4.000000000000000000e+01 3.213926902390085238e-14 2.726210368564352543e-14 1.423672689850103426e-17
4.250000000000000000e+01 3.240074875066056570e-14 3.212790034012869203e-14 -2.578395534139256418e-18
4.500000000000000000e+01 2.976321411551907399e-14 3.060449671465903462e-14 -5.766887263787938328e-19
4.750000000000000000e+01 3.059312803088687427e-14 3.087734512519091460e-14 3.720487805474919618e-18
5.000000000000000000e+01 2.721662895055487771e-14 2.831939127645455166e-14 -4.125014915464094225e-18
5.250000000000000000e+01 3.313971319585107055e-14 3.105924406554549914e-14 5.682145910813397368e-18
5.500000000000000000e+01 2.979732016683556135e-14 3.213926902390085238e-14 7.017470874022963595e-19
5.750000000000000000e+01 3.660716174636036254e-14 2.980868885060772171e-14 9.924001544300228796e-18
6.000000000000000000e+01 3.034301698789932131e-14 2.929709808086044912e-14 -1.284292653402777844e-17
6.250000000000000000e+01 2.986553226946852977e-14 3.050217856070957884e-14 8.902152512410256125e-18
6.500000000000000000e+01 3.556124283932149666e-14 3.276454663136974110e-14 1.282577712248935133e-17
6.750000000000000000e+01 3.519744495861232125e-14 3.285549610154703022e-14 2.960268280927940491e-18
7.000000000000000000e+01 3.086597644141875425e-14 2.958131517516448944e-14 -3.635634898261224572e-18
7.250000000000000000e+01 3.353761712787672701e-14 2.911519914050586457e-14 -2.117024671055366826e-18
7.500000000000000000e+01 -1.859120857261586907e-13 -1.814214556361548725e-13 2.894143381200443328e-18
7.750000000000000000e+01 -1.845705810410436178e-13 -1.805119609343819434e-13 3.331076167174342718e-18
8.000000000000000000e+01 4.766206984641030575e-13 4.612616066879126816e-13 3.272230180393551545e-18
8.250000000000000000e+01 3.644800017355009869e-14 3.449258656473830377e-14 -6.414480578197885958e-18
8.500000000000000000e+01 3.608420229284092960e-14 4.018829713459126434e-14 -2.309959098011647094e-17
8.750000000000000000e+01 -4.070670911460183567e-13 -3.986997398897074296e-13 -1.328712046229641227e-17
9.000000000000000000e+01 9.061977834790014080e-14 8.820961738820188135e-14 -7.364883713740360781e-19
9.250000000000000000e+01 3.319655661471187861e-14 2.985416358569636942e-14 1.661580973694750753e-17
9.500000000000000000e+01 3.698232831084169198e-14 3.504965206957422407e-14 7.242141472990385915e-19
9.750000000000000000e+01 3.499280865071341600e-14 3.182094587828032469e-14 -2.064783207952086990e-19
1.000000000000000000e+02 3.529976311256177703e-14 3.778950485866516525e-14 -9.133026685392161951e-18
1.025000000000000000e+02 2.073420546366833250e-13 1.994635567825753183e-13 -4.353214704337775077e-18
1.050000000000000000e+02 9.223413144354708733e-14 8.650431482237763939e-14 -1.838761176917046086e-17
1.075000000000000000e+02 3.627746991696767449e-14 3.186642061336897241e-14 2.420632410459097620e-18
1.100000000000000000e+02 3.606146492529660258e-14 3.024069883394986553e-14 -2.938995798048719992e-19
1.125000000000000000e+02 2.908109308918938352e-14 2.764863893389701838e-14 -5.205234811517174739e-18
1.150000000000000000e+02 -1.951889316842425720e-13 -1.841499397414736343e-13 -1.147516710597031962e-17
1.175000000000000000e+02 3.356035449542105402e-14 3.320792529848404528e-14 1.279834368409147538e-18
1.200000000000000000e+02 2.135038812411948915e-13 1.970420271391049111e-13 1.391217264245489134e-17
1.225000000000000000e+02 3.321929398225620563e-14 3.336708687129430281e-14 2.423091839442877543e-18
1.250000000000000000e+02 2.635715645737946052e-13 2.495426087989471671e-13 1.222450428787348302e-17
