# z, u, v, w, u_mag
0.000000000000000000e+00 2.478465002672050943e+00 2.518994503639310434e+00 1.779781735763173234e-04 3.533853719455780418e+00
2.500000000000000000e+00 2.840758651510451926e+00 2.881889110402857668e+00 -6.667258574034911527e-05 4.046627554549008465e+00
5.000000000000000000e+00 3.077066372327291521e+00 3.114732097399748323e+00 -1.085198916634461822e-05 4.378343693498425893e+00
7.500000000000000000e+00 3.237688313390579609e+00 3.269825273717365199e+00 2.589665417661540116e-06 4.601563096961019284e+00
1.000000000000000000e+01 3.344511273628876236e+00 3.370112952789463989e+00 -1.974757498065532135e-05 4.747990835540853993e+00
1.250000000000000000e+01 3.416315052257095530e+00 3.435154380110541528e+00 1.071295999424289951e-05 4.844738811492917741e+00
1.500000000000000000e+01 3.467331727670646124e+00 3.479598988133520976e+00 -2.401506811104841375e-05 4.912229476368959347e+00
1.750000000000000000e+01 3.505433149341806054e+00 3.511353383435917408e+00 1.309814211502948733e-05 4.961619105498006554e+00
2.000000000000000000e+01 3.535703178498942112e+00 3.535307233888163481e+00 -1.418918760163458930e-05 4.999959420298411672e+00
2.250000000000000000e+01 3.560984404315659990e+00 3.554330629783472251e+00 1.177984540529408785e-05 5.031289710773481083e+00
2.500000000000000000e+01 3.583124430212201172e+00 3.570303928005529315e+00 -7.887433384267952143e-06 5.058245824470914087e+00
2.750000000000000000e+01 3.603085092980129467e+00 3.584194318731074524e+00 8.940298347979352004e-06 5.082191564842835518e+00
3.000000000000000000e+01 3.621520834387073506e+00 3.596753035574989266e+00 -3.917370845194377100e-06 5.104120448503628893e+00
3.250000000000000000e+01 3.638754655278037653e+00 3.608266902378659324e+00 6.417596978519715723e-06 5.124463433389886191e+00
3.500000000000000000e+01 3.654965376366429819e+00 3.618885169624793452e+00 -2.170022971714089832e-06 5.143452320511231690e+00
3.750000000000000000e+01 3.670322592636954706e+00 3.628839039942660882e+00 3.946993672654762808e-06 5.161370042135015268e+00
4.000000000000000000e+01 3.685058201651405962e+00 3.638477198590749140e+00 -1.575581055628652176e-06 5.178626292196180536e+00
4.250000000000000000e+01 3.699317255877610844e+00 3.647902731260647791e+00 3.040742474448112700e-06 5.195396279051482935e+00
4.500000000000000000e+01 3.713165205613049302e+00 3.657111516493272152e+00 -8.895476714925079856e-07 5.211723370272439482e+00
4.750000000000000000e+01 3.726642073153090262e+00 3.666077596541686301e+00 1.151629590851061957e-06 5.227617629978396963e+00
5.000000000000000000e+01 3.739914060219009073e+00 3.674767656328556953e+00 -3.913884155280115208e-07 5.243174086926970290e+00
5.250000000000000000e+01 3.753054787558107730e+00 3.683149531449798175e+00 8.450305670683758703e-07 5.258422834789193701e+00
5.500000000000000000e+01 3.766033524698878310e+00 3.691274841714333732e+00 -7.602106996679951668e-07 5.273378278317383483e+00
5.750000000000000000e+01 3.778788714485011635e+00 3.699123407282028264e+00 6.970637173038298247e-07 5.287982425369960993e+00
6.000000000000000000e+01 3.791314630901848393e+00 3.706688290309572587e+00 -1.426259116355915711e-07 5.302226391998793531e+00
6.250000000000000000e+01 3.803692045403211708e+00 3.714068338383739842e+00 9.657855465635879935e-07 5.316237090127673426e+00
6.500000000000000000e+01 3.815995406758025510e+00 3.721227536967943283e+00 -6.627629327735354832e-08 5.330042713364205653e+00
6.750000000000000000e+01 3.828217618291128943e+00 3.728042920312924835e+00 8.250395828509849388e-08 5.343552577517127311e+00
7.000000000000000000e+01 3.840333874388150548e+00 3.734504342910425656e+00 -2.127430060776017008e-07 5.356742195961084363e+00
7.250000000000000000e+01 3.852327145073039638e+00 3.740708173124095648e+00 2.074282252242279037e-07 5.369666848990171992e+00
7.500000000000000000e+01 3.864172465880150398e+00 3.746803141716380736e+00 -5.277593439721952551e-07 5.382412342885139367e+00
7.750000000000000000e+01 3.875844057060638281e+00 3.752876917514341049e+00 6.099511731118964660e-08 5.395021066934234888e+00
8.000000000000000000e+01 3.887328635154116530e+00 3.758896411879188104e+00 -1.478536300454776782e-07 5.407460231284869856e+00
8.250000000000000000e+01 3.898648627572900871e+00 3.764766642038207767e+00 1.135887826229030189e-08 5.419679786692172208e+00
8.500000000000000000e+01 3.909883494723577435e+00 3.770487831032331538e+00 3.153342236164101467e-07 5.431737054228126915e+00
8.750000000000000000e+01 3.921134388260889558e+00 3.776013480888363638e+00 2.072988663109252536e-07 5.443672721486183974e+00
9.000000000000000000e+01 3.932348725927343303e+00 3.781331807367283915e+00 1.782053840526295881e-07 5.455441021559114922e+00
