# z, veer
0.000000000000000000e+00 2.241687898662223404e+02
1.000000000000000000e+01 2.244648777169647644e+02
2.000000000000000000e+01 2.250032719112144832e+02
3.000000000000000000e+01 2.253490849093338397e+02
4.000000000000000000e+01 2.256420193059630037e+02
5.000000000000000000e+01 2.259074474837887294e+02
6.000000000000000000e+01 2.261635139655666649e+02
7.000000000000000000e+01 2.264302780405028273e+02
8.000000000000000000e+01 2.266770418192264174e+02
9.000000000000000000e+01 2.269297077311258022e+02
1.000000000000000000e+02 2.271771362266666188e+02
1.100000000000000000e+02 2.274394731456356453e+02
1.200000000000000000e+02 2.276864221622224989e+02
1.300000000000000000e+02 2.279428835395343356e+02
1.400000000000000000e+02 2.281769218077720609e+02
1.500000000000000000e+02 2.284192213006934367e+02
1.600000000000000000e+02 2.286664591110878177e+02
1.700000000000000000e+02 2.289031107620214698e+02
1.800000000000000000e+02 2.291390079198614842e+02
1.900000000000000000e+02 2.293727476365658049e+02
2.000000000000000000e+02 2.296097437607216989e+02
2.100000000000000000e+02 2.298331140940450723e+02
2.200000000000000000e+02 2.300596014689750746e+02
2.300000000000000000e+02 2.302771113604580933e+02
2.400000000000000000e+02 2.305025002171224742e+02
2.500000000000000000e+02 2.307190929092672889e+02
2.600000000000000000e+02 2.309295477558973744e+02
2.700000000000000000e+02 2.311264131265332935e+02
2.800000000000000000e+02 2.313092045780826709e+02
2.900000000000000000e+02 2.315010770376090647e+02
3.000000000000000000e+02 2.316800956179946525e+02
3.100000000000000000e+02 2.318486746836365455e+02
3.200000000000000000e+02 2.320184015268042401e+02
3.300000000000000000e+02 2.321818378627762058e+02
3.400000000000000000e+02 2.323463662035649122e+02
3.500000000000000000e+02 2.325048516672989081e+02
3.600000000000000000e+02 2.326570588137318509e+02
3.700000000000000000e+02 2.327970144278248199e+02
3.800000000000000000e+02 2.329465120844838850e+02
3.900000000000000000e+02 2.330794101818507045e+02
4.000000000000000000e+02 2.332178303154183254e+02
4.100000000000000000e+02 2.333393488880707025e+02
4.200000000000000000e+02 2.334694429892222161e+02
4.300000000000000000e+02 2.335831335144248442e+02
4.400000000000000000e+02 2.337055385369704936e+02
4.500000000000000000e+02 2.338149676836312096e+02
4.600000000000000000e+02 2.339326106186758807e+02
4.700000000000000000e+02 2.340351605068152878e+02
4.800000000000000000e+02 2.341377325176265742e+02
4.900000000000000000e+02 2.342429238258540067e+02
5.000000000000000000e+02 2.343207160231843602e+02
5.100000000000000000e+02 2.344064699611442677e+02
5.200000000000000000e+02 2.344571147524256389e+02
5.300000000000000000e+02 2.345390234006571575e+02
5.400000000000000000e+02 2.345569254032134552e+02
5.500000000000000000e+02 2.346397782752686965e+02
5.600000000000000000e+02 2.346314618925134710e+02
5.700000000000000000e+02 2.347049651226197398e+02
5.800000000000000000e+02 2.346923927361463029e+02
5.900000000000000000e+02 2.347266081411613925e+02
6.000000000000000000e+02 2.347132498791792727e+02
6.100000000000000000e+02 2.347254491529304801e+02
6.200000000000000000e+02 2.346713104773699001e+02
6.300000000000000000e+02 2.346200554615097928e+02
6.400000000000000000e+02 2.345751789849104796e+02
6.500000000000000000e+02 2.346674053006716463e+02
6.600000000000000000e+02 2.346631481240625590e+02
6.700000000000000000e+02 2.350026090404750505e+02
6.800000000000000000e+02 2.349216986381244112e+02
6.900000000000000000e+02 2.349822240716950432e+02
7.000000000000000000e+02 2.349556593320166655e+02
7.100000000000000000e+02 2.349985866385533768e+02
7.200000000000000000e+02 2.349619626417463962e+02
7.300000000000000000e+02 2.349875767661330883e+02
7.400000000000000000e+02 2.349651265270788656e+02
7.500000000000000000e+02 2.349905808652244446e+02
7.600000000000000000e+02 2.349755755502665124e+02
7.700000000000000000e+02 2.350174199117167007e+02
7.800000000000000000e+02 2.349817501439177363e+02
7.900000000000000000e+02 2.350128832382680457e+02
8.000000000000000000e+02 2.349807137762626610e+02
8.100000000000000000e+02 2.350218984591498383e+02
8.200000000000000000e+02 2.349720231973550995e+02
8.300000000000000000e+02 2.350302269820615777e+02
8.400000000000000000e+02 2.349640985386987495e+02
8.500000000000000000e+02 2.350352322812181285e+02
8.600000000000000000e+02 2.349603573815491302e+02
8.700000000000000000e+02 2.350381583553424321e+02
8.800000000000000000e+02 2.349572595371686816e+02
8.900000000000000000e+02 2.350418616885644383e+02
9.000000000000000000e+02 2.349530283538284721e+02
9.100000000000000000e+02 2.350470442378312441e+02
9.200000000000000000e+02 2.349478646287815593e+02
9.300000000000000000e+02 2.350532286204077081e+02
9.400000000000000000e+02 2.349418937069733602e+02
9.500000000000000000e+02 2.350598639689320350e+02
9.600000000000000000e+02 2.349354125531700106e+02
9.700000000000000000e+02 2.350666572140174821e+02
9.800000000000000000e+02 2.349280430560547757e+02
9.900000000000000000e+02 2.350729968934138014e+02
1.000000000000000000e+03 2.349201878061420246e+02
