# z, u, v, w, u_mag
0.000000000000000000e+00 2.647109729175160631e+00 2.725051033008831336e+00 -3.220838109236229610e-03 3.799092447492482094e+00
1.000000000000000000e+01 3.222188033328664769e+00 3.282945442091492527e+00 3.089465838394157057e-03 4.600025656740940327e+00
2.000000000000000000e+01 3.535703507309807758e+00 3.535299713261504717e+00 -2.844993620834854100e-03 4.999955144616645697e+00
3.000000000000000000e+01 3.675861226972963358e+00 3.631340228347485155e+00 2.531555423433255042e-03 5.167068223156222828e+00
4.000000000000000000e+01 3.783888850200887610e+00 3.700025455431371846e+00 -2.228917788769265145e-03 5.292259268931298166e+00
5.000000000000000000e+01 3.869671949278855827e+00 3.748997776506415303e+00 1.999234435698398274e-03 5.387889133995241053e+00
6.000000000000000000e+01 3.945842604265854092e+00 3.788753411841442098e+00 -1.787659489437561046e-03 5.470313470826526192e+00
7.000000000000000000e+01 4.016971441799654485e+00 3.821264427865433966e+00 1.602816020611406208e-03 5.544197323411472311e+00
8.000000000000000000e+01 4.081223595335724319e+00 3.849039272808521872e+00 -1.431718547359546803e-03 5.609945758076936073e+00
9.000000000000000000e+01 4.144090578155321225e+00 3.873943029774465696e+00 1.273173440321214876e-03 5.672823189459061055e+00
1.000000000000000000e+02 4.202287168756871694e+00 3.894476597230161374e+00 -1.131060708338874673e-03 5.729412421389333154e+00
1.100000000000000000e+02 4.259213104957406237e+00 3.911135151680186439e+00 9.974601844501881226e-04 5.782549216658352087e+00
1.200000000000000000e+02 4.313241980398104580e+00 3.926617077270084355e+00 -8.796474703097547938e-04 5.832870547745534928e+00
1.300000000000000000e+02 4.365365067806132870e+00 3.938479191204096619e+00 7.680345570652623126e-04 5.879458402323023414e+00
1.400000000000000000e+02 4.413192313217714435e+00 3.949049117907750706e+00 -6.685969986076527663e-04 5.922098933327089476e+00
1.500000000000000000e+02 4.460914038866008902e+00 3.957909433113775410e+00 5.736657340122026938e-04 5.963623183264954442e+00
1.600000000000000000e+02 4.507081329365447253e+00 3.964244892125243780e+00 -4.869821997337840441e-04 6.002417838788578486e+00
1.700000000000000000e+02 4.550355095618069612e+00 3.969092712960169855e+00 3.970450780330146245e-04 6.038164341746226960e+00
1.800000000000000000e+02 4.591867527124439796e+00 3.972131673305869359e+00 -3.131187463979216387e-04 6.071497139485693140e+00
1.900000000000000000e+02 4.632387016375545841e+00 3.974259445419427550e+00 2.285559779130863338e-04 6.103584820515571607e+00
2.000000000000000000e+02 4.672779164732697943e+00 3.975476746105269132e+00 -1.470895382613792216e-04 6.135086022446554210e+00
2.100000000000000000e+02 4.710264445328596672e+00 3.975817960998755396e+00 6.112131885450229011e-05 6.163904574834268679e+00
2.200000000000000000e+02 4.746989430534267917e+00 3.974789599185997613e+00 2.128176660044490243e-05 6.191353730150955137e+00
2.300000000000000000e+02 4.780694298108338458e+00 3.972236095573884906e+00 -1.087428235762532528e-04 6.215601144118776844e+00
2.400000000000000000e+02 4.814898614092813389e+00 3.968743251806416072e+00 1.925222028263338372e-04 6.239725290412764913e+00
2.500000000000000000e+02 4.847735201752826129e+00 3.965128371507942617e+00 -2.794888679902002683e-04 6.262809247212050678e+00
2.600000000000000000e+02 4.879303519977482573e+00 3.961126005811012707e+00 3.641927093954254306e-04 6.284753153992071795e+00
2.700000000000000000e+02 4.907897648887980857e+00 3.956439943472959353e+00 -4.546503096329450083e-04 6.304036529476601203e+00
2.800000000000000000e+02 4.935277811261929770e+00 3.952601528774106310e+00 5.427430047684707109e-04 6.322976056745092777e+00
2.900000000000000000e+02 4.962151282858643597e+00 3.946921060251646463e+00 -6.353817603353072684e-04 6.340436232117127702e+00
3.000000000000000000e+02 4.987904497967582174e+00 3.942023917393540522e+00 7.300320774980137905e-04 6.357573780861279999e+00
3.100000000000000000e+02 5.011883945817459107e+00 3.937073996231621908e+00 -8.305979273684125069e-04 6.373345512996994700e+00
