# Xi, RijLong, Xi, RijLat
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.414213562373095101e+01 9.259035061835386715e-01 1.414213562373095101e+01 5.588231267520586965e-01
2.828427124746190202e+01 7.562257777550575044e-01 2.828427124746190202e+01 3.836856722550421178e-02
4.242640687119285303e+01 5.824223854012998691e-01 4.242640687119285303e+01 -7.535313461900007559e-02
5.656854249492380404e+01 4.497678830937069661e-01 5.656854249492380404e+01 -5.519902882899424545e-02
7.071067811865475505e+01 3.579057466249730424e-01 7.071067811865475505e+01 -3.357302325118580871e-02
8.485281374238570606e+01 2.936596843223130970e-01 8.485281374238570606e+01 -2.067024094926727881e-02
9.899494936611665707e+01 2.471244028507844914e-01 9.899494936611665707e+01 -2.274607548652515104e-02
1.131370849898476081e+02 2.127324208275579442e-01 1.131370849898476081e+02 -2.940100357830865638e-02
1.272792206135785591e+02 1.864471197991161289e-01 1.272792206135785591e+02 -2.646896250298437850e-02
1.414213562373095101e+02 1.655410003902984539e-01 1.414213562373095101e+02 -2.295998069942561601e-02
1.555634918610404611e+02 1.494514871116549293e-01 1.555634918610404611e+02 -2.559697230983080246e-02
1.697056274847714121e+02 1.380165106971585343e-01 1.697056274847714121e+02 -1.442728858136655898e-02
1.838477631085023631e+02 1.292181672800368220e-01 1.838477631085023631e+02 -8.056191604777232507e-03
1.979898987322333141e+02 1.205679215243435770e-01 1.979898987322333141e+02 -1.589092806718097467e-02
2.121320343559642652e+02 1.112301520063408711e-01 2.121320343559642652e+02 -1.663758495862318817e-02
2.262741699796952162e+02 1.015969893504841681e-01 2.262741699796952162e+02 -2.355000531828566404e-02
2.404163056034261672e+02 9.220732913145865406e-02 2.404163056034261672e+02 -2.201117258439520136e-02
2.545584412271571182e+02 8.369632200338815442e-02 2.545584412271571182e+02 -1.770485406247009411e-02
2.687005768508880692e+02 7.674913963359866753e-02 2.687005768508880692e+02 -1.532722260518749012e-02
2.828427124746190202e+02 7.150874429533568555e-02 2.828427124746190202e+02 -1.990668437534284102e-02
