# z, Alpha
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 8.189698292371568045e-02
2.000000000000000000e+01 6.377746636418327175e-02
3.000000000000000000e+01 6.711721872897544183e-02
4.000000000000000000e+01 6.423997261222043342e-02
5.000000000000000000e+01 6.850607042423036142e-02
6.000000000000000000e+01 7.065753827138229748e-02
7.000000000000000000e+01 7.240636698512797897e-02
8.000000000000000000e+01 7.598891781419689351e-02
9.000000000000000000e+01 7.674844348867607136e-02
1.000000000000000000e+02 8.049472697036216817e-02
1.100000000000000000e+02 8.258737508229237190e-02
1.200000000000000000e+02 8.432799041204627755e-02
1.300000000000000000e+02 8.618791173164096209e-02
1.400000000000000000e+02 8.819552849017038565e-02
1.500000000000000000e+02 8.688492688036553169e-02
1.600000000000000000e+02 8.840781678409127819e-02
1.700000000000000000e+02 9.036240723266412977e-02
1.800000000000000000e+02 9.110523604820229548e-02
1.900000000000000000e+02 9.044182315459114996e-02
2.000000000000000000e+02 9.094976120001538322e-02
2.100000000000000000e+02 9.030282429478006523e-02
2.200000000000000000e+02 9.157053680633532589e-02
2.300000000000000000e+02 8.886761508080234795e-02
2.400000000000000000e+02 9.081454608656261418e-02
2.500000000000000000e+02 8.942437402440667205e-02
2.600000000000000000e+02 9.231497454791159907e-02
2.700000000000000000e+02 9.146057300324229866e-02
2.800000000000000000e+02 9.125940078126854038e-02
2.900000000000000000e+02 9.069468414530167111e-02
3.000000000000000000e+02 9.201063665433099892e-02
3.100000000000000000e+02 9.050919437182809724e-02
3.200000000000000000e+02 9.024036385863674903e-02
3.300000000000000000e+02 9.078985169763761909e-02
3.400000000000000000e+02 8.934908506842854925e-02
3.500000000000000000e+02 9.228919957629014292e-02
3.600000000000000000e+02 9.091327839598162264e-02
3.700000000000000000e+02 8.975449793649549479e-02
3.800000000000000000e+02 8.759826253172151023e-02
3.900000000000000000e+02 8.618035437082594008e-02
4.000000000000000000e+02 8.442325403902446734e-02
4.100000000000000000e+02 8.470057145310308511e-02
4.200000000000000000e+02 7.989299983128855809e-02
4.300000000000000000e+02 8.246307971473068599e-02
4.400000000000000000e+02 8.106004235212715958e-02
4.500000000000000000e+02 8.113083741626163359e-02
4.600000000000000000e+02 8.234776147290634452e-02
4.700000000000000000e+02 8.188622218916447038e-02
4.800000000000000000e+02 7.942490644692200286e-02
4.900000000000000000e+02 8.241829618117796352e-02
5.000000000000000000e+02 8.044151733880314237e-02
5.100000000000000000e+02 8.223049059426650043e-02
5.200000000000000000e+02 8.007863867965558935e-02
5.300000000000000000e+02 8.587209966207628997e-02
5.400000000000000000e+02 8.135063887730550891e-02
5.500000000000000000e+02 9.036826049360571766e-02
5.600000000000000000e+02 8.706908732995355393e-02
5.700000000000000000e+02 9.917441130470783239e-02
5.800000000000000000e+02 1.015780449494034093e-01
5.900000000000000000e+02 1.212574882276437477e-01
6.000000000000000000e+02 1.439779120313668670e-01
6.100000000000000000e+02 1.951213407179814840e-01
6.200000000000000000e+02 3.204740625443277535e-01
6.300000000000000000e+02 5.390198283576926874e-01
6.400000000000000000e+02 8.566198338568264958e-01
6.500000000000000000e+02 5.260334532343050595e-01
6.600000000000000000e+02 1.392669457861398785e-01
6.700000000000000000e+02 -1.791874730276580771e-02
6.800000000000000000e+02 9.295842882587269929e-02
6.900000000000000000e+02 -1.407637678158696164e-02
7.000000000000000000e+02 7.733444167687228421e-02
7.100000000000000000e+02 -6.878026931501601826e-02
7.200000000000000000e+02 1.685777448793069483e-02
7.300000000000000000e+02 -1.040701192501055673e-02
7.400000000000000000e+02 7.707526929355239254e-02
7.500000000000000000e+02 5.804479234210239286e-02
7.600000000000000000e+02 6.323282615858122346e-02
7.700000000000000000e+02 -1.173040439459697125e-02
7.800000000000000000e+02 3.455902283650125195e-02
7.900000000000000000e+02 -4.712660921277464499e-02
8.000000000000000000e+02 5.926366076078674883e-02
8.100000000000000000e+02 -7.526317041741273361e-02
8.200000000000000000e+02 8.184379022567278561e-02
8.300000000000000000e+02 -9.466339042659570324e-02
8.400000000000000000e+02 1.025229747476458092e-01
8.500000000000000000e+02 -1.131363752613545742e-01
8.600000000000000000e+02 1.214490533763769725e-01
8.700000000000000000e+02 -1.293357680885675320e-01
8.800000000000000000e+02 1.364903985255077057e-01
8.900000000000000000e+02 -1.409298309325624221e-01
9.000000000000000000e+02 1.478393896859644951e-01
9.100000000000000000e+02 -1.498817748280091289e-01
9.200000000000000000e+02 1.599584227804455028e-01
9.300000000000000000e+02 -1.627934400291490002e-01
9.400000000000000000e+02 1.745850356562637928e-01
9.500000000000000000e+02 -1.795430491049634369e-01
9.600000000000000000e+02 1.900670238598224926e-01
9.700000000000000000e+02 -1.971104446037968971e-01
9.800000000000000000e+02 2.118824000524282825e-01
9.900000000000000000e+02 -2.122508927284194047e-01
1.000000000000000000e+03 -2.148554802052838886e-01
