# z, TI
0.000000000000000000e+00 8.468986887406670938e-02
1.000000000000000000e+01 7.249637846976936251e-02
2.000000000000000000e+01 6.445842508334585774e-02
3.000000000000000000e+01 5.785489603513358642e-02
4.000000000000000000e+01 5.345647519936980868e-02
5.000000000000000000e+01 5.014410053152777019e-02
6.000000000000000000e+01 4.772419115603111078e-02
7.000000000000000000e+01 4.573273848022474386e-02
8.000000000000000000e+01 4.413367259805350135e-02
9.000000000000000000e+01 4.277436747951833540e-02
1.000000000000000000e+02 4.157697921707027150e-02
1.100000000000000000e+02 4.053189684981854668e-02
1.200000000000000000e+02 3.958948119770921981e-02
1.300000000000000000e+02 3.872620845710805781e-02
1.400000000000000000e+02 3.792890373407623722e-02
1.500000000000000000e+02 3.717631085517712070e-02
1.600000000000000000e+02 3.646037421518567856e-02
1.700000000000000000e+02 3.577418258750893892e-02
1.800000000000000000e+02 3.511558390581236838e-02
1.900000000000000000e+02 3.449517835915236891e-02
2.000000000000000000e+02 3.389988436737195049e-02
2.100000000000000000e+02 3.331217887132498917e-02
2.200000000000000000e+02 3.274332645534346053e-02
2.300000000000000000e+02 3.217129384511344115e-02
2.400000000000000000e+02 3.160841124765689097e-02
2.500000000000000000e+02 3.103231067001847865e-02
2.600000000000000000e+02 3.046819631782968218e-02
2.700000000000000000e+02 2.991786234345466741e-02
2.800000000000000000e+02 2.938055254708907965e-02
2.900000000000000000e+02 2.883313016718021607e-02
3.000000000000000000e+02 2.832541918589906102e-02
3.100000000000000000e+02 2.783105498137699099e-02
3.200000000000000000e+02 2.733775247177905668e-02
3.300000000000000000e+02 2.683509337211724410e-02
3.400000000000000000e+02 2.633890453755391436e-02
3.500000000000000000e+02 2.584598717829661094e-02
3.600000000000000000e+02 2.534725630781819311e-02
3.700000000000000000e+02 2.486737753362602832e-02
3.800000000000000000e+02 2.438961350730716252e-02
3.900000000000000000e+02 2.391837229598999665e-02
4.000000000000000000e+02 2.345881896898175875e-02
4.100000000000000000e+02 2.299452963868984720e-02
4.200000000000000000e+02 2.253583673379679422e-02
4.300000000000000000e+02 2.206805835032070451e-02
4.400000000000000000e+02 2.161677232178255831e-02
4.500000000000000000e+02 2.116182070217638087e-02
4.600000000000000000e+02 2.070331595055466961e-02
4.700000000000000000e+02 2.025640442961226806e-02
4.800000000000000000e+02 1.981525593881698633e-02
4.900000000000000000e+02 1.938711400560388931e-02
5.000000000000000000e+02 1.896493392864584057e-02
5.100000000000000000e+02 1.851534107764287243e-02
5.200000000000000000e+02 1.806613553938565472e-02
5.300000000000000000e+02 1.760949958241887423e-02
5.400000000000000000e+02 1.717057867894416015e-02
5.500000000000000000e+02 1.671210001440646270e-02
5.600000000000000000e+02 1.626748821364946626e-02
5.700000000000000000e+02 1.583836434422315406e-02
5.800000000000000000e+02 1.544864458621608705e-02
5.900000000000000000e+02 1.504604521261435242e-02
6.000000000000000000e+02 1.465616558853085130e-02
6.100000000000000000e+02 1.432228284570089168e-02
6.200000000000000000e+02 1.408603182156835040e-02
6.300000000000000000e+02 1.405004626424923887e-02
6.400000000000000000e+02 1.431624730353145587e-02
6.500000000000000000e+02 1.495902394226676299e-02
6.600000000000000000e+02 1.560295716180199257e-02
6.700000000000000000e+02 1.506139852658888029e-02
6.800000000000000000e+02 1.318929756731597805e-02
6.900000000000000000e+02 1.098022687939864683e-02
7.000000000000000000e+02 9.349188679605475658e-03
7.100000000000000000e+02 8.532495678899128938e-03
7.200000000000000000e+02 8.299038342820530545e-03
7.300000000000000000e+02 8.241628472255879342e-03
7.400000000000000000e+02 8.100554347396227498e-03
7.500000000000000000e+02 7.810732282437015533e-03
7.600000000000000000e+02 7.412814690706852165e-03
7.700000000000000000e+02 6.966862608607697106e-03
7.800000000000000000e+02 6.525427340904439537e-03
7.900000000000000000e+02 6.111357610785480773e-03
8.000000000000000000e+02 5.734365963258809470e-03
8.100000000000000000e+02 5.384922104236191179e-03
8.200000000000000000e+02 5.060878717174485154e-03
8.300000000000000000e+02 4.754799795328664563e-03
8.400000000000000000e+02 4.474627550311643595e-03
8.500000000000000000e+02 4.218041027108944060e-03
8.600000000000000000e+02 3.992992012081919562e-03
8.700000000000000000e+02 3.790810545491783614e-03
8.800000000000000000e+02 3.615267731144010486e-03
8.900000000000000000e+02 3.455252105961548366e-03
9.000000000000000000e+02 3.316148240827283995e-03
9.100000000000000000e+02 3.190378313017905657e-03
9.200000000000000000e+02 3.081166730113963845e-03
9.300000000000000000e+02 2.988764416182410674e-03
9.400000000000000000e+02 2.907551635899455460e-03
9.500000000000000000e+02 2.837447155484365286e-03
9.600000000000000000e+02 2.793563235751259435e-03
9.700000000000000000e+02 2.738474713497036916e-03
9.800000000000000000e+02 2.727017980788434392e-03
9.900000000000000000e+02 2.694312910381260317e-03
1.000000000000000000e+03 2.707306148655988596e-03
