# z, uu, uv, uw, vv, vw, ww, tke
0.000000000000000000e+00 1.219307586294905654e+00 7.682166214494979828e-01 -6.999716496948069078e-02 1.181414543256791072e+00 -6.742719724350090815e-02 8.281256603730019483e-02 1.241767347794498377e+00
1.000000000000000000e+01 1.470866825695095859e+00 9.484110535187147972e-01 -1.076522641169228994e-01 1.416400161151529780e+00 -1.022393505856275253e-01 8.680949343371949234e-02 1.487038240140172496e+00
2.000000000000000000e+01 1.346349519631424130e+00 7.761327331823135722e-01 -1.676662874873487974e-01 1.273301239706873700e+00 -1.554355242539841586e-01 1.848045772609226423e-01 1.402227668299610430e+00
3.000000000000000000e+01 1.127044417228872497e+00 5.936385511926771663e-01 -1.715986718638662090e-01 1.062706343971368428e+00 -1.556893270332673496e-01 2.359113589616250450e-01 1.212831060080932888e+00
4.000000000000000000e+01 9.910101331594922680e-01 4.851433968258413998e-01 -1.764796515372889507e-01 9.234161094567995276e-01 -1.564973091948147488e-01 2.580231601796513230e-01 1.086224701397971559e+00
5.000000000000000000e+01 8.885700445002008285e-01 4.043358609401445647e-01 -1.754673801028983349e-01 8.165410069494302148e-01 -1.518847543538003608e-01 2.711486648079504680e-01 9.881298581287907279e-01
6.000000000000000000e+01 8.197754776171192193e-01 3.510759363356907858e-01 -1.746088124219894733e-01 7.455240597542921455e-01 -1.480548474501184597e-01 2.756899908197925630e-01 9.204947640956019361e-01
7.000000000000000000e+01 7.664395991004580022e-01 3.105057069353245325e-01 -1.729677048707850273e-01 6.872487265501241449e-01 -1.431844996267995218e-01 2.774050762056811115e-01 8.655467009281316848e-01
8.000000000000000000e+01 7.262379123685911431e-01 2.808988492326887632e-01 -1.711410455710006551e-01 6.428519160717828251e-01 -1.389843216003422699e-01 2.769943201449958647e-01 8.230420742926848332e-01
9.000000000000000000e+01 6.934250634929013390e-01 2.580016884180578174e-01 -1.690714299512778851e-01 6.070319202041828399e-01 -1.341727763933567574e-01 2.750081490897583469e-01 7.877325663934213740e-01
1.000000000000000000e+02 6.644247570382322277e-01 2.388528546952835840e-01 -1.669716187001401009e-01 5.774396033679392026e-01 -1.300099112997417372e-01 2.726305188401944024e-01 7.572474396231829719e-01
1.100000000000000000e+02 6.405626887203483832e-01 2.235723673268965872e-01 -1.646347089908635486e-01 5.529012173309924005e-01 -1.254135014343873700e-01 2.691119039800655699e-01 7.312879050157031768e-01
1.200000000000000000e+02 6.185553771121780064e-01 2.096477600634590044e-01 -1.622861107904081945e-01 5.312603884048294756e-01 -1.214770809828040476e-01 2.663677728771893793e-01 7.080917691970983752e-01
1.300000000000000000e+02 6.003564795253013564e-01 1.978623304531864358e-01 -1.597548909814102969e-01 5.111450190433409757e-01 -1.170755129085255530e-01 2.627571764916233343e-01 6.871293375301328332e-01
