# z, Alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 1.524321794426722054e-01
5.000000000000000000e+00 1.834951232596505333e-01
7.500000000000000000e+00 1.655219603439324338e-01
1.000000000000000000e+01 1.461803304816841342e-01
1.250000000000000000e+01 1.364016796914340190e-01
1.500000000000000000e+01 1.325549000397152899e-01
1.750000000000000000e+01 1.342699093177499026e-01
2.000000000000000000e+01 1.366673313789739941e-01
2.250000000000000000e+01 1.413353986472081214e-01
2.500000000000000000e+01 1.467397789432506039e-01
2.750000000000000000e+01 1.493843551480991405e-01
3.000000000000000000e+01 1.537735329610949164e-01
3.250000000000000000e+01 1.595258011157841549e-01
3.500000000000000000e+01 1.640928320764213355e-01
3.750000000000000000e+01 1.684740495034191265e-01
4.000000000000000000e+01 1.741980437682405791e-01
4.250000000000000000e+01 1.784397467635438772e-01
4.500000000000000000e+01 1.825338636893155120e-01
4.750000000000000000e+01 1.860955221126630588e-01
5.000000000000000000e+01 1.888273283407465031e-01
5.250000000000000000e+01 1.910687640057147085e-01
5.500000000000000000e+01 1.928449820941795789e-01
5.750000000000000000e+01 1.941319807726136215e-01
6.000000000000000000e+01 1.944686907484236005e-01
6.250000000000000000e+01 1.952860570686120456e-01
6.500000000000000000e+01 1.954320342517711362e-01
6.750000000000000000e+01 1.971625270456203727e-01
7.000000000000000000e+01 2.007351360889110814e-01
7.250000000000000000e+01 2.039853457983139551e-01
7.500000000000000000e+01 2.039542704643712290e-01
7.750000000000000000e+01 2.031709847246384593e-01
8.000000000000000000e+01 2.042332186407988803e-01
8.250000000000000000e+01 2.053601324130704675e-01
8.500000000000000000e+01 2.035263417002287911e-01
8.750000000000000000e+01 2.013274880839300840e-01
9.000000000000000000e+01 1.993823707559469749e-01
9.250000000000000000e+01 2.007276459694512794e-01
9.500000000000000000e+01 2.005867201509790865e-01
9.750000000000000000e+01 2.017617854153058998e-01
1.000000000000000000e+02 2.018694223523898879e-01
1.025000000000000000e+02 2.006729517456761203e-01
1.050000000000000000e+02 1.996628087505412930e-01
1.075000000000000000e+02 2.012819348007709730e-01
1.100000000000000000e+02 2.022952844599939237e-01
1.125000000000000000e+02 2.017320710650821192e-01
1.150000000000000000e+02 1.981776595933878726e-01
1.175000000000000000e+02 1.966788019529201459e-01
1.200000000000000000e+02 1.924803661006991018e-01
1.225000000000000000e+02 1.861549286686319249e-01
1.250000000000000000e+02 1.831297489127670652e-01
1.275000000000000000e+02 1.858650396100990365e-01
1.300000000000000000e+02 1.871005648775961872e-01
1.325000000000000000e+02 1.849173098292583861e-01
1.350000000000000000e+02 1.859335973133784403e-01
1.375000000000000000e+02 1.841766571328838920e-01
1.400000000000000000e+02 1.774264790035549322e-01
1.425000000000000000e+02 1.748402135747536557e-01
1.450000000000000000e+02 1.688275190773550483e-01
1.475000000000000000e+02 1.636319470956010269e-01
1.500000000000000000e+02 1.628675179198727230e-01
1.525000000000000000e+02 1.634554324110815138e-01
1.550000000000000000e+02 1.612066209414363405e-01
1.575000000000000000e+02 1.607278034041125514e-01
1.600000000000000000e+02 1.623144448253432959e-01
1.625000000000000000e+02 1.630937668683557773e-01
1.650000000000000000e+02 1.635498945783528391e-01
1.675000000000000000e+02 1.579534258546203829e-01
1.700000000000000000e+02 1.513898375670254537e-01
1.725000000000000000e+02 1.459585099732483293e-01
1.750000000000000000e+02 1.441084791298611889e-01
1.775000000000000000e+02 1.439201610994100822e-01
1.800000000000000000e+02 1.441545671562965147e-01
1.825000000000000000e+02 1.436370251371532070e-01
1.850000000000000000e+02 1.422490602172854501e-01
1.875000000000000000e+02 1.436416669988335171e-01
1.900000000000000000e+02 1.435089763675935493e-01
1.925000000000000000e+02 1.374304387852235410e-01
1.950000000000000000e+02 1.354248402714189337e-01
1.975000000000000000e+02 1.335322153166974835e-01
2.000000000000000000e+02 1.292935655523347049e-01
2.025000000000000000e+02 1.292568884222697612e-01
2.050000000000000000e+02 1.243897214026888215e-01
2.075000000000000000e+02 1.225941166686545791e-01
2.100000000000000000e+02 1.212086537449355711e-01
2.125000000000000000e+02 1.219284749638000764e-01
2.150000000000000000e+02 1.210872801133755366e-01
2.175000000000000000e+02 1.157010268615742549e-01
2.200000000000000000e+02 1.126340607763549329e-01
2.225000000000000000e+02 1.141478907383315367e-01
2.250000000000000000e+02 1.153271399658617191e-01
2.275000000000000000e+02 1.148015225516255122e-01
2.300000000000000000e+02 1.138246267678640344e-01
2.325000000000000000e+02 1.101275554701850595e-01
2.350000000000000000e+02 1.048047346789651307e-01
2.375000000000000000e+02 1.026957345734666460e-01
2.400000000000000000e+02 1.008871742874501709e-01
2.425000000000000000e+02 1.003481271399536134e-01
2.450000000000000000e+02 9.969872899889993534e-02
2.475000000000000000e+02 9.824215106448153101e-02
2.500000000000000000e+02 9.432397227120351002e-02
2.525000000000000000e+02 9.179872957383962417e-02
2.550000000000000000e+02 9.207153478886064002e-02
2.575000000000000000e+02 9.155269119274270229e-02
2.600000000000000000e+02 9.315541525703127657e-02
2.625000000000000000e+02 9.551184886373742522e-02
2.650000000000000000e+02 9.391962143198993862e-02
2.675000000000000000e+02 9.240569260092232340e-02
2.700000000000000000e+02 9.163701314388718322e-02
2.725000000000000000e+02 9.157368541359918457e-02
2.750000000000000000e+02 8.880937252201016874e-02
2.775000000000000000e+02 8.784341956022134745e-02
2.800000000000000000e+02 8.829190816758764049e-02
2.825000000000000000e+02 8.982942077578373596e-02
2.850000000000000000e+02 8.961433361669510211e-02
2.875000000000000000e+02 8.952384364546756013e-02
2.900000000000000000e+02 8.859651849359596876e-02
2.925000000000000000e+02 8.692372939223531880e-02
2.950000000000000000e+02 8.793507042467978152e-02
2.975000000000000000e+02 8.526619576943317291e-02
3.000000000000000000e+02 7.769841779931072057e-02
3.025000000000000000e+02 7.277756783849147204e-02
3.050000000000000000e+02 7.482423210140264069e-02
3.075000000000000000e+02 7.195830024980436057e-02
3.100000000000000000e+02 6.607925854175718261e-02
3.125000000000000000e+02 6.432052748404952502e-02
3.150000000000000000e+02 6.359940970215093026e-02
3.175000000000000000e+02 6.130811626628083350e-02
3.200000000000000000e+02 5.815959849293941830e-02
3.225000000000000000e+02 5.737604563535023822e-02
3.250000000000000000e+02 5.923719475705108151e-02
3.275000000000000000e+02 5.576593135533573081e-02
3.300000000000000000e+02 5.043426206338071094e-02
3.325000000000000000e+02 4.873649370109552070e-02
3.350000000000000000e+02 4.916689180455444813e-02
