# f, Suu, Svv, Sww
0.000000000000000000e+00 5.383287087649262642e-02 5.156680940530249460e-03 3.341083040177111971e-03
3.030303030303030300e-04 2.021323449075667078e+00 1.884517351946416452e-01 9.393451846277382777e-02
6.060606060606060601e-04 1.568681855916767010e+00 1.170813386105270942e-01 8.398645800980661380e-02
9.090909090909090901e-04 1.310956786846294797e+00 1.036658030666223890e-01 7.536015415647676075e-02
1.212121212121212120e-03 1.711089601853452491e+00 1.361614553897520230e-01 1.012249186701392328e-01
1.515151515151515150e-03 1.643201654364627062e+00 8.400831532409384905e-02 9.271154723894303729e-02
1.818181818181818180e-03 1.687039158770667457e+00 1.174768060999968194e-01 1.081455968060646977e-01
2.121212121212121427e-03 1.856695977928460195e+00 1.157606394044133763e-01 9.950449247150083831e-02
2.424242424242424240e-03 1.711820260162030038e+00 1.019389208219943915e-01 9.713135118401540480e-02
2.727272727272727487e-03 1.744428717394049366e+00 8.979727537544433813e-02 9.377959163869771519e-02
3.030303030303030300e-03 1.410031673745280933e+00 1.101568758919082430e-01 9.583056281318830250e-02
3.333333333333333547e-03 1.524759440353564255e+00 1.640105096390710726e-01 8.374553691647984577e-02
3.636363636363636360e-03 2.029626995594058680e+00 1.839552619621173946e-01 9.017056496791790721e-02
3.939393939393939607e-03 1.439681336723286353e+00 1.500136739564895960e-01 8.176566193905844548e-02
4.242424242424242854e-03 1.302746729412923354e+00 1.002739160588713291e-01 8.987085058110463875e-02
4.545454545454545234e-03 1.491508217240694822e+00 1.011398431023920325e-01 9.813197968328278564e-02
4.848484848484848481e-03 1.381599258681657005e+00 8.846988998646683477e-02 9.406185597973455714e-02
5.151515151515151728e-03 1.223236707775473331e+00 1.116699576246812931e-01 7.508513568815117223e-02
5.454545454545454974e-03 1.099135941907896985e+00 9.021700700003297546e-02 6.443371112489570951e-02
5.757575757575757354e-03 1.071012081235038771e+00 9.704191428192031343e-02 7.661276142497522312e-02
6.060606060606060601e-03 1.128729089867696711e+00 1.063677434436239161e-01 8.919047683425218587e-02
6.363636363636363848e-03 1.224530895594424074e+00 1.080573466522080084e-01 6.989314965114643008e-02
6.666666666666667095e-03 1.587490678918750620e+00 1.054387610473185022e-01 7.637613239449550506e-02
6.969696969696969474e-03 1.221226438145478488e+00 1.645407212830136967e-01 7.128818316104136577e-02
7.272727272727272721e-03 1.235012693306500875e+00 1.822590130388567209e-01 8.974442014688684133e-02
7.575757575757575968e-03 1.143321339023382066e+00 1.034758199222784864e-01 7.998470084993927753e-02
7.878787878787879215e-03 1.213176968640815812e+00 1.289477450601916597e-01 6.758757749702516693e-02
8.181818181818182462e-03 1.138868456604557267e+00 1.054520966897696949e-01 8.155919312858656012e-02
8.484848484848485708e-03 1.507053823594101560e+00 9.453404067525934817e-02 7.240346691598073536e-02
8.787878787878787221e-03 1.436052140204326033e+00 1.012250242955822083e-01 7.919568572060048384e-02
9.090909090909090468e-03 1.052789774417891566e+00 9.581113111830073803e-02 7.163428300353098799e-02
9.393939393939393714e-03 1.276048077253226776e+00 9.886984009500739135e-02 7.415083956585857838e-02
9.696969696969696961e-03 1.137133565610056296e+00 1.071850780216063309e-01 6.693682913861277728e-02
1.000000000000000021e-02 1.061061861892106162e+00 1.102902925306751963e-01 6.951412120516842208e-02
1.030303030303030346e-02 1.100956372537402972e+00 1.579094441893556522e-01 6.108191730841797812e-02
1.060606060606060670e-02 1.181786718741189235e+00 1.484482234838330195e-01 6.966384781740975196e-02
1.090909090909090995e-02 1.223071473087684602e+00 1.715917368722413849e-01 7.861422666206042964e-02
1.121212121212121146e-02 1.092441470697127048e+00 1.537889503080609177e-01 6.741678606713245869e-02
1.151515151515151471e-02 1.347717295392187209e+00 1.093586414319301786e-01 6.256772904694496429e-02
1.181818181818181795e-02 9.625001101244498036e-01 1.010326086360071457e-01 6.535246622414898898e-02
1.212121212121212120e-02 1.240017211732792779e+00 8.418862703019600047e-02 7.539945947040739560e-02
1.242424242424242445e-02 1.204576959854969154e+00 1.329543269098923952e-01 7.391505027124765925e-02
1.272727272727272770e-02 1.348167285850042418e+00 9.055237340865507356e-02 6.469068955007524491e-02
1.303030303030303094e-02 1.283106256748039353e+00 1.287243266410263154e-01 6.529407369686256180e-02
1.333333333333333419e-02 1.362964843774417512e+00 1.064114709913082796e-01 6.689087893551633190e-02
1.363636363636363570e-02 1.180402063317992134e+00 1.500430223350798786e-01 7.538396147677316195e-02
1.393939393939393895e-02 1.239731962490913109e+00 1.178667113696344609e-01 7.938756749990184824e-02
1.424242424242424220e-02 1.393373932026707562e+00 1.155340233986954790e-01 7.798639553129356472e-02
1.454545454545454544e-02 1.206942155410818174e+00 1.181474702860030035e-01 8.023805103416113693e-02
1.484848484848484869e-02 1.267449844081511401e+00 1.128358073327489219e-01 7.282779961700794336e-02
1.515151515151515194e-02 1.253855651214906164e+00 1.276301494825301530e-01 7.266742957918277679e-02
1.545454545454545518e-02 1.001907858230345783e+00 1.139070132321119283e-01 6.710826094682928455e-02
1.575757575757575843e-02 1.094892648228859677e+00 1.041415428476066413e-01 7.569354825126793640e-02
1.606060606060605994e-02 1.286814986412471606e+00 1.128893377782820284e-01 8.965787700127662851e-02
1.636363636363636492e-02 1.078997544121598873e+00 1.125000443503774011e-01 5.967523725073051871e-02
1.666666666666666644e-02 1.248454538011000592e+00 1.184250723060737975e-01 7.339008654709787416e-02
1.696969696969697142e-02 1.015031241907746962e+00 1.137669821355154626e-01 6.797268406347069247e-02
1.727272727272727293e-02 1.179169728215529567e+00 1.266302885998021044e-01 7.205985800451161771e-02
1.757575757575757444e-02 1.066004662525982027e+00 1.467946721602954863e-01 6.158177243709253568e-02
1.787878787878787942e-02 1.194483999691053011e+00 1.234660351254597416e-01 5.854777911643218452e-02
1.818181818181818094e-02 9.674965289305615945e-01 1.245112523016762146e-01 6.561753557974001061e-02
1.848484848484848592e-02 1.177445675357380317e+00 1.428779243521081377e-01 7.412239349971773417e-02
1.878787878787878743e-02 1.162208612164347121e+00 1.442754240631486384e-01 7.026003477860423563e-02
1.909090909090909241e-02 9.962415227164668208e-01 1.239409596703518884e-01 6.672678701123982425e-02
1.939393939393939392e-02 1.028727769675971349e+00 1.167051686082261480e-01 7.180675459133868677e-02
1.969696969696969543e-02 1.392625535083310551e+00 1.297318981253756109e-01 8.584466731305691323e-02
2.000000000000000042e-02 1.087614969912497953e+00 1.082611365389714864e-01 7.006040573817456929e-02
2.030303030303030193e-02 1.056226220135157767e+00 1.448015036823147306e-01 7.467186072462488056e-02
2.060606060606060691e-02 1.205512419781462619e+00 1.404641522449998348e-01 7.114215615767978396e-02
2.090909090909090842e-02 1.111619023837548736e+00 1.490024809109597170e-01 7.765075393225720490e-02
2.121212121212121340e-02 1.203454201707857552e+00 1.347276859032230378e-01 7.619243366954382701e-02
2.151515151515151492e-02 1.084280463391017912e+00 1.189316251110345696e-01 6.464357801074331611e-02
2.181818181818181990e-02 1.182930602982853907e+00 1.777385356634903768e-01 6.527181117659948406e-02
2.212121212121212141e-02 9.093069100710909902e-01 1.168982809110997584e-01 5.889786940367459228e-02
2.242424242424242292e-02 8.372977253021830490e-01 1.471788880196710780e-01 6.373966046172131750e-02
2.272727272727272790e-02 9.155469957268091985e-01 1.173043972477000735e-01 6.797398928887452008e-02
2.303030303030302942e-02 9.460126790838955246e-01 1.561028341428711830e-01 6.744411855351954699e-02
2.333333333333333440e-02 8.770186322536112078e-01 1.429966595099314286e-01 6.811993197961790925e-02
2.363636363636363591e-02 8.891379185023169374e-01 1.405437303597631693e-01 7.260823397443316729e-02
2.393939393939394089e-02 9.634020059181094275e-01 1.211515990523756164e-01 6.456840927447408951e-02
2.424242424242424240e-02 1.104299012099383859e+00 1.324713041506657141e-01 7.353602814745199834e-02
2.454545454545454392e-02 9.302029884621926259e-01 1.555484070473847624e-01 4.951233584917212605e-02
2.484848484848484890e-02 9.926436403585180424e-01 1.581091769165998695e-01 6.312249846108497486e-02
2.515151515151515041e-02 8.249118904344761027e-01 1.303306994410426689e-01 5.675816730336821075e-02
2.545454545454545539e-02 9.453002701189032742e-01 1.712381665461542579e-01 7.181856807797265541e-02
2.575757575757575690e-02 8.832936728155206252e-01 1.705730374286868745e-01 7.689528897548082720e-02
2.606060606060606188e-02 8.999214173111217407e-01 1.564551179605123410e-01 6.834126386463366953e-02
2.636363636363636340e-02 9.217111303938999578e-01 1.337911577181549738e-01 6.552128285371183747e-02
2.666666666666666838e-02 8.402380170707487439e-01 1.399535156533846803e-01 5.412893401537943738e-02
2.696969696969696989e-02 9.139183943264286292e-01 1.515995799494766205e-01 6.517257284251483374e-02
2.727272727272727140e-02 8.858514331116640328e-01 1.113371997599687108e-01 6.470721346305613464e-02
2.757575757575757638e-02 1.086941671050740466e+00 1.244788576620831921e-01 6.572541925756510139e-02
2.787878787878787790e-02 9.380460094948922523e-01 1.552164822949028133e-01 6.568779019620277215e-02
2.818181818181818288e-02 1.112659601905935380e+00 1.314558642699412971e-01 6.628089836821213221e-02
2.848484848484848439e-02 8.042571295408335041e-01 1.296229570531484687e-01 6.258343548056471972e-02
2.878787878787878937e-02 8.958198466238577184e-01 1.622538304560714739e-01 6.087198615482094372e-02
2.909090909090909088e-02 9.428841764776279000e-01 1.656337330860996326e-01 7.029149822179309171e-02
2.939393939393939240e-02 8.443641162614055062e-01 1.477601592946328479e-01 6.573596414210608474e-02
2.969696969696969738e-02 1.026303337611920607e+00 1.291073354340629697e-01 6.162358388875190801e-02
2.999999999999999889e-02 7.542613012994241473e-01 1.615628691998058086e-01 4.754595792630530310e-02
3.030303030303030387e-02 7.464253128476711074e-01 1.462490240848645651e-01 6.014560145560857857e-02
3.060606060606060538e-02 7.017882129942778491e-01 1.544841213546677416e-01 5.718124294246431510e-02
3.090909090909091037e-02 8.685468086838714630e-01 1.604586679408372407e-01 6.261126493287311190e-02
3.121212121212121188e-02 7.483892139173113911e-01 1.456757801237335559e-01 6.458794813024656967e-02
3.151515151515151686e-02 7.945674839019160052e-01 1.400900179164312476e-01 7.452939515773680801e-02
3.181818181818181490e-02 7.985618086918260250e-01 1.663460247009477533e-01 7.316444030704917501e-02
3.212121212121211988e-02 7.110492452934733532e-01 1.364304554328733821e-01 5.975375611837212969e-02
3.242424242424242486e-02 7.173473572535228326e-01 1.394312590469463931e-01 5.840911106006191345e-02
3.272727272727272985e-02 6.152494667528908279e-01 1.486536694604845277e-01 4.899745343408823395e-02
3.303030303030302789e-02 6.026596750808700387e-01 1.394028329589165893e-01 5.599389021987707243e-02
3.333333333333333287e-02 7.021753205117220453e-01 1.193187082281941119e-01 7.019445843796318085e-02
3.363636363636363785e-02 7.379623624012705552e-01 1.313044461051928180e-01 6.910239823370724344e-02
3.393939393939394283e-02 8.294231373284169928e-01 1.473583540770355971e-01 6.448877529205310211e-02
3.424242424242424088e-02 7.786896834755342445e-01 1.693276833514125168e-01 6.307656084957090348e-02
3.454545454545454586e-02 7.203499863758229260e-01 1.684359435560129348e-01 7.402543474072621754e-02
3.484848484848485084e-02 6.315639530516813371e-01 1.391906599669457678e-01 5.995940850436557584e-02
3.515151515151514888e-02 6.375790773066318806e-01 1.538780969567074830e-01 6.272984225546014703e-02
3.545454545454545386e-02 6.425006827645246554e-01 1.961693810220225542e-01 6.608932662674696368e-02
3.575757575757575885e-02 7.517612666107580388e-01 1.815833199151664634e-01 7.557088939904692271e-02
3.606060606060606383e-02 6.216903272102879408e-01 1.549879310656733233e-01 6.821428805696966302e-02
3.636363636363636187e-02 5.671380651713419097e-01 1.694398599862841082e-01 5.647524685892292562e-02
3.666666666666666685e-02 6.776588329759584139e-01 1.366685370514879594e-01 7.588087470277708746e-02
3.696969696969697183e-02 6.749321583021409277e-01 1.376400812871729495e-01 6.828919214910203483e-02
3.727272727272726988e-02 6.018089042033015756e-01 1.410254190990035961e-01 5.828824231075777074e-02
