# z, TI
0.000000000000000000e+00 6.211497411865231355e-02
2.500000000000000000e+00 6.895086906301159391e-02
5.000000000000000000e+00 6.861301442725548094e-02
7.500000000000000000e+00 6.549164155739881088e-02
1.000000000000000000e+01 6.094331216502060777e-02
1.250000000000000000e+01 5.666664767161180838e-02
1.500000000000000000e+01 5.308500412110590122e-02
1.750000000000000000e+01 5.013603529708737794e-02
2.000000000000000000e+01 4.769457490253959514e-02
2.250000000000000000e+01 4.560765652130831932e-02
2.500000000000000000e+01 4.381837330291111360e-02
2.750000000000000000e+01 4.227319208622969116e-02
3.000000000000000000e+01 4.097301374294089193e-02
3.250000000000000000e+01 3.982612566639377738e-02
3.500000000000000000e+01 3.875195621150697572e-02
3.750000000000000000e+01 3.778436814712544944e-02
4.000000000000000000e+01 3.685087523847497409e-02
4.250000000000000000e+01 3.593237455790340013e-02
4.500000000000000000e+01 3.508929062815902000e-02
4.750000000000000000e+01 3.429316826279205088e-02
5.000000000000000000e+01 3.355466085364814527e-02
5.250000000000000000e+01 3.281999516311730897e-02
5.500000000000000000e+01 3.211116629066998462e-02
5.750000000000000000e+01 3.144161373882096988e-02
6.000000000000000000e+01 3.080382281671850339e-02
6.250000000000000000e+01 3.024496729950359314e-02
6.500000000000000000e+01 2.969074139141713101e-02
6.750000000000000000e+01 2.909784722501618237e-02
7.000000000000000000e+01 2.850662509548999857e-02
7.250000000000000000e+01 2.798749660619937948e-02
7.500000000000000000e+01 2.748723953830843961e-02
7.750000000000000000e+01 2.695584425171267118e-02
8.000000000000000000e+01 2.644814129229675764e-02
8.250000000000000000e+01 2.594836978893254667e-02
8.500000000000000000e+01 2.547640249572317647e-02
8.750000000000000000e+01 2.502261043938550783e-02
9.000000000000000000e+01 2.456035974718617440e-02
9.250000000000000000e+01 2.409347835651684533e-02
9.500000000000000000e+01 2.367589122506514460e-02
9.750000000000000000e+01 2.329502128321548141e-02
1.000000000000000000e+02 2.290595989605394983e-02
1.025000000000000000e+02 2.250652286620381803e-02
1.050000000000000000e+02 2.210524861095248053e-02
1.075000000000000000e+02 2.170942327906858968e-02
1.100000000000000000e+02 2.132564481039582113e-02
1.125000000000000000e+02 2.095084933902935723e-02
1.150000000000000000e+02 2.058898433614704190e-02
1.175000000000000000e+02 2.025627392857576314e-02
1.200000000000000000e+02 1.993607466204436532e-02
1.225000000000000000e+02 1.962714491319094562e-02
1.250000000000000000e+02 1.934508521497274244e-02
1.275000000000000000e+02 1.903790688403581011e-02
1.300000000000000000e+02 1.872009367197147514e-02
1.325000000000000000e+02 1.841186095178149948e-02
1.350000000000000000e+02 1.809784121408087795e-02
1.375000000000000000e+02 1.776337766469159724e-02
1.400000000000000000e+02 1.741770148098320883e-02
1.425000000000000000e+02 1.708890999081144613e-02
1.450000000000000000e+02 1.677821507377157476e-02
1.475000000000000000e+02 1.649368887789308749e-02
1.500000000000000000e+02 1.624377116296170029e-02
1.525000000000000000e+02 1.600710345885652044e-02
1.550000000000000000e+02 1.576189273727962581e-02
1.575000000000000000e+02 1.552929216193490482e-02
1.600000000000000000e+02 1.531280085031203053e-02
1.625000000000000000e+02 1.511386475390106773e-02
1.650000000000000000e+02 1.491936712430861657e-02
1.675000000000000000e+02 1.468669938808048192e-02
1.700000000000000000e+02 1.445191128472228352e-02
1.725000000000000000e+02 1.424260453581677882e-02
1.750000000000000000e+02 1.404726391375349208e-02
1.775000000000000000e+02 1.384355732200130348e-02
1.800000000000000000e+02 1.363480848658107231e-02
1.825000000000000000e+02 1.343814446475885896e-02
1.850000000000000000e+02 1.325962487597436186e-02
1.875000000000000000e+02 1.306439780037824995e-02
1.900000000000000000e+02 1.287000963880919127e-02
1.925000000000000000e+02 1.268292855812543779e-02
1.950000000000000000e+02 1.248756372223904648e-02
1.975000000000000000e+02 1.226868686902356405e-02
2.000000000000000000e+02 1.206379528468009069e-02
2.025000000000000000e+02 1.188396676657313758e-02
2.050000000000000000e+02 1.169129692795622261e-02
2.075000000000000000e+02 1.151235845328035107e-02
2.100000000000000000e+02 1.133421380686862844e-02
2.125000000000000000e+02 1.114927892502889754e-02
2.150000000000000000e+02 1.099501244694765616e-02
2.175000000000000000e+02 1.084121795011219747e-02
2.200000000000000000e+02 1.066562221809822832e-02
2.225000000000000000e+02 1.047694914395633572e-02
2.250000000000000000e+02 1.027717309967859580e-02
2.275000000000000000e+02 1.008105437454628710e-02
2.300000000000000000e+02 9.897973639620872774e-03
