# z, veer
0.000000000000000000e+00 2.232389583730535207e+02
2.500000000000000000e+00 2.234339162412041446e+02
5.000000000000000000e+00 2.236703606964732103e+02
7.500000000000000000e+00 2.239249089807557027e+02
1.000000000000000000e+01 2.241727878476424394e+02
1.250000000000000000e+01 2.244079965594818589e+02
1.500000000000000000e+01 2.246255352275102553e+02
1.750000000000000000e+01 2.248207731094323947e+02
2.000000000000000000e+01 2.250032803417851142e+02
2.250000000000000000e+01 2.251769333875298571e+02
2.500000000000000000e+01 2.253498693351971554e+02
2.750000000000000000e+01 2.255298689143845365e+02
3.000000000000000000e+01 2.257064897590005614e+02
3.250000000000000000e+01 2.258873753604363230e+02
3.500000000000000000e+01 2.260756936409983950e+02
3.750000000000000000e+01 2.262658645690161450e+02
4.000000000000000000e+01 2.264598822314186179e+02
4.250000000000000000e+01 2.266608036042732977e+02
4.500000000000000000e+01 2.268672272864797606e+02
4.750000000000000000e+01 2.270765104286847702e+02
5.000000000000000000e+01 2.272861234290954826e+02
5.250000000000000000e+01 2.274968442092850580e+02
5.500000000000000000e+01 2.277105429348200971e+02
5.750000000000000000e+01 2.279280206039162806e+02
6.000000000000000000e+01 2.281476359568559644e+02
6.250000000000000000e+01 2.283671075270019628e+02
6.500000000000000000e+01 2.285880470021610051e+02
6.750000000000000000e+01 2.288106414140362403e+02
7.000000000000000000e+01 2.290344893669047792e+02
7.250000000000000000e+01 2.292591788780271713e+02
7.500000000000000000e+01 2.294846528472382943e+02
7.750000000000000000e+01 2.297082263571664384e+02
8.000000000000000000e+01 2.299282887634047938e+02
8.250000000000000000e+01 2.301455647148951016e+02
8.500000000000000000e+01 2.303624981937082623e+02
8.750000000000000000e+01 2.305806120914569135e+02
9.000000000000000000e+01 2.307962722700350184e+02
9.250000000000000000e+01 2.310074412260836425e+02
9.500000000000000000e+01 2.312163292143904982e+02
9.750000000000000000e+01 2.314219981410356013e+02
1.000000000000000000e+02 2.316260130867592579e+02
1.025000000000000000e+02 2.318318522830914503e+02
1.050000000000000000e+02 2.320371814920985685e+02
1.075000000000000000e+02 2.322407603844533526e+02
1.100000000000000000e+02 2.324405174596963093e+02
1.125000000000000000e+02 2.326354153352526453e+02
1.150000000000000000e+02 2.328259953611859316e+02
1.175000000000000000e+02 2.330156907565501285e+02
1.200000000000000000e+02 2.332058271413458783e+02
1.225000000000000000e+02 2.333934708046096489e+02
1.250000000000000000e+02 2.335787197672072750e+02
1.275000000000000000e+02 2.337611786559658071e+02
1.300000000000000000e+02 2.339397124645335566e+02
1.325000000000000000e+02 2.341165305522874860e+02
1.350000000000000000e+02 2.342925799649712815e+02
1.375000000000000000e+02 2.344634552410993820e+02
1.400000000000000000e+02 2.346297932476820733e+02
1.425000000000000000e+02 2.347913737036519706e+02
1.450000000000000000e+02 2.349466687148700714e+02
1.475000000000000000e+02 2.350958585368756530e+02
1.500000000000000000e+02 2.352418948020774110e+02
1.525000000000000000e+02 2.353897072191830659e+02
1.550000000000000000e+02 2.355372788714537649e+02
1.575000000000000000e+02 2.356848886395279692e+02
1.600000000000000000e+02 2.358283591952869358e+02
1.625000000000000000e+02 2.359688349659272717e+02
1.650000000000000000e+02 2.361095458039347363e+02
1.675000000000000000e+02 2.362513412912913680e+02
1.700000000000000000e+02 2.363935142114680161e+02
1.725000000000000000e+02 2.365332165634841033e+02
1.750000000000000000e+02 2.366703511858804347e+02
1.775000000000000000e+02 2.368028775073867109e+02
1.800000000000000000e+02 2.369298571652947771e+02
1.825000000000000000e+02 2.370516180726627056e+02
1.850000000000000000e+02 2.371701051504317093e+02
1.875000000000000000e+02 2.372875120320770748e+02
1.900000000000000000e+02 2.374040768679179507e+02
1.925000000000000000e+02 2.375201485570210878e+02
1.950000000000000000e+02 2.376361892891740411e+02
1.975000000000000000e+02 2.377511736775296640e+02
2.000000000000000000e+02 2.378650121005520077e+02
2.025000000000000000e+02 2.379776780398868539e+02
2.050000000000000000e+02 2.380885710787362655e+02
2.075000000000000000e+02 2.381976203933051011e+02
2.100000000000000000e+02 2.383041226765483884e+02
2.125000000000000000e+02 2.384087270957127771e+02
2.150000000000000000e+02 2.385111955047615311e+02
2.175000000000000000e+02 2.386112400820571224e+02
2.200000000000000000e+02 2.387082940795015134e+02
2.225000000000000000e+02 2.388010178374449026e+02
2.250000000000000000e+02 2.388899245840282788e+02
2.275000000000000000e+02 2.389751896844526300e+02
2.300000000000000000e+02 2.390587412436409522e+02
2.325000000000000000e+02 2.391413858372072809e+02
2.350000000000000000e+02 2.392235131703023683e+02
2.375000000000000000e+02 2.393059978348375694e+02
2.400000000000000000e+02 2.393890402659529855e+02
2.425000000000000000e+02 2.394713319938849168e+02
2.450000000000000000e+02 2.395526998427885701e+02
2.475000000000000000e+02 2.396325810693393805e+02
2.500000000000000000e+02 2.397093389762505922e+02
2.525000000000000000e+02 2.397826672563436432e+02
2.550000000000000000e+02 2.398522955660637876e+02
2.575000000000000000e+02 2.399198503186542837e+02
2.600000000000000000e+02 2.399861247579232781e+02
2.625000000000000000e+02 2.400511208327284010e+02
2.650000000000000000e+02 2.401151233665553661e+02
2.675000000000000000e+02 2.401774849226403319e+02
2.700000000000000000e+02 2.402379310776422869e+02
2.725000000000000000e+02 2.402976701199825413e+02
2.750000000000000000e+02 2.403569198309641024e+02
2.775000000000000000e+02 2.404159752402863148e+02
2.800000000000000000e+02 2.404739279206265792e+02
2.825000000000000000e+02 2.405297944805589339e+02
2.850000000000000000e+02 2.405855489082533722e+02
2.875000000000000000e+02 2.406405741178527364e+02
2.900000000000000000e+02 2.406940772568963496e+02
2.925000000000000000e+02 2.407469175970989852e+02
2.950000000000000000e+02 2.407993035145594263e+02
2.975000000000000000e+02 2.408503558530528892e+02
3.000000000000000000e+02 2.408991174705819276e+02
3.025000000000000000e+02 2.409456406466092915e+02
3.050000000000000000e+02 2.409906928141454330e+02
3.075000000000000000e+02 2.410339230196855169e+02
3.100000000000000000e+02 2.410758655228754606e+02
3.125000000000000000e+02 2.411161371587378994e+02
3.150000000000000000e+02 2.411545035273822464e+02
3.175000000000000000e+02 2.411909004680165651e+02
3.200000000000000000e+02 2.412257948962536886e+02
3.225000000000000000e+02 2.412586730354400117e+02
3.250000000000000000e+02 2.412894864472349354e+02
3.275000000000000000e+02 2.413180609713358535e+02
3.300000000000000000e+02 2.413449746051208251e+02
3.325000000000000000e+02 2.413703145949152145e+02
3.350000000000000000e+02 2.413940734747099555e+02
3.375000000000000000e+02 2.414155056183913644e+02
3.400000000000000000e+02 2.414351569092283967e+02
3.425000000000000000e+02 2.414528248710280991e+02
3.450000000000000000e+02 2.414691786266075439e+02
3.475000000000000000e+02 2.414843795027314854e+02
3.500000000000000000e+02 2.414986448047886540e+02
3.525000000000000000e+02 2.415112864662632148e+02
3.550000000000000000e+02 2.415225718580780381e+02
3.575000000000000000e+02 2.415323603866027611e+02
3.600000000000000000e+02 2.415416798076350062e+02
3.625000000000000000e+02 2.415501389814163531e+02
3.650000000000000000e+02 2.415587877722354619e+02
3.675000000000000000e+02 2.415673187503943780e+02
3.700000000000000000e+02 2.415764104200680435e+02
3.725000000000000000e+02 2.415843899304707918e+02
3.750000000000000000e+02 2.415935635482149166e+02
3.775000000000000000e+02 2.416016175720706372e+02
3.800000000000000000e+02 2.416105221191124315e+02
3.825000000000000000e+02 2.416172296203030214e+02
3.850000000000000000e+02 2.416253089413919213e+02
3.875000000000000000e+02 2.416309356561995401e+02
3.900000000000000000e+02 2.416393747818364659e+02
3.925000000000000000e+02 2.416449721192670665e+02
3.950000000000000000e+02 2.416551655706512918e+02
3.975000000000000000e+02 2.416608713457481770e+02
4.000000000000000000e+02 2.416727984121677366e+02
4.025000000000000000e+02 2.416773437032092033e+02
4.050000000000000000e+02 2.416902711750672097e+02
4.075000000000000000e+02 2.416926398374405949e+02
