# z, uu, uv, uw, vv, vw, ww, tke
0.000000000000000000e+00 4.006866432058539540e-02 3.227790773631895177e-02 -1.750476496423194377e-04 3.860202148580794967e-02 -1.158500930587072757e-04 2.513684917424385129e-04 3.946102714906789266e-02
2.500000000000000000e+00 8.384277694813806192e-02 7.033323333237707919e-02 -3.666309853294461105e-03 7.961290767287146353e-02 -3.455853841377178482e-03 9.668581766385967802e-04 8.221127139882405954e-02
5.000000000000000000e+00 1.109316486866370050e-01 8.843975436029206938e-02 -8.271050568973589007e-03 1.017354774294997460e-01 -7.708443924921390064e-03 3.567691600948741295e-03 1.081174088585427490e-01
7.500000000000000000e+00 1.211953985014505020e-01 9.065772844497058114e-02 -1.127886058147172139e-02 1.071996658486914777e-01 -1.028922592688191924e-02 6.421558833245750997e-03 1.174083115916938619e-01
1.000000000000000000e+01 1.164061900966843477e-01 8.154188246490469416e-02 -1.310365269253885648e-02 1.005279316747994256e-01 -1.161834718917502916e-02 9.455933379938512642e-03 1.131950275757111490e-01
1.250000000000000000e+01 1.071895965016577135e-01 7.051147284690348349e-02 -1.389970076876498664e-02 9.129065154401594384e-02 -1.198592599338771207e-02 1.181849233220267324e-02 1.051493701889381627e-01
1.500000000000000000e+01 9.837648324868543404e-02 6.103944181705533295e-02 -1.437910102856886779e-02 8.276060391621327395e-02 -1.202474448236933065e-02 1.362449325920542763e-02 9.738079021205206520e-02
1.750000000000000000e+01 9.122744694937086340e-02 5.351574910570302407e-02 -1.453558908956345541e-02 7.550104976864635553e-02 -1.176976265804302070e-02 1.475617196926693082e-02 9.074233434364206707e-02
2.000000000000000000e+01 8.562211647074621790e-02 4.777953553907859224e-02 -1.457221602816910835e-02 6.956374146184801655e-02 -1.146453866336233363e-02 1.541488748217241175e-02 8.530037270738331789e-02
2.250000000000000000e+01 8.105937705744756250e-02 4.322073847799447199e-02 -1.451083910241297674e-02 6.459805043531906266e-02 -1.106483382290553846e-02 1.571585040138711101e-02 8.068663894707686635e-02
2.500000000000000000e+01 7.727618369381618335e-02 3.972128822956766392e-02 -1.438756409627494834e-02 6.058520584910371404e-02 -1.068137249141384165e-02 1.581348825640235822e-02 7.683743889966113128e-02
2.750000000000000000e+01 7.436373693742381885e-02 3.708227237949001526e-02 -1.424085679775846484e-02 5.712651616604240423e-02 -1.027949026080284510e-02 1.576591870873761750e-02 7.362808590610192550e-02
3.000000000000000000e+01 7.215581779064052237e-02 3.511666940062078968e-02 -1.409379345199704078e-02 5.436665640521830267e-02 -9.886176230344326937e-03 1.559767112260353715e-02 7.106007265923118543e-02
3.250000000000000000e+01 7.026978009981996176e-02 3.350172361654043390e-02 -1.389052351556125872e-02 5.208355290535900128e-02 -9.487901475951493468e-03 1.538528808887324427e-02 6.886931054702610799e-02
3.500000000000000000e+01 6.841503895124069479e-02 3.195644018891190957e-02 -1.368544096343607061e-02 5.003530176495781662e-02 -9.093396398345226714e-03 1.517863763079835109e-02 6.681448917349842864e-02
3.750000000000000000e+01 6.686127165194569177e-02 3.054574934473865133e-02 -1.348753178851656853e-02 4.820398379409592676e-02 -8.712682308167660900e-03 1.496941829735958136e-02 6.501733687170060949e-02
4.000000000000000000e+01 6.521989044637722943e-02 2.920187984587121338e-02 -1.326638508417102291e-02 4.647410059589817538e-02 -8.341656259355291828e-03 1.478888323742878069e-02 6.324143713985208581e-02
4.250000000000000000e+01 6.340009944195333647e-02 2.791860744022752264e-02 -1.303713587658948507e-02 4.487264282159388745e-02 -7.977114524474708881e-03 1.461639513668305107e-02 6.144456870011513749e-02
4.500000000000000000e+01 6.179817983491483341e-02 2.678275085409184686e-02 -1.281256296518114290e-02 4.344180087311629718e-02 -7.630427075193165452e-03 1.442316785307137632e-02 5.983157428055125432e-02
4.750000000000000000e+01 6.036349338520109048e-02 2.563408109115485403e-02 -1.257988729619463793e-02 4.203459792305670739e-02 -7.282887388382032305e-03 1.422653614568030779e-02 5.831231372696905890e-02
5.000000000000000000e+01 5.903089016954086304e-02 2.465771027559435571e-02 -1.235714050409973501e-02 4.079084973866721475e-02 -6.955952398840759519e-03 1.403185784203707029e-02 5.692679887512257925e-02
5.250000000000000000e+01 5.762143265808780668e-02 2.368122882640268795e-02 -1.212161870143634371e-02 3.954322155496817898e-02 -6.640169982340489788e-03 1.382443123362498381e-02 5.549454272334047866e-02
