z Tu Tv Tw
0.000000000000000000e+00 1.608984041839064363e-21 -2.880239002627024259e-21 -3.535931901550116215e-03
2.500000000000000000e+00 8.170912304935352161e-07 5.231502863610299649e-06 -4.098566640878893892e-03
5.000000000000000000e+00 1.512149853499566897e-06 5.264807622058126672e-06 -3.144750066038706163e-03
7.500000000000000000e+00 2.388946704297965567e-06 3.879807752999524139e-06 -2.499987390026550942e-03
1.000000000000000000e+01 2.055509984247878960e-06 2.500721942619508270e-06 -1.936127254688613459e-03
1.250000000000000000e+01 8.928418304968197247e-07 1.485641392025622986e-06 -1.507038593487511997e-03
1.500000000000000000e+01 4.261262699391690715e-10 9.687016974012709006e-07 -1.201917625623643649e-03
1.750000000000000000e+01 -4.963206245286352480e-07 7.667460489348267123e-07 -9.887583587844701871e-04
2.000000000000000000e+01 -6.778383100027780008e-07 7.545363558755922429e-07 -8.373440646384075394e-04
2.250000000000000000e+01 -7.144560687525285123e-07 7.825867551909926448e-07 -7.260029491216482512e-04
2.500000000000000000e+01 -6.912000927053589162e-07 7.880846156764198772e-07 -6.417517085739330102e-04
2.750000000000000000e+01 -6.465544507398752574e-07 7.405209091230501487e-07 -5.754828995331874022e-04
3.000000000000000000e+01 -6.043868405946093992e-07 7.033896586876737344e-07 -5.216390433103078794e-04
3.250000000000000000e+01 -5.703888183687910129e-07 6.743942964012912939e-07 -4.769158546616418157e-04
3.500000000000000000e+01 -5.419710879959235526e-07 6.555516237276913800e-07 -4.387351211854493638e-04
3.750000000000000000e+01 -5.253808190222714242e-07 6.855905708771067890e-07 -4.049163466474863340e-04
4.000000000000000000e+01 -5.598124708622709058e-07 6.944960797678480152e-07 -3.743850315434390044e-04
4.250000000000000000e+01 -5.966604661130237290e-07 6.672653746522365650e-07 -3.467211094793394696e-04
4.500000000000000000e+01 -5.833256293320429463e-07 6.478841628510985054e-07 -3.218373120897191956e-04
4.750000000000000000e+01 -5.631544872567121095e-07 6.235442929176219090e-07 -2.992557006618671829e-04
5.000000000000000000e+01 -5.443495567493048316e-07 6.203653166939503683e-07 -2.787078316280176978e-04
5.250000000000000000e+01 -5.239908043352043690e-07 6.285730407776916928e-07 -2.601963325984910395e-04
5.500000000000000000e+01 -5.000943678780122103e-07 6.183498034864842692e-07 -2.429427262825822312e-04
5.750000000000000000e+01 -4.911164475834232664e-07 6.016752446106704989e-07 -2.266238142115879512e-04
6.000000000000000000e+01 -4.831927287318372840e-07 5.937259961901442763e-07 -2.115478392846659617e-04
6.250000000000000000e+01 -4.542899631672275426e-07 5.779286749254904808e-07 -1.981675058476940158e-04
6.500000000000000000e+01 -4.231778454642155857e-07 5.432591103199374298e-07 -1.863697364120906266e-04
6.750000000000000000e+01 -4.040344155249112672e-07 5.331360982891699560e-07 -1.756920597716921236e-04
7.000000000000000000e+01 -4.018389073982097854e-07 5.298699176941674647e-07 -1.656848842145213527e-04
7.250000000000000000e+01 -4.136022408154043371e-07 5.336965102893473155e-07 -1.561182189262077949e-04
7.500000000000000000e+01 -4.154129566566764948e-07 5.547953329205010638e-07 -1.471728289496115828e-04
