z Tu Tv Tw
0.000000000000000000e+00 9.328598959888324653e-04 1.057717539166100123e-03 8.141168198795429076e-07
2.500000000000000000e+00 2.425661861617300040e-03 2.591575458544616382e-03 -1.714422195175223536e-04
5.000000000000000000e+00 3.367491863872061359e-03 3.574928555440231789e-03 -5.978667217551116887e-04
7.500000000000000000e+00 4.004541525817689220e-03 4.179981038643353422e-03 -1.090901294169921518e-03
1.000000000000000000e+01 4.296905477255643160e-03 4.359060261766450201e-03 -1.579156642339362869e-03
1.250000000000000000e+01 4.375317767088989646e-03 4.307382239498787346e-03 -1.930370185771130729e-03
1.500000000000000000e+01 4.355699196109469144e-03 4.178781115528892344e-03 -2.159192867561436201e-03
1.750000000000000000e+01 4.300325239817436550e-03 4.010590946576610138e-03 -2.277000750654826870e-03
2.000000000000000000e+01 4.245840868852735275e-03 3.836283190854806145e-03 -2.328497969165146692e-03
2.250000000000000000e+01 4.177771080013417161e-03 3.651103405317576104e-03 -2.333220081467545816e-03
2.500000000000000000e+01 4.096893883778704622e-03 3.463867541970910239e-03 -2.312419451613592462e-03
2.750000000000000000e+01 4.022798882528957204e-03 3.276372578399286851e-03 -2.275316279102210411e-03
3.000000000000000000e+01 3.949259127164782279e-03 3.090345978078039551e-03 -2.229987147323571426e-03
3.250000000000000000e+01 3.892130788543295052e-03 2.932935723073478492e-03 -2.177839655870337197e-03
3.500000000000000000e+01 3.841391524018683903e-03 2.794876793248647715e-03 -2.124826496019307457e-03
3.750000000000000000e+01 3.800349799420018639e-03 2.658051388140631865e-03 -2.070933512185357556e-03
4.000000000000000000e+01 3.753517634881495518e-03 2.519788287691380937e-03 -2.019529552138436476e-03
4.250000000000000000e+01 3.692810743075153855e-03 2.373275748502089947e-03 -1.966958414238505030e-03
4.500000000000000000e+01 3.638267300939935448e-03 2.239537631893460945e-03 -1.912661857774606948e-03
4.750000000000000000e+01 3.584658966672532067e-03 2.114618538981358209e-03 -1.858308951721463929e-03
5.000000000000000000e+01 3.517825964764893006e-03 1.997928924491941278e-03 -1.805352625750400800e-03
5.250000000000000000e+01 3.437227082783204067e-03 1.874130084916839729e-03 -1.749484261155507528e-03
5.500000000000000000e+01 3.387486454767303992e-03 1.767272019121003245e-03 -1.696635304134402064e-03
5.750000000000000000e+01 3.358957749362821016e-03 1.680956034988992116e-03 -1.645357963034987112e-03
6.000000000000000000e+01 3.315074066777333548e-03 1.602900987178838875e-03 -1.596109327869575526e-03
6.250000000000000000e+01 3.254524002052835291e-03 1.514163987265590037e-03 -1.544340479491843098e-03
6.500000000000000000e+01 3.198055983358870022e-03 1.424121990165792872e-03 -1.492856978806552390e-03
6.750000000000000000e+01 3.128646518243613072e-03 1.313677768983620778e-03 -1.442588062773364488e-03
7.000000000000000000e+01 3.032877242528297587e-03 1.190596254742058539e-03 -1.395959844907360657e-03
7.250000000000000000e+01 2.947491786473938058e-03 1.096974708262189258e-03 -1.349552825832489806e-03
7.500000000000000000e+01 2.866818277178299554e-03 1.008546362647416575e-03 -1.304023139477368748e-03
7.750000000000000000e+01 2.782240184784211430e-03 9.281855247966063361e-04 -1.259531661700506603e-03
8.000000000000000000e+01 2.702110496738214553e-03 8.689671184188796317e-04 -1.217137158734686933e-03
8.250000000000000000e+01 2.624814008377825397e-03 8.178106556120382691e-04 -1.174960477947192307e-03
8.500000000000000000e+01 2.549299831880318633e-03 7.736341970104490106e-04 -1.134057368770791628e-03
8.750000000000000000e+01 2.467786055844283215e-03 7.206111376600347548e-04 -1.094061195859110953e-03
9.000000000000000000e+01 2.385859480567830912e-03 6.587640312824078132e-04 -1.054557973760313072e-03
9.250000000000000000e+01 2.316896519836541147e-03 6.128553200422742981e-04 -1.016355219774872382e-03
9.500000000000000000e+01 2.254594160755914178e-03 5.730782852829065417e-04 -9.789377803293031633e-04
9.750000000000000000e+01 2.198978952022082566e-03 5.264530190109667062e-04 -9.423069414481110521e-04
1.000000000000000000e+02 2.134497896906077576e-03 4.756311635359906985e-04 -9.052759249607465405e-04
1.025000000000000000e+02 2.055908062728337669e-03 4.330941409196725485e-04 -8.701457363002186151e-04
1.050000000000000000e+02 1.979366779090992005e-03 3.980980545781903786e-04 -8.345120416926461162e-04
1.075000000000000000e+02 1.906508918927613590e-03 3.662112606525283909e-04 -8.015836598360170148e-04
1.100000000000000000e+02 1.841478499481820612e-03 3.373731609504943842e-04 -7.703036313784442785e-04
