# z, u, v, w, u_mag
0.000000000000000000e+00 1.788791988310976633e+00 1.902276308396545268e+00 -1.527688051213578870e-03 2.611213178728061468e+00
2.500000000000000000e+00 2.334339703914104280e+00 2.465569840389636447e+00 1.209044442270729852e-03 3.395317062204534331e+00
5.000000000000000000e+00 2.701870963629307454e+00 2.830276252627665023e+00 -9.717842352222989463e-04 3.912872514490583153e+00
7.500000000000000000e+00 2.963459606540792990e+00 3.076811826512548809e+00 7.325911729752468578e-04 4.271868957734567651e+00
1.000000000000000000e+01 3.140981831681661340e+00 3.233013262727580717e+00 -5.872040205618949847e-04 4.507564971105272988e+00
1.250000000000000000e+01 3.269498885901513940e+00 3.337770324754071982e+00 4.690642047019768254e-04 4.672294289291008873e+00
1.500000000000000000e+01 3.371686123433363491e+00 3.416048969874749375e+00 -3.494117757578657610e-04 4.799756035635980744e+00
1.750000000000000000e+01 3.458052513208398349e+00 3.479754734325035681e+00 2.992412175874526164e-04 4.905794562016404292e+00
2.000000000000000000e+01 3.535661812170638019e+00 3.535256982519938251e+00 -2.147613195260663851e-04 4.999894641751980728e+00
2.250000000000000000e+01 3.606944224497638629e+00 3.584735741534076592e+00 1.894099547746391267e-04 5.085309922821308781e+00
2.500000000000000000e+01 3.674560458566403565e+00 3.629955811625179329e+00 -1.403278071875000679e-04 5.165169288387656543e+00
2.750000000000000000e+01 3.740033614450506860e+00 3.671490205609534208e+00 1.212055153449865088e-04 5.240962867813245829e+00
3.000000000000000000e+01 3.802278214207138962e+00 3.709647179399635064e+00 -8.713654225191334803e-05 5.312137217867651806e+00
3.250000000000000000e+01 3.862844765463285146e+00 3.745007800796908981e+00 7.913254473747260542e-05 5.380209393356244263e+00
3.500000000000000000e+01 3.922685463257463478e+00 3.778091048055100654e+00 -6.037421979437755816e-05 5.446231101843784117e+00
3.750000000000000000e+01 3.981327923147327752e+00 3.809180283491903740e+00 5.603594278520635040e-05 5.510065922193318144e+00
4.000000000000000000e+01 4.039065211279877943e+00 3.838308245238777339e+00 -4.220505950918294782e-05 5.571952796661204133e+00
4.250000000000000000e+01 4.096621397689567345e+00 3.865755371367625592e+00 3.643878643538098189e-05 5.632616751439197600e+00
4.500000000000000000e+01 4.153668133640818994e+00 3.891392665747452906e+00 -2.426503661485738858e-05 5.691739263533166060e+00
