# z, Alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 1.359015746918912915e-01
5.000000000000000000e+00 1.299083352193474150e-01
7.500000000000000000e+00 1.318751426051716635e-01
1.000000000000000000e+01 1.381238262873034361e-01
1.250000000000000000e+01 1.411699615399557850e-01
1.500000000000000000e+01 1.521893384976153174e-01
1.750000000000000000e+01 1.557022993963009527e-01
2.000000000000000000e+01 1.652769811348447360e-01
2.250000000000000000e+01 1.697703172570093899e-01
2.500000000000000000e+01 1.796803022452261311e-01
2.750000000000000000e+01 1.809034735798586424e-01
3.000000000000000000e+01 1.875567799723623086e-01
3.250000000000000000e+01 1.905377211885414257e-01
3.500000000000000000e+01 1.985589341567118027e-01
3.750000000000000000e+01 2.000790000372394406e-01
4.000000000000000000e+01 2.058320907083348306e-01
4.250000000000000000e+01 2.092213951046546505e-01
4.500000000000000000e+01 2.124948987675508438e-01
4.750000000000000000e+01 2.147383560562469429e-01
5.000000000000000000e+01 2.158323877948047087e-01
5.250000000000000000e+01 2.184873370582764984e-01
5.500000000000000000e+01 2.225668879235986330e-01
5.750000000000000000e+01 2.218729331981516839e-01
6.000000000000000000e+01 2.236322595598418672e-01
6.250000000000000000e+01 2.251505605398859133e-01
6.500000000000000000e+01 2.270992326712706344e-01
6.750000000000000000e+01 2.272489722090572928e-01
7.000000000000000000e+01 2.298932917022367128e-01
7.250000000000000000e+01 2.281601240440684353e-01
7.500000000000000000e+01 2.311418531849470381e-01
7.750000000000000000e+01 2.334094350559244579e-01
8.000000000000000000e+01 2.320002163738108802e-01
8.250000000000000000e+01 2.325470857003804348e-01
8.500000000000000000e+01 2.312020817056103517e-01
8.750000000000000000e+01 2.296889507777113149e-01
9.000000000000000000e+01 2.275783470377150119e-01
9.250000000000000000e+01 2.295782370993690868e-01
9.500000000000000000e+01 2.285285775266821529e-01
9.750000000000000000e+01 2.256022144418630415e-01
1.000000000000000000e+02 2.249025104898242089e-01
1.025000000000000000e+02 2.241467734532808787e-01
1.050000000000000000e+02 2.233251191616872078e-01
1.075000000000000000e+02 2.303932258124104793e-01
1.100000000000000000e+02 2.282681979350734969e-01
1.125000000000000000e+02 2.257217546916917839e-01
1.150000000000000000e+02 2.273411025390127405e-01
1.175000000000000000e+02 2.232959897460262966e-01
1.200000000000000000e+02 2.238425463706155139e-01
1.225000000000000000e+02 2.216298427026918150e-01
1.250000000000000000e+02 2.192350457583550349e-01
1.275000000000000000e+02 2.179282157344600013e-01
1.300000000000000000e+02 2.168794478386308344e-01
1.325000000000000000e+02 2.147416186060786825e-01
1.350000000000000000e+02 2.184998820145144238e-01
1.375000000000000000e+02 2.152214361611315407e-01
1.400000000000000000e+02 2.160926160583234723e-01
1.425000000000000000e+02 2.098748902499779634e-01
1.450000000000000000e+02 2.048173111916614941e-01
1.475000000000000000e+02 2.068946691821231809e-01
1.500000000000000000e+02 2.056310171216780280e-01
1.525000000000000000e+02 2.076602718730762576e-01
1.550000000000000000e+02 2.006223591432338971e-01
1.575000000000000000e+02 1.961130036007817934e-01
1.600000000000000000e+02 1.961472668457538426e-01
1.625000000000000000e+02 1.928963318065296528e-01
1.650000000000000000e+02 1.917485981118852711e-01
1.675000000000000000e+02 1.904288281146742368e-01
1.700000000000000000e+02 1.863552071907226548e-01
1.725000000000000000e+02 1.768890554166666906e-01
1.750000000000000000e+02 1.778539953302039345e-01
1.775000000000000000e+02 1.740647570445166270e-01
1.800000000000000000e+02 1.806051646123554288e-01
1.825000000000000000e+02 1.783755384404762390e-01
1.850000000000000000e+02 1.768518586690085992e-01
1.875000000000000000e+02 1.662534161300125435e-01
1.900000000000000000e+02 1.714609028746559016e-01
1.925000000000000000e+02 1.665006972169750799e-01
1.950000000000000000e+02 1.647481126203082236e-01
