# f, Suu, Svv, Sww
0.000000000000000000e+00 4.319072221950528284e-02 7.081309152972018774e-03 3.872806702320116898e-03
3.030303030303030300e-04 1.607103257606126157e+00 1.893412350555888080e-01 1.314982380337454126e-01
6.060606060606060601e-04 8.334795135692470991e-01 1.433377402937069389e-01 1.055076593664191625e-01
9.090909090909090901e-04 9.837789739470698125e-01 1.068370639850267090e-01 9.092771615180145206e-02
1.212121212121212120e-03 1.137075356366982426e+00 1.017969421773236571e-01 1.274508707330800905e-01
1.515151515151515150e-03 1.093476435015158899e+00 1.466878854342053839e-01 9.325052999743901894e-02
1.818181818181818180e-03 9.593072823877480948e-01 1.094598854323734494e-01 1.239802463128449606e-01
2.121212121212121427e-03 1.041025937314628003e+00 1.470967492141256328e-01 1.203448547993651863e-01
2.424242424242424240e-03 1.176370202712794022e+00 1.814506834040399141e-01 9.639939726862938041e-02
2.727272727272727487e-03 1.157557611273229980e+00 1.298033979360962153e-01 1.093100517310915953e-01
3.030303030303030300e-03 1.172847377370773492e+00 2.048947021555739545e-01 1.065116327901016596e-01
3.333333333333333547e-03 9.608335998367953934e-01 1.769255248940764247e-01 1.117214832225894988e-01
3.636363636363636360e-03 9.624774108716930288e-01 2.642090007572259203e-01 9.990983224751133485e-02
3.939393939393939607e-03 1.105288373137440550e+00 2.893164190345141051e-01 1.213543514157497533e-01
4.242424242424242854e-03 1.291321583797669481e+00 1.970234259965656654e-01 1.116388452100375434e-01
4.545454545454545234e-03 1.145949107524355082e+00 1.797661024195007229e-01 9.963967200168939720e-02
4.848484848484848481e-03 9.142522230762736291e-01 1.479716778713095759e-01 1.257527961045432352e-01
5.151515151515151728e-03 8.574715353132928986e-01 1.585322673578370423e-01 9.145558514754524582e-02
5.454545454545454974e-03 8.644515997005258745e-01 1.559769764548117610e-01 1.124730864885628151e-01
5.757575757575757354e-03 1.312692342555225267e+00 1.516139323348263679e-01 1.065847832392917138e-01
6.060606060606060601e-03 1.053008022426169088e+00 1.981833461067964430e-01 1.079014772901976532e-01
6.363636363636363848e-03 1.268189689391036712e+00 1.396582402700024816e-01 1.101396943773720744e-01
6.666666666666667095e-03 9.904897402189203337e-01 1.744604657769849854e-01 1.011053580025677578e-01
6.969696969696969474e-03 8.675730183278201890e-01 2.057774115518403169e-01 9.485770734116125147e-02
7.272727272727272721e-03 1.202679610668107468e+00 2.738803173613077457e-01 1.077002380074703752e-01
7.575757575757575968e-03 1.253308906403109102e+00 2.166074976175964562e-01 9.944033567661914041e-02
7.878787878787879215e-03 7.665108175073989116e-01 2.231674477853656247e-01 9.242446299223662509e-02
