# z, TI
0.000000000000000000e+00 1.096049913901648853e-01
2.500000000000000000e+00 8.118390033574426901e-02
5.000000000000000000e+00 7.250257014044109161e-02
7.500000000000000000e+00 6.497840908867721921e-02
1.000000000000000000e+01 5.981814793812667563e-02
1.250000000000000000e+01 5.583713484236969143e-02
1.500000000000000000e+01 5.273186792254511146e-02
1.750000000000000000e+01 5.019782295249167886e-02
2.000000000000000000e+01 4.810586151699480090e-02
2.250000000000000000e+01 4.634957053191179899e-02
2.500000000000000000e+01 4.472321774947703166e-02
2.750000000000000000e+01 4.332082923038688138e-02
3.000000000000000000e+01 4.197886684604787422e-02
3.250000000000000000e+01 4.079571964519266430e-02
3.500000000000000000e+01 3.968228151497737305e-02
3.750000000000000000e+01 3.870369958930512666e-02
4.000000000000000000e+01 3.774873844722060473e-02
4.250000000000000000e+01 3.680683839752793562e-02
4.500000000000000000e+01 3.593131192354521997e-02
4.750000000000000000e+01 3.511381565747993122e-02
5.000000000000000000e+01 3.431441326853235801e-02
5.250000000000000000e+01 3.359552654293872231e-02
5.500000000000000000e+01 3.290582212954727692e-02
5.750000000000000000e+01 3.218985050172164936e-02
6.000000000000000000e+01 3.153756543225495756e-02
6.250000000000000000e+01 3.088000706838909745e-02
6.500000000000000000e+01 3.022514456009875450e-02
6.750000000000000000e+01 2.956401204319759543e-02
7.000000000000000000e+01 2.898199639806658956e-02
7.250000000000000000e+01 2.836368222675627465e-02
7.500000000000000000e+01 2.777622868538099504e-02
7.750000000000000000e+01 2.721397649282306791e-02
8.000000000000000000e+01 2.666277017413241912e-02
8.250000000000000000e+01 2.609874842324327177e-02
8.500000000000000000e+01 2.554926488282280653e-02
8.750000000000000000e+01 2.501555381229928279e-02
9.000000000000000000e+01 2.450870980526435872e-02
9.250000000000000000e+01 2.400587264345669172e-02
9.500000000000000000e+01 2.351965573707596319e-02
9.750000000000000000e+01 2.306065977310698192e-02
1.000000000000000000e+02 2.262168771067159939e-02
1.025000000000000000e+02 2.222397010893937749e-02
1.050000000000000000e+02 2.181398375726269212e-02
1.075000000000000000e+02 2.139935280835172579e-02
1.100000000000000000e+02 2.098667012924295902e-02
1.125000000000000000e+02 2.053745693534611907e-02
1.150000000000000000e+02 2.012610524499704526e-02
1.175000000000000000e+02 1.974204269089355895e-02
1.200000000000000000e+02 1.935171499530256509e-02
1.225000000000000000e+02 1.894988928731853803e-02
1.250000000000000000e+02 1.853894853273170551e-02
1.275000000000000000e+02 1.816120748569384491e-02
1.300000000000000000e+02 1.780171121755588434e-02
1.325000000000000000e+02 1.747942691344756688e-02
1.350000000000000000e+02 1.718437310190415804e-02
1.375000000000000000e+02 1.688743509260856590e-02
1.400000000000000000e+02 1.657114630911210584e-02
1.425000000000000000e+02 1.624295641626968822e-02
1.450000000000000000e+02 1.592611171703063599e-02
1.475000000000000000e+02 1.560010741735662169e-02
1.500000000000000000e+02 1.528587314297427495e-02
1.525000000000000000e+02 1.497392721861789781e-02
1.550000000000000000e+02 1.465655443428005335e-02
1.575000000000000000e+02 1.434081920971144557e-02
1.600000000000000000e+02 1.402314160730076982e-02
1.625000000000000000e+02 1.370926825391974996e-02
1.650000000000000000e+02 1.337957672183012064e-02
1.675000000000000000e+02 1.304122328289024704e-02
1.700000000000000000e+02 1.271094698686467406e-02
1.725000000000000000e+02 1.243261991031156290e-02
1.750000000000000000e+02 1.217245686572728490e-02
1.775000000000000000e+02 1.191930068101781925e-02
