# z, veer
0.000000000000000000e+00 2.229674588686629590e+02
2.500000000000000000e+00 2.231613541218048340e+02
5.000000000000000000e+00 2.234558878200041647e+02
7.500000000000000000e+00 2.237463017240473846e+02
1.000000000000000000e+01 2.240083170491967053e+02
1.250000000000000000e+01 2.242590701375665674e+02
1.500000000000000000e+01 2.245029522435004878e+02
1.750000000000000000e+01 2.247460568316370484e+02
2.000000000000000000e+01 2.250033632758779163e+02
2.250000000000000000e+01 2.252551430748803512e+02
2.500000000000000000e+01 2.255154347216978010e+02
2.750000000000000000e+01 2.257739790332712460e+02
3.000000000000000000e+01 2.260229307447142730e+02
3.250000000000000000e+01 2.262719947699826832e+02
3.500000000000000000e+01 2.265228830437135343e+02
3.750000000000000000e+01 2.267735526157219397e+02
4.000000000000000000e+01 2.270279921038224415e+02
4.250000000000000000e+01 2.272868761590940778e+02
4.500000000000000000e+01 2.275481645958835770e+02
4.750000000000000000e+01 2.278044596643333932e+02
5.000000000000000000e+01 2.280637701634120447e+02
5.250000000000000000e+01 2.283212385804247617e+02
5.500000000000000000e+01 2.285803137046392521e+02
5.750000000000000000e+01 2.288366915178340264e+02
6.000000000000000000e+01 2.290939848952547777e+02
6.250000000000000000e+01 2.293483443992906246e+02
6.500000000000000000e+01 2.296028693657102053e+02
6.750000000000000000e+01 2.298517480611727706e+02
7.000000000000000000e+01 2.301038376031994517e+02
7.250000000000000000e+01 2.303499823657081436e+02
7.500000000000000000e+01 2.305936210136660804e+02
7.750000000000000000e+01 2.308330858603590912e+02
8.000000000000000000e+01 2.310712826127637243e+02
8.250000000000000000e+01 2.313116004724473385e+02
8.500000000000000000e+01 2.315519791713388429e+02
8.750000000000000000e+01 2.317898857296782182e+02
9.000000000000000000e+01 2.320253660199820729e+02
9.250000000000000000e+01 2.322595710699147276e+02
9.500000000000000000e+01 2.324880882415414760e+02
9.750000000000000000e+01 2.327132210182012955e+02
1.000000000000000000e+02 2.329372992491526873e+02
1.025000000000000000e+02 2.331585257870185899e+02
1.050000000000000000e+02 2.333777573507842078e+02
1.075000000000000000e+02 2.335952534121337294e+02
1.100000000000000000e+02 2.338140071804183435e+02
1.125000000000000000e+02 2.340338248588437011e+02
1.150000000000000000e+02 2.342497794268969642e+02
1.175000000000000000e+02 2.344619643629243910e+02
1.200000000000000000e+02 2.346755980851662855e+02
1.225000000000000000e+02 2.348866570507653364e+02
1.250000000000000000e+02 2.350961354877532585e+02
1.275000000000000000e+02 2.353035945663998518e+02
1.300000000000000000e+02 2.355067697846498049e+02
1.325000000000000000e+02 2.357087396878883965e+02
1.350000000000000000e+02 2.359099063742990552e+02
1.375000000000000000e+02 2.361119255060975775e+02
1.400000000000000000e+02 2.363087961131465988e+02
1.425000000000000000e+02 2.365009229333757901e+02
1.450000000000000000e+02 2.366868440754757330e+02
1.475000000000000000e+02 2.368663680870083397e+02
1.500000000000000000e+02 2.370441657838885021e+02
1.525000000000000000e+02 2.372154345818513548e+02
1.550000000000000000e+02 2.373831160275426555e+02
1.575000000000000000e+02 2.375480722097079536e+02
1.600000000000000000e+02 2.377124116897612112e+02
1.625000000000000000e+02 2.378767237600858095e+02
1.650000000000000000e+02 2.380408992630766534e+02
1.675000000000000000e+02 2.382027665381944246e+02
1.700000000000000000e+02 2.383682130426500407e+02
1.725000000000000000e+02 2.385295216548285850e+02
1.750000000000000000e+02 2.386869960043875096e+02
1.775000000000000000e+02 2.388431213188146955e+02
1.800000000000000000e+02 2.389963187939751208e+02
1.825000000000000000e+02 2.391480242896705022e+02
1.850000000000000000e+02 2.392971405866519490e+02
1.875000000000000000e+02 2.394450618176996386e+02
1.900000000000000000e+02 2.395887082216432020e+02
1.925000000000000000e+02 2.397295237047563603e+02
1.950000000000000000e+02 2.398677554918524493e+02
1.975000000000000000e+02 2.400027887931095449e+02
2.000000000000000000e+02 2.401345579516611792e+02
2.025000000000000000e+02 2.402635708352769939e+02
2.050000000000000000e+02 2.403889260617164894e+02
2.075000000000000000e+02 2.405130500517200289e+02
2.100000000000000000e+02 2.406319556742235761e+02
2.125000000000000000e+02 2.407482498506259390e+02
2.150000000000000000e+02 2.408608968690255949e+02
