# z, uu, uv, uw, vv, vw, ww, tke
0.000000000000000000e+00 1.183518369037485363e-01 7.096369525783906285e-02 -9.269630273989548988e-03 1.220414132021663961e-01 -9.342269776496461148e-03 1.121452277312955971e-02 1.258038864395222556e-01
2.500000000000000000e+00 1.176413286385190188e-01 7.375664081808187833e-02 -1.050758893864908207e-02 1.219253966622714652e-01 -1.058424815347695086e-02 9.739859066223493719e-03 1.246532921835069863e-01
5.000000000000000000e+00 1.190938997614674477e-01 6.987159128886970272e-02 -1.589592092187259997e-02 1.197847815738284083e-01 -1.543107510758906682e-02 1.767729240787747902e-02 1.282779868715866745e-01
7.500000000000000000e+00 1.065304392935099709e-01 5.905044999177652687e-02 -1.653230762298166234e-02 1.052102015557055265e-01 -1.556958454669426020e-02 2.196829076104541562e-02 1.168544658051304669e-01
1.000000000000000000e+01 9.770709237934163682e-02 5.117065719910435934e-02 -1.707935121826450672e-02 9.490972333762427715e-02 -1.552763077986147808e-02 2.324183461647276114e-02 1.079293251667193393e-01
1.250000000000000000e+01 9.078247561559808776e-02 4.534368101740510193e-02 -1.698489924378704038e-02 8.676313104016067368e-02 -1.496900929052506421e-02 2.375114395364678888e-02 1.006483753047027752e-01
1.500000000000000000e+01 8.567306776804539670e-02 4.092662444638948960e-02 -1.695591911183629702e-02 8.032294413341796446e-02 -1.448103616373820450e-02 2.381470923722419503e-02 9.490536056934377462e-02
1.750000000000000000e+01 8.181684288815982420e-02 3.793716835289705214e-02 -1.671132089534104609e-02 7.549652996076480771e-02 -1.385851505513177422e-02 2.352936677029274573e-02 9.042136980960868708e-02
2.000000000000000000e+01 7.874213803962387681e-02 3.558221859920897984e-02 -1.653621236614571596e-02 7.154819962467595662e-02 -1.328977517309591454e-02 2.326411268861774267e-02 8.677722517645879152e-02
2.250000000000000000e+01 7.644061204058097414e-02 3.369759876354303657e-02 -1.628939757523292786e-02 6.859892536488490511e-02 -1.270534355202412174e-02 2.279953034722332836e-02 8.391953387634459860e-02
2.500000000000000000e+01 7.400703565954919183e-02 3.181773037318268854e-02 -1.604526804829344011e-02 6.574282393387240186e-02 -1.216183246979922125e-02 2.246835292620314936e-02 8.110910625981236632e-02
2.750000000000000000e+01 7.252081399702065001e-02 3.054702248564431996e-02 -1.578074181757151834e-02 6.321946298587395596e-02 -1.158059273676247808e-02 2.198283104894638990e-02 7.886155401592048753e-02
3.000000000000000000e+01 7.073149960240425471e-02 2.917963574102023366e-02 -1.553942068825778927e-02 6.061324603886476814e-02 -1.108719336223750775e-02 2.166942506809717284e-02 7.650708535468309091e-02
3.250000000000000000e+01 6.936393473720864344e-02 2.804839913956751543e-02 -1.524316965072856390e-02 5.852614056183361863e-02 -1.054082366069282635e-02 2.117305578637675503e-02 7.453156554270951029e-02
3.500000000000000000e+01 6.802017067136423289e-02 2.695726134440919533e-02 -1.497621005571225100e-02 5.637827847445513185e-02 -1.007872110258615540e-02 2.080355327358361303e-02 7.260100120970149062e-02
3.750000000000000000e+01 6.721522215070005468e-02 2.611387169211691617e-02 -1.466679250912465531e-02 5.455855708716678826e-02 -9.583154222051862986e-03 2.030092602512630420e-02 7.103735263149657531e-02
4.000000000000000000e+01 6.597426254876792573e-02 2.530140824112759451e-02 -1.440768142424601883e-02 5.289424033575857581e-02 -9.155380661580838145e-03 1.991117018739697181e-02 6.938983653596172974e-02
4.250000000000000000e+01 6.482877223054561711e-02 2.444405265219055934e-02 -1.409281297303397948e-02 5.111540208305852956e-02 -8.695469151049368267e-03 1.941282212555810877e-02 6.767849821958113465e-02
4.500000000000000000e+01 6.379609278188233534e-02 2.374462043885483889e-02 -1.380874088418788427e-02 4.941502052756972796e-02 -8.262368521609237543e-03 1.897761657909526056e-02 6.609436494427366193e-02
4.750000000000000000e+01 6.283809584369592915e-02 2.310570144743661139e-02 -1.351051963350553137e-02 4.788816919439682629e-02 -7.854329842120946065e-03 1.851410909598696225e-02 6.462018706703985538e-02
5.000000000000000000e+01 6.183732522981970348e-02 2.230874499475790293e-02 -1.321095254845456451e-02 4.629070149937064560e-02 -7.451606399498985484e-03 1.810036825505228000e-02 6.311419749212131280e-02
5.250000000000000000e+01 6.090199046719341203e-02 2.170693802896682401e-02 -1.292344337902030273e-02 4.505933720157858507e-02 -7.074052805806465768e-03 1.765905242283201046e-02 6.181019004580200898e-02
5.500000000000000000e+01 6.005899534126139805e-02 2.101755077632588148e-02 -1.260598232716685606e-02 4.376945522142432904e-02 -6.687934867671841907e-03 1.724890085516622013e-02 6.053867570892597361e-02
5.750000000000000000e+01 5.910002035394430059e-02 2.020484682976699323e-02 -1.231429278119257689e-02 4.230293264028628375e-02 -6.344030278529134287e-03 1.681907973121770858e-02 5.911101636272414472e-02
6.000000000000000000e+01 5.834046311752189712e-02 1.943714364610615170e-02 -1.203194747641285305e-02 4.090339931607554769e-02 -6.009091850271057814e-03 1.643543671464200648e-02 5.783964957411973085e-02
6.250000000000000000e+01 5.748821464317038776e-02 1.859228974333723000e-02 -1.172591398962766554e-02 3.947297162703252565e-02 -5.675112911831506519e-03 1.602104517123811162e-02 5.649111572072051946e-02
6.500000000000000000e+01 5.646957038596135681e-02 1.788702861180540074e-02 -1.142743544217312071e-02 3.810336036804898990e-02 -5.355745689111728047e-03 1.562657735050576938e-02 5.509975405225805978e-02
6.750000000000000000e+01 5.529900741768562639e-02 1.713154988704830919e-02 -1.112802312003073960e-02 3.676117946407159165e-02 -5.055343702313204457e-03 1.522096962269720195e-02 5.364057825222720566e-02
7.000000000000000000e+01 5.441186073486618813e-02 1.662827208839241788e-02 -1.081809255956177503e-02 3.561999006706113857e-02 -4.774647236299145101e-03 1.480966680789434602e-02 5.242075880491083723e-02
7.250000000000000000e+01 5.319799913338093406e-02 1.590985827818581014e-02 -1.052636458420624054e-02 3.448583564963643433e-02 -4.487204535719303833e-03 1.438762716968888800e-02 5.103573097635312472e-02
7.500000000000000000e+01 5.193104121202017642e-02 1.525838794908073587e-02 -1.021965871898823826e-02 3.351909859750078213e-02 -4.241365310784259851e-03 1.398333835660658421e-02 4.971673908306377399e-02
7.750000000000000000e+01 5.088561064543571655e-02 1.484178939348268327e-02 -9.922089987562301289e-03 3.247209771867325123e-02 -3.979847881068826303e-03 1.356748507394196779e-02 4.846259671902546778e-02
8.000000000000000000e+01 4.992747503752783395e-02 1.442829836556128176e-02 -9.630306601652956558e-03 3.133819066980209761e-02 -3.740172162635104977e-03 1.317925475759155682e-02 4.722246023246074592e-02
8.250000000000000000e+01 4.877905636777906534e-02 1.394413020048095378e-02 -9.336447414614260781e-03 3.022057450917664534e-02 -3.512413341487835225e-03 1.280867783090242421e-02 4.590415435392906918e-02
8.500000000000000000e+01 4.756444310789106206e-02 1.352398961999764018e-02 -9.043528777674756519e-03 2.921647599223057418e-02 -3.282285016093941087e-03 1.244660048999176628e-02 4.461375979505670386e-02
8.750000000000000000e+01 4.648639163181101513e-02 1.290280220748426382e-02 -8.776565991036251388e-03 2.811897503869460052e-02 -3.084047127778067991e-03 1.210054584175447416e-02 4.335295625613004578e-02
9.000000000000000000e+01 4.539961764607222672e-02 1.226800674825222898e-02 -8.506068249215459343e-03 2.715068492282903673e-02 -2.886470065005647921e-03 1.177363869365854153e-02 4.216197063127990335e-02
9.250000000000000000e+01 4.430950773418340649e-02 1.175471564287248680e-02 -8.252172342497416171e-03 2.621149614838967287e-02 -2.704310221509206510e-03 1.140440177891217065e-02 4.096270283074262414e-02
