z Tu Tv Tw
0.000000000000000000e+00 -1.206389312147678345e-21 -3.879096127571575768e-21 -3.589866337805784798e-03
2.500000000000000000e+00 4.925505815415096249e-06 8.395507977017598752e-06 -3.138641245626831548e-03
5.000000000000000000e+00 5.831813921936929192e-06 8.091912304713361125e-06 -1.782329646141355512e-03
7.500000000000000000e+00 4.730700684475672338e-06 5.426835162329473517e-06 -1.092822600159623408e-03
1.000000000000000000e+01 3.682124391885807931e-06 3.717755057590726418e-06 -7.477101170075805539e-04
1.250000000000000000e+01 3.061339407933531669e-06 2.831277036608131566e-06 -5.582496776616675859e-04
1.500000000000000000e+01 2.635723324241813011e-06 2.308242277550168363e-06 -4.448211859327826545e-04
1.750000000000000000e+01 2.316122375046493323e-06 1.996798601006537394e-06 -3.704547265387656604e-04
2.000000000000000000e+01 2.112452779411202748e-06 1.752006061966592265e-06 -3.182172321740133923e-04
2.250000000000000000e+01 1.959762777929933156e-06 1.534433736884068043e-06 -2.793067547296909604e-04
2.500000000000000000e+01 1.814751133999006171e-06 1.350839259421990177e-06 -2.490848849083602949e-04
2.750000000000000000e+01 1.731716133861778149e-06 1.201576874609202857e-06 -2.244679096083344861e-04
3.000000000000000000e+01 1.619001225272492169e-06 1.072020713000834254e-06 -2.038820433194201375e-04
3.250000000000000000e+01 1.538846302184479353e-06 9.600934086278741215e-07 -1.872278405066055737e-04
3.500000000000000000e+01 1.455910227647906349e-06 8.603201817350299776e-07 -1.737102007968738813e-04
3.750000000000000000e+01 1.374114630119998550e-06 7.884708487567513826e-07 -1.618889148989556190e-04
4.000000000000000000e+01 1.275508271785488320e-06 7.315954063411035274e-07 -1.512484407905124745e-04
4.250000000000000000e+01 1.181737714137831595e-06 6.816596070866460519e-07 -1.419535409969261862e-04
4.500000000000000000e+01 1.134635999444006776e-06 6.382829067966744317e-07 -1.338821119262335706e-04
4.750000000000000000e+01 1.115170814683717095e-06 5.841877904035822106e-07 -1.263696164634474644e-04
5.000000000000000000e+01 1.082770462026642398e-06 5.215112965441504879e-07 -1.190979534760989935e-04
5.250000000000000000e+01 1.036104976157187681e-06 4.715549270795820702e-07 -1.121541315955528248e-04
5.500000000000000000e+01 9.871886938868600240e-07 4.288086893909781748e-07 -1.057314069334228254e-04
5.750000000000000000e+01 9.497971703753177572e-07 3.982521916440653933e-07 -1.000632366744779833e-04
6.000000000000000000e+01 8.962632946099521752e-07 3.819285412903394760e-07 -9.462571174499514472e-05
6.250000000000000000e+01 8.424822588602507864e-07 3.656632966719274657e-07 -8.935076611671332583e-05
6.500000000000000000e+01 7.920932245161856793e-07 3.538987553109294857e-07 -8.440295038529939875e-05
6.750000000000000000e+01 7.403291783014816794e-07 3.491557639525410855e-07 -8.006063333507781182e-05
7.000000000000000000e+01 7.091515936802392184e-07 3.277150498566042731e-07 -7.621107934245437913e-05
7.250000000000000000e+01 6.909123218211113430e-07 3.039506696006403374e-07 -7.259154688457826910e-05
7.500000000000000000e+01 6.557605712931128368e-07 2.824714674675866866e-07 -6.904233577718659387e-05
7.750000000000000000e+01 6.241031710028568817e-07 2.557321720996354981e-07 -6.557184747383400149e-05
8.000000000000000000e+01 5.979003372662090933e-07 2.306720262654035110e-07 -6.238938559948145114e-05
8.250000000000000000e+01 5.812220524005748955e-07 2.119897793549165459e-07 -5.927365518214140278e-05
8.500000000000000000e+01 5.542596939487477732e-07 1.988274078881750100e-07 -5.619793741314937376e-05
8.750000000000000000e+01 5.203828400408897053e-07 1.830350350512650466e-07 -5.330375499538685498e-05
9.000000000000000000e+01 4.869302925056562566e-07 1.707945193298812336e-07 -5.056174827342035027e-05
9.250000000000000000e+01 4.626671997362928162e-07 1.679218943339542529e-07 -4.800191406507507843e-05
9.500000000000000000e+01 4.409238103011822154e-07 1.777614738312191280e-07 -4.566682200174272769e-05
9.750000000000000000e+01 4.242335430132450232e-07 1.764063445569771838e-07 -4.330304046694624285e-05
1.000000000000000000e+02 4.091554150745614880e-07 1.633953366386480617e-07 -4.108376737243399449e-05
1.025000000000000000e+02 3.959896024102664694e-07 1.628387155083130660e-07 -3.910884842934760969e-05
1.050000000000000000e+02 3.777678304173848455e-07 1.692060406196055797e-07 -3.721200485055846754e-05
1.075000000000000000e+02 3.640563579821150740e-07 1.582794878394426623e-07 -3.543544604065107837e-05
1.100000000000000000e+02 3.541875239231325958e-07 1.415149265366134541e-07 -3.387513484960597921e-05
1.125000000000000000e+02 3.376947184064710110e-07 1.298982122428089999e-07 -3.236920787356911477e-05
1.150000000000000000e+02 3.118787847558637143e-07 1.270574982234690007e-07 -3.089115248212795042e-05
1.175000000000000000e+02 2.899312903765317914e-07 1.183635180526988684e-07 -2.946207509362780866e-05
1.200000000000000000e+02 2.723427031349530216e-07 1.049540951827284872e-07 -2.808631758536015552e-05
1.225000000000000000e+02 2.536370738164424154e-07 9.800267375296179816e-08 -2.681917451783677497e-05
1.250000000000000000e+02 2.404673229247308645e-07 9.612597272275164198e-08 -2.563755452785265797e-05
