z Tu Tv Tw
0.000000000000000000e+00 5.439844753395443357e-03 5.943343032616674355e-03 -6.652575487527438106e-04
2.500000000000000000e+00 7.436697172423238807e-03 8.031894796279732615e-03 -1.301748867832325457e-03
5.000000000000000000e+00 8.725234068175024768e-03 9.082615791036415670e-03 -2.704278478671024322e-03
7.500000000000000000e+00 8.765440885612190564e-03 8.871910449243198410e-03 -3.279535712122526401e-03
1.000000000000000000e+01 8.454428429503533376e-03 8.400585685676181108e-03 -3.567377268483191890e-03
1.250000000000000000e+01 8.118054251729536069e-03 7.854565417393549395e-03 -3.607845548871014760e-03
1.500000000000000000e+01 7.817349776845814585e-03 7.353110822037422882e-03 -3.620108720139209903e-03
1.750000000000000000e+01 7.593659943211556601e-03 6.911621874113866963e-03 -3.560887317006610191e-03
2.000000000000000000e+01 7.373752054231787374e-03 6.498318554919405021e-03 -3.501477788577109229e-03
2.250000000000000000e+01 7.222544765015353162e-03 6.183187571465854383e-03 -3.419148013092130570e-03
2.500000000000000000e+01 7.037024181409379069e-03 5.854631187652355358e-03 -3.342574551067305135e-03
2.750000000000000000e+01 6.928692126566471030e-03 5.589505493930094562e-03 -3.247734295661218983e-03
3.000000000000000000e+01 6.783142505780348844e-03 5.293358313941908672e-03 -3.171708828141461736e-03
3.250000000000000000e+01 6.685947447050782054e-03 5.045800132196486855e-03 -3.072802971409958461e-03
3.500000000000000000e+01 6.586409510562623096e-03 4.794218810579538650e-03 -2.992135312577953472e-03
3.750000000000000000e+01 6.534518720396812960e-03 4.595085952929153610e-03 -2.889129034178208703e-03
4.000000000000000000e+01 6.460142438417776356e-03 4.407997748494696215e-03 -2.813174177171842618e-03
4.250000000000000000e+01 6.383057950716712961e-03 4.217361587373013275e-03 -2.717578339166373379e-03
4.500000000000000000e+01 6.288864298071348766e-03 4.015399612898308719e-03 -2.636842299289708820e-03
4.750000000000000000e+01 6.222218265241540383e-03 3.848878717815351885e-03 -2.544673661638659559e-03
5.000000000000000000e+01 6.102900627641432395e-03 3.680231616514978345e-03 -2.467352462830921505e-03
5.250000000000000000e+01 6.013584847504591449e-03 3.516376574842341573e-03 -2.382935984544837238e-03
5.500000000000000000e+01 5.931219685386117380e-03 3.351485937791190157e-03 -2.308193014190083620e-03
5.750000000000000000e+01 5.849540459760406257e-03 3.190753035606819742e-03 -2.228742716313464409e-03
6.000000000000000000e+01 5.778043587426137315e-03 3.035929726089636477e-03 -2.157171901919275204e-03
6.250000000000000000e+01 5.713826795939959749e-03 2.873905427354622559e-03 -2.081411793089645197e-03
6.500000000000000000e+01 5.631811800425915240e-03 2.742978373122921532e-03 -2.011357851600047934e-03
6.750000000000000000e+01 5.532933351149084064e-03 2.586422910928805590e-03 -1.939043921364092763e-03
7.000000000000000000e+01 5.444127203922532500e-03 2.436642017541152273e-03 -1.870422131275541926e-03
7.250000000000000000e+01 5.319013236192853510e-03 2.294252383171855019e-03 -1.800986264730066507e-03
7.500000000000000000e+01 5.181172656644243701e-03 2.175536800938062884e-03 -1.733415018991502901e-03
7.750000000000000000e+01 5.072427746319564321e-03 2.077188131002918360e-03 -1.667774623320604022e-03
8.000000000000000000e+01 4.958486210439533651e-03 1.979132547558487901e-03 -1.603609737585251754e-03
8.250000000000000000e+01 4.810220593983855625e-03 1.864667451969905052e-03 -1.539803397797293765e-03
8.500000000000000000e+01 4.652492408588294534e-03 1.765588249691392572e-03 -1.480157178793757100e-03
8.750000000000000000e+01 4.499566568279819018e-03 1.667658529781254921e-03 -1.419365971272193439e-03
9.000000000000000000e+01 4.350949319816617422e-03 1.561102472388199063e-03 -1.365517943825402718e-03
9.250000000000000000e+01 4.215714688711337706e-03 1.465356710105258139e-03 -1.310295934707124584e-03
9.500000000000000000e+01 4.098465776976176027e-03 1.376573882093201293e-03 -1.257839194528359312e-03
9.750000000000000000e+01 3.996272262181374199e-03 1.288142472143016673e-03 -1.207992400094888823e-03
1.000000000000000000e+02 3.900780486209198296e-03 1.197792592168334374e-03 -1.159786535066707628e-03
1.025000000000000000e+02 3.814094137487576957e-03 1.096650298526925197e-03 -1.110158614095886100e-03
1.050000000000000000e+02 3.718339010407919511e-03 1.003444992672651364e-03 -1.065724376856472342e-03
1.075000000000000000e+02 3.629186833383999788e-03 9.170861256687335653e-04 -1.018616774433036111e-03
1.100000000000000000e+02 3.546836016807052103e-03 8.338214143117461501e-04 -9.749175714714120250e-04
1.125000000000000000e+02 3.445144968276218998e-03 7.625188169006544411e-04 -9.308627884746750562e-04
1.150000000000000000e+02 3.331215945674038861e-03 6.927091468699006927e-04 -8.899853655017882703e-04
1.175000000000000000e+02 3.214650446143490093e-03 6.289031388816912959e-04 -8.486609517452970439e-04
1.200000000000000000e+02 3.095464754477577664e-03 5.511528858576029413e-04 -8.094684373371242338e-04
1.225000000000000000e+02 2.978514498709827155e-03 4.839092302415791435e-04 -7.723612731684688024e-04
1.250000000000000000e+02 2.856640606972843648e-03 4.156055144481890073e-04 -7.351490196020539665e-04
1.275000000000000000e+02 2.736421966651086599e-03 3.513914619826053257e-04 -7.026368931910501742e-04
1.300000000000000000e+02 2.619488139563331056e-03 3.070019511716595532e-04 -6.684796882191839339e-04
1.325000000000000000e+02 2.526007120053860768e-03 2.730641396679730419e-04 -6.368581994696105543e-04
1.350000000000000000e+02 2.452122839149135317e-03 2.434420768614935064e-04 -6.055329233589504864e-04
1.375000000000000000e+02 2.387105746251060121e-03 2.160265392601136631e-04 -5.761762411169216429e-04
1.400000000000000000e+02 2.308214922039826707e-03 1.933546534990142807e-04 -5.488699037114732823e-04
1.425000000000000000e+02 2.223119268323354384e-03 1.660659896737430390e-04 -5.211856808563377448e-04
1.450000000000000000e+02 2.130358701794786945e-03 1.367905953576396491e-04 -4.962593065444188432e-04
1.475000000000000000e+02 2.039350371627183991e-03 1.071569351038563424e-04 -4.729160441958215732e-04
1.500000000000000000e+02 1.957528965591284059e-03 8.206315753587548859e-05 -4.496330580077736701e-04
