# z, u, v, w, u_mag
0.000000000000000000e+00 1.800900584580728214e+00 1.933429816971651283e+00 -1.003694230226530662e-02 2.642251788325446604e+00
2.500000000000000000e+00 2.429000045333846280e+00 2.590121083256518464e+00 8.797873282309850301e-03 3.550893669027001209e+00
5.000000000000000000e+00 2.774192679296710207e+00 2.927900398439479357e+00 -7.202261661771769061e-03 4.033459760257757765e+00
7.500000000000000000e+00 2.970154581331381660e+00 3.103064897629663310e+00 5.853824639744721267e-03 4.295446922401451317e+00
1.000000000000000000e+01 3.115499490673720118e+00 3.225257107128456369e+00 -4.636416521519552345e-03 4.484266046950046380e+00
1.250000000000000000e+01 3.237652398881072369e+00 3.322490705125022536e+00 3.854606321865749769e-03 4.639111164825911793e+00
1.500000000000000000e+01 3.343575677826498005e+00 3.402096662177545472e+00 -3.151993855557435730e-03 4.770091188564196116e+00
1.750000000000000000e+01 3.443155356822031443e+00 3.473812558180209287e+00 2.638327020754031513e-03 4.891083669428713421e+00
2.000000000000000000e+01 3.535653908539186485e+00 3.535238845453138712e+00 -2.188616295847886119e-03 4.999876703020841084e+00
2.250000000000000000e+01 3.624520447258499090e+00 3.592382739087182308e+00 1.846573327969636483e-03 5.103172114138375015e+00
2.500000000000000000e+01 3.709480799565930909e+00 3.643332861003278023e+00 -1.547662023597544271e-03 5.199435020622179771e+00
2.750000000000000000e+01 3.792830117121360090e+00 3.691719065386057874e+00 1.313814932147557664e-03 5.292858554806411320e+00
3.000000000000000000e+01 3.871474106659906766e+00 3.735645885540670896e+00 -1.111452069556797140e-03 5.379903640031182377e+00
3.250000000000000000e+01 3.948439619584840798e+00 3.776904950247079729e+00 9.486629970778577428e-04 5.463990056055158639e+00
3.500000000000000000e+01 4.023053251465277924e+00 3.814682469423149147e+00 -8.033427549092180030e-04 5.544074354841321828e+00
3.750000000000000000e+01 4.096998204501823615e+00 3.850897781571676948e+00 6.880498698019645422e-04 5.622704730395990502e+00
4.000000000000000000e+01 4.168934628801023834e+00 3.883788289847216468e+00 -5.873041908317082642e-04 5.697703727335856172e+00
