# Xi, RijLong, Xi, RijLat
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.535533905932737753e+00 9.643101584076713140e-01 3.535533905932737753e+00 7.062456945322840296e-01
7.071067811865475505e+00 8.665293038509294110e-01 7.071067811865475505e+00 3.126821198946692637e-01
1.060660171779821326e+01 7.312310480895715115e-01 1.060660171779821326e+01 1.133495273238740719e-01
1.414213562373095101e+01 5.878184874047693853e-01 1.414213562373095101e+01 3.828486714496338178e-02
1.767766952966368876e+01 4.588610106477984396e-01 1.767766952966368876e+01 7.532567376399241198e-03
2.121320343559642652e+01 3.549956911153508976e-01 2.121320343559642652e+01 -1.160783486769918424e-02
2.474873734152916427e+01 2.770041255649814960e-01 2.474873734152916427e+01 -1.920839436909736048e-02
2.828427124746190202e+01 2.205803912471494266e-01 2.828427124746190202e+01 -2.247258398677435751e-02
3.181980515339463977e+01 1.801695382669089296e-01 3.181980515339463977e+01 -2.546428640493064721e-02
3.535533905932737753e+01 1.508500101652758829e-01 3.535533905932737753e+01 -2.723727347389594267e-02
3.889087296526011528e+01 1.288998667466146053e-01 3.889087296526011528e+01 -2.595815354509306214e-02
4.242640687119285303e+01 1.118035227529473596e-01 4.242640687119285303e+01 -2.648275223088508018e-02
4.596194077712559078e+01 9.810359543903549029e-02 4.596194077712559078e+01 -2.623161733280467839e-02
4.949747468305832854e+01 8.707032538641666652e-02 4.949747468305832854e+01 -2.547668843676120093e-02
5.303300858899106629e+01 7.827315553331172515e-02 5.303300858899106629e+01 -2.392808096797472903e-02
5.656854249492380404e+01 7.126491554637114090e-02 5.656854249492380404e+01 -2.001900422834359053e-02
6.010407640085654180e+01 6.551790645846468364e-02 6.010407640085654180e+01 -1.746505221225316817e-02
6.363961030678927955e+01 6.056805890587464714e-02 6.363961030678927955e+01 -1.223989050115761867e-02
6.717514421272201730e+01 5.617812704679472219e-02 6.717514421272201730e+01 -7.169518523967248654e-03
7.071067811865475505e+01 5.233743102937968988e-02 7.071067811865475505e+01 -8.962438058127002866e-03
7.424621202458749281e+01 4.906425311446928339e-02 7.424621202458749281e+01 -1.070764297218421320e-02
7.778174593052023056e+01 4.626821593969149965e-02 7.778174593052023056e+01 -1.167777848776667231e-02
8.131727983645296831e+01 4.381771549182530978e-02 8.131727983645296831e+01 -5.839251732198706343e-03
8.485281374238570606e+01 4.160971442534482784e-02 8.485281374238570606e+01 -1.886052710334916796e-03
8.838834764831844382e+01 3.952366685142629649e-02 8.838834764831844382e+01 -2.716027971335472323e-03
9.192388155425118157e+01 3.740813347878101103e-02 9.192388155425118157e+01 -5.089386391072855953e-03
9.545941546018391932e+01 3.521923786751831459e-02 9.545941546018391932e+01 -9.462360073876716765e-03
9.899494936611665707e+01 3.310572283139440186e-02 9.899494936611665707e+01 -8.831350553171298662e-03
1.025304832720493948e+02 3.126565844982966830e-02 1.025304832720493948e+02 -5.179057121348942978e-03
1.060660171779821326e+02 2.976498452286522808e-02 1.060660171779821326e+02 -2.565361016912736346e-03
1.096015510839148703e+02 2.847619581667224647e-02 1.096015510839148703e+02 -1.339433604599730640e-03
1.131370849898476081e+02 2.719165147343881317e-02 1.131370849898476081e+02 -5.034215601849296833e-03
1.166726188957803458e+02 2.582103507118953256e-02 1.166726188957803458e+02 -9.958691689683146081e-03
