# z, uu, uv, uw, vv, vw, ww, tke
0.000000000000000000e+00 2.173563333170745390e-02 1.455508156010334661e-02 -2.191631857049716661e-04 1.584080541867930944e-02 -1.195289894699899360e-04 3.993136623611714888e-04 1.898787620637396728e-02
6.000000000000000000e+00 4.571167655324414464e-02 3.134325477892026257e-02 -1.642634495156841982e-03 3.281821866872045718e-02 -1.361999825091242313e-03 8.187861977820295274e-04 3.967434070987331529e-02
1.200000000000000000e+01 7.074770268991073530e-02 4.495250765995217890e-02 -4.446557455529027980e-03 4.985589535553312107e-02 -3.562163524313113894e-03 2.521273754154236112e-03 6.156243589979903952e-02
1.800000000000000000e+01 8.994448285448616853e-02 5.407605120732174309e-02 -7.004920783506729531e-03 6.089005627026063128e-02 -5.366156511121066876e-03 4.354297024682075856e-03 7.759441807471444130e-02
2.400000000000000000e+01 1.000019339589021117e-01 5.672945649509646138e-02 -8.693574190484441508e-03 6.306273038352185056e-02 -6.103309554495076929e-03 6.149114755276502593e-03 8.460688954885021984e-02
3.000000000000000000e+01 1.042784129972494367e-01 5.479334459411591002e-02 -9.447176651667598193e-03 5.984358069061151975e-02 -5.948833488590290347e-03 7.259287729417691730e-03 8.569064070863932625e-02
3.600000000000000000e+01 1.046179020894494049e-01 5.063222980539567458e-02 -9.819482936340353380e-03 5.441607023903653750e-02 -5.602204834453261215e-03 7.958742788960311565e-03 8.349635755872311660e-02
4.200000000000000000e+01 1.020364137724302234e-01 4.530269198119394464e-02 -9.740957483016777357e-03 4.867348619101109081e-02 -5.077817721472741887e-03 8.258959717293602731e-03 7.948442984036745151e-02
4.800000000000000000e+01 9.703681585190651604e-02 3.980402281915321888e-02 -9.599866042305558664e-03 4.317928199308301157e-02 -4.569190929662160505e-03 8.343264801731640687e-03 7.427968132336058849e-02
5.400000000000000000e+01 9.038898889454945185e-02 3.448371459577785625e-02 -9.203323567386909390e-03 3.835972280162678466e-02 -3.989897869995762125e-03 8.223066589503287560e-03 6.848588914283976203e-02
6.000000000000000000e+01 8.408652726488750895e-02 2.968382062748857464e-02 -8.817934381533616695e-03 3.418389250000332391e-02 -3.515443062612924868e-03 8.030568889556877893e-03 6.315049432722386058e-02
6.600000000000000000e+01 7.819157100799874194e-02 2.542313470797561911e-02 -8.295718711594422812e-03 3.057739723399619317e-02 -3.003032992871242784e-03 7.799910504770895397e-03 5.828443937338291525e-02
7.200000000000000000e+01 7.175129252648601574e-02 2.152197473493826230e-02 -7.865936343459939764e-03 2.751940714878459843e-02 -2.589530982249262005e-03 7.553520072616578748e-03 5.341210987394359039e-02
7.800000000000000000e+01 6.598447721731720561e-02 1.819643799380230020e-02 -7.385474831562190146e-03 2.478965650210468441e-02 -2.151633088159995381e-03 7.239877696452599182e-03 4.900700570793724287e-02
8.400000000000000000e+01 6.009253250127963991e-02 1.516678309988529934e-02 -6.954120351989699807e-03 2.233225083076165532e-02 -1.798813928312227887e-03 6.989825001323386570e-03 4.470730416668234480e-02
9.000000000000000000e+01 5.443955454706443653e-02 1.257037480801849114e-02 -6.542171198996898224e-03 2.016310283633060418e-02 -1.480891582806078376e-03 6.729950338411665178e-03 4.066630386090334948e-02
