z Tu Tv Tw
0.000000000000000000e+00 1.225986321946493263e-04 2.954538925972201410e-04 7.567443724387890229e-07
6.000000000000000000e+00 6.596009646634570659e-04 8.210856659812122791e-04 -8.936039585327005619e-05
1.200000000000000000e+01 1.264958205047605685e-03 1.430684806023623488e-03 -3.235559991477597011e-04
1.800000000000000000e+01 1.946436380962654825e-03 2.053604173913993122e-03 -5.409251484429950267e-04
2.400000000000000000e+01 2.457467607347712125e-03 2.381254422827055236e-03 -7.350584216999969927e-04
3.000000000000000000e+01 2.919964660288462514e-03 2.504412314855630848e-03 -8.647079174909731020e-04
3.600000000000000000e+01 3.459717543998317487e-03 2.592068048689327633e-03 -9.493571834394099948e-04
4.200000000000000000e+01 3.939731024344462346e-03 2.633938598658312324e-03 -9.821448610701738295e-04
4.800000000000000000e+01 4.224815220938535516e-03 2.561139942729505608e-03 -9.919724899682214134e-04
5.400000000000000000e+01 4.245550860463526664e-03 2.377569920595135663e-03 -9.589134586887112935e-04
6.000000000000000000e+01 4.044300501682323960e-03 2.067446391533417360e-03 -9.156648235333834755e-04
6.600000000000000000e+01 3.685259660297686077e-03 1.690328238640154352e-03 -8.484921281967395265e-04
7.200000000000000000e+01 3.200306507390814677e-03 1.324767595625678468e-03 -7.841447003035678133e-04
7.800000000000000000e+01 2.723762999271036808e-03 1.003552505737013685e-03 -7.089627704644688557e-04
8.400000000000000000e+01 2.295118134582264675e-03 7.187656994389044797e-04 -6.461508156377186729e-04
9.000000000000000000e+01 1.939163902995687814e-03 5.112411064709931072e-04 -5.866064744308939179e-04
9.600000000000000000e+01 1.664288082166933726e-03 3.434782926699085789e-04 -5.371206675310646926e-04
1.020000000000000000e+02 1.463182151378032442e-03 2.262543522573991998e-04 -4.894031898503950788e-04
1.080000000000000000e+02 1.293331891817979269e-03 1.407895193270974356e-04 -4.466027579484623390e-04
1.140000000000000000e+02 1.159980475224335703e-03 8.966178139231715074e-05 -4.057134435239531157e-04
1.200000000000000000e+02 1.044833477599820589e-03 5.781912970065832485e-05 -3.690248501718890206e-04
1.260000000000000000e+02 9.372945764819632687e-04 3.482120358435167865e-05 -3.348841433006153256e-04
1.320000000000000000e+02 8.332377268157528920e-04 1.385773755622494799e-05 -3.038981820274375394e-04
1.380000000000000000e+02 7.394950313086155920e-04 -2.581779404397366273e-06 -2.771875527414809776e-04
1.440000000000000000e+02 6.578320336692968558e-04 -1.815277032378617204e-05 -2.539234137048010224e-04
1.500000000000000000e+02 5.938572326406984158e-04 -3.087808348450380656e-05 -2.332586421597827820e-04
1.560000000000000000e+02 5.400397547716806728e-04 -3.556617744148979669e-05 -2.151579518334058761e-04
1.620000000000000000e+02 4.806479480418374790e-04 -4.157670525249841236e-05 -2.000719706514686414e-04
1.680000000000000000e+02 4.288754023753994955e-04 -4.495669362357830037e-05 -1.853111537371019758e-04
1.740000000000000000e+02 3.854578016331174908e-04 -4.504331386308422000e-05 -1.718203695989026897e-04
1.800000000000000000e+02 3.488492420944567119e-04 -4.505311637066142911e-05 -1.596865566989996179e-04
1.860000000000000000e+02 3.196352100292642966e-04 -4.658617113507261575e-05 -1.486886545689498071e-04
1.920000000000000000e+02 2.939070780030761019e-04 -4.610765629773823246e-05 -1.377619624675548171e-04
1.980000000000000000e+02 2.717214678826621889e-04 -4.836896460554953800e-05 -1.276461901306900589e-04
2.040000000000000000e+02 2.518499342710128828e-04 -5.296161899437947890e-05 -1.182608385687857361e-04
2.100000000000000000e+02 2.337734602815316927e-04 -5.162902977552903726e-05 -1.099016938356762541e-04
2.160000000000000000e+02 2.161520791249017803e-04 -4.929077366407454749e-05 -1.015733325930224975e-04
2.220000000000000000e+02 1.982988898331086638e-04 -4.625602459473157120e-05 -9.402613056202157281e-05
2.280000000000000000e+02 1.796971810157742668e-04 -4.394108443796085334e-05 -8.664916527011201164e-05
2.340000000000000000e+02 1.612573660545535761e-04 -4.099068643786267957e-05 -7.995842445920406795e-05
2.400000000000000000e+02 1.448692859690140649e-04 -3.798261191095662095e-05 -7.336087483037582731e-05
2.460000000000000000e+02 1.319871296167320833e-04 -3.446605166093376891e-05 -6.742311976356565005e-05
2.520000000000000000e+02 1.189847000413806150e-04 -3.298467340780461787e-05 -6.167066156229890426e-05
2.580000000000000000e+02 1.073777945853521444e-04 -3.077995279210199539e-05 -5.681108691216220905e-05
2.640000000000000000e+02 9.684387989497054527e-05 -2.836733783088902765e-05 -5.191242662290914648e-05
2.700000000000000000e+02 8.666767671227261895e-05 -2.493134484433312461e-05 -4.752300468221309861e-05
2.760000000000000000e+02 7.657574933685964318e-05 -2.160617870636087962e-05 -4.316167274717173420e-05
2.820000000000000000e+02 6.720572853207614221e-05 -1.902319638428480111e-05 -3.927410083104637667e-05
2.880000000000000000e+02 5.969660404582555099e-05 -1.741536309451703347e-05 -3.558328949277930493e-05
2.940000000000000000e+02 5.348942023829295121e-05 -1.552488085291088123e-05 -3.212378586056555688e-05
3.000000000000000000e+02 4.832908037718652573e-05 -1.401557942818954017e-05 -2.895150923920915517e-05
3.060000000000000000e+02 4.374901446499279955e-05 -1.285129840518948225e-05 -2.589832698876743804e-05
3.120000000000000000e+02 3.895853004308946576e-05 -1.182779647576808237e-05 -2.313995723373377588e-05
3.180000000000000000e+02 3.453891077222124531e-05 -1.084851356234821635e-05 -2.050824002218987188e-05
3.240000000000000000e+02 3.099537956827589573e-05 -9.512442017546618342e-06 -1.823822205522051507e-05
3.300000000000000000e+02 2.774264750011070814e-05 -8.165048417822618436e-06 -1.595562971790414952e-05
3.360000000000000000e+02 2.477075383009150718e-05 -7.468090637200930125e-06 -1.410019168085087975e-05
3.420000000000000000e+02 2.191510365453268669e-05 -6.642114083342676342e-06 -1.222628247564531481e-05
3.480000000000000000e+02 1.890575130972820247e-05 -6.046253946544766323e-06 -1.075206164605508841e-05
3.540000000000000000e+02 1.608392213245224327e-05 -5.545468563707345449e-06 -9.188009509180861475e-06
3.600000000000000000e+02 1.370102242647135480e-05 -5.067972626909522831e-06 -8.024535608862676367e-06
3.660000000000000000e+02 1.176135333023467012e-05 -4.259756497776834583e-06 -6.740206719483882591e-06
3.720000000000000000e+02 9.960232728519713240e-06 -3.498956345094939068e-06 -5.845533172999861228e-06
3.780000000000000000e+02 8.359911510251549123e-06 -2.861545517748709245e-06 -4.829957391070405000e-06
3.840000000000000000e+02 6.896641172647832844e-06 -2.396919405271091900e-06 -4.148011894413766363e-06
3.900000000000000000e+02 5.673042543480733121e-06 -2.039740596717365349e-06 -3.367213816970415855e-06
3.960000000000000000e+02 4.603276706950509489e-06 -1.720650422248581976e-06 -2.879964697675135770e-06
4.020000000000000000e+02 3.650409818044408730e-06 -1.396793406320284674e-06 -2.298517048609777434e-06
4.080000000000000000e+02 2.825906112786924586e-06 -1.089197736371261243e-06 -1.956419175926271837e-06
4.140000000000000000e+02 2.105489095049506470e-06 -8.542966626805536852e-07 -1.548995085765653170e-06
4.200000000000000000e+02 1.564775294809805838e-06 -5.902375600498999415e-07 -1.321535483617664088e-06
4.260000000000000000e+02 1.060490242991818426e-06 -4.801412680421890739e-07 -1.043134906801168661e-06
4.320000000000000000e+02 7.038769716928072506e-07 -3.022147371666505912e-07 -9.007628005723521993e-07
4.380000000000000000e+02 3.621883375330980709e-07 -3.292845247415243468e-07 -7.212684723501228309e-07
4.440000000000000000e+02 2.220197405904400476e-07 -1.856459928603726484e-07 -6.483948168240382770e-07
4.500000000000000000e+02 4.869045012583228221e-08 -2.680737408354616355e-07 -5.407912544284187925e-07
4.560000000000000000e+02 2.418116970375194842e-08 -1.185625104085374870e-07 -5.273083570007109226e-07
4.620000000000000000e+02 -8.539014193047477923e-08 -2.369145462694177764e-07 -4.677717177105744510e-07
4.680000000000000000e+02 -6.967293434172460657e-08 -4.570711698761442732e-08 -4.991795695995726146e-07
