# z, Alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 1.228039433821079274e-01
5.000000000000000000e+00 1.967584002783040187e-01
7.500000000000000000e+00 2.335313156096924803e-01
1.000000000000000000e+01 2.422512897816364585e-01
1.250000000000000000e+01 2.328592888515803594e-01
1.500000000000000000e+01 2.149082295622190275e-01
1.750000000000000000e+01 1.956060829076091134e-01
2.000000000000000000e+01 1.784701723750544977e-01
2.250000000000000000e+01 1.642670536272768100e-01
2.500000000000000000e+01 1.529173154009732527e-01
2.750000000000000000e+01 1.441989567822261065e-01
3.000000000000000000e+01 1.368204426688423569e-01
3.250000000000000000e+01 1.302809310930578557e-01
3.500000000000000000e+01 1.248512635879050897e-01
3.750000000000000000e+01 1.207644238727301894e-01
4.000000000000000000e+01 1.182162918593778339e-01
4.250000000000000000e+01 1.164617409833625800e-01
4.500000000000000000e+01 1.145498259602688307e-01
4.750000000000000000e+01 1.133252269129450818e-01
5.000000000000000000e+01 1.129060281114284831e-01
5.250000000000000000e+01 1.130754138086633304e-01
5.500000000000000000e+01 1.133986184074534387e-01
5.750000000000000000e+01 1.132642268093420196e-01
6.000000000000000000e+01 1.131010890665617857e-01
6.250000000000000000e+01 1.130592044452601169e-01
6.500000000000000000e+01 1.138331037657590306e-01
6.750000000000000000e+01 1.152968314503703406e-01
7.000000000000000000e+01 1.163816307507117426e-01
7.250000000000000000e+01 1.164733549024439541e-01
7.500000000000000000e+01 1.157406416617416528e-01
7.750000000000000000e+01 1.150960561334058441e-01
8.000000000000000000e+01 1.148010373868534051e-01
8.250000000000000000e+01 1.149344083915133513e-01
8.500000000000000000e+01 1.157608855642427298e-01
8.750000000000000000e+01 1.171695893156108059e-01
9.000000000000000000e+01 1.185618376512702909e-01
9.250000000000000000e+01 1.196175021238378572e-01
9.500000000000000000e+01 1.196080873601513411e-01
9.750000000000000000e+01 1.190242002137372607e-01
1.000000000000000000e+02 1.189598320954443345e-01
1.025000000000000000e+02 1.191209918721160693e-01
1.050000000000000000e+02 1.188264494715852160e-01
1.075000000000000000e+02 1.180951549009504886e-01
1.100000000000000000e+02 1.173771623769463285e-01
1.125000000000000000e+02 1.171861362570243981e-01
1.150000000000000000e+02 1.175426954179916716e-01
1.175000000000000000e+02 1.176657854809157050e-01
1.200000000000000000e+02 1.177593123850650958e-01
1.225000000000000000e+02 1.182828725896893918e-01
1.250000000000000000e+02 1.188197788200150845e-01
1.275000000000000000e+02 1.184360983087308222e-01
1.300000000000000000e+02 1.167546636688681361e-01
1.325000000000000000e+02 1.155935220906530864e-01
1.350000000000000000e+02 1.163991439626673174e-01
1.375000000000000000e+02 1.177165857558162415e-01
1.400000000000000000e+02 1.169639293203001973e-01
1.425000000000000000e+02 1.139686686350787487e-01
1.450000000000000000e+02 1.111847716269739467e-01
1.475000000000000000e+02 1.094797836045275363e-01
1.500000000000000000e+02 1.087953121761038172e-01
1.525000000000000000e+02 1.094093691168746829e-01
1.550000000000000000e+02 1.105566155106845055e-01
1.575000000000000000e+02 1.114423427821596979e-01
1.600000000000000000e+02 1.107080685574851064e-01
1.625000000000000000e+02 1.083887860674536269e-01
1.650000000000000000e+02 1.066248128363844333e-01
1.675000000000000000e+02 1.060268507097671259e-01
1.700000000000000000e+02 1.051939298134795531e-01
1.725000000000000000e+02 1.039331150124633424e-01
1.750000000000000000e+02 1.034764492335259189e-01
1.775000000000000000e+02 1.032733551209023409e-01
1.800000000000000000e+02 1.020456672166423773e-01
1.825000000000000000e+02 1.008518791477794330e-01
1.850000000000000000e+02 1.013219487735120966e-01
1.875000000000000000e+02 1.027850852498541079e-01
1.900000000000000000e+02 1.041699848719653265e-01
1.925000000000000000e+02 1.050819980557488875e-01
1.950000000000000000e+02 1.047005130788780103e-01
1.975000000000000000e+02 1.027931866668969629e-01
2.000000000000000000e+02 9.943062489913409574e-02
2.025000000000000000e+02 9.666177087288088665e-02
2.050000000000000000e+02 9.631808514686544809e-02
2.075000000000000000e+02 9.592787403679590985e-02
2.100000000000000000e+02 9.367649311974764192e-02
2.125000000000000000e+02 9.120264556492518881e-02
2.150000000000000000e+02 8.914094009396417162e-02
2.175000000000000000e+02 8.753219330114248020e-02
2.200000000000000000e+02 8.598461108951946374e-02
2.225000000000000000e+02 8.463077700557943006e-02
2.250000000000000000e+02 8.388561460525435776e-02
2.275000000000000000e+02 8.364513347225707718e-02
2.300000000000000000e+02 8.411717418882365405e-02
2.325000000000000000e+02 8.558409842564303205e-02
2.350000000000000000e+02 8.704906024750592997e-02
2.375000000000000000e+02 8.897942083489764065e-02
2.400000000000000000e+02 9.113388959723106586e-02
2.425000000000000000e+02 9.187316424455523045e-02
2.450000000000000000e+02 9.142445673430170394e-02
2.475000000000000000e+02 9.101648584410458598e-02
2.500000000000000000e+02 9.087364797175914721e-02
2.525000000000000000e+02 9.050569623258053475e-02
2.550000000000000000e+02 8.870030562546230013e-02
2.575000000000000000e+02 8.553820792506147686e-02
2.600000000000000000e+02 8.304980448862674114e-02
2.625000000000000000e+02 8.189348865363431373e-02
2.650000000000000000e+02 8.131716560123071480e-02
2.675000000000000000e+02 8.141818300758588145e-02
2.700000000000000000e+02 8.265851005483335068e-02
2.725000000000000000e+02 8.485929908828901413e-02
2.750000000000000000e+02 8.755387432683624238e-02
2.775000000000000000e+02 8.904433755487059510e-02
2.800000000000000000e+02 8.894157111809852800e-02
2.825000000000000000e+02 8.816275163450568164e-02
2.850000000000000000e+02 8.657424113291294077e-02
2.875000000000000000e+02 8.457467870361626283e-02
2.900000000000000000e+02 8.370980449186503358e-02
2.925000000000000000e+02 8.377779250337619166e-02
2.950000000000000000e+02 8.314458011418003613e-02
2.975000000000000000e+02 8.178791022758882812e-02
3.000000000000000000e+02 8.101296149641343258e-02
3.025000000000000000e+02 8.074384905902297349e-02
3.050000000000000000e+02 7.964697589201709393e-02
3.075000000000000000e+02 7.798352004315843577e-02
3.100000000000000000e+02 7.575927219225865594e-02
3.125000000000000000e+02 7.418918321352185874e-02
3.150000000000000000e+02 7.425533556235028310e-02
3.175000000000000000e+02 7.467863961407286699e-02
3.200000000000000000e+02 7.443083998983505978e-02
3.225000000000000000e+02 7.327068010764442585e-02
3.250000000000000000e+02 7.063120506259566722e-02
3.275000000000000000e+02 6.726538352382205321e-02
3.300000000000000000e+02 6.586227555524719335e-02
3.325000000000000000e+02 6.674680424394159595e-02
3.350000000000000000e+02 6.754546390398152855e-02
3.375000000000000000e+02 6.653676797706364887e-02
3.400000000000000000e+02 6.471306593902347026e-02
3.425000000000000000e+02 6.359412466488983950e-02
3.450000000000000000e+02 6.326837920141126226e-02
3.475000000000000000e+02 6.276529571523868645e-02
3.500000000000000000e+02 6.137576667277644393e-02
3.525000000000000000e+02 6.016328185080582064e-02
3.550000000000000000e+02 5.983342898030274970e-02
3.575000000000000000e+02 6.028110076742283080e-02
3.600000000000000000e+02 6.088444659133945835e-02
3.625000000000000000e+02 6.090058177180538573e-02
3.650000000000000000e+02 6.023599504377718378e-02
3.675000000000000000e+02 5.899433737253229754e-02
3.700000000000000000e+02 5.793210331375443778e-02
3.725000000000000000e+02 5.844594261254421746e-02
3.750000000000000000e+02 6.035631564178659675e-02
3.775000000000000000e+02 6.220396436338426066e-02
3.800000000000000000e+02 6.223440279582040380e-02
3.825000000000000000e+02 6.119089353842389889e-02
3.850000000000000000e+02 5.958364163365534316e-02
3.875000000000000000e+02 5.851127610310692673e-02
3.900000000000000000e+02 5.691768267201875037e-02
3.925000000000000000e+02 5.670441067709627858e-02
3.950000000000000000e+02 5.578803613530840949e-02
