# z, TI
0.000000000000000000e+00 4.226195368798359858e-02
2.500000000000000000e+00 4.813823199542326819e-02
5.000000000000000000e+00 5.190841926772184894e-02
7.500000000000000000e+00 5.501491698534980573e-02
1.000000000000000000e+01 5.670615334638481192e-02
1.250000000000000000e+01 5.683860957328548680e-02
1.500000000000000000e+01 5.577809630287801357e-02
1.750000000000000000e+01 5.400112796109516472e-02
2.000000000000000000e+01 5.189720138696379131e-02
2.250000000000000000e+01 4.972892350452311899e-02
2.500000000000000000e+01 4.761742021402033676e-02
2.750000000000000000e+01 4.561601795021790612e-02
3.000000000000000000e+01 4.376995443379951001e-02
3.250000000000000000e+01 4.209642604649264236e-02
3.500000000000000000e+01 4.059395160425181837e-02
3.750000000000000000e+01 3.927776811795791884e-02
4.000000000000000000e+01 3.813683033948619266e-02
4.250000000000000000e+01 3.714628883386525415e-02
4.500000000000000000e+01 3.625534213989835969e-02
4.750000000000000000e+01 3.541317128655872143e-02
5.000000000000000000e+01 3.462577433784517350e-02
5.250000000000000000e+01 3.391468651871617362e-02
5.500000000000000000e+01 3.328165836751721673e-02
5.750000000000000000e+01 3.272256143316427252e-02
6.000000000000000000e+01 3.222384235739399194e-02
6.250000000000000000e+01 3.176203603854489688e-02
6.500000000000000000e+01 3.132758091255259669e-02
6.750000000000000000e+01 3.091055128004306304e-02
7.000000000000000000e+01 3.048148748277374268e-02
7.250000000000000000e+01 3.003695122009543764e-02
7.500000000000000000e+01 2.959930166553546155e-02
7.750000000000000000e+01 2.918905118289375281e-02
8.000000000000000000e+01 2.880716762911847417e-02
8.250000000000000000e+01 2.845339482523726038e-02
8.500000000000000000e+01 2.812704882400867204e-02
8.750000000000000000e+01 2.780752561356411232e-02
9.000000000000000000e+01 2.747656278284050027e-02
9.250000000000000000e+01 2.714771480805146936e-02
9.500000000000000000e+01 2.681915382701437894e-02
9.750000000000000000e+01 2.648643329645380962e-02
1.000000000000000000e+02 2.616973500388243556e-02
1.025000000000000000e+02 2.587389423459696830e-02
1.050000000000000000e+02 2.558615972348769751e-02
1.075000000000000000e+02 2.530484473795857614e-02
1.100000000000000000e+02 2.503798209963650073e-02
1.125000000000000000e+02 2.478884315159398527e-02
1.150000000000000000e+02 2.455631664060902580e-02
1.175000000000000000e+02 2.433385899999473967e-02
1.200000000000000000e+02 2.410156943353106151e-02
1.225000000000000000e+02 2.385043608658738226e-02
1.250000000000000000e+02 2.359271090276816168e-02
1.275000000000000000e+02 2.333887383063207657e-02
1.300000000000000000e+02 2.309052854275864611e-02
1.325000000000000000e+02 2.284355843797967328e-02
1.350000000000000000e+02 2.259593540760894068e-02
1.375000000000000000e+02 2.235632738412414097e-02
1.400000000000000000e+02 2.212585807990358547e-02
1.425000000000000000e+02 2.190608917705036407e-02
1.450000000000000000e+02 2.171112165606440061e-02
1.475000000000000000e+02 2.153056841284975778e-02
1.500000000000000000e+02 2.134160033411460280e-02
1.525000000000000000e+02 2.115933040243211244e-02
1.550000000000000000e+02 2.099380721303722996e-02
1.575000000000000000e+02 2.082456316456332904e-02
1.600000000000000000e+02 2.064745261920633915e-02
1.625000000000000000e+02 2.047320376845750481e-02
1.650000000000000000e+02 2.030092986282041462e-02
1.675000000000000000e+02 2.012252345825201252e-02
1.700000000000000000e+02 1.993552637062449492e-02
1.725000000000000000e+02 1.974594702480409608e-02
1.750000000000000000e+02 1.956406020209267363e-02
1.775000000000000000e+02 1.938760489416226779e-02
1.800000000000000000e+02 1.921657043449607333e-02
1.825000000000000000e+02 1.905529474411711902e-02
1.850000000000000000e+02 1.889988886105680235e-02
1.875000000000000000e+02 1.874409898100793878e-02
1.900000000000000000e+02 1.858837051970815141e-02
1.925000000000000000e+02 1.842546312742618375e-02
1.950000000000000000e+02 1.825014554265602662e-02
1.975000000000000000e+02 1.806860046978162396e-02
2.000000000000000000e+02 1.788466952377522692e-02
2.025000000000000000e+02 1.770282590061318662e-02
2.050000000000000000e+02 1.752720074760710789e-02
2.075000000000000000e+02 1.735618394098234832e-02
2.100000000000000000e+02 1.718692906741302664e-02
2.125000000000000000e+02 1.701763895061330148e-02
2.150000000000000000e+02 1.685984900421057253e-02
2.175000000000000000e+02 1.671819667066027498e-02
2.200000000000000000e+02 1.658337584026243344e-02
2.225000000000000000e+02 1.645297051941752367e-02
2.250000000000000000e+02 1.632977036325674799e-02
2.275000000000000000e+02 1.622057961834587683e-02
2.300000000000000000e+02 1.611302229810272074e-02
2.325000000000000000e+02 1.599403434028527637e-02
2.350000000000000000e+02 1.586502482897003338e-02
2.375000000000000000e+02 1.573125724312556678e-02
2.400000000000000000e+02 1.558744254993540447e-02
2.425000000000000000e+02 1.543096928635573697e-02
2.450000000000000000e+02 1.526569808179330939e-02
2.475000000000000000e+02 1.509691054252719489e-02
2.500000000000000000e+02 1.493434361772523651e-02
2.525000000000000000e+02 1.478312343109814721e-02
2.550000000000000000e+02 1.464567416994151314e-02
2.575000000000000000e+02 1.451628526798854485e-02
2.600000000000000000e+02 1.438237247183486202e-02
2.625000000000000000e+02 1.424202353621067951e-02
2.650000000000000000e+02 1.410071130967185081e-02
2.675000000000000000e+02 1.395826551237377804e-02
2.700000000000000000e+02 1.381349726483688950e-02
2.725000000000000000e+02 1.366528193231915725e-02
2.750000000000000000e+02 1.351858890348693609e-02
2.775000000000000000e+02 1.337437162896679306e-02
2.800000000000000000e+02 1.322440351244101413e-02
2.825000000000000000e+02 1.307042440151262065e-02
2.850000000000000000e+02 1.291880585641506582e-02
2.875000000000000000e+02 1.277254211751878074e-02
2.900000000000000000e+02 1.262844122297210672e-02
2.925000000000000000e+02 1.248256056075008717e-02
2.950000000000000000e+02 1.233428136095978886e-02
2.975000000000000000e+02 1.217889985180536580e-02
3.000000000000000000e+02 1.201590532964911390e-02
3.025000000000000000e+02 1.185641938863593765e-02
3.050000000000000000e+02 1.170472547324299950e-02
3.075000000000000000e+02 1.155700247763895468e-02
3.100000000000000000e+02 1.141289735769831885e-02
3.125000000000000000e+02 1.127077992850275198e-02
3.150000000000000000e+02 1.112399298889145058e-02
3.175000000000000000e+02 1.097133081036977091e-02
3.200000000000000000e+02 1.081495412903559460e-02
3.225000000000000000e+02 1.065411265027362171e-02
3.250000000000000000e+02 1.048856112429391932e-02
3.275000000000000000e+02 1.031933601975038202e-02
3.300000000000000000e+02 1.014935230942931935e-02
3.325000000000000000e+02 9.982157438119849610e-03
3.350000000000000000e+02 9.818539072135231208e-03
3.375000000000000000e+02 9.656916684815651866e-03
3.400000000000000000e+02 9.496310906031353236e-03
3.425000000000000000e+02 9.335633638357963143e-03
3.450000000000000000e+02 9.173977224306462119e-03
3.475000000000000000e+02 9.010569817640701196e-03
3.500000000000000000e+02 8.849396338994704528e-03
3.525000000000000000e+02 8.695895530934916184e-03
3.550000000000000000e+02 8.549280600339234301e-03
3.575000000000000000e+02 8.404656869146719805e-03
3.600000000000000000e+02 8.254726396605986324e-03
3.625000000000000000e+02 8.093712035268518443e-03
3.650000000000000000e+02 7.921676692124460933e-03
3.675000000000000000e+02 7.740769509541336850e-03
3.700000000000000000e+02 7.558148291738805633e-03
3.725000000000000000e+02 7.381018689284436426e-03
3.750000000000000000e+02 7.212067795276262336e-03
3.775000000000000000e+02 7.050693611189417023e-03
3.800000000000000000e+02 6.889293833502521669e-03
3.825000000000000000e+02 6.719424203270607694e-03
3.850000000000000000e+02 6.539757823454316228e-03
3.875000000000000000e+02 6.358107591478722766e-03
3.900000000000000000e+02 6.182522259219437773e-03
3.925000000000000000e+02 6.011675647766661669e-03
3.950000000000000000e+02 5.841241363165992559e-03
3.975000000000000000e+02 5.673592962348667640e-03
4.000000000000000000e+02 5.510081325052407740e-03
4.025000000000000000e+02 5.347962153840831075e-03
4.050000000000000000e+02 5.184779933466813866e-03
4.075000000000000000e+02 5.017704668651198213e-03
4.100000000000000000e+02 4.847058896919287548e-03
4.125000000000000000e+02 4.676960003312729403e-03
4.150000000000000000e+02 4.512208576458971027e-03
4.175000000000000000e+02 4.356198268699211680e-03
4.200000000000000000e+02 4.208491233753987489e-03
4.225000000000000000e+02 4.064480843513610178e-03
4.250000000000000000e+02 3.920172539689671838e-03
4.275000000000000000e+02 3.770637393953852473e-03
4.300000000000000000e+02 3.614379619321021146e-03
4.325000000000000000e+02 3.453859172752856820e-03
4.350000000000000000e+02 3.295158316444996797e-03
4.375000000000000000e+02 3.142471677720331223e-03
4.400000000000000000e+02 2.998564008793828950e-03
4.425000000000000000e+02 2.858667547821815320e-03
4.450000000000000000e+02 2.728474056232468598e-03
4.475000000000000000e+02 2.606191655626299234e-03
4.500000000000000000e+02 2.494948665602369098e-03
4.525000000000000000e+02 2.388394765501334477e-03
4.550000000000000000e+02 2.288167259738833545e-03
4.575000000000000000e+02 2.189907361944915497e-03
4.600000000000000000e+02 2.095055349313997613e-03
4.625000000000000000e+02 2.001123851086296541e-03
4.650000000000000000e+02 1.910407293010234165e-03
4.675000000000000000e+02 1.821183113534038597e-03
4.700000000000000000e+02 1.736039138127354374e-03
4.725000000000000000e+02 1.656914747612625019e-03
4.750000000000000000e+02 1.584926433119819480e-03
4.775000000000000000e+02 1.519538904114044013e-03
4.800000000000000000e+02 1.460690923813906831e-03
4.825000000000000000e+02 1.403165236057748923e-03
4.850000000000000000e+02 1.356989209176678434e-03
4.875000000000000000e+02 1.304984826653039992e-03
4.900000000000000000e+02 1.274416058400954866e-03
4.925000000000000000e+02 1.224633012210366544e-03
4.950000000000000000e+02 1.205721595800511884e-03
4.975000000000000000e+02 1.154536501507789350e-03
5.000000000000000000e+02 1.147773323419018499e-03
5.025000000000000000e+02 1.094715520743024667e-03
5.050000000000000000e+02 1.098388552456758130e-03
5.075000000000000000e+02 1.041318524949141075e-03
5.100000000000000000e+02 1.055691762768575176e-03
5.125000000000000000e+02 9.954807472773972727e-04
5.150000000000000000e+02 1.018719985416870460e-03
5.175000000000000000e+02 9.573940313464106852e-04
5.200000000000000000e+02 9.854087368441493983e-04
5.225000000000000000e+02 9.242035820036378435e-04
5.250000000000000000e+02 9.533337911225593913e-04
5.275000000000000000e+02 8.937624918115774511e-04
5.300000000000000000e+02 9.173804345965044836e-04
5.325000000000000000e+02 8.643784897083857778e-04
5.350000000000000000e+02 8.732759968016047623e-04
5.375000000000000000e+02 8.381472065086512406e-04
5.400000000000000000e+02 8.246315631431881546e-04
5.425000000000000000e+02 8.153749401374031517e-04
5.450000000000000000e+02 7.802409692157342242e-04
5.475000000000000000e+02 7.927401789109419453e-04
5.500000000000000000e+02 7.444705957962254039e-04
5.525000000000000000e+02 7.690176319098766247e-04
5.550000000000000000e+02 7.150281977271860092e-04
5.575000000000000000e+02 7.466792252370104506e-04
5.600000000000000000e+02 6.891516389466544176e-04
5.625000000000000000e+02 7.265353075717074106e-04
5.650000000000000000e+02 6.662191304090284236e-04
5.675000000000000000e+02 7.081119754420911244e-04
5.700000000000000000e+02 6.456415728744457645e-04
5.725000000000000000e+02 6.914008362751311761e-04
5.750000000000000000e+02 6.269316993797474256e-04
5.775000000000000000e+02 6.763604380793206312e-04
5.800000000000000000e+02 6.098246911615653933e-04
5.825000000000000000e+02 6.628946879882257693e-04
5.850000000000000000e+02 5.942008933172681631e-04
5.875000000000000000e+02 6.508987280658674835e-04
5.900000000000000000e+02 5.799889304766146260e-04
5.925000000000000000e+02 6.402884337416744464e-04
5.950000000000000000e+02 5.671238556074243179e-04
5.975000000000000000e+02 6.309992201923957100e-04
6.000000000000000000e+02 5.555483392134667785e-04
6.025000000000000000e+02 6.229807576859949748e-04
6.050000000000000000e+02 5.452125397105221476e-04
6.075000000000000000e+02 6.161972843345210659e-04
6.100000000000000000e+02 5.360723554916078980e-04
6.125000000000000000e+02 6.106285650512116537e-04
6.150000000000000000e+02 5.280882739521934122e-04
6.175000000000000000e+02 6.062709297590067716e-04
6.200000000000000000e+02 5.212255494653577053e-04
6.225000000000000000e+02 6.031382198208292073e-04
6.250000000000000000e+02 5.154561714732753229e-04
6.275000000000000000e+02 6.012627514072685234e-04
6.300000000000000000e+02 5.107633206523006257e-04
6.325000000000000000e+02 6.006965557853116092e-04
6.350000000000000000e+02 5.071488842318592994e-04
6.375000000000000000e+02 6.015143803377336800e-04
6.400000000000000000e+02 5.046435559449700048e-04
6.425000000000000000e+02 6.038190495512837713e-04
6.450000000000000000e+02 5.033255925802976533e-04
6.475000000000000000e+02 6.073979873899440843e-04
6.500000000000000000e+02 5.017610114141912974e-04
6.525000000000000000e+02 5.844122501503025728e-04
