# z, veer
0.000000000000000000e+00 2.229638277177142527e+02
2.500000000000000000e+00 2.231053634826231473e+02
5.000000000000000000e+00 2.233326743120238689e+02
7.500000000000000000e+00 2.236104975091142535e+02
1.000000000000000000e+01 2.239088607776402000e+02
1.250000000000000000e+01 2.242091297944750750e+02
1.500000000000000000e+01 2.244976973372822044e+02
1.750000000000000000e+01 2.247643683238138124e+02
2.000000000000000000e+01 2.250031245173099990e+02
2.250000000000000000e+01 2.252126862448694737e+02
2.500000000000000000e+01 2.253943241260214165e+02
2.750000000000000000e+01 2.255507965929033389e+02
3.000000000000000000e+01 2.256869098358898782e+02
3.250000000000000000e+01 2.258084158522693770e+02
3.500000000000000000e+01 2.259196632485451346e+02
3.750000000000000000e+01 2.260240961408099452e+02
4.000000000000000000e+01 2.261237193498567137e+02
4.250000000000000000e+01 2.262192048571713769e+02
4.500000000000000000e+01 2.263111410001506556e+02
4.750000000000000000e+01 2.264009390292448529e+02
5.000000000000000000e+01 2.264903745221349141e+02
5.250000000000000000e+01 2.265808106695815241e+02
5.500000000000000000e+01 2.266727541070032714e+02
5.750000000000000000e+01 2.267653986794360605e+02
6.000000000000000000e+01 2.268573792086421861e+02
6.250000000000000000e+01 2.269480045739720708e+02
6.500000000000000000e+01 2.270371365969296846e+02
6.750000000000000000e+01 2.271247547144445775e+02
7.000000000000000000e+01 2.272110696953248237e+02
7.250000000000000000e+01 2.272963521631700416e+02
7.500000000000000000e+01 2.273809913850375892e+02
7.750000000000000000e+01 2.274649936433580422e+02
8.000000000000000000e+01 2.275478016244661603e+02
8.250000000000000000e+01 2.276291792443190332e+02
8.500000000000000000e+01 2.277097821769610562e+02
8.750000000000000000e+01 2.277904804129819354e+02
9.000000000000000000e+01 2.278717595997948138e+02
9.250000000000000000e+01 2.279534420912183919e+02
9.500000000000000000e+01 2.280357426484877976e+02
9.750000000000000000e+01 2.281186963731922219e+02
1.000000000000000000e+02 2.282014614210525849e+02
1.025000000000000000e+02 2.282830151854400071e+02
1.050000000000000000e+02 2.283628177791320013e+02
1.075000000000000000e+02 2.284410475720617910e+02
1.100000000000000000e+02 2.285178129162001994e+02
1.125000000000000000e+02 2.285937180248239429e+02
1.150000000000000000e+02 2.286697820109770873e+02
1.175000000000000000e+02 2.287462690227547739e+02
1.200000000000000000e+02 2.288227255993875531e+02
1.225000000000000000e+02 2.288990083175322070e+02
1.250000000000000000e+02 2.289750695725873868e+02
1.275000000000000000e+02 2.290509702414035473e+02
1.300000000000000000e+02 2.291267625284584710e+02
1.325000000000000000e+02 2.292016772321141787e+02
1.350000000000000000e+02 2.292753462781514315e+02
1.375000000000000000e+02 2.293482182972720409e+02
1.400000000000000000e+02 2.294202362048955592e+02
1.425000000000000000e+02 2.294916599236581760e+02
1.450000000000000000e+02 2.295634296610202796e+02
1.475000000000000000e+02 2.296356115636729101e+02
1.500000000000000000e+02 2.297066275868485263e+02
1.525000000000000000e+02 2.297748329849500522e+02
1.550000000000000000e+02 2.298405462917035322e+02
1.575000000000000000e+02 2.299050242330586116e+02
1.600000000000000000e+02 2.299684856625013936e+02
1.625000000000000000e+02 2.300304096443934156e+02
1.650000000000000000e+02 2.300906208161190989e+02
1.675000000000000000e+02 2.301499191103844737e+02
1.700000000000000000e+02 2.302088627755714469e+02
1.725000000000000000e+02 2.302669650729101818e+02
1.750000000000000000e+02 2.303238876582858552e+02
1.775000000000000000e+02 2.303798676152340761e+02
1.800000000000000000e+02 2.304351568982555989e+02
1.825000000000000000e+02 2.304900783467219298e+02
1.850000000000000000e+02 2.305450724770776958e+02
1.875000000000000000e+02 2.306002955850133844e+02
1.900000000000000000e+02 2.306554950445806469e+02
1.925000000000000000e+02 2.307103027898325251e+02
1.950000000000000000e+02 2.307642538467067084e+02
1.975000000000000000e+02 2.308174524712164839e+02
2.000000000000000000e+02 2.308701228447769154e+02
2.025000000000000000e+02 2.309217325198406172e+02
2.050000000000000000e+02 2.309723117505097321e+02
2.075000000000000000e+02 2.310226560866377667e+02
2.100000000000000000e+02 2.310730575691194133e+02
2.125000000000000000e+02 2.311230921992325307e+02
2.150000000000000000e+02 2.311726044676034064e+02
2.175000000000000000e+02 2.312213184418183971e+02
2.200000000000000000e+02 2.312681506259415301e+02
2.225000000000000000e+02 2.313124732801880157e+02
2.250000000000000000e+02 2.313550263758287997e+02
2.275000000000000000e+02 2.313964952926884848e+02
2.300000000000000000e+02 2.314374129884272406e+02
2.325000000000000000e+02 2.314784006594072707e+02
2.350000000000000000e+02 2.315193240129952130e+02
2.375000000000000000e+02 2.315596374500536854e+02
2.400000000000000000e+02 2.315987794718507473e+02
2.425000000000000000e+02 2.316367795446791717e+02
2.450000000000000000e+02 2.316741047701610512e+02
2.475000000000000000e+02 2.317110439977543876e+02
2.500000000000000000e+02 2.317477122222788068e+02
2.525000000000000000e+02 2.317840734510675986e+02
2.550000000000000000e+02 2.318200425478450484e+02
2.575000000000000000e+02 2.318556687720617049e+02
2.600000000000000000e+02 2.318908226766886855e+02
2.625000000000000000e+02 2.319250121310867598e+02
2.650000000000000000e+02 2.319581234489709232e+02
2.675000000000000000e+02 2.319907598987130939e+02
2.700000000000000000e+02 2.320235429920151660e+02
2.725000000000000000e+02 2.320569758610253643e+02
2.750000000000000000e+02 2.320912091656183236e+02
2.775000000000000000e+02 2.321258087283695204e+02
2.800000000000000000e+02 2.321605798797262423e+02
2.825000000000000000e+02 2.321954610751579651e+02
2.850000000000000000e+02 2.322302277812074749e+02
2.875000000000000000e+02 2.322648778209546947e+02
2.900000000000000000e+02 2.322997103191211181e+02
2.925000000000000000e+02 2.323346055046015977e+02
2.950000000000000000e+02 2.323693293374495568e+02
2.975000000000000000e+02 2.324034529734323655e+02
3.000000000000000000e+02 2.324364775345414671e+02
3.025000000000000000e+02 2.324685488709643550e+02
3.050000000000000000e+02 2.325001232184047808e+02
3.075000000000000000e+02 2.325317117843537744e+02
3.100000000000000000e+02 2.325636565921795409e+02
3.125000000000000000e+02 2.325957294862941751e+02
3.150000000000000000e+02 2.326273617451317364e+02
3.175000000000000000e+02 2.326582787400918164e+02
3.200000000000000000e+02 2.326889082165305922e+02
3.225000000000000000e+02 2.327197553728840944e+02
3.250000000000000000e+02 2.327506875967801534e+02
3.275000000000000000e+02 2.327810180962665640e+02
3.300000000000000000e+02 2.328103682719882102e+02
3.325000000000000000e+02 2.328386154884092321e+02
3.350000000000000000e+02 2.328655751963199805e+02
3.375000000000000000e+02 2.328912541088475905e+02
3.400000000000000000e+02 2.329160755758678931e+02
3.425000000000000000e+02 2.329408719143036137e+02
3.450000000000000000e+02 2.329661306454493115e+02
3.475000000000000000e+02 2.329915197065054713e+02
3.500000000000000000e+02 2.330162944808641612e+02
3.525000000000000000e+02 2.330399536532291904e+02
3.550000000000000000e+02 2.330626088041937578e+02
3.575000000000000000e+02 2.330845508480548745e+02
3.600000000000000000e+02 2.331061830043439898e+02
3.625000000000000000e+02 2.331276588486341552e+02
