# z, uu, uv, uw, vv, vw, ww, tke
0.000000000000000000e+00 2.033450276520516742e-02 1.571811100476239523e-02 -2.005522438436092180e-05 1.851528892054685183e-02 -1.084011564252878443e-05 1.028526964336936535e-06 1.942541010635817980e-02
2.500000000000000000e+00 3.694673406786144754e-02 3.013502057498310474e-02 -8.296927141322454555e-04 3.337135053037738885e-02 -7.356578416070915470e-04 1.000716399575291059e-04 3.520907811909818053e-02
5.000000000000000000e+00 5.478085936499461212e-02 4.466150951071494457e-02 -2.280862588439659666e-03 4.798121632348628651e-02 -2.009109013405994439e-03 4.636262078233096911e-04 5.161285094815210028e-02
7.500000000000000000e+00 7.545116910350405104e-02 6.050420001220643135e-02 -3.951911649853675004e-03 6.347488110869889399e-02 -3.451943979814181898e-03 9.610801564521045341e-04 6.994356518432752468e-02
1.000000000000000000e+01 9.445295383723253946e-02 7.426232098979833329e-02 -5.739301363237194267e-03 7.662202308981819199e-02 -4.955525960677175518e-03 1.583874031854980114e-03 8.632942547945285372e-02
1.250000000000000000e+01 1.080685328268407852e-01 8.306259386308233184e-02 -7.313728713350993969e-03 8.477722388577771384e-02 -6.206671913141916658e-03 2.268120554756577253e-03 9.755693863368754271e-02
1.500000000000000000e+01 1.151621773063688792e-01 8.615834989129063370e-02 -8.584717832044432007e-03 8.760245491302094678e-02 -7.119688882945094527e-03 3.045498693510683558e-03 1.029050654564502565e-01
1.750000000000000000e+01 1.167332610103124363e-01 8.465876296646884791e-02 -9.502111959797438293e-03 8.635556631385594983e-02 -7.671649750590526368e-03 3.883353407799939629e-03 1.034860903659841624e-01
2.000000000000000000e+01 1.144836818036786968e-01 8.029590198648917099e-02 -1.013457877174556501e-02 8.273683083161774421e-02 -7.954734368649784074e-03 4.770883380513058630e-03 1.009956980079047550e-01
2.250000000000000000e+01 1.100843729770922402e-01 7.456481337347373173e-02 -1.055250367681211457e-02 7.808212257879403040e-02 -8.050301078235032326e-03 5.666310828851404968e-03 9.691640319236884127e-02
2.500000000000000000e+01 1.046059222020677693e-01 6.837478372247415837e-02 -1.083368224296420504e-02 7.312603731996446255e-02 -8.035927817848056640e-03 6.536645042431147787e-03 9.213430228223169760e-02
