z Tu Tv Tw
0.000000000000000000e+00 1.014277288813531175e-04 1.900854829199772754e-04 5.383767649220633324e-07
2.500000000000000000e+00 3.807186620018114922e-04 4.737365405106345605e-04 -2.547460148912743675e-05
5.000000000000000000e+00 6.195368701847371595e-04 7.141478629129494743e-04 -7.641414376840700048e-05
7.500000000000000000e+00 8.673524560019359175e-04 9.580113014696564622e-04 -1.433653236379939342e-04
1.000000000000000000e+01 1.105928410931414927e-03 1.180317129813550922e-03 -2.195433671659293828e-04
1.250000000000000000e+01 1.318699714003514515e-03 1.361464426601833016e-03 -2.987084809344105283e-04
1.500000000000000000e+01 1.484989137210897085e-03 1.483577286265955414e-03 -3.843933480840031535e-04
1.750000000000000000e+01 1.596584648724404991e-03 1.541348375211168886e-03 -4.731840019783717052e-04
2.000000000000000000e+01 1.657891214395647165e-03 1.542781736345932592e-03 -5.615633214726207167e-04
2.250000000000000000e+01 1.679313183894487298e-03 1.505796070052019741e-03 -6.423699697787467293e-04
2.500000000000000000e+01 1.673541674160890051e-03 1.452266183210292657e-03 -7.103317135143334725e-04
2.750000000000000000e+01 1.652529452667715832e-03 1.395897469794908814e-03 -7.619592943660409698e-04
3.000000000000000000e+01 1.619670604640873531e-03 1.337189018730339241e-03 -7.975694780118791367e-04
3.250000000000000000e+01 1.574382256755006834e-03 1.273700961493227706e-03 -8.192712208948046146e-04
3.500000000000000000e+01 1.520880800533473123e-03 1.208799228757277428e-03 -8.298049608760393924e-04
3.750000000000000000e+01 1.466993310096631736e-03 1.145188693969578309e-03 -8.308679602852109400e-04
4.000000000000000000e+01 1.419759983023391242e-03 1.081072555983530461e-03 -8.247990200775339028e-04
4.250000000000000000e+01 1.378958811921518089e-03 1.016975214296712794e-03 -8.137995770281328820e-04
4.500000000000000000e+01 1.342456413643208129e-03 9.565000774503914713e-04 -7.992225686895799508e-04
4.750000000000000000e+01 1.307349693520450237e-03 8.979252604348858351e-04 -7.820626483200576132e-04
5.000000000000000000e+01 1.272451722670734850e-03 8.397130457920980477e-04 -7.627348487360225901e-04
5.250000000000000000e+01 1.237867801259858510e-03 7.842339574586276382e-04 -7.417928739839903382e-04
5.500000000000000000e+01 1.200923824923540943e-03 7.326968999481664642e-04 -7.201847176263224222e-04
5.750000000000000000e+01 1.160783567746921175e-03 6.856206368474772718e-04 -6.984427751481756463e-04
6.000000000000000000e+01 1.118207688236316213e-03 6.425669139684146366e-04 -6.766870942260693649e-04
6.250000000000000000e+01 1.074146949131909350e-03 6.037683620859411694e-04 -6.550008462115425529e-04
6.500000000000000000e+01 1.031964999730757828e-03 5.702294624490036835e-04 -6.337292387547215902e-04
6.750000000000000000e+01 9.935145066840959677e-04 5.402826721806831866e-04 -6.132148794840727550e-04
7.000000000000000000e+01 9.577260546237312093e-04 5.116322296693510659e-04 -5.935718746626957726e-04
7.250000000000000000e+01 9.243113521684790919e-04 4.839930296564716678e-04 -5.747979795379501477e-04
7.500000000000000000e+01 8.930738699287076076e-04 4.570616005587225779e-04 -5.568802249462767150e-04
7.750000000000000000e+01 8.640036538995331684e-04 4.304635504578982453e-04 -5.399143122557725164e-04
8.000000000000000000e+01 8.371013529986726445e-04 4.043324551105343051e-04 -5.236793724806799652e-04
8.250000000000000000e+01 8.109121378009262731e-04 3.777184472573140070e-04 -5.078661995901321202e-04
8.500000000000000000e+01 7.851447015778375898e-04 3.507717766299151560e-04 -4.923775903609216124e-04
8.750000000000000000e+01 7.615040037978018954e-04 3.263841715465787383e-04 -4.772966960278098155e-04
9.000000000000000000e+01 7.409188716774338162e-04 3.053836779106177237e-04 -4.626450366325535169e-04
9.250000000000000000e+01 7.230919756781304438e-04 2.862956135609124675e-04 -4.484843827395233132e-04
9.500000000000000000e+01 7.054937723922875695e-04 2.680676110595299954e-04 -4.347326240279251563e-04
9.750000000000000000e+01 6.859469129341278122e-04 2.503598492423861777e-04 -4.211661660378652593e-04
1.000000000000000000e+02 6.648573716010901030e-04 2.333427566807472382e-04 -4.078533472869098008e-04
1.025000000000000000e+02 6.438742376263576189e-04 2.175144433902346348e-04 -3.950049733585515432e-04
1.050000000000000000e+02 6.233090950214546311e-04 2.022834448304024538e-04 -3.826487401239067956e-04
1.075000000000000000e+02 6.037615529451272620e-04 1.872985541823027171e-04 -3.707763701077733832e-04
1.100000000000000000e+02 5.852148878928687369e-04 1.734216653636963144e-04 -3.594111002528452693e-04
1.125000000000000000e+02 5.658515460267722185e-04 1.617356633686654280e-04 -3.484172663798195779e-04
1.150000000000000000e+02 5.451397537498565158e-04 1.523614943694269605e-04 -3.376892465264597944e-04
1.175000000000000000e+02 5.242978393551311466e-04 1.442601775616481150e-04 -3.271241811322547917e-04
1.200000000000000000e+02 5.032600352904295984e-04 1.360602550253361303e-04 -3.168079942334254108e-04
1.225000000000000000e+02 4.811032837097059338e-04 1.270801285670700046e-04 -3.068946868298521539e-04
1.250000000000000000e+02 4.592929498813077584e-04 1.180658877041196325e-04 -2.973291800160256172e-04
1.275000000000000000e+02 4.396080691283032029e-04 1.100112596269696094e-04 -2.880015390525140205e-04
1.300000000000000000e+02 4.225921903368430295e-04 1.029315905185171630e-04 -2.789077939879624590e-04
1.325000000000000000e+02 4.079779797984997266e-04 9.587673895064199739e-05 -2.700843740108761683e-04
1.350000000000000000e+02 3.946602330904624783e-04 8.833940328520383835e-05 -2.615969768967158176e-04
1.375000000000000000e+02 3.811640779060326161e-04 8.029588158240130735e-05 -2.533709898103619234e-04
1.400000000000000000e+02 3.676478847707926267e-04 7.149812588950225846e-05 -2.452531016566901912e-04
1.425000000000000000e+02 3.556635090504301042e-04 6.287217010957420356e-05 -2.372957938149110454e-04
1.450000000000000000e+02 3.455269035377341318e-04 5.590061462604580846e-05 -2.296187711110811663e-04
1.475000000000000000e+02 3.364649502466704901e-04 5.147435567537286382e-05 -2.222459378713005976e-04
1.500000000000000000e+02 3.275538474406175841e-04 4.909253281023211570e-05 -2.151381472755442982e-04
1.525000000000000000e+02 3.184999480984174571e-04 4.788126304241587000e-05 -2.082839841341082427e-04
