# z, u, v, w, u_mag
0.000000000000000000e+00 1.835181488190855026e+00 1.970483846637049563e+00 -6.792458624515820267e-04 2.692712042872554612e+00
2.500000000000000000e+00 2.174852226555636037e+00 2.323661734337468587e+00 4.751822762401814370e-04 3.182669679494938730e+00
5.000000000000000000e+00 2.452264221373367636e+00 2.599308117218675385e+00 -3.129160811187726662e-04 3.573514040490577859e+00
7.500000000000000000e+00 2.707328114413416920e+00 2.841931788765609035e+00 2.029835681915302616e-04 3.925073483680545205e+00
1.000000000000000000e+01 2.933988266457661531e+00 3.047921359868119850e+00 -1.378846269125845177e-04 4.230616005106553779e+00
1.250000000000000000e+01 3.128576639753403832e+00 3.216160442133261466e+00 9.383719144235260130e-05 4.486834049656721390e+00
1.500000000000000000e+01 3.291191083228136804e+00 3.349409627508117548e+00 -6.691023401647231902e-05 4.695794246306096653e+00
1.750000000000000000e+01 3.425185593025113384e+00 3.453474576563554610e+00 4.736959488926968090e-05 4.863988384020000666e+00
2.000000000000000000e+01 3.535660475299256422e+00 3.535274875171113163e+00 -3.347029098176951902e-05 4.999906343195815950e+00
2.250000000000000000e+01 3.627731389243790794e+00 3.600898049586381156e+00 2.636916945219093777e-05 5.111448111515465520e+00
2.500000000000000000e+01 3.705549625496830313e+00 3.654892391829448695e+00 -1.653651045437575822e-05 5.204741724922183010e+00
2.750000000000000000e+01 3.772333849728250588e+00 3.700493745438986792e+00 1.608020853450685059e-05 5.284331238113030516e+00
3.000000000000000000e+01 3.830680790295117877e+00 3.739913807072070107e+00 -7.413115764607873429e-06 5.353603515532252111e+00
3.250000000000000000e+01 3.882369948360943290e+00 3.774330424426202146e+00 1.100482340253098298e-05 5.414643715777293309e+00
3.500000000000000000e+01 3.928671957894620537e+00 3.804534428000447832e+00 -3.208560528233550742e-06 5.468907163830680318e+00
3.750000000000000000e+01 3.970697417974955012e+00 3.831232052507784758e+00 7.741803135638793473e-06 5.517678590252963033e+00
4.000000000000000000e+01 4.009374494718016990e+00 3.855111673660315041e+00 -9.824599854637318205e-07 5.562101208652028284e+00
4.250000000000000000e+01 4.045464372646945250e+00 3.876858709389126467e+00 5.455315683523414189e-06 5.603196894894184155e+00
4.500000000000000000e+01 4.079436730302342440e+00 3.896877071703905848e+00 5.087127958499244345e-07 5.641582663447530344e+00
4.750000000000000000e+01 4.111539058934793545e+00 3.915237240895498072e+00 3.960284868530787869e-06 5.677485014128798468e+00
5.000000000000000000e+01 4.142205150327634477e+00 3.932128660648470220e+00 9.497045089146125528e-07 5.711348291891750861e+00
5.250000000000000000e+01 4.171825498310711033e+00 3.947746787516146494e+00 2.823392433496199011e-06 5.743590574432289486e+00
5.500000000000000000e+01 4.200652593554320191e+00 3.962267853209973545e+00 9.062889948555877696e-07 5.774517187810305430e+00
5.750000000000000000e+01 4.228739085928560293e+00 3.975858823022691446e+00 2.270556596042887407e-06 5.804281836495576385e+00
6.000000000000000000e+01 4.255972295233557467e+00 3.988610827271886095e+00 4.943766076085061772e-07 5.832865205816636589e+00
6.250000000000000000e+01 4.282361966563849265e+00 4.000638884956713603e+00 1.661192039277545062e-06 5.860352847781697960e+00
6.500000000000000000e+01 4.307974904644240155e+00 4.012034414883957290e+00 1.067731000035562010e-06 5.886855521011106873e+00
6.750000000000000000e+01 4.332993166231972282e+00 4.022978475721673775e+00 1.674616413521428778e-06 5.912629330064219424e+00
