time z Alpha
2.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+03 2.500000000000000000e+00 9.440442899207389382e-02
2.000000000000000000e+03 5.000000000000000000e+00 1.146942531760126865e-01
2.000000000000000000e+03 7.500000000000000000e+00 1.079217455283029703e-01
2.000000000000000000e+03 1.000000000000000000e+01 9.064795500601084688e-02
2.000000000000000000e+03 1.250000000000000000e+01 7.271903127422874036e-02
2.000000000000000000e+03 1.500000000000000000e+01 5.523729566572975480e-02
2.000000000000000000e+03 1.750000000000000000e+01 4.274593911161497783e-02
2.000000000000000000e+03 2.000000000000000000e+01 3.525950279568009632e-02
2.000000000000000000e+03 2.250000000000000000e+01 3.421228565380902281e-02
2.000000000000000000e+03 2.500000000000000000e+01 3.354495652794568794e-02
2.000000000000000000e+03 2.750000000000000000e+01 3.215187422406209916e-02
2.000000000000000000e+03 3.000000000000000000e+01 2.979944559802583451e-02
2.000000000000000000e+03 3.250000000000000000e+01 2.814508689593276172e-02
2.000000000000000000e+03 3.500000000000000000e+01 2.644880004120863520e-02
2.000000000000000000e+03 3.750000000000000000e+01 2.568463214750642959e-02
2.000000000000000000e+03 4.000000000000000000e+01 2.302911555735905752e-02
2.000000000000000000e+03 4.250000000000000000e+01 2.139661248537996427e-02
2.000000000000000000e+03 4.500000000000000000e+01 2.277035899655080464e-02
2.000000000000000000e+03 4.750000000000000000e+01 2.394470505936368079e-02
2.000000000000000000e+03 5.000000000000000000e+01 2.513871772650305356e-02
2.000000000000000000e+03 5.250000000000000000e+01 2.808974955792147010e-02
2.000000000000000000e+03 5.500000000000000000e+01 3.279927729584387192e-02
2.000000000000000000e+03 5.750000000000000000e+01 3.729523196539441532e-02
2.000000000000000000e+03 6.000000000000000000e+01 4.034001818319912086e-02
2.000000000000000000e+03 6.250000000000000000e+01 4.310645179651818870e-02
2.000000000000000000e+03 6.500000000000000000e+01 4.436401558765131620e-02
2.000000000000000000e+03 6.750000000000000000e+01 4.212753168652932229e-02
2.000000000000000000e+03 7.000000000000000000e+01 3.723703373438926739e-02
2.000000000000000000e+03 7.250000000000000000e+01 3.289607633526284158e-02
2.000000000000000000e+03 7.500000000000000000e+01 3.007369560719953469e-02
2.000000000000000000e+03 7.750000000000000000e+01 2.783666640345423826e-02
2.000000000000000000e+03 8.000000000000000000e+01 2.849042974052855975e-02
2.000000000000000000e+03 8.250000000000000000e+01 2.858929581065570644e-02
2.000000000000000000e+03 8.500000000000000000e+01 2.798107059199120977e-02
2.000000000000000000e+03 8.750000000000000000e+01 2.721485072854481005e-02
2.000000000000000000e+03 9.000000000000000000e+01 2.469150001180877088e-02
2.000000000000000000e+03 9.250000000000000000e+01 2.435789788194672387e-02
2.000000000000000000e+03 9.500000000000000000e+01 2.632008857557709483e-02
2.000000000000000000e+03 9.750000000000000000e+01 2.906308744568273164e-02
2.000000000000000000e+03 1.000000000000000000e+02 2.913320855758193967e-02
2.000000000000000000e+03 1.025000000000000000e+02 2.924224497553038274e-02
2.000000000000000000e+03 1.050000000000000000e+02 2.736134564347486933e-02
2.000000000000000000e+03 1.075000000000000000e+02 2.481327565727367568e-02
2.000000000000000000e+03 1.100000000000000000e+02 2.138117939335905035e-02
2.000000000000000000e+03 1.125000000000000000e+02 1.845166519312723546e-02
2.000000000000000000e+03 1.150000000000000000e+02 1.470227337659896910e-02
2.000000000000000000e+03 1.175000000000000000e+02 1.082728506220484964e-02
2.000000000000000000e+03 1.200000000000000000e+02 7.218577775494262883e-03
2.000000000000000000e+03 1.225000000000000000e+02 6.007506810530219461e-03
2.000000000000000000e+03 1.250000000000000000e+02 7.045455843408490564e-03
2.000000000000000000e+03 1.275000000000000000e+02 1.000907341370374688e-02
2.000000000000000000e+03 1.300000000000000000e+02 1.207582328245678308e-02
2.000000000000000000e+03 1.325000000000000000e+02 1.407897019938194640e-02
2.000000000000000000e+03 1.350000000000000000e+02 1.472311566967632671e-02
2.000000000000000000e+03 1.375000000000000000e+02 1.601198653920151566e-02
2.000000000000000000e+03 1.400000000000000000e+02 1.520480523972529523e-02
2.000000000000000000e+03 1.425000000000000000e+02 1.355643427862228238e-02
2.000000000000000000e+03 1.450000000000000000e+02 1.293242175850747508e-02
