time z TI
2.000000000000000000e+03 0.000000000000000000e+00 7.604043555859876791e-02
2.000000000000000000e+03 2.500000000000000000e+00 8.088354230754819796e-02
2.000000000000000000e+03 5.000000000000000000e+00 7.892827364979378146e-02
2.000000000000000000e+03 7.500000000000000000e+00 7.539887228786729123e-02
2.000000000000000000e+03 1.000000000000000000e+01 7.208955629127006270e-02
2.000000000000000000e+03 1.250000000000000000e+01 6.905023110222799354e-02
2.000000000000000000e+03 1.500000000000000000e+01 6.654191268960971128e-02
2.000000000000000000e+03 1.750000000000000000e+01 6.449841241246603851e-02
2.000000000000000000e+03 2.000000000000000000e+01 6.287363677000253059e-02
2.000000000000000000e+03 2.250000000000000000e+01 6.157119333782424403e-02
2.000000000000000000e+03 2.500000000000000000e+01 6.049364393707421655e-02
2.000000000000000000e+03 2.750000000000000000e+01 5.952392961605097038e-02
2.000000000000000000e+03 3.000000000000000000e+01 5.859611123264932275e-02
2.000000000000000000e+03 3.250000000000000000e+01 5.766018910194255220e-02
2.000000000000000000e+03 3.500000000000000000e+01 5.672837629056571435e-02
2.000000000000000000e+03 3.750000000000000000e+01 5.574653116869122266e-02
2.000000000000000000e+03 4.000000000000000000e+01 5.476276248058965096e-02
2.000000000000000000e+03 4.250000000000000000e+01 5.384554153953080569e-02
2.000000000000000000e+03 4.500000000000000000e+01 5.293756674966230286e-02
2.000000000000000000e+03 4.750000000000000000e+01 5.199486326576021472e-02
2.000000000000000000e+03 5.000000000000000000e+01 5.108497378474950723e-02
2.000000000000000000e+03 5.250000000000000000e+01 5.017126477630429182e-02
2.000000000000000000e+03 5.500000000000000000e+01 4.921745979449591163e-02
2.000000000000000000e+03 5.750000000000000000e+01 4.822578737046787772e-02
2.000000000000000000e+03 6.000000000000000000e+01 4.724370392050520479e-02
2.000000000000000000e+03 6.250000000000000000e+01 4.631874172692885400e-02
2.000000000000000000e+03 6.500000000000000000e+01 4.548163682289102505e-02
2.000000000000000000e+03 6.750000000000000000e+01 4.473801890763177969e-02
2.000000000000000000e+03 7.000000000000000000e+01 4.408130577808959394e-02
2.000000000000000000e+03 7.250000000000000000e+01 4.351111641667979729e-02
2.000000000000000000e+03 7.500000000000000000e+01 4.300141777834921158e-02
2.000000000000000000e+03 7.750000000000000000e+01 4.252985221008550448e-02
2.000000000000000000e+03 8.000000000000000000e+01 4.210547004238186092e-02
2.000000000000000000e+03 8.250000000000000000e+01 4.172499348141835152e-02
2.000000000000000000e+03 8.500000000000000000e+01 4.137333786751248160e-02
2.000000000000000000e+03 8.750000000000000000e+01 4.101832891783070700e-02
2.000000000000000000e+03 9.000000000000000000e+01 4.065577820147230070e-02
2.000000000000000000e+03 9.250000000000000000e+01 4.028533793422344605e-02
2.000000000000000000e+03 9.500000000000000000e+01 3.989915798128906149e-02
2.000000000000000000e+03 9.750000000000000000e+01 3.951674376606559985e-02
2.000000000000000000e+03 1.000000000000000000e+02 3.916863444943718270e-02
2.000000000000000000e+03 1.025000000000000000e+02 3.885165539845000793e-02
2.000000000000000000e+03 1.050000000000000000e+02 3.853719634310509567e-02
2.000000000000000000e+03 1.075000000000000000e+02 3.822243058406307736e-02
2.000000000000000000e+03 1.100000000000000000e+02 3.792536056882539475e-02
2.000000000000000000e+03 1.125000000000000000e+02 3.764371585896222894e-02
2.000000000000000000e+03 1.150000000000000000e+02 3.736386324336658793e-02
2.000000000000000000e+03 1.175000000000000000e+02 3.710348994482488144e-02
2.000000000000000000e+03 1.200000000000000000e+02 3.689385791679147125e-02
2.000000000000000000e+03 1.225000000000000000e+02 3.672701860280176700e-02
2.000000000000000000e+03 1.250000000000000000e+02 3.657778267713754361e-02
2.000000000000000000e+03 1.275000000000000000e+02 3.642240161010573685e-02
2.000000000000000000e+03 1.300000000000000000e+02 3.623943696620095245e-02
2.000000000000000000e+03 1.325000000000000000e+02 3.603138567204430126e-02
2.000000000000000000e+03 1.350000000000000000e+02 3.580798334206854172e-02
2.000000000000000000e+03 1.375000000000000000e+02 3.558307964258229650e-02
2.000000000000000000e+03 1.400000000000000000e+02 3.536071500236900172e-02
2.000000000000000000e+03 1.425000000000000000e+02 3.514044187356604038e-02
2.000000000000000000e+03 1.450000000000000000e+02 3.492795643583643944e-02
2.000000000000000000e+03 1.475000000000000000e+02 3.472480834511865871e-02
2.000000000000000000e+03 1.500000000000000000e+02 3.452167410466205205e-02
2.000000000000000000e+03 1.525000000000000000e+02 3.431084349712918563e-02
2.000000000000000000e+03 1.550000000000000000e+02 3.410398022427133663e-02
2.000000000000000000e+03 1.575000000000000000e+02 3.393476093789634523e-02
2.000000000000000000e+03 1.600000000000000000e+02 3.379874441463578266e-02
2.000000000000000000e+03 1.625000000000000000e+02 3.365886738044311655e-02
2.000000000000000000e+03 1.650000000000000000e+02 3.349149465070489634e-02
2.000000000000000000e+03 1.675000000000000000e+02 3.329327286064601849e-02
2.000000000000000000e+03 1.700000000000000000e+02 3.306391973954350694e-02
2.000000000000000000e+03 1.725000000000000000e+02 3.278820062855133943e-02
2.000000000000000000e+03 1.750000000000000000e+02 3.246877252008308762e-02
2.000000000000000000e+03 1.775000000000000000e+02 3.213996754255794147e-02
2.000000000000000000e+03 1.800000000000000000e+02 3.181132099227932525e-02
2.000000000000000000e+03 1.825000000000000000e+02 3.148060831275852067e-02
2.000000000000000000e+03 1.850000000000000000e+02 3.115891460216520595e-02
2.000000000000000000e+03 1.875000000000000000e+02 3.085297287636922306e-02
2.000000000000000000e+03 1.900000000000000000e+02 3.054816443760721353e-02
