time z veer
2.000000000000000000e+03 0.000000000000000000e+00 2.248544012433581258e+02
2.000000000000000000e+03 2.500000000000000000e+00 2.248946662945922981e+02
2.000000000000000000e+03 5.000000000000000000e+00 2.249388602087546474e+02
2.000000000000000000e+03 7.500000000000000000e+00 2.249691146381272802e+02
2.000000000000000000e+03 1.000000000000000000e+01 2.249821194248495146e+02
2.000000000000000000e+03 1.250000000000000000e+01 2.249842457741092119e+02
2.000000000000000000e+03 1.500000000000000000e+01 2.249841025429132912e+02
2.000000000000000000e+03 1.750000000000000000e+01 2.249895352496609746e+02
2.000000000000000000e+03 2.000000000000000000e+01 2.250026978052267737e+02
2.000000000000000000e+03 2.250000000000000000e+01 2.250238936458065382e+02
2.000000000000000000e+03 2.500000000000000000e+01 2.250539888413252640e+02
2.000000000000000000e+03 2.750000000000000000e+01 2.250862867398136302e+02
2.000000000000000000e+03 3.000000000000000000e+01 2.251127049920862646e+02
2.000000000000000000e+03 3.250000000000000000e+01 2.251373284400816317e+02
2.000000000000000000e+03 3.500000000000000000e+01 2.251594516019914067e+02
2.000000000000000000e+03 3.750000000000000000e+01 2.251787484873934488e+02
2.000000000000000000e+03 4.000000000000000000e+01 2.251989328917654802e+02
2.000000000000000000e+03 4.250000000000000000e+01 2.252167387184606469e+02
2.000000000000000000e+03 4.500000000000000000e+01 2.252308184449332771e+02
2.000000000000000000e+03 4.750000000000000000e+01 2.252447417862666441e+02
2.000000000000000000e+03 5.000000000000000000e+01 2.252605738095561776e+02
2.000000000000000000e+03 5.250000000000000000e+01 2.252755964247433269e+02
2.000000000000000000e+03 5.500000000000000000e+01 2.252889963127559554e+02
2.000000000000000000e+03 5.750000000000000000e+01 2.253052103213119040e+02
2.000000000000000000e+03 6.000000000000000000e+01 2.253226123508336229e+02
2.000000000000000000e+03 6.250000000000000000e+01 2.253358194749152119e+02
2.000000000000000000e+03 6.500000000000000000e+01 2.253468561829413659e+02
2.000000000000000000e+03 6.750000000000000000e+01 2.253551673832248241e+02
2.000000000000000000e+03 7.000000000000000000e+01 2.253601258943676839e+02
2.000000000000000000e+03 7.250000000000000000e+01 2.253634804796537026e+02
2.000000000000000000e+03 7.500000000000000000e+01 2.253669409790248608e+02
2.000000000000000000e+03 7.750000000000000000e+01 2.253702153922806701e+02
2.000000000000000000e+03 8.000000000000000000e+01 2.253772616898552599e+02
2.000000000000000000e+03 8.250000000000000000e+01 2.253888808749684642e+02
2.000000000000000000e+03 8.500000000000000000e+01 2.254029282618351431e+02
2.000000000000000000e+03 8.750000000000000000e+01 2.254176342306355139e+02
2.000000000000000000e+03 9.000000000000000000e+01 2.254312999689913681e+02
2.000000000000000000e+03 9.250000000000000000e+01 2.254446649045964932e+02
2.000000000000000000e+03 9.500000000000000000e+01 2.254574823453612282e+02
2.000000000000000000e+03 9.750000000000000000e+01 2.254696811535872030e+02
2.000000000000000000e+03 1.000000000000000000e+02 2.254803144763070577e+02
2.000000000000000000e+03 1.025000000000000000e+02 2.254885915741053566e+02
2.000000000000000000e+03 1.050000000000000000e+02 2.254957242220138482e+02
2.000000000000000000e+03 1.075000000000000000e+02 2.255033841210295122e+02
2.000000000000000000e+03 1.100000000000000000e+02 2.255129413415671138e+02
2.000000000000000000e+03 1.125000000000000000e+02 2.255240683054763053e+02
2.000000000000000000e+03 1.150000000000000000e+02 2.255359579950036277e+02
2.000000000000000000e+03 1.175000000000000000e+02 2.255455663673194806e+02
2.000000000000000000e+03 1.200000000000000000e+02 2.255525962232260611e+02
2.000000000000000000e+03 1.225000000000000000e+02 2.255570193593963495e+02
2.000000000000000000e+03 1.250000000000000000e+02 2.255594963240099844e+02
2.000000000000000000e+03 1.275000000000000000e+02 2.255589141948443341e+02
2.000000000000000000e+03 1.300000000000000000e+02 2.255554891998745575e+02
2.000000000000000000e+03 1.325000000000000000e+02 2.255491967443137469e+02
2.000000000000000000e+03 1.350000000000000000e+02 2.255413885909323426e+02
2.000000000000000000e+03 1.375000000000000000e+02 2.255330094690808096e+02
2.000000000000000000e+03 1.400000000000000000e+02 2.255268758833265395e+02
2.000000000000000000e+03 1.425000000000000000e+02 2.255233604162540075e+02
2.000000000000000000e+03 1.450000000000000000e+02 2.255208115942357381e+02
2.000000000000000000e+03 1.475000000000000000e+02 2.255163124548023461e+02
2.000000000000000000e+03 1.500000000000000000e+02 2.255090882248455841e+02
2.000000000000000000e+03 1.525000000000000000e+02 2.254983457153695099e+02
2.000000000000000000e+03 1.550000000000000000e+02 2.254839250614715809e+02
2.000000000000000000e+03 1.575000000000000000e+02 2.254672706228863319e+02
2.000000000000000000e+03 1.600000000000000000e+02 2.254503179431453930e+02
2.000000000000000000e+03 1.625000000000000000e+02 2.254357015664428161e+02
2.000000000000000000e+03 1.650000000000000000e+02 2.254250486400030979e+02
2.000000000000000000e+03 1.675000000000000000e+02 2.254181524293227312e+02
2.000000000000000000e+03 1.700000000000000000e+02 2.254126278902080571e+02
2.000000000000000000e+03 1.725000000000000000e+02 2.254070260795957097e+02
2.000000000000000000e+03 1.750000000000000000e+02 2.254016563322444711e+02
2.000000000000000000e+03 1.775000000000000000e+02 2.253975498142124536e+02
2.000000000000000000e+03 1.800000000000000000e+02 2.253947979471268184e+02
2.000000000000000000e+03 1.825000000000000000e+02 2.253930509182688979e+02
2.000000000000000000e+03 1.850000000000000000e+02 2.253910216526414558e+02
2.000000000000000000e+03 1.875000000000000000e+02 2.253878555348368877e+02
2.000000000000000000e+03 1.900000000000000000e+02 2.253827929659489655e+02
2.000000000000000000e+03 1.925000000000000000e+02 2.253750067618548201e+02
2.000000000000000000e+03 1.950000000000000000e+02 2.253648295343452048e+02
2.000000000000000000e+03 1.975000000000000000e+02 2.253533599519583106e+02
2.000000000000000000e+03 2.000000000000000000e+02 2.253435179630927223e+02
2.000000000000000000e+03 2.025000000000000000e+02 2.253389936668538667e+02
2.000000000000000000e+03 2.050000000000000000e+02 2.253409228394116894e+02
2.000000000000000000e+03 2.075000000000000000e+02 2.253470080792058923e+02
2.000000000000000000e+03 2.100000000000000000e+02 2.253547849016895270e+02
2.000000000000000000e+03 2.125000000000000000e+02 2.253627494647751064e+02
2.000000000000000000e+03 2.150000000000000000e+02 2.253692764826466828e+02
2.000000000000000000e+03 2.175000000000000000e+02 2.253735083672831365e+02
2.000000000000000000e+03 2.200000000000000000e+02 2.253742821799097840e+02
2.000000000000000000e+03 2.225000000000000000e+02 2.253708605676599461e+02
2.000000000000000000e+03 2.250000000000000000e+02 2.253638519208007835e+02
2.000000000000000000e+03 2.275000000000000000e+02 2.253559417318478495e+02
2.000000000000000000e+03 2.300000000000000000e+02 2.253493233058212297e+02
2.000000000000000000e+03 2.325000000000000000e+02 2.253441548826886844e+02
2.000000000000000000e+03 2.350000000000000000e+02 2.253393243609602337e+02
2.000000000000000000e+03 2.375000000000000000e+02 2.253342236042428794e+02
2.000000000000000000e+03 2.400000000000000000e+02 2.253283633510895640e+02
2.000000000000000000e+03 2.425000000000000000e+02 2.253222054064644340e+02
2.000000000000000000e+03 2.450000000000000000e+02 2.253170715961595079e+02
2.000000000000000000e+03 2.475000000000000000e+02 2.253134072709405302e+02
2.000000000000000000e+03 2.500000000000000000e+02 2.253117817096340616e+02
2.000000000000000000e+03 2.525000000000000000e+02 2.253131581665581677e+02
2.000000000000000000e+03 2.550000000000000000e+02 2.253181192668761810e+02
2.000000000000000000e+03 2.575000000000000000e+02 2.253264127181758170e+02
2.000000000000000000e+03 2.600000000000000000e+02 2.253363951187152168e+02
2.000000000000000000e+03 2.625000000000000000e+02 2.253473651831042730e+02
2.000000000000000000e+03 2.650000000000000000e+02 2.253593239365457066e+02
2.000000000000000000e+03 2.675000000000000000e+02 2.253726007337442354e+02
2.000000000000000000e+03 2.700000000000000000e+02 2.253879626281306514e+02
2.000000000000000000e+03 2.725000000000000000e+02 2.254062024103479303e+02
2.000000000000000000e+03 2.750000000000000000e+02 2.254255099748725684e+02
2.000000000000000000e+03 2.775000000000000000e+02 2.254429030176845004e+02
2.000000000000000000e+03 2.800000000000000000e+02 2.254577193954528980e+02
2.000000000000000000e+03 2.825000000000000000e+02 2.254710008566895567e+02
2.000000000000000000e+03 2.850000000000000000e+02 2.254834077977008917e+02
2.000000000000000000e+03 2.875000000000000000e+02 2.254945526294349349e+02
2.000000000000000000e+03 2.900000000000000000e+02 2.255037862525894354e+02
2.000000000000000000e+03 2.925000000000000000e+02 2.255121348404941841e+02
2.000000000000000000e+03 2.950000000000000000e+02 2.255206161078284879e+02
2.000000000000000000e+03 2.975000000000000000e+02 2.255290694013945938e+02
2.000000000000000000e+03 3.000000000000000000e+02 2.255358506968463246e+02
2.000000000000000000e+03 3.025000000000000000e+02 2.255391845712963459e+02
2.000000000000000000e+03 3.050000000000000000e+02 2.255391668604770814e+02
2.000000000000000000e+03 3.075000000000000000e+02 2.255373055143714112e+02
2.000000000000000000e+03 3.100000000000000000e+02 2.255349282704340794e+02
2.000000000000000000e+03 3.125000000000000000e+02 2.255331134176769012e+02
2.000000000000000000e+03 3.150000000000000000e+02 2.255320218008005497e+02
2.000000000000000000e+03 3.175000000000000000e+02 2.255317638248766912e+02
2.000000000000000000e+03 3.200000000000000000e+02 2.255322468894510166e+02
2.000000000000000000e+03 3.225000000000000000e+02 2.255325684048404185e+02
2.000000000000000000e+03 3.250000000000000000e+02 2.255318809831935027e+02
2.000000000000000000e+03 3.275000000000000000e+02 2.255298411735328727e+02
2.000000000000000000e+03 3.300000000000000000e+02 2.255269718518017612e+02
2.000000000000000000e+03 3.325000000000000000e+02 2.255234811240189572e+02
2.000000000000000000e+03 3.350000000000000000e+02 2.255192842086838994e+02
2.000000000000000000e+03 3.375000000000000000e+02 2.255143913913074130e+02
2.000000000000000000e+03 3.400000000000000000e+02 2.255093512833070406e+02
2.000000000000000000e+03 3.425000000000000000e+02 2.255042198000680571e+02
2.000000000000000000e+03 3.450000000000000000e+02 2.254996723553140328e+02
2.000000000000000000e+03 3.475000000000000000e+02 2.254956563093805642e+02
2.000000000000000000e+03 3.500000000000000000e+02 2.254917955417247128e+02
2.000000000000000000e+03 3.525000000000000000e+02 2.254875222034316664e+02
2.000000000000000000e+03 3.550000000000000000e+02 2.254824883306087031e+02
2.000000000000000000e+03 3.575000000000000000e+02 2.254764415263159663e+02
2.000000000000000000e+03 3.600000000000000000e+02 2.254705062985516122e+02
2.000000000000000000e+03 3.625000000000000000e+02 2.254660082890760009e+02
2.000000000000000000e+03 3.650000000000000000e+02 2.254635283095741727e+02
2.000000000000000000e+03 3.675000000000000000e+02 2.254620440222276443e+02
2.000000000000000000e+03 3.700000000000000000e+02 2.254610382801481023e+02
2.000000000000000000e+03 3.725000000000000000e+02 2.254599492400471092e+02
2.000000000000000000e+03 3.750000000000000000e+02 2.254590558414877250e+02
2.000000000000000000e+03 3.775000000000000000e+02 2.254580475797022530e+02
2.000000000000000000e+03 3.800000000000000000e+02 2.254572705121137517e+02
2.000000000000000000e+03 3.825000000000000000e+02 2.254563687035307282e+02
2.000000000000000000e+03 3.850000000000000000e+02 2.254557808280183906e+02
2.000000000000000000e+03 3.875000000000000000e+02 2.254550718731999268e+02
2.000000000000000000e+03 3.900000000000000000e+02 2.254547060002268495e+02
2.000000000000000000e+03 3.925000000000000000e+02 2.254541551780063173e+02
2.000000000000000000e+03 3.950000000000000000e+02 2.254539613794501065e+02
2.000000000000000000e+03 3.975000000000000000e+02 2.254535458370382912e+02
2.000000000000000000e+03 4.000000000000000000e+02 2.254535389969904884e+02
2.000000000000000000e+03 4.025000000000000000e+02 2.254532757194511987e+02
2.000000000000000000e+03 4.050000000000000000e+02 2.254534443462684692e+02
2.000000000000000000e+03 4.075000000000000000e+02 2.254532525743420024e+02
2.000000000000000000e+03 4.100000000000000000e+02 2.254534811072286402e+02
2.000000000000000000e+03 4.125000000000000000e+02 2.254532666530534755e+02
2.000000000000000000e+03 4.150000000000000000e+02 2.254535206283247248e+02
2.000000000000000000e+03 4.175000000000000000e+02 2.254532733081301785e+02
2.000000000000000000e+03 4.200000000000000000e+02 2.254535565879914998e+02
2.000000000000000000e+03 4.225000000000000000e+02 2.254532733571535914e+02
2.000000000000000000e+03 4.250000000000000000e+02 2.254535903592379213e+02
2.000000000000000000e+03 4.275000000000000000e+02 2.254532676508395639e+02
2.000000000000000000e+03 4.300000000000000000e+02 2.254536231404492810e+02
2.000000000000000000e+03 4.325000000000000000e+02 2.254532568304804840e+02
2.000000000000000000e+03 4.350000000000000000e+02 2.254536559203526451e+02
2.000000000000000000e+03 4.375000000000000000e+02 2.254532412798373571e+02
2.000000000000000000e+03 4.400000000000000000e+02 2.254536895104535574e+02
2.000000000000000000e+03 4.425000000000000000e+02 2.254532211885693300e+02
2.000000000000000000e+03 4.450000000000000000e+02 2.254537246105821282e+02
2.000000000000000000e+03 4.475000000000000000e+02 2.254531966014266686e+02
2.000000000000000000e+03 4.500000000000000000e+02 2.254537618513250550e+02
2.000000000000000000e+03 4.525000000000000000e+02 2.254531674509322556e+02
2.000000000000000000e+03 4.550000000000000000e+02 2.254538018246420279e+02
2.000000000000000000e+03 4.575000000000000000e+02 2.254531335759677972e+02
2.000000000000000000e+03 4.600000000000000000e+02 2.254538451035722346e+02
2.000000000000000000e+03 4.625000000000000000e+02 2.254530947353190697e+02
2.000000000000000000e+03 4.650000000000000000e+02 2.254538922584933118e+02
2.000000000000000000e+03 4.675000000000000000e+02 2.254530506151819793e+02
2.000000000000000000e+03 4.700000000000000000e+02 2.254539438692216322e+02
2.000000000000000000e+03 4.725000000000000000e+02 2.254530008345689112e+02
2.000000000000000000e+03 4.750000000000000000e+02 2.254540005347604392e+02
2.000000000000000000e+03 4.775000000000000000e+02 2.254529449475449212e+02
2.000000000000000000e+03 4.800000000000000000e+02 2.254540628819647736e+02
2.000000000000000000e+03 4.825000000000000000e+02 2.254528824441155450e+02
2.000000000000000000e+03 4.850000000000000000e+02 2.254541315728051813e+02
2.000000000000000000e+03 4.875000000000000000e+02 2.254528127506162605e+02
2.000000000000000000e+03 4.900000000000000000e+02 2.254542073113413494e+02
2.000000000000000000e+03 4.925000000000000000e+02 2.254527352273366319e+02
2.000000000000000000e+03 4.950000000000000000e+02 2.254542908500968394e+02
2.000000000000000000e+03 4.975000000000000000e+02 2.254526491671973929e+02
2.000000000000000000e+03 5.000000000000000000e+02 2.254543829957045489e+02
2.000000000000000000e+03 5.025000000000000000e+02 2.254525537925809999e+02
2.000000000000000000e+03 5.050000000000000000e+02 2.254544846154381048e+02
2.000000000000000000e+03 5.075000000000000000e+02 2.254524482517792592e+02
2.000000000000000000e+03 5.100000000000000000e+02 2.254545966426693724e+02
2.000000000000000000e+03 5.125000000000000000e+02 2.254523316154051997e+02
2.000000000000000000e+03 5.150000000000000000e+02 2.254547200831798364e+02
2.000000000000000000e+03 5.175000000000000000e+02 2.254522028714576436e+02
2.000000000000000000e+03 5.200000000000000000e+02 2.254548560212604116e+02
2.000000000000000000e+03 5.225000000000000000e+02 2.254520609208534552e+02
2.000000000000000000e+03 5.250000000000000000e+02 2.254550056253559092e+02
2.000000000000000000e+03 5.275000000000000000e+02 2.254519045722648514e+02
2.000000000000000000e+03 5.300000000000000000e+02 2.254551701553760097e+02
2.000000000000000000e+03 5.325000000000000000e+02 2.254517325358800406e+02
2.000000000000000000e+03 5.350000000000000000e+02 2.254553509682866661e+02
2.000000000000000000e+03 5.375000000000000000e+02 2.254515434177076258e+02
2.000000000000000000e+03 5.400000000000000000e+02 2.254555495263109606e+02
2.000000000000000000e+03 5.425000000000000000e+02 2.254513357122742434e+02
2.000000000000000000e+03 5.450000000000000000e+02 2.254557674030758392e+02
2.000000000000000000e+03 5.475000000000000000e+02 2.254511077974619866e+02
2.000000000000000000e+03 5.500000000000000000e+02 2.254560062910779550e+02
2.000000000000000000e+03 5.525000000000000000e+02 2.254508579256995517e+02
2.000000000000000000e+03 5.550000000000000000e+02 2.254562680099789134e+02
2.000000000000000000e+03 5.575000000000000000e+02 2.254505842168354377e+02
2.000000000000000000e+03 5.600000000000000000e+02 2.254565545141456937e+02
2.000000000000000000e+03 5.625000000000000000e+02 2.254502846505023115e+02
2.000000000000000000e+03 5.650000000000000000e+02 2.254568679016102237e+02
2.000000000000000000e+03 5.675000000000000000e+02 2.254499570569174978e+02
2.000000000000000000e+03 5.700000000000000000e+02 2.254572104221588802e+02
2.000000000000000000e+03 5.725000000000000000e+02 2.254495991087190987e+02
2.000000000000000000e+03 5.750000000000000000e+02 2.254575844868031709e+02
2.000000000000000000e+03 5.775000000000000000e+02 2.254492083115157754e+02
2.000000000000000000e+03 5.800000000000000000e+02 2.254579926775955983e+02
2.000000000000000000e+03 5.825000000000000000e+02 2.254487819943173577e+02
2.000000000000000000e+03 5.850000000000000000e+02 2.254584377565740283e+02
2.000000000000000000e+03 5.875000000000000000e+02 2.254483172995654172e+02
2.000000000000000000e+03 5.900000000000000000e+02 2.254589226767546677e+02
2.000000000000000000e+03 5.925000000000000000e+02 2.254478111725995291e+02
2.000000000000000000e+03 5.950000000000000000e+02 2.254594505925586532e+02
2.000000000000000000e+03 5.975000000000000000e+02 2.254472603509599935e+02
2.000000000000000000e+03 6.000000000000000000e+02 2.254600248705029060e+02
2.000000000000000000e+03 6.025000000000000000e+02 2.254466613529467054e+02
2.000000000000000000e+03 6.050000000000000000e+02 2.254606491007922102e+02
2.000000000000000000e+03 6.075000000000000000e+02 2.254460104662751405e+02
2.000000000000000000e+03 6.100000000000000000e+02 2.254613271093860192e+02
2.000000000000000000e+03 6.125000000000000000e+02 2.254453037352860179e+02
2.000000000000000000e+03 6.150000000000000000e+02 2.254620629698173104e+02
2.000000000000000000e+03 6.175000000000000000e+02 2.254445369492985947e+02
2.000000000000000000e+03 6.200000000000000000e+02 2.254628610159243181e+02
2.000000000000000000e+03 6.225000000000000000e+02 2.254437056287865460e+02
2.000000000000000000e+03 6.250000000000000000e+02 2.254637258546475209e+02
2.000000000000000000e+03 6.275000000000000000e+02 2.254428050124789991e+02
2.000000000000000000e+03 6.300000000000000000e+02 2.254646623803105570e+02
