time z uu uv uw vv vw ww tke
2.000000000000000000e+03 0.000000000000000000e+00 1.007396332789847054e-01 4.342407221236826292e-02 1.248207893241363401e-04 9.597829869941598702e-02 1.291702729707180626e-04 1.479249660724094902e-05 9.836636223750397368e-02
2.000000000000000000e+03 2.500000000000000000e+00 1.568150388064402101e-01 8.898489025351563608e-02 -5.027774484226632361e-03 1.496941106823544143e-01 -4.898627055056553950e-03 1.107539982359685184e-03 1.538083447355771405e-01
2.000000000000000000e+03 5.000000000000000000e+00 1.768625846216811126e-01 1.084288470628892442e-01 -1.079120562877887088e-02 1.692233252775331431e-01 -1.044300729757897082e-02 4.755186576801711217e-03 1.754205482380079839e-01
2.000000000000000000e+03 7.500000000000000000e+00 1.781005237796321472e-01 1.116239818165006142e-01 -1.375660027138606717e-02 1.708546732077399488e-01 -1.322134911999676629e-02 8.984718661756622635e-03 1.789699578245643463e-01
2.000000000000000000e+03 1.000000000000000000e+01 1.717037096189958645e-01 1.073137923033167657e-01 -1.555036606041365448e-02 1.656216183908731654e-01 -1.490385150764004379e-02 1.384901331918781363e-02 1.755871706645284192e-01
2.000000000000000000e+03 1.250000000000000000e+01 1.615826587625291411e-01 9.913026513518642668e-02 -1.616072320266087950e-02 1.571872845409898189e-01 -1.548138140420195728e-02 1.818557443765188297e-02 1.684777588705854146e-01
2.000000000000000000e+03 1.500000000000000000e+01 1.518386879487843011e-01 8.929803639211326971e-02 -1.639673430033895818e-02 1.478997388005726943e-01 -1.573795216339242756e-02 2.234951607115581718e-02 1.610439714102564202e-01
2.000000000000000000e+03 1.750000000000000000e+01 1.436178086633458084e-01 7.919907058208848494e-02 -1.619463892114346090e-02 1.388478931115362802e-01 -1.560319189752494215e-02 2.574079607789706362e-02 1.541032489263895744e-01
2.000000000000000000e+03 2.000000000000000000e+01 1.368806044676174338e-01 6.939442409744268903e-02 -1.587501540768102709e-02 1.309653897877765538e-01 -1.535123571327953740e-02 2.861589242018967513e-02 1.482309433377918539e-01
2.000000000000000000e+03 2.250000000000000000e+01 1.311729241143625713e-01 5.980844400466364674e-02 -1.538318489265967995e-02 1.249402576932502618e-01 -1.492817079848730334e-02 3.070500542497145782e-02 1.434090936162921437e-01
2.000000000000000000e+03 2.500000000000000000e+01 1.261679702407091652e-01 5.061579815436931945e-02 -1.488215292862627923e-02 1.206877056887369487e-01 -1.449326878314109203e-02 3.212016809324590855e-02 1.394879220113460216e-01
2.000000000000000000e+03 2.750000000000000000e+01 1.218130363802473470e-01 4.258515685968382314e-02 -1.439690232711785152e-02 1.173569251578057415e-01 -1.404602883423482218e-02 3.274875360917283568e-02 1.359593575736129656e-01
2.000000000000000000e+03 3.000000000000000000e+01 1.179532157327518177e-01 3.678748672152207938e-02 -1.395250599192356805e-02 1.142327380639886342e-01 -1.363566924976486114e-02 3.286452528401550416e-02 1.325252395403779815e-01
2.000000000000000000e+03 3.250000000000000000e+01 1.143868814354232211e-01 3.286898717535171460e-02 -1.351341547931754310e-02 1.109252044496919914e-01 -1.323097840273750915e-02 3.261527284677882832e-02 1.289636793659470204e-01
2.000000000000000000e+03 3.500000000000000000e+01 1.111638927595280657e-01 2.979515634432524859e-02 -1.310617144109611255e-02 1.073490862199117934e-01 -1.284445861736960466e-02 3.222750544639555598e-02 1.253702422129177041e-01
2.000000000000000000e+03 3.750000000000000000e+01 1.078967955337120366e-01 2.709267718676332606e-02 -1.269092934030875523e-02 1.034176714487564513e-01 -1.246437780940939412e-02 3.173733295123799120e-02 1.215258999668532292e-01
2.000000000000000000e+03 4.000000000000000000e+01 1.046587709833658592e-01 2.502033350565436784e-02 -1.227206686253942344e-02 9.946556783030376103e-02 -1.207292450662121770e-02 3.122872738353938901e-02 1.176765330986044994e-01
2.000000000000000000e+03 4.250000000000000000e+01 1.016518682159969073e-01 2.348216294065385776e-02 -1.186467289910452666e-02 9.583939630442635249e-02 -1.168197398782609003e-02 3.069943610461646141e-02 1.140953503125198554e-01
2.000000000000000000e+03 4.500000000000000000e+01 9.850762268986333614e-02 2.209832395899966051e-02 -1.144473478690158363e-02 9.240776142904519319e-02 -1.127686082745667402e-02 3.019998682394699208e-02 1.105576854714277468e-01
2.000000000000000000e+03 4.750000000000000000e+01 9.499107079932989084e-02 2.068019770097921303e-02 -1.102969861854909660e-02 8.910362807487924586e-02 -1.088635216765514689e-02 2.975564459192422614e-02 1.069251717330666901e-01
2.000000000000000000e+03 5.000000000000000000e+01 9.150337867938929115e-02 1.951857764683481711e-02 -1.062788526299647193e-02 8.606667224110714498e-02 -1.049465830185894455e-02 2.938182571237446181e-02 1.034759383164354507e-01
2.000000000000000000e+03 5.250000000000000000e+01 8.797276541836218655e-02 1.851543573924988723e-02 -1.023704085672565503e-02 8.302728373493707681e-02 -1.011156228979735727e-02 2.911704733167140915e-02 1.000585482424853345e-01
2.000000000000000000e+03 5.500000000000000000e+01 8.413108263072494042e-02 1.742933525372746331e-02 -9.846903769940393292e-03 7.998083631219211898e-02 -9.728713410075353826e-03 2.898419741245310613e-02 9.654805817768508103e-02
2.000000000000000000e+03 5.750000000000000000e+01 7.997082513354801525e-02 1.620879405269725834e-02 -9.458480079099813517e-03 7.701856604736913303e-02 -9.366171979413834281e-03 2.895701839475938247e-02 9.297320478783827058e-02
2.000000000000000000e+03 6.000000000000000000e+01 7.589715348938470829e-02 1.507172288520361100e-02 -9.092581074211928890e-03 7.410274500900015937e-02 -9.010151243058032999e-03 2.902948872700742561e-02 8.951469361269613623e-02
2.000000000000000000e+03 6.250000000000000000e+01 7.218552293452995539e-02 1.395692058944869411e-02 -8.740107080246981366e-03 7.123898862473899973e-02 -8.678457945803304263e-03 2.924222523890881997e-02 8.633336839908888061e-02
2.000000000000000000e+03 6.500000000000000000e+01 6.897696081470901242e-02 1.276394364448173169e-02 -8.404543338726908064e-03 6.845169816267222818e-02 -8.368573051727633272e-03 2.962797597993096707e-02 8.352831747865610557e-02
2.000000000000000000e+03 6.750000000000000000e+01 6.610166192096698923e-02 1.159211435748043820e-02 -8.079633109831818247e-03 6.591990894868883510e-02 -8.079531181433660669e-03 3.016910074002752962e-02 8.109533580484168391e-02
2.000000000000000000e+03 7.000000000000000000e+01 6.340165198853880968e-02 1.069807533130679236e-02 -7.766723355126042838e-03 6.371956327986313950e-02 -7.803041114178324057e-03 3.083454239775787822e-02 7.897787883307991197e-02
2.000000000000000000e+03 7.250000000000000000e+01 6.090067455489583254e-02 1.000242646722708691e-02 -7.457528453141255148e-03 6.179810640622897949e-02 -7.533626032319497637e-03 3.160670860866904991e-02 7.715274478489693444e-02
2.000000000000000000e+03 7.500000000000000000e+01 5.852339787648534047e-02 9.401802013903419117e-03 -7.158302596053797533e-03 6.005523047677231024e-02 -7.271513689375853559e-03 3.247501203624337390e-02 7.552682019475051578e-02
2.000000000000000000e+03 7.750000000000000000e+01 5.626829489942979101e-02 8.915786215552222102e-03 -6.872994957855114995e-03 5.838800586502525258e-02 -7.017359520519227470e-03 3.339890439090027752e-02 7.402760257767765362e-02
2.000000000000000000e+03 8.000000000000000000e+01 5.429563027409069903e-02 8.553515416019829079e-03 -6.602606992886776716e-03 5.673204212348985365e-02 -6.773200525629303158e-03 3.434828194669424517e-02 7.268797717213740239e-02
2.000000000000000000e+03 8.250000000000000000e+01 5.257152196654932275e-02 8.269986101013326180e-03 -6.353206260221729712e-03 5.517315641573806995e-02 -6.544012417753273039e-03 3.527015256815790867e-02 7.150741547522265762e-02
2.000000000000000000e+03 8.500000000000000000e+01 5.100313706495268606e-02 7.979144887113450921e-03 -6.120655603918475143e-03 5.368513797324010045e-02 -6.327401954209057114e-03 3.616982017425083434e-02 7.042904760622180349e-02
2.000000000000000000e+03 8.750000000000000000e+01 4.938759987049456263e-02 7.661707501343460909e-03 -5.897714661015014508e-03 5.225880548070599430e-02 -6.111971898768642740e-03 3.703273766858574539e-02 6.933957150989315810e-02
2.000000000000000000e+03 9.000000000000000000e+01 4.770735635691892434e-02 7.309402146906810935e-03 -5.695714176020725064e-03 5.087511232220223722e-02 -5.909679905070591537e-03 3.786795965055510943e-02 6.822521416483813550e-02
2.000000000000000000e+03 9.250000000000000000e+01 4.605786256285165914e-02 6.978327174073730571e-03 -5.500735693546880169e-03 4.944415207998822948e-02 -5.702513585656612816e-03 3.865701483970591934e-02 6.707951474127291092e-02
2.000000000000000000e+03 9.500000000000000000e+01 4.445376068004691650e-02 6.656080827849028027e-03 -5.324989308667146988e-03 4.791440948123024818e-02 -5.506336242645506682e-03 3.940438569632152138e-02 6.588627792879933609e-02
2.000000000000000000e+03 9.750000000000000000e+01 4.297290847585580331e-02 6.362648927847864774e-03 -5.148032989631040612e-03 4.637883911283367105e-02 -5.302014894481267560e-03 4.008608024788084395e-02 6.471891391828515916e-02
2.000000000000000000e+03 1.000000000000000000e+02 4.167344931114114887e-02 6.101588512503328642e-03 -4.984548445097500627e-03 4.496616597969100432e-02 -5.108255949862950361e-03 4.071738281166954743e-02 6.367849905125085030e-02
2.000000000000000000e+03 1.025000000000000000e+02 4.051835937087685385e-02 5.876873692051331512e-03 -4.823560087718252974e-03 4.367805479572955257e-02 -4.919326804149961804e-03 4.129019886861570732e-02 6.274330651761106381e-02
2.000000000000000000e+03 1.050000000000000000e+02 3.937434480058019798e-02 5.615844648151738054e-03 -4.683065058422514366e-03 4.244485033991547696e-02 -4.746363122772906395e-03 4.182047902163907316e-02 6.181983708106737752e-02
2.000000000000000000e+03 1.075000000000000000e+02 3.825174559354922732e-02 5.311839419881852868e-03 -4.550747637468825942e-03 4.125172775337175579e-02 -4.580310146016290836e-03 4.228323400277299998e-02 6.089335367484699502e-02
2.000000000000000000e+03 1.100000000000000000e+02 3.718990899098502390e-02 5.067527366037166345e-03 -4.440049533983469153e-03 4.016570216103899221e-02 -4.421762497466148224e-03 4.268378495058924860e-02 6.001969805130663582e-02
2.000000000000000000e+03 1.125000000000000000e+02 3.614462517699167099e-02 4.885042747499675035e-03 -4.337118450901132453e-03 3.922415022267371210e-02 -4.262360570315132553e-03 4.300931073453134745e-02 5.918904306709836527e-02
2.000000000000000000e+03 1.150000000000000000e+02 3.504935937982114197e-02 4.712164923259497956e-03 -4.254897367593393764e-03 3.840827692905382507e-02 -4.108749313516665835e-03 4.326254924796827522e-02 5.836009277842162113e-02
2.000000000000000000e+03 1.175000000000000000e+02 3.401668428778710507e-02 4.549168271202723608e-03 -4.177100786969129183e-03 3.773003595921803344e-02 -3.954181883268462032e-03 4.342597052780344108e-02 5.758634538740428632e-02
2.000000000000000000e+03 1.200000000000000000e+02 3.315468645301773709e-02 4.438918364971493162e-03 -4.110284724636833684e-03 3.726148109314154216e-02 -3.805282779924622823e-03 4.351123730093545139e-02 5.696370242354736879e-02
2.000000000000000000e+03 1.225000000000000000e+02 3.246699745366086326e-02 4.351246135390963651e-03 -4.037095109117616078e-03 3.694163240621538974e-02 -3.651427737997147826e-03 4.352467241527975539e-02 5.646665113757800419e-02
2.000000000000000000e+03 1.250000000000000000e+02 3.189553290812012498e-02 4.255823004495639696e-03 -3.966702389240085377e-03 3.666472256096984378e-02 -3.501081324019483191e-03 4.348459787698809309e-02 5.602242667303903439e-02
2.000000000000000000e+03 1.275000000000000000e+02 3.136330289359341023e-02 4.149040859206029781e-03 -3.885121820326483885e-03 3.637111975363398891e-02 -3.345985041203598798e-03 4.339183857776750947e-02 5.556313061249745777e-02
2.000000000000000000e+03 1.300000000000000000e+02 3.080161323611196184e-02 4.001983663544803060e-03 -3.803368880064688772e-03 3.599334619666180735e-02 -3.196717299422590416e-03 4.326082613489130174e-02 5.502789278383253546e-02
2.000000000000000000e+03 1.325000000000000000e+02 3.022665083897937977e-02 3.798086775284299429e-03 -3.712206026977565593e-03 3.552883782897442444e-02 -3.047043636589163041e-03 4.309079612987683217e-02 5.442314239891531819e-02
2.000000000000000000e+03 1.350000000000000000e+02 2.970452900315875139e-02 3.568794813820472082e-03 -3.623930510829639472e-03 3.496183035928079191e-02 -2.909862317668005655e-03 4.289148986549259218e-02 5.377892461396606427e-02
2.000000000000000000e+03 1.375000000000000000e+02 2.926930427109469129e-02 3.377490066943121105e-03 -3.530485428977204326e-03 3.433757813721617647e-02 -2.776617147876231980e-03 4.266203046150777306e-02 5.313445643490931347e-02
2.000000000000000000e+03 1.400000000000000000e+02 2.889814318334923623e-02 3.275123546489695087e-03 -3.440284480049380939e-03 3.368957126869924490e-02 -2.656617722106038599e-03 4.241827735273944605e-02 5.250299590239396186e-02
2.000000000000000000e+03 1.425000000000000000e+02 2.857335435592600614e-02 3.236998865053583932e-03 -3.351148856254036398e-03 3.302674952691448534e-02 -2.542426924974626815e-03 4.215805196770424507e-02 5.187907792527236828e-02
2.000000000000000000e+03 1.450000000000000000e+02 2.831308953059448463e-02 3.243670856852095934e-03 -3.269773873864711185e-03 3.234695205399890083e-02 -2.441853847307991470e-03 4.189587370452332871e-02 5.127795764455835709e-02
2.000000000000000000e+03 1.475000000000000000e+02 2.810155391606515562e-02 3.226425517922291639e-03 -3.191637978306964725e-03 3.168623271713536665e-02 -2.342154294187136828e-03 4.162383480503414890e-02 5.070581071911733906e-02
2.000000000000000000e+03 1.500000000000000000e+02 2.791968697194630381e-02 3.139982355028638362e-03 -3.118074869337915649e-03 3.102440254683564227e-02 -2.249379273803293541e-03 4.134041399683414941e-02 5.014225175780805122e-02
2.000000000000000000e+03 1.525000000000000000e+02 2.774513235762134447e-02 2.957140040881520420e-03 -3.046858383706199137e-03 3.036350382970746595e-02 -2.154639990200902470e-03 4.102544411343303499e-02 4.956704015038092270e-02
2.000000000000000000e+03 1.550000000000000000e+02 2.760464721857742998e-02 2.726833153271153703e-03 -2.974095215984774720e-03 2.973098382579532351e-02 -2.063629794178496388e-03 4.069000839973278133e-02 4.901281972205276394e-02
