time z T
2.000000000000000000e+03 0.000000000000000000e+00 2.999774548451776468e+02
2.000000000000000000e+03 2.500000000000000000e+00 2.999810930112386131e+02
2.000000000000000000e+03 5.000000000000000000e+00 2.999839320284330597e+02
2.000000000000000000e+03 7.500000000000000000e+00 2.999864438472238248e+02
2.000000000000000000e+03 1.000000000000000000e+01 2.999885834608494406e+02
2.000000000000000000e+03 1.250000000000000000e+01 2.999903336102732965e+02
2.000000000000000000e+03 1.500000000000000000e+01 2.999917260494264610e+02
2.000000000000000000e+03 1.750000000000000000e+01 2.999928281787351239e+02
2.000000000000000000e+03 2.000000000000000000e+01 2.999937091850569004e+02
2.000000000000000000e+03 2.250000000000000000e+01 2.999944232811190545e+02
2.000000000000000000e+03 2.500000000000000000e+01 2.999950113385916666e+02
2.000000000000000000e+03 2.750000000000000000e+01 2.999955023480118825e+02
2.000000000000000000e+03 3.000000000000000000e+01 2.999959168118581374e+02
2.000000000000000000e+03 3.250000000000000000e+01 2.999962708232380351e+02
2.000000000000000000e+03 3.500000000000000000e+01 2.999965777426754130e+02
2.000000000000000000e+03 3.750000000000000000e+01 2.999968473365429986e+02
2.000000000000000000e+03 4.000000000000000000e+01 2.999970876662714545e+02
2.000000000000000000e+03 4.250000000000000000e+01 2.999973068134036112e+02
2.000000000000000000e+03 4.500000000000000000e+01 2.999975115519847577e+02
2.000000000000000000e+03 4.750000000000000000e+01 2.999977049591478249e+02
2.000000000000000000e+03 5.000000000000000000e+01 2.999978875410158707e+02
2.000000000000000000e+03 5.250000000000000000e+01 2.999980590415813708e+02
2.000000000000000000e+03 5.500000000000000000e+01 2.999982200443212150e+02
2.000000000000000000e+03 5.750000000000000000e+01 2.999983717366003475e+02
2.000000000000000000e+03 6.000000000000000000e+01 2.999985147021723719e+02
2.000000000000000000e+03 6.250000000000000000e+01 2.999986484314701443e+02
2.000000000000000000e+03 6.500000000000000000e+01 2.999987717939418985e+02
2.000000000000000000e+03 6.750000000000000000e+01 2.999988832053567762e+02
2.000000000000000000e+03 7.000000000000000000e+01 2.999989819789840340e+02
2.000000000000000000e+03 7.250000000000000000e+01 2.999990689170440419e+02
2.000000000000000000e+03 7.500000000000000000e+01 2.999991450366742924e+02
2.000000000000000000e+03 7.750000000000000000e+01 2.999992115172636886e+02
2.000000000000000000e+03 8.000000000000000000e+01 2.999992698178779733e+02
2.000000000000000000e+03 8.250000000000000000e+01 2.999993214084152555e+02
2.000000000000000000e+03 8.500000000000000000e+01 2.999993675399849735e+02
2.000000000000000000e+03 8.750000000000000000e+01 2.999994093931342718e+02
2.000000000000000000e+03 9.000000000000000000e+01 2.999994478173045422e+02
2.000000000000000000e+03 9.250000000000000000e+01 2.999994833600375728e+02
2.000000000000000000e+03 9.500000000000000000e+01 2.999995167619782706e+02
2.000000000000000000e+03 9.750000000000000000e+01 2.999995490394749709e+02
2.000000000000000000e+03 1.000000000000000000e+02 2.999995810159433063e+02
2.000000000000000000e+03 1.025000000000000000e+02 2.999996127906247807e+02
2.000000000000000000e+03 1.050000000000000000e+02 2.999996438324969859e+02
2.000000000000000000e+03 1.075000000000000000e+02 2.999996734780593215e+02
2.000000000000000000e+03 1.100000000000000000e+02 2.999997009224317139e+02
2.000000000000000000e+03 1.125000000000000000e+02 2.999997254701661973e+02
2.000000000000000000e+03 1.150000000000000000e+02 2.999997470788376290e+02
2.000000000000000000e+03 1.175000000000000000e+02 2.999997662401534058e+02
2.000000000000000000e+03 1.200000000000000000e+02 2.999997834174583318e+02
2.000000000000000000e+03 1.225000000000000000e+02 2.999997989280817023e+02
2.000000000000000000e+03 1.250000000000000000e+02 2.999998130815483819e+02
2.000000000000000000e+03 1.275000000000000000e+02 2.999998262019748267e+02
2.000000000000000000e+03 1.300000000000000000e+02 2.999998385159281042e+02
2.000000000000000000e+03 1.325000000000000000e+02 2.999998501302123941e+02
2.000000000000000000e+03 1.350000000000000000e+02 2.999998611279042393e+02
2.000000000000000000e+03 1.375000000000000000e+02 2.999998715685042043e+02
2.000000000000000000e+03 1.400000000000000000e+02 2.999998814343301774e+02
2.000000000000000000e+03 1.425000000000000000e+02 2.999998906467254756e+02
2.000000000000000000e+03 1.450000000000000000e+02 2.999998991462770164e+02
2.000000000000000000e+03 1.475000000000000000e+02 2.999999069056957524e+02
2.000000000000000000e+03 1.500000000000000000e+02 2.999999139427247883e+02
2.000000000000000000e+03 1.525000000000000000e+02 2.999999203242266503e+02
2.000000000000000000e+03 1.550000000000000000e+02 2.999999261327463387e+02
2.000000000000000000e+03 1.575000000000000000e+02 2.999999314417095775e+02
2.000000000000000000e+03 1.600000000000000000e+02 2.999999363038781439e+02
2.000000000000000000e+03 1.625000000000000000e+02 2.999999407470097594e+02
2.000000000000000000e+03 1.650000000000000000e+02 2.999999448115444238e+02
2.000000000000000000e+03 1.675000000000000000e+02 2.999999485508373596e+02
2.000000000000000000e+03 1.700000000000000000e+02 2.999999519883044172e+02
2.000000000000000000e+03 1.725000000000000000e+02 2.999999551162486000e+02
2.000000000000000000e+03 1.750000000000000000e+02 2.999999579396480840e+02
2.000000000000000000e+03 1.775000000000000000e+02 2.999999604992086688e+02
2.000000000000000000e+03 1.800000000000000000e+02 2.999999628185748861e+02
2.000000000000000000e+03 1.825000000000000000e+02 2.999999649034208460e+02
2.000000000000000000e+03 1.850000000000000000e+02 2.999999667768928475e+02
2.000000000000000000e+03 1.875000000000000000e+02 2.999999684887556555e+02
2.000000000000000000e+03 1.900000000000000000e+02 2.999999700902143331e+02
2.000000000000000000e+03 1.925000000000000000e+02 2.999999716155327292e+02
2.000000000000000000e+03 1.950000000000000000e+02 2.999999730906726541e+02
2.000000000000000000e+03 1.975000000000000000e+02 2.999999745311230868e+02
2.000000000000000000e+03 2.000000000000000000e+02 2.999999759339443131e+02
2.000000000000000000e+03 2.025000000000000000e+02 2.999999772847027089e+02
2.000000000000000000e+03 2.050000000000000000e+02 2.999999785739538538e+02
2.000000000000000000e+03 2.075000000000000000e+02 2.999999797931466219e+02
2.000000000000000000e+03 2.100000000000000000e+02 2.999999809375250379e+02
2.000000000000000000e+03 2.125000000000000000e+02 2.999999820104034711e+02
2.000000000000000000e+03 2.150000000000000000e+02 2.999999830081940217e+02
2.000000000000000000e+03 2.175000000000000000e+02 2.999999839201389022e+02
2.000000000000000000e+03 2.200000000000000000e+02 2.999999847469332508e+02
2.000000000000000000e+03 2.225000000000000000e+02 2.999999855016801007e+02
2.000000000000000000e+03 2.250000000000000000e+02 2.999999862007876459e+02
2.000000000000000000e+03 2.275000000000000000e+02 2.999999868519899451e+02
2.000000000000000000e+03 2.300000000000000000e+02 2.999999874526319559e+02
2.000000000000000000e+03 2.325000000000000000e+02 2.999999880029666315e+02
2.000000000000000000e+03 2.350000000000000000e+02 2.999999885114711446e+02
2.000000000000000000e+03 2.375000000000000000e+02 2.999999889901823167e+02
2.000000000000000000e+03 2.400000000000000000e+02 2.999999894479439035e+02
2.000000000000000000e+03 2.425000000000000000e+02 2.999999898949888575e+02
2.000000000000000000e+03 2.450000000000000000e+02 2.999999903446953340e+02
2.000000000000000000e+03 2.475000000000000000e+02 2.999999908025435502e+02
2.000000000000000000e+03 2.500000000000000000e+02 2.999999912653934757e+02
2.000000000000000000e+03 2.525000000000000000e+02 2.999999917295859859e+02
2.000000000000000000e+03 2.550000000000000000e+02 2.999999921908575971e+02
2.000000000000000000e+03 2.575000000000000000e+02 2.999999926422643739e+02
2.000000000000000000e+03 2.600000000000000000e+02 2.999999930790194185e+02
2.000000000000000000e+03 2.625000000000000000e+02 2.999999935017489747e+02
2.000000000000000000e+03 2.650000000000000000e+02 2.999999939128902611e+02
2.000000000000000000e+03 2.675000000000000000e+02 2.999999943118503438e+02
2.000000000000000000e+03 2.700000000000000000e+02 2.999999946974114096e+02
2.000000000000000000e+03 2.725000000000000000e+02 2.999999950669104010e+02
2.000000000000000000e+03 2.750000000000000000e+02 2.999999954145510515e+02
2.000000000000000000e+03 2.775000000000000000e+02 2.999999957320367230e+02
2.000000000000000000e+03 2.800000000000000000e+02 2.999999960147790148e+02
2.000000000000000000e+03 2.825000000000000000e+02 2.999999962661503901e+02
2.000000000000000000e+03 2.850000000000000000e+02 2.999999964933442129e+02
2.000000000000000000e+03 2.875000000000000000e+02 2.999999967044385016e+02
2.000000000000000000e+03 2.900000000000000000e+02 2.999999969063749745e+02
2.000000000000000000e+03 2.925000000000000000e+02 2.999999971026680896e+02
2.000000000000000000e+03 2.950000000000000000e+02 2.999999972954051373e+02
2.000000000000000000e+03 2.975000000000000000e+02 2.999999974863066541e+02
2.000000000000000000e+03 3.000000000000000000e+02 2.999999976755359512e+02
2.000000000000000000e+03 3.025000000000000000e+02 2.999999978625934887e+02
2.000000000000000000e+03 3.050000000000000000e+02 2.999999980471816343e+02
2.000000000000000000e+03 3.075000000000000000e+02 2.999999982270912255e+02
2.000000000000000000e+03 3.100000000000000000e+02 2.999999983973934263e+02
2.000000000000000000e+03 3.125000000000000000e+02 2.999999985535859537e+02
2.000000000000000000e+03 3.150000000000000000e+02 2.999999986932830893e+02
2.000000000000000000e+03 3.175000000000000000e+02 2.999999988162120985e+02
2.000000000000000000e+03 3.200000000000000000e+02 2.999999989227241031e+02
2.000000000000000000e+03 3.225000000000000000e+02 2.999999990140133264e+02
2.000000000000000000e+03 3.250000000000000000e+02 2.999999990925454654e+02
2.000000000000000000e+03 3.275000000000000000e+02 2.999999991611324504e+02
2.000000000000000000e+03 3.300000000000000000e+02 2.999999992222327023e+02
2.000000000000000000e+03 3.325000000000000000e+02 2.999999992782618392e+02
2.000000000000000000e+03 3.350000000000000000e+02 2.999999993309772321e+02
2.000000000000000000e+03 3.375000000000000000e+02 2.999999993813573269e+02
2.000000000000000000e+03 3.400000000000000000e+02 2.999999994296197769e+02
2.000000000000000000e+03 3.425000000000000000e+02 2.999999994758433104e+02
2.000000000000000000e+03 3.450000000000000000e+02 2.999999995197257476e+02
2.000000000000000000e+03 3.475000000000000000e+02 2.999999995608667405e+02
2.000000000000000000e+03 3.500000000000000000e+02 2.999999995983258145e+02
2.000000000000000000e+03 3.525000000000000000e+02 2.999999996321894855e+02
2.000000000000000000e+03 3.550000000000000000e+02 2.999999996632915327e+02
2.000000000000000000e+03 3.575000000000000000e+02 2.999999996926877657e+02
2.000000000000000000e+03 3.600000000000000000e+02 2.999999997212089511e+02
2.000000000000000000e+03 3.625000000000000000e+02 2.999999997494766149e+02
2.000000000000000000e+03 3.650000000000000000e+02 2.999999997775338443e+02
2.000000000000000000e+03 3.675000000000000000e+02 2.999999998048677980e+02
2.000000000000000000e+03 3.700000000000000000e+02 2.999999998307982878e+02
2.000000000000000000e+03 3.725000000000000000e+02 2.999999998548137228e+02
2.000000000000000000e+03 3.750000000000000000e+02 2.999999998766933231e+02
2.000000000000000000e+03 3.775000000000000000e+02 2.999999998965354848e+02
2.000000000000000000e+03 3.800000000000000000e+02 2.999999999146046434e+02
2.000000000000000000e+03 3.825000000000000000e+02 2.999999999311543206e+02
2.000000000000000000e+03 3.850000000000000000e+02 2.999999999463322524e+02
2.000000000000000000e+03 3.875000000000000000e+02 2.999999999600939873e+02
2.000000000000000000e+03 3.900000000000000000e+02 2.999999999722252255e+02
2.000000000000000000e+03 3.925000000000000000e+02 2.999999999823442636e+02
2.000000000000000000e+03 3.950000000000000000e+02 2.999999999901065166e+02
2.000000000000000000e+03 3.975000000000000000e+02 2.999999999953471956e+02
2.000000000000000000e+03 4.000000000000000000e+02 2.999999999982933900e+02
2.000000000000000000e+03 4.025000000000000000e+02 2.999999999995661710e+02
2.000000000000000000e+03 4.050000000000000000e+02 2.999999999999371880e+02
2.000000000000000000e+03 4.075000000000000000e+02 2.999999999999964189e+02
2.000000000000000000e+03 4.100000000000000000e+02 3.000000000000000000e+02
2.000000000000000000e+03 4.125000000000000000e+02 2.999999999999999432e+02
2.000000000000000000e+03 4.150000000000000000e+02 3.000000000000000568e+02
2.000000000000000000e+03 4.175000000000000000e+02 3.000000000000000000e+02
2.000000000000000000e+03 4.200000000000000000e+02 3.000000000000000000e+02
2.000000000000000000e+03 4.225000000000000000e+02 3.000000000000000000e+02
2.000000000000000000e+03 4.250000000000000000e+02 3.000000000000000568e+02
2.000000000000000000e+03 4.275000000000000000e+02 3.000000000000000000e+02
2.000000000000000000e+03 4.300000000000000000e+02 3.000000000000000568e+02
