time z Tu Tv Tw
2.000000000000000000e+03 0.000000000000000000e+00 1.300911543026885041e-03 1.209682903211643182e-03 1.288413713932030060e-06
2.000000000000000000e+03 2.500000000000000000e+00 1.493070543249729043e-03 1.404437287289226829e-03 -4.746446389913749268e-05
2.000000000000000000e+03 5.000000000000000000e+00 1.448253626322625097e-03 1.369081623463429829e-03 -1.012726482544934356e-04
2.000000000000000000e+03 7.500000000000000000e+00 1.307282984328210843e-03 1.238930711934784845e-03 -1.463455904362545579e-04
2.000000000000000000e+03 1.000000000000000000e+01 1.147045862099034270e-03 1.079694610321453715e-03 -1.837166499343671766e-04
2.000000000000000000e+03 1.250000000000000000e+01 9.937444249301422526e-04 9.166025402687693691e-04 -2.062797589680059776e-04
2.000000000000000000e+03 1.500000000000000000e+01 8.575960353617517956e-04 7.715074128685160118e-04 -2.174937033793340789e-04
2.000000000000000000e+03 1.750000000000000000e+01 7.383831709492767693e-04 6.523443783567869957e-04 -2.184535189243499596e-04
2.000000000000000000e+03 2.000000000000000000e+01 6.371176459212791153e-04 5.586695678989883878e-04 -2.138584400575134167e-04
2.000000000000000000e+03 2.250000000000000000e+01 5.525971429204616474e-04 4.858666194649572485e-04 -2.055903127826914456e-04
2.000000000000000000e+03 2.500000000000000000e+01 4.829524245220681946e-04 4.277842508383855537e-04 -1.959350062533485066e-04
2.000000000000000000e+03 2.750000000000000000e+01 4.256093885390441699e-04 3.776378363852188444e-04 -1.857392372256033697e-04
2.000000000000000000e+03 3.000000000000000000e+01 3.779256273265332064e-04 3.339746446116293854e-04 -1.755681676344867195e-04
2.000000000000000000e+03 3.250000000000000000e+01 3.367344754643681725e-04 2.966747725581626513e-04 -1.653527688719278886e-04
2.000000000000000000e+03 3.500000000000000000e+01 3.018908471224506082e-04 2.658089307991247071e-04 -1.553370749041448919e-04
2.000000000000000000e+03 3.750000000000000000e+01 2.732148495973092564e-04 2.411959506318623833e-04 -1.456217133907662133e-04
2.000000000000000000e+03 4.000000000000000000e+01 2.488597427096977087e-04 2.214748300629878412e-04 -1.361538621343981285e-04
2.000000000000000000e+03 4.250000000000000000e+01 2.277942968717923075e-04 2.047283340613432806e-04 -1.268473274556246278e-04
2.000000000000000000e+03 4.500000000000000000e+01 2.084760195038200010e-04 1.889493720478583379e-04 -1.179257811002357273e-04
