time z u v w u_mag
2.000000000000000000e+03 0.000000000000000000e+00 2.375262725209423831e+00 2.387365435690105286e+00 2.015124452372599477e-04 3.367697548460129919e+00
2.000000000000000000e+03 2.500000000000000000e+00 2.794275825869249275e+00 2.804568865369713393e+00 -3.805210887401618095e-05 3.958987738435975512e+00
2.000000000000000000e+03 5.000000000000000000e+00 3.060434395916567407e+00 3.066972897498581485e+00 -8.202450099970873233e-05 4.332733715845928479e+00
2.000000000000000000e+03 7.500000000000000000e+00 3.237653418639434566e+00 3.241145823842517260e+00 4.803082576985872785e-05 4.581203544151511764e+00
2.000000000000000000e+03 1.000000000000000000e+01 3.354886529818060570e+00 3.356981135373714675e+00 -8.038324407235040352e-05 4.746007372273154168e+00
2.000000000000000000e+03 1.250000000000000000e+01 3.431042335166580415e+00 3.432929674324713964e+00 6.372189111389195448e-05 4.853561337680302401e+00
2.000000000000000000e+03 1.500000000000000000e+01 3.480934043488363994e+00 3.482866240239202771e+00 -6.572965657203517793e-05 4.924150593435846268e+00
2.000000000000000000e+03 1.750000000000000000e+01 3.513313539024893295e+00 3.514597147209986172e+00 5.387885154479542628e-05 4.969483386990555474e+00
2.000000000000000000e+03 2.000000000000000000e+01 3.535580053913957688e+00 3.535247119888390799e+00 -4.652180596762515606e-05 4.999829848952628275e+00
2.000000000000000000e+03 2.250000000000000000e+01 3.552476243813222911e+00 3.549514551628098147e+00 3.502434163525117806e-05 5.021866288174509307e+00
2.000000000000000000e+03 2.500000000000000000e+01 3.567851517158401986e+00 3.561133993028291478e+00 -2.694550422299356207e-05 5.040956235231287330e+00
2.000000000000000000e+03 2.750000000000000000e+01 3.581833452459551648e+00 3.571061272764671113e+00 3.414538618988353143e-05 5.057866101051297747e+00
2.000000000000000000e+03 3.000000000000000000e+01 3.593953780402279197e+00 3.579842380065411778e+00 -1.368273672594678760e-05 5.072649725928989106e+00
2.000000000000000000e+03 3.250000000000000000e+01 3.604420561215567087e+00 3.587183451251649391e+00 2.152035678651804829e-05 5.085246571751497413e+00
2.000000000000000000e+03 3.500000000000000000e+01 3.613611975752677008e+00 3.593554700175888073e+00 -1.308169030400151367e-05 5.096256164541821398e+00
2.000000000000000000e+03 3.750000000000000000e+01 3.621651180956743765e+00 3.599124096813818507e+00 1.425042600398780851e-05 5.105884011705938974e+00
2.000000000000000000e+03 4.000000000000000000e+01 3.629122427062685841e+00 3.604008649471212689e+00 -1.082262860317011051e-05 5.114626861872702435e+00
2.000000000000000000e+03 4.250000000000000000e+01 3.635467349950583849e+00 3.608066349162505126e+00 1.140103889652650577e-05 5.121988445188601524e+00
2.000000000000000000e+03 4.500000000000000000e+01 3.640930680906814043e+00 3.611712944562627037e+00 -7.304845983853214138e-06 5.128435104117352594e+00
2.000000000000000000e+03 4.750000000000000000e+01 3.646415209140433600e+00 3.615395831618057887e+00 6.379792507524336605e-06 5.134922676805620867e+00
2.000000000000000000e+03 5.000000000000000000e+01 3.652010724438043088e+00 3.618943136822167173e+00 -2.013292466711853949e-06 5.141393950959876058e+00
2.000000000000000000e+03 5.250000000000000000e+01 3.657551000268053798e+00 3.622533052566506484e+00 2.319026960018346857e-06 5.147856353522699990e+00
