 z Alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e+00 1.214431255920316310e-01
5.000000000000000000e+00 1.954611994629463778e-01
7.500000000000000000e+00 2.365178589464128622e-01
1.000000000000000000e+01 2.547386818076380899e-01
1.250000000000000000e+01 2.585485883039435606e-01
1.500000000000000000e+01 2.536873711744237481e-01
1.750000000000000000e+01 2.436949974535370378e-01
2.000000000000000000e+01 2.301783967299196598e-01
2.250000000000000000e+01 2.148330571496865904e-01
2.500000000000000000e+01 1.990800522070167999e-01
2.750000000000000000e+01 1.839338261580053535e-01
3.000000000000000000e+01 1.701562792673215196e-01
3.250000000000000000e+01 1.578711247649198512e-01
3.500000000000000000e+01 1.474795473960639758e-01
3.750000000000000000e+01 1.395985155786424459e-01
4.000000000000000000e+01 1.346747372161381240e-01
4.250000000000000000e+01 1.322856145352792889e-01
4.500000000000000000e+01 1.309963699313931862e-01
4.750000000000000000e+01 1.298657689160723216e-01
5.000000000000000000e+01 1.294907479301999342e-01
5.250000000000000000e+01 1.299898412199251840e-01
5.500000000000000000e+01 1.309706253651865271e-01
5.750000000000000000e+01 1.323193021059358987e-01
6.000000000000000000e+01 1.336200030557883334e-01
6.250000000000000000e+01 1.358755830383057972e-01
6.500000000000000000e+01 1.392961729381181624e-01
6.750000000000000000e+01 1.419498598380314891e-01
7.000000000000000000e+01 1.433088797478463128e-01
7.250000000000000000e+01 1.437728671346790443e-01
7.500000000000000000e+01 1.437881424837712252e-01
7.750000000000000000e+01 1.439617161572512016e-01
8.000000000000000000e+01 1.448297315091712500e-01
8.250000000000000000e+01 1.461858546558520711e-01
8.500000000000000000e+01 1.475180266849279442e-01
8.750000000000000000e+01 1.474994389254369320e-01
9.000000000000000000e+01 1.457781456818933175e-01
9.250000000000000000e+01 1.443130322676934030e-01
9.500000000000000000e+01 1.440759918720513899e-01
9.750000000000000000e+01 1.443102671434584872e-01
1.000000000000000000e+02 1.438291095137891329e-01
1.025000000000000000e+02 1.430409700902829095e-01
1.050000000000000000e+02 1.423497972720738913e-01
1.075000000000000000e+02 1.407976833699598196e-01
1.100000000000000000e+02 1.386488894377937431e-01
1.125000000000000000e+02 1.365071560392507599e-01
1.150000000000000000e+02 1.346228602517891004e-01
1.175000000000000000e+02 1.332849022108052173e-01
1.200000000000000000e+02 1.324268797309323120e-01
1.225000000000000000e+02 1.313884652739156778e-01
1.250000000000000000e+02 1.304687256896848724e-01
1.275000000000000000e+02 1.298009307397301471e-01
1.300000000000000000e+02 1.287839981261483524e-01
1.325000000000000000e+02 1.273399044663384994e-01
1.350000000000000000e+02 1.258428939678272462e-01
1.375000000000000000e+02 1.246263734239442256e-01
1.400000000000000000e+02 1.229157322862497875e-01
1.425000000000000000e+02 1.208449096648600424e-01
1.450000000000000000e+02 1.194278704216378828e-01
1.475000000000000000e+02 1.182800256212057921e-01
1.500000000000000000e+02 1.164187745193368817e-01
1.525000000000000000e+02 1.132947951020152749e-01
1.550000000000000000e+02 1.105924674361341842e-01
1.575000000000000000e+02 1.090943410194888524e-01
1.600000000000000000e+02 1.073594486709000678e-01
1.625000000000000000e+02 1.051748691471567354e-01
1.650000000000000000e+02 1.033206067572003950e-01
1.675000000000000000e+02 1.019890228561452644e-01
1.700000000000000000e+02 1.006695952344747458e-01
