# f, Suu, Svv, Sww
0.000000000000000000e+00 1.085843542358991415e-01 5.498853986217590827e-03 2.486403159781282266e-03
3.030303030303030300e-04 4.289685828403201562e+00 1.681794100228823918e-01 1.342076244057865131e-01
6.060606060606060601e-04 3.147977640387550125e+00 1.777388070816481591e-01 1.452603995899486855e-01
9.090909090909090901e-04 4.460314610981209071e+00 1.727420085845264852e-01 1.530119147455853701e-01
1.212121212121212120e-03 3.497679741426109601e+00 1.455803319608342528e-01 1.449154097637776195e-01
1.515151515151515150e-03 3.617995569957545232e+00 1.739269153630630393e-01 1.369378201678302376e-01
1.818181818181818180e-03 4.543785953211459727e+00 3.879266000569736583e-01 1.596946868979935708e-01
2.121212121212121427e-03 5.469888837315139973e+00 6.542967824184534598e-01 1.368498909891620874e-01
2.424242424242424240e-03 4.473229832053946531e+00 3.551151305992709117e-01 1.121779687727600811e-01
2.727272727272727487e-03 4.097779561815186433e+00 1.382647001405467035e-01 1.282724851126062771e-01
3.030303030303030300e-03 3.103958369035744180e+00 1.613752795469381995e-01 1.080878847508656704e-01
3.333333333333333547e-03 3.027567765509048492e+00 1.593126356532375276e-01 1.110643401369460631e-01
3.636363636363636360e-03 2.937302449354397105e+00 1.592700473843618458e-01 1.024642435158519410e-01
3.939393939393939607e-03 4.137954316248134035e+00 1.513187559172681773e-01 1.050950147211322933e-01
4.242424242424242854e-03 3.820160896397590378e+00 1.623521890160933290e-01 1.158898827610620325e-01
4.545454545454545234e-03 3.325921980691277646e+00 1.624496738139040719e-01 1.227621621245747197e-01
4.848484848484848481e-03 3.091991670146247095e+00 1.868004575916607790e-01 1.211117997296256160e-01
5.151515151515151728e-03 3.385076723938244214e+00 1.526256043299089871e-01 1.013957975238416326e-01
5.454545454545454974e-03 3.784044393546623919e+00 1.333754348886468377e-01 1.119739149244790982e-01
5.757575757575757354e-03 3.808705936028926597e+00 1.354293365580287734e-01 1.091354337339608960e-01
6.060606060606060601e-03 3.283428404919761956e+00 1.677023503517696690e-01 9.613243995208838044e-02
6.363636363636363848e-03 3.829227086391348678e+00 1.681749515198188438e-01 1.097553070908419831e-01
