 z veer
0.000000000000000000e+00 2.221873957824565764e+02
2.500000000000000000e+00 2.223546480568375614e+02
5.000000000000000000e+00 2.226336317168772325e+02
7.500000000000000000e+00 2.229900950295439372e+02
1.000000000000000000e+01 2.233918180181468074e+02
1.250000000000000000e+01 2.238140473611670984e+02
1.500000000000000000e+01 2.242342053725481321e+02
1.750000000000000000e+01 2.246339538966707323e+02
2.000000000000000000e+01 2.250033147507864442e+02
2.250000000000000000e+01 2.253385658231465243e+02
2.500000000000000000e+01 2.256399285433395221e+02
2.750000000000000000e+01 2.259087017922030896e+02
3.000000000000000000e+01 2.261467354920872026e+02
3.250000000000000000e+01 2.263588450039594875e+02
3.500000000000000000e+01 2.265515865114919904e+02
3.750000000000000000e+01 2.267306997313669967e+02
4.000000000000000000e+01 2.268992443014154503e+02
4.250000000000000000e+01 2.270585685721856635e+02
4.500000000000000000e+01 2.272101083914416790e+02
4.750000000000000000e+01 2.273556920424354644e+02
5.000000000000000000e+01 2.274981985560792168e+02
5.250000000000000000e+01 2.276398928575816285e+02
5.500000000000000000e+01 2.277820177762274341e+02
5.750000000000000000e+01 2.279251083002278904e+02
6.000000000000000000e+01 2.280688757900612700e+02
6.250000000000000000e+01 2.282128661720969376e+02
6.500000000000000000e+01 2.283574123867793446e+02
6.750000000000000000e+01 2.285020464958139428e+02
7.000000000000000000e+01 2.286459677809123150e+02
7.250000000000000000e+01 2.287895843567135898e+02
7.500000000000000000e+01 2.289320666479834756e+02
7.750000000000000000e+01 2.290712296916244100e+02
8.000000000000000000e+01 2.292069209383366797e+02
8.250000000000000000e+01 2.293417335069121066e+02
8.500000000000000000e+01 2.294771692867954300e+02
8.750000000000000000e+01 2.296128340727214265e+02
9.000000000000000000e+01 2.297478732399791284e+02
9.250000000000000000e+01 2.298817914533117914e+02
9.500000000000000000e+01 2.300153205093092481e+02
9.750000000000000000e+01 2.301487672339796973e+02
1.000000000000000000e+02 2.302817256666264143e+02
1.025000000000000000e+02 2.304144545224138767e+02
1.050000000000000000e+02 2.305466622231088536e+02
1.075000000000000000e+02 2.306774183142725292e+02
1.100000000000000000e+02 2.308060016027294523e+02
1.125000000000000000e+02 2.309319758411097609e+02
1.150000000000000000e+02 2.310551997909417992e+02
1.175000000000000000e+02 2.311761259447340251e+02
1.200000000000000000e+02 2.312950523798327538e+02
1.225000000000000000e+02 2.314127616908802452e+02
1.250000000000000000e+02 2.315294015741175144e+02
1.275000000000000000e+02 2.316444277310593520e+02
1.300000000000000000e+02 2.317572377330547511e+02
1.325000000000000000e+02 2.318681062800974928e+02
1.350000000000000000e+02 2.319782351336644979e+02
1.375000000000000000e+02 2.320884998482369497e+02
1.400000000000000000e+02 2.321982486423631258e+02
1.425000000000000000e+02 2.323061821528487201e+02
1.450000000000000000e+02 2.324118804773268039e+02
1.475000000000000000e+02 2.325147790258562850e+02
1.500000000000000000e+02 2.326147316569301040e+02
1.525000000000000000e+02 2.327125574963099552e+02
1.550000000000000000e+02 2.328086710744653089e+02
1.575000000000000000e+02 2.329027346054157022e+02
1.600000000000000000e+02 2.329952628714531784e+02
1.625000000000000000e+02 2.330865655662643974e+02
1.650000000000000000e+02 2.331760648476916913e+02
1.675000000000000000e+02 2.332636759076178521e+02
1.700000000000000000e+02 2.333497158550078154e+02
1.725000000000000000e+02 2.334344689701816264e+02
1.750000000000000000e+02 2.335177712254671860e+02
1.775000000000000000e+02 2.335992588422224117e+02
1.800000000000000000e+02 2.336790779381256584e+02
1.825000000000000000e+02 2.337575551456556866e+02
1.850000000000000000e+02 2.338348564261195293e+02
1.875000000000000000e+02 2.339108729391570023e+02
1.900000000000000000e+02 2.339855975208563450e+02
1.925000000000000000e+02 2.340594619708973596e+02
1.950000000000000000e+02 2.341327053121802066e+02
1.975000000000000000e+02 2.342055474022969292e+02
2.000000000000000000e+02 2.342779829867692740e+02
2.025000000000000000e+02 2.343495603178640749e+02
2.050000000000000000e+02 2.344197551071525822e+02
2.075000000000000000e+02 2.344882665475638532e+02
2.100000000000000000e+02 2.345548600638235825e+02
2.125000000000000000e+02 2.346193848230953449e+02
2.150000000000000000e+02 2.346823589978282598e+02
2.175000000000000000e+02 2.347438604380725451e+02
2.200000000000000000e+02 2.348039151457955427e+02
2.225000000000000000e+02 2.348630888584362140e+02
2.250000000000000000e+02 2.349216018167103357e+02
2.275000000000000000e+02 2.349794089170015354e+02
2.300000000000000000e+02 2.350366424510229422e+02
2.325000000000000000e+02 2.350937154470869928e+02
2.350000000000000000e+02 2.351510960882946506e+02
2.375000000000000000e+02 2.352085680073932963e+02
2.400000000000000000e+02 2.352656052908299102e+02
2.425000000000000000e+02 2.353219860845378832e+02
2.450000000000000000e+02 2.353776029308996272e+02
2.475000000000000000e+02 2.354321814162557303e+02
2.500000000000000000e+02 2.354855017969437085e+02
2.525000000000000000e+02 2.355375423944072679e+02
2.550000000000000000e+02 2.355879055122174179e+02
2.575000000000000000e+02 2.356361771615730731e+02
2.600000000000000000e+02 2.356826170701774004e+02
2.625000000000000000e+02 2.357278009548166153e+02
2.650000000000000000e+02 2.357721559902986428e+02
2.675000000000000000e+02 2.358156030442973474e+02
2.700000000000000000e+02 2.358579700592711390e+02
2.725000000000000000e+02 2.358996207436695727e+02
2.750000000000000000e+02 2.359410256284391494e+02
2.775000000000000000e+02 2.359823344304783745e+02
2.800000000000000000e+02 2.360235710339253501e+02
2.825000000000000000e+02 2.360646933441103670e+02
2.850000000000000000e+02 2.361055982251023124e+02
2.875000000000000000e+02 2.361460145124813153e+02
2.900000000000000000e+02 2.361854262106605802e+02
2.925000000000000000e+02 2.362236897368759969e+02
2.950000000000000000e+02 2.362609116867695889e+02
2.975000000000000000e+02 2.362970716465041505e+02
3.000000000000000000e+02 2.363324962630283039e+02
3.025000000000000000e+02 2.363675487825497896e+02
3.050000000000000000e+02 2.364024000099108207e+02
3.075000000000000000e+02 2.364374010859039572e+02
3.100000000000000000e+02 2.364728385211129194e+02
3.125000000000000000e+02 2.365087621322900020e+02
3.150000000000000000e+02 2.365448916787132134e+02
3.175000000000000000e+02 2.365807339818852029e+02
3.200000000000000000e+02 2.366161075903403059e+02
3.225000000000000000e+02 2.366512767735191289e+02
3.250000000000000000e+02 2.366863281177640488e+02
3.275000000000000000e+02 2.367211579954578156e+02
3.300000000000000000e+02 2.367555672997626743e+02
3.325000000000000000e+02 2.367894447583485658e+02
3.350000000000000000e+02 2.368226614436477462e+02
3.375000000000000000e+02 2.368550952958497646e+02
3.400000000000000000e+02 2.368868045170933669e+02
3.425000000000000000e+02 2.369176551366493868e+02
3.450000000000000000e+02 2.369476285510605464e+02
3.475000000000000000e+02 2.369771000563940220e+02
3.500000000000000000e+02 2.370065556102678670e+02
3.525000000000000000e+02 2.370363922906794301e+02
3.550000000000000000e+02 2.370664393268970969e+02
3.575000000000000000e+02 2.370961530347730672e+02
3.600000000000000000e+02 2.371252127117763280e+02
3.625000000000000000e+02 2.371537266037225891e+02
3.650000000000000000e+02 2.371820946239660373e+02
3.675000000000000000e+02 2.372106871258236822e+02
3.700000000000000000e+02 2.372398072014740364e+02
3.725000000000000000e+02 2.372692951378762132e+02
3.750000000000000000e+02 2.372987118326305165e+02
3.775000000000000000e+02 2.373281108460570579e+02
3.800000000000000000e+02 2.373574377536593261e+02
3.825000000000000000e+02 2.373863701798114789e+02
3.850000000000000000e+02 2.374149563447008688e+02
3.875000000000000000e+02 2.374434049377080100e+02
3.900000000000000000e+02 2.374718178462626099e+02
3.925000000000000000e+02 2.375003699520540863e+02
3.950000000000000000e+02 2.375292501335219129e+02
3.975000000000000000e+02 2.375581841577764237e+02
4.000000000000000000e+02 2.375868448897012115e+02
4.025000000000000000e+02 2.376152123231382234e+02
4.050000000000000000e+02 2.376436264211320690e+02
4.075000000000000000e+02 2.376722213663530852e+02
4.100000000000000000e+02 2.377008263551856544e+02
4.125000000000000000e+02 2.377288324954062659e+02
4.150000000000000000e+02 2.377557975340631344e+02
4.175000000000000000e+02 2.377816195600122171e+02
4.200000000000000000e+02 2.378066821950361316e+02
4.225000000000000000e+02 2.378314685552585672e+02
4.250000000000000000e+02 2.378560737565310319e+02
4.275000000000000000e+02 2.378806563613234175e+02
4.300000000000000000e+02 2.379052404566910184e+02
4.325000000000000000e+02 2.379299189431160642e+02
4.350000000000000000e+02 2.379545051344190369e+02
