 z uu uv uw vv vw ww tke
0.000000000000000000e+00 2.872731601513442076e-02 1.929789924202468185e-02 -6.534033747052597521e-06 2.245741180836494447e-02 6.363260021487310179e-06 3.992565849450463768e-06 2.559436019467440857e-02
2.500000000000000000e+00 4.727417040118618574e-02 3.460875770619344788e-02 -1.014569328933571674e-03 3.818084214912791791e-02 -8.964595612829656928e-04 1.860760307245473352e-04 4.282054429051931899e-02
5.000000000000000000e+00 6.125308452910685486e-02 4.531006293613908803e-02 -2.605509973554769130e-03 4.969910947367697784e-02 -2.275891215122277135e-03 8.156355667368718346e-04 5.588391478476035373e-02
7.500000000000000000e+00 7.371418118247707874e-02 5.366510587446415154e-02 -4.179954016133105750e-03 5.880403632443859802e-02 -3.583864383518560633e-03 1.613218975064444364e-03 6.706571824099005763e-02
1.000000000000000000e+01 8.305750911853332363e-02 5.896009894449304872e-02 -5.738562065935755990e-03 6.471707854015706918e-02 -4.807804022029568865e-03 2.559728959880205098e-03 7.516715830928530351e-02
1.250000000000000000e+01 8.921388413570813247e-02 6.142183899367616162e-02 -7.073603226365224664e-03 6.758903570444348141e-02 -5.745921174127289165e-03 3.528274743406350014e-03 8.016559729177898108e-02
1.500000000000000000e+01 9.309152476623187844e-02 6.201306782436419307e-02 -8.224754023504329478e-03 6.850144273503296077e-02 -6.434569080301477499e-03 4.545064715832779906e-03 8.306901610854880436e-02
1.750000000000000000e+01 9.564390811397761871e-02 6.157968524766653517e-02 -9.161558645277042071e-03 6.828462252716406555e-02 -6.878964556151727534e-03 5.546082639378915186e-03 8.473730664026030146e-02
2.000000000000000000e+01 9.735898968679065901e-02 6.053028467575289479e-02 -9.929620386359881701e-03 6.739291089818359726e-02 -7.163528196630459914e-03 6.514644143321819680e-03 8.563327236414802757e-02
2.250000000000000000e+01 9.829234481970224035e-02 5.897468290692105264e-02 -1.053678042241977357e-02 6.601485669684177549e-02 -7.317000094562332510e-03 7.410468377600738787e-03 8.585883494707237384e-02
2.500000000000000000e+01 9.844215588510035753e-02 5.700443708084229621e-02 -1.100940929664863920e-02 6.427314596945490899e-02 -7.374524109964383442e-03 8.222027304694906266e-03 8.546866457962508379e-02
2.750000000000000000e+01 9.777346778656620385e-02 5.466606326558898221e-02 -1.136736912585064631e-02 6.220089534479537885e-02 -7.353682564017341786e-03 8.927767084302403247e-03 8.445106510783199905e-02
3.000000000000000000e+01 9.628506718597357183e-02 5.200879325216464788e-02 -1.163047377592971512e-02 5.983885779576851582e-02 -7.275874635482876274e-03 9.526384774253569832e-03 8.282515487799783915e-02
3.250000000000000000e+01 9.424120513790659737e-02 4.921489788970727364e-02 -1.181016868212591761e-02 5.733387750198724875e-02 -7.154805766748693376e-03 1.001379704028795316e-02 8.079443984009089530e-02
3.500000000000000000e+01 9.188365934363174059e-02 4.640840929340861454e-02 -1.192514540807682565e-02 5.481991891823576046e-02 -7.008043292245826755e-03 1.039964078554189882e-02 7.855160952370469907e-02
3.750000000000000000e+01 8.938527231918097504e-02 4.361226618052264914e-02 -1.198967450512095079e-02 5.230915547048718695e-02 -6.840079088604271267e-03 1.070483225783928384e-02 7.619963002375372552e-02
4.000000000000000000e+01 8.687379905635403410e-02 4.089053023123844638e-02 -1.201318036895717041e-02 4.980660972856765234e-02 -6.652714856345246994e-03 1.094842427026081894e-02 7.381441652759125616e-02
4.250000000000000000e+01 8.445672606096378543e-02 3.830661485491280299e-02 -1.199927512753822673e-02 4.739640545485380996e-02 -6.448678029896104044e-03 1.112375979402630694e-02 7.148844565492194769e-02
4.500000000000000000e+01 8.219615156618255425e-02 3.592099636291342518e-02 -1.195771781162337753e-02 4.522524007902845034e-02 -6.236335433670252455e-03 1.123011053701288009e-02 6.932575109111194234e-02
4.750000000000000000e+01 8.011784154038552319e-02 3.378971354836244473e-02 -1.189912525371289095e-02 4.331249411397394833e-02 -6.025691535967768117e-03 1.128205259768728236e-02 6.735619412602338041e-02
5.000000000000000000e+01 7.815004408875941833e-02 3.188598202373368884e-02 -1.182255924916088101e-02 4.157764607575765992e-02 -5.817910413080678092e-03 1.129949771984873827e-02 6.551359394218290999e-02
5.250000000000000000e+01 7.621928175715117493e-02 3.011969650178092373e-02 -1.172504996265588510e-02 3.996316833661986423e-02 -5.606389149321869790e-03 1.128873866643955413e-02 6.373559438010530098e-02
5.500000000000000000e+01 7.433756878734172624e-02 2.844883493562174251e-02 -1.161531850150730738e-02 3.844693379167559572e-02 -5.395644229330339228e-03 1.125269695570098837e-02 6.201859976735914909e-02
5.750000000000000000e+01 7.247979430509814136e-02 2.687251123899193905e-02 -1.149457414009599603e-02 3.701899265524993127e-02 -5.186623431225268616e-03 1.120814583951579638e-02 6.035346639993192930e-02
6.000000000000000000e+01 7.063794330549272305e-02 2.542930845040756657e-02 -1.136613205107027402e-02 3.570150993557834329e-02 -4.980004907154406829e-03 1.116418473985928209e-02 5.875181899046517248e-02
6.250000000000000000e+01 6.890725000831285363e-02 2.419022483576882890e-02 -1.123263006683239765e-02 3.455290974350706118e-02 -4.777435534025678728e-03 1.111132917100748387e-02 5.728574446141369847e-02
6.500000000000000000e+01 6.730449295479495886e-02 2.311590614951776826e-02 -1.108919041964640147e-02 3.355541312698162582e-02 -4.576215484686057579e-03 1.104523501091877503e-02 5.595257054634768246e-02
6.750000000000000000e+01 6.575263985465400196e-02 2.213298074153814687e-02 -1.094122464572542044e-02 3.265131039662030193e-02 -4.379226193902985634e-03 1.096499983826251107e-02 5.468447504476840748e-02
7.000000000000000000e+01 6.420590092034339502e-02 2.118790511950123523e-02 -1.079357008408246728e-02 3.178751241248553572e-02 -4.189989612871120907e-03 1.087728617280497509e-02 5.343534975281695465e-02
7.250000000000000000e+01 6.274316122779502458e-02 2.021999301113160466e-02 -1.064748145603654564e-02 3.090851485468663201e-02 -4.008787282440124874e-03 1.079009522239752356e-02 5.222088565243958314e-02
7.500000000000000000e+01 6.134227788988906582e-02 1.922832097450020289e-02 -1.050318321595079644e-02 3.003258193232599682e-02 -3.831552755876305779e-03 1.070255511807099470e-02 5.103870747014303128e-02
7.750000000000000000e+01 5.992548572195031259e-02 1.827785626201402711e-02 -1.035870566812272485e-02 2.922042557525809242e-02 -3.657183368992291198e-03 1.062318704283241565e-02 4.988454917002040773e-02
8.000000000000000000e+01 5.853275638768237754e-02 1.742973096814294173e-02 -1.020943778522695640e-02 2.849693930016857640e-02 -3.487617858162033770e-03 1.055499301778384941e-02 4.879234435281740168e-02
8.250000000000000000e+01 5.718698689436817889e-02 1.670328027911965191e-02 -1.005388737473507377e-02 2.782711655940122916e-02 -3.321210265330280104e-03 1.049596381103708523e-02 4.775503363240324317e-02
8.500000000000000000e+01 5.587072892901682325e-02 1.604248095503490665e-02 -9.897953271915975113e-03 2.718954699113089804e-02 -3.157375821966964570e-03 1.043880944736193250e-02 4.674954268375482863e-02
8.750000000000000000e+01 5.451831265536227766e-02 1.535863864182292898e-02 -9.745067933084943998e-03 2.655568962701992594e-02 -2.999283274067835858e-03 1.037870816384554862e-02 4.572635522311387785e-02
9.000000000000000000e+01 5.310379225959777766e-02 1.467191462408032158e-02 -9.596025511201667149e-03 2.593509579820103134e-02 -2.849814714266862229e-03 1.031683543405612948e-02 4.467786174592747184e-02
9.250000000000000000e+01 5.165275752266238612e-02 1.399802920789802035e-02 -9.448766103811805442e-03 2.532456728832367665e-02 -2.707499495093699908e-03 1.025434447687466680e-02 4.361583464393036652e-02
9.500000000000000000e+01 5.017918299666449672e-02 1.332604172938602061e-02 -9.299140409242678817e-03 2.474053325902444631e-02 -2.569626431798531594e-03 1.018410182036865938e-02 4.255190903802880120e-02
9.750000000000000000e+01 4.869299369678816575e-02 1.264307259663235983e-02 -9.148207765647922013e-03 2.417065490461865404e-02 -2.435420376560999602e-03 1.010180936063409182e-02 4.148272898102045581e-02
1.000000000000000000e+02 4.720488136256682093e-02 1.194271503192569778e-02 -8.996348827759081263e-03 2.360817326687152801e-02 -2.305745712928450319e-03 1.001146482876879261e-02 4.041225972910356817e-02
1.025000000000000000e+02 4.577209583759673378e-02 1.128814793287418253e-02 -8.845694192997783853e-03 2.307017793906048636e-02 -2.182294045396253584e-03 9.919108055079036215e-03 3.938069091586812731e-02
1.050000000000000000e+02 4.441504609634860934e-02 1.071991912025204059e-02 -8.694493975777062636e-03 2.257310394486421526e-02 -2.063205157519665094e-03 9.829602577714535716e-03 3.840887630946367842e-02
1.075000000000000000e+02 4.314054926572722520e-02 1.021039741529364449e-02 -8.545505992484582480e-03 2.211214044565599710e-02 -1.947978804656097995e-03 9.745538889651766956e-03 3.749911430051749289e-02
1.100000000000000000e+02 4.197882204839492593e-02 9.717620977845880387e-03 -8.398404628136379654e-03 2.165789245353132858e-02 -1.836783408725368256e-03 9.667527413752768570e-03 3.665212095783951241e-02
1.125000000000000000e+02 4.096285294260326726e-02 9.242961113095783665e-03 -8.253628255916488354e-03 2.119136659820399296e-02 -1.727768396683065704e-03 9.598105966808316569e-03 3.587616275380778319e-02
1.150000000000000000e+02 4.007031128597036279e-02 8.796747577209928018e-03 -8.110693543613319706e-03 2.071544021758419535e-02 -1.621002635697425765e-03 9.530707993788467558e-03 3.515822974867151285e-02
1.175000000000000000e+02 3.918779842607555269e-02 8.375654068532450286e-03 -7.968393607588287672e-03 2.026494075647964840e-02 -1.517151385008923400e-03 9.460327250772787230e-03 3.445653321666398983e-02
1.200000000000000000e+02 3.825047031846830203e-02 7.959216762893118330e-03 -7.826281782952842353e-03 1.986175442674113431e-02 -1.415532831691553462e-03 9.392214890287608683e-03 3.375221981774852165e-02
1.225000000000000000e+02 3.727621277813684963e-02 7.537583016650073291e-03 -7.685533059310083355e-03 1.946801511680174360e-02 -1.317634569003292870e-03 9.326191375427421090e-03 3.303520963518300629e-02
1.250000000000000000e+02 3.629979146703186943e-02 7.113657805765852271e-03 -7.547191464611904474e-03 1.906215929013071325e-02 -1.222243258425389188e-03 9.255821962297541144e-03 3.230888635973006018e-02
1.275000000000000000e+02 3.537461495965003172e-02 6.735340190786388674e-03 -7.408438628665694851e-03 1.867348647144792539e-02 -1.128451865551585416e-03 9.174865864257383472e-03 3.161148364767767116e-02
1.300000000000000000e+02 3.453874126984622650e-02 6.430834241471731355e-03 -7.270149782307828816e-03 1.830561314033269868e-02 -1.037734644889110871e-03 9.081818816266230138e-03 3.096308661322257766e-02
1.325000000000000000e+02 3.376721312544261194e-02 6.150714495793282131e-03 -7.131793155770920455e-03 1.793183408327394396e-02 -9.529530926732245446e-04 8.981465849673405527e-03 3.034025652919498245e-02
1.350000000000000000e+02 3.298891030393662910e-02 5.851500916492469520e-03 -6.993409596335652643e-03 1.754017072747988612e-02 -8.742590926093601281e-04 8.875732732614424747e-03 2.970240688201546825e-02
1.375000000000000000e+02 3.216977807872139355e-02 5.534774963093905091e-03 -6.857045189724903303e-03 1.715674629543313331e-02 -7.999212554465301266e-04 8.764930061428321401e-03 2.904572721779142414e-02
1.400000000000000000e+02 3.133147819309931720e-02 5.217183198978766860e-03 -6.723977420739440589e-03 1.679104731924146998e-02 -7.281751316569098345e-04 8.649848583754095321e-03 2.838618704804744125e-02
