z Tu Tv Tw
0.000000000000000000e+00 -1.047399407882337220e-22 -1.860667659148879813e-21 -3.198524442822144303e-03
2.500000000000000000e+00 2.290605628609532603e-07 7.898053334268419390e-07 -3.918933226238182146e-03
5.000000000000000000e+00 -2.566277174272674193e-07 1.528509433319049863e-06 -3.399677820890690313e-03
7.500000000000000000e+00 -5.733161538894171219e-07 1.650475690065702045e-06 -3.160941857371176236e-03
1.000000000000000000e+01 -3.901521690240533694e-07 1.450847599086042795e-06 -2.913676463004939536e-03
1.250000000000000000e+01 -2.754890556713486728e-08 1.077566488940028958e-06 -2.668947106499066149e-03
1.500000000000000000e+01 1.641529471017361154e-07 6.204319561458451032e-07 -2.432161495741512035e-03
1.750000000000000000e+01 7.027850224208599698e-08 2.305035641002911268e-07 -2.206192979007304961e-03
2.000000000000000000e+01 -2.468981479840059790e-07 1.535723206873868009e-08 -1.993355941883041653e-03
2.250000000000000000e+01 -6.579206858158328603e-07 -3.288253131228939773e-08 -1.795818047392348316e-03
2.500000000000000000e+01 -1.029762316493702221e-06 9.237855758744871623e-09 -1.615147351923796682e-03
2.750000000000000000e+01 -1.297626578309713926e-06 6.133725776196636254e-08 -1.451732095708756307e-03
3.000000000000000000e+01 -1.471932555585351518e-06 1.033360939725340996e-07 -1.305503431403330986e-03
3.250000000000000000e+01 -1.568516161600117301e-06 1.259918830068120308e-07 -1.175856980404286914e-03
3.500000000000000000e+01 -1.589581970406501299e-06 1.133401751560539693e-07 -1.062101826428358230e-03
3.750000000000000000e+01 -1.529863061270423211e-06 8.209159821963831905e-08 -9.632737147808473083e-04
4.000000000000000000e+01 -1.425830637307275427e-06 6.174628920438759959e-08 -8.775993910319883221e-04
4.250000000000000000e+01 -1.326646840921606796e-06 7.303865685045928084e-08 -8.029862889118455100e-04
4.500000000000000000e+01 -1.246451474925742843e-06 9.749060567413719658e-08 -7.373016267129535537e-04
4.750000000000000000e+01 -1.182449663532039551e-06 1.010560112519923435e-07 -6.788669379325076771e-04
5.000000000000000000e+01 -1.131278203906609535e-06 8.770170213112099577e-08 -6.266392199704511577e-04
5.250000000000000000e+01 -1.089982488755125157e-06 8.269494316554281428e-08 -5.798731179957524471e-04
5.500000000000000000e+01 -1.057668579276234492e-06 9.881629017739711052e-08 -5.375991146046652088e-04
5.750000000000000000e+01 -1.027728467092642273e-06 1.205098069283372802e-07 -4.987755418158234567e-04
6.000000000000000000e+01 -9.954408048732873986e-07 1.276340341216673171e-07 -4.626833230861511774e-04
6.250000000000000000e+01 -9.626495725082599396e-07 1.218687045018104314e-07 -4.291413004429916285e-04
6.500000000000000000e+01 -9.266373998544293243e-07 1.149233240532299593e-07 -3.982995687435557397e-04
6.750000000000000000e+01 -8.874317413443765065e-07 1.130043454747699655e-07 -3.701071361594354507e-04
7.000000000000000000e+01 -8.394824315703109637e-07 1.182626084479067864e-07 -3.442852995622067472e-04
7.250000000000000000e+01 -7.785485523583384348e-07 1.281167984050218171e-07 -3.202994509160617771e-04
7.500000000000000000e+01 -7.225553079087358589e-07 1.399849004995668242e-07 -2.978036628956376550e-04
7.750000000000000000e+01 -6.864057522936234543e-07 1.499068829654842207e-07 -2.766514272469606747e-04
8.000000000000000000e+01 -6.657180207928014236e-07 1.594231466027231394e-07 -2.567782270378869583e-04
8.250000000000000000e+01 -6.556065324674028374e-07 1.700776672000213834e-07 -2.382815230425157024e-04
8.500000000000000000e+01 -6.409849868143896152e-07 1.768689326244472589e-07 -2.212369079235551659e-04
8.750000000000000000e+01 -6.200740869628238519e-07 1.757271955879511800e-07 -2.055445222558550402e-04
9.000000000000000000e+01 -5.962725170770879954e-07 1.760007704956463070e-07 -1.909898080774896309e-04
9.250000000000000000e+01 -5.708035842648844413e-07 1.813363366998323104e-07 -1.774825698035795564e-04
9.500000000000000000e+01 -5.411474525938358140e-07 1.864080753105513867e-07 -1.649933126253479967e-04
9.750000000000000000e+01 -5.071368719101166843e-07 1.921019687656157152e-07 -1.534563520449971333e-04
1.000000000000000000e+02 -4.725988322376995555e-07 1.953100568471669484e-07 -1.427390633344851072e-04
1.025000000000000000e+02 -4.371080899841306602e-07 1.944884471809972240e-07 -1.327271433488039015e-04
1.050000000000000000e+02 -4.026878138550299134e-07 1.911133051880873387e-07 -1.234018375765006488e-04
1.075000000000000000e+02 -3.719031731381266791e-07 1.855617914869388998e-07 -1.147272819554206146e-04
1.100000000000000000e+02 -3.460450613609219389e-07 1.812834080424633701e-07 -1.066378961603045632e-04
1.125000000000000000e+02 -3.236753359861731594e-07 1.771681655387619285e-07 -9.912575404322561564e-05
1.150000000000000000e+02 -3.048087133664556535e-07 1.695410827981879211e-07 -9.224272702626456469e-05
1.175000000000000000e+02 -2.840689425652418697e-07 1.597161191113111478e-07 -8.596685094104944554e-05
1.200000000000000000e+02 -2.623814483078572044e-07 1.511934341392573603e-07 -8.021349120122002452e-05
1.225000000000000000e+02 -2.456645326927377626e-07 1.458160164802118484e-07 -7.486419419761594857e-05
1.250000000000000000e+02 -2.319940187106992276e-07 1.455852236612225106e-07 -6.985478209372716853e-05
1.275000000000000000e+02 -2.192908113275245101e-07 1.455474075721501296e-07 -6.516287339076744765e-05
1.300000000000000000e+02 -2.077484087349032149e-07 1.429601029964378632e-07 -6.079121083618187481e-05
1.325000000000000000e+02 -1.999291380042596103e-07 1.408251451898008816e-07 -5.672713983125180295e-05
1.350000000000000000e+02 -1.947766749021553961e-07 1.395865830056854578e-07 -5.294735848509809221e-05
1.375000000000000000e+02 -1.876213224274565662e-07 1.379177825879238295e-07 -4.943933499837328528e-05
1.400000000000000000e+02 -1.770554641277059748e-07 1.356977504997037470e-07 -4.621877137128596846e-05
1.425000000000000000e+02 -1.644732558509598367e-07 1.315524636787861024e-07 -4.325177020051141068e-05
1.450000000000000000e+02 -1.539329661267607720e-07 1.273828541209708861e-07 -4.047363951529008610e-05
1.475000000000000000e+02 -1.461782462567418201e-07 1.239003245660290011e-07 -3.784085120687736002e-05
1.500000000000000000e+02 -1.407593132126281071e-07 1.195442404167479379e-07 -3.534237409425224731e-05
1.525000000000000000e+02 -1.345793179388267965e-07 1.143887489419339547e-07 -3.299772869824723340e-05
1.550000000000000000e+02 -1.271253059203091485e-07 1.100886192124009578e-07 -3.083569059235456120e-05
1.575000000000000000e+02 -1.205037849902472023e-07 1.066446712891559757e-07 -2.886855719925529096e-05
1.600000000000000000e+02 -1.147716337191262167e-07 1.033640488151762238e-07 -2.707638178382290538e-05
1.625000000000000000e+02 -1.089539547407696094e-07 1.005772534014755175e-07 -2.543712657583559493e-05
1.650000000000000000e+02 -1.033385010378755277e-07 9.790664480769766048e-08 -2.392826872494108466e-05
1.675000000000000000e+02 -9.977027334933958527e-08 9.546049285207809435e-08 -2.252376260831113312e-05
1.700000000000000000e+02 -9.749238112707225608e-08 9.336939291511643618e-08 -2.120245433843261364e-05
1.725000000000000000e+02 -9.544674410587758854e-08 9.084920078210347057e-08 -1.995241980031566589e-05
1.750000000000000000e+02 -9.309203043593475785e-08 8.758602568770402389e-08 -1.877186261478156653e-05
1.775000000000000000e+02 -8.953701262497357898e-08 8.424949507167699789e-08 -1.767257871212346253e-05
1.800000000000000000e+02 -8.495108670108080444e-08 8.065160153605652185e-08 -1.666517726707618800e-05
1.825000000000000000e+02 -8.027909190833711526e-08 7.663236970182448379e-08 -1.574834666586769275e-05
1.850000000000000000e+02 -7.625664670346841204e-08 7.283845977875232854e-08 -1.490473137214464663e-05
1.875000000000000000e+02 -7.320953547580075931e-08 6.989170654515661898e-08 -1.412185865667655931e-05
1.900000000000000000e+02 -7.049093440773070888e-08 6.738625869494523173e-08 -1.339016485483422657e-05
1.925000000000000000e+02 -6.742894252081419787e-08 6.450048209247273420e-08 -1.268755364376459796e-05
1.950000000000000000e+02 -6.376935269005125896e-08 6.107695188098726136e-08 -1.201214676738126104e-05
1.975000000000000000e+02 -5.957083740547392625e-08 5.776324995168410855e-08 -1.138463313570289064e-05
2.000000000000000000e+02 -5.555392785645492047e-08 5.492587901426407067e-08 -1.080684045445969242e-05
2.025000000000000000e+02 -5.206010499648294850e-08 5.183405932179476671e-08 -1.026152641298348955e-05
2.050000000000000000e+02 -4.898085178048428420e-08 4.860025591468996562e-08 -9.737121983158305517e-06
2.075000000000000000e+02 -4.608311078226926317e-08 4.626547012034149986e-08 -9.233514295784398736e-06
2.100000000000000000e+02 -4.313684171865770250e-08 4.452647294027671907e-08 -8.758196369502005212e-06
2.125000000000000000e+02 -4.006372282953771798e-08 4.243316202342325244e-08 -8.309644141346108628e-06
2.150000000000000000e+02 -3.710474268684965742e-08 4.019761762331649189e-08 -7.883859761205865490e-06
2.175000000000000000e+02 -3.454842262106108887e-08 3.841320853507921758e-08 -7.489244364512076952e-06
2.200000000000000000e+02 -3.181013251440479700e-08 3.667587686060370266e-08 -7.133631138708891892e-06
2.225000000000000000e+02 -2.895829366231785299e-08 3.475187888263168392e-08 -6.813346271385036064e-06
2.250000000000000000e+02 -2.641310870137527669e-08 3.252282050206169488e-08 -6.522398575224888973e-06
2.275000000000000000e+02 -2.381613593916318866e-08 3.026049877897250088e-08 -6.251644279920148619e-06
2.300000000000000000e+02 -2.102726693945074580e-08 2.836377666396688593e-08 -5.998308338508229286e-06
2.325000000000000000e+02 -1.845059478131428522e-08 2.690725319713817542e-08 -5.762982519572636132e-06
2.350000000000000000e+02 -1.678032144302964290e-08 2.620495427066129902e-08 -5.538808062970737068e-06
2.375000000000000000e+02 -1.591076595638962944e-08 2.606413047000900640e-08 -5.313351956266288971e-06
2.400000000000000000e+02 -1.543895777870091971e-08 2.567575808615624413e-08 -5.076888189659733504e-06
2.425000000000000000e+02 -1.509793871612919733e-08 2.511816240709521365e-08 -4.831268482099613227e-06
2.450000000000000000e+02 -1.481283757401654424e-08 2.489501266369203991e-08 -4.587773253999205593e-06
2.475000000000000000e+02 -1.462981035444691891e-08 2.473653826716317149e-08 -4.357431816811461156e-06
2.500000000000000000e+02 -1.420196908940364310e-08 2.425817591721196034e-08 -4.145643175840539784e-06
2.525000000000000000e+02 -1.306641373854868998e-08 2.337534274380901810e-08 -3.951064283460771831e-06
2.550000000000000000e+02 -1.137175133218073148e-08 2.229478628808234089e-08 -3.767115574815234336e-06
2.575000000000000000e+02 -9.898172797109535653e-09 2.144542828048973459e-08 -3.586204051866390663e-06
2.600000000000000000e+02 -9.081210622633861549e-09 2.087653775509712629e-08 -3.405880003184992697e-06
2.625000000000000000e+02 -8.351153171902903679e-09 2.026245340562105158e-08 -3.229551668163495120e-06
2.650000000000000000e+02 -7.342134546314989326e-09 1.941024188049231088e-08 -3.064132345652998808e-06
2.675000000000000000e+02 -6.499983093533084478e-09 1.845457919524675916e-08 -2.914941998074226685e-06
2.700000000000000000e+02 -6.118557841681057557e-09 1.768909846542285156e-08 -2.781732641030214631e-06
2.725000000000000000e+02 -5.763962453041795375e-09 1.715848570703504686e-08 -2.659436840657672930e-06
2.750000000000000000e+02 -5.269607148106387417e-09 1.667298652539130861e-08 -2.541229404502519932e-06
2.775000000000000000e+02 -4.754369043221584201e-09 1.608013353248067638e-08 -2.422923033531996550e-06
2.800000000000000000e+02 -4.198628651380083013e-09 1.527763182516886734e-08 -2.304625092035592213e-06
2.825000000000000000e+02 -3.721049211319351510e-09 1.468597437585063910e-08 -2.186267146675855396e-06
2.850000000000000000e+02 -3.360995505664242171e-09 1.422621358717033082e-08 -2.068065914794566843e-06
2.875000000000000000e+02 -3.055942122610806623e-09 1.372508774462567471e-08 -1.953668219828245804e-06
2.900000000000000000e+02 -2.814713499573183046e-09 1.352868993861809024e-08 -1.848646853087044063e-06
2.925000000000000000e+02 -2.608625895768402328e-09 1.364899818432928142e-08 -1.754787577252381994e-06
2.950000000000000000e+02 -2.386930561913021595e-09 1.380546882244899270e-08 -1.669880147791732044e-06
2.975000000000000000e+02 -2.145966333006675146e-09 1.378320419774943741e-08 -1.590676874157471938e-06
3.000000000000000000e+02 -2.046380600931098387e-09 1.359446016950574216e-08 -1.514332527154743168e-06
3.025000000000000000e+02 -2.087822153333540139e-09 1.342601836152428920e-08 -1.441614600332006330e-06
3.050000000000000000e+02 -2.183628400521489548e-09 1.325588234510039857e-08 -1.374002469527563729e-06
3.075000000000000000e+02 -2.355922811809151300e-09 1.298618761253472594e-08 -1.310987734838714873e-06
3.100000000000000000e+02 -2.496393905120348393e-09 1.254842562518217631e-08 -1.252445098578302614e-06
3.125000000000000000e+02 -2.442003321378047278e-09 1.195316316550787571e-08 -1.198943726066733363e-06
3.150000000000000000e+02 -2.163073001804644827e-09 1.141090444395414242e-08 -1.151285852504788248e-06
3.175000000000000000e+02 -1.848161344750873517e-09 1.106021515311668523e-08 -1.107831192187489973e-06
3.200000000000000000e+02 -1.571341380435874365e-09 1.076920221572532577e-08 -1.065601473371625709e-06
3.225000000000000000e+02 -1.404556573677828410e-09 1.052121846298363008e-08 -1.023263831412347490e-06
3.250000000000000000e+02 -1.404987114006405119e-09 1.027286839319866108e-08 -9.797741185445094660e-07
3.275000000000000000e+02 -1.468179563450537495e-09 9.948608713279762319e-09 -9.343049722137249730e-07
