# Xi, RijLong, Xi, RijLat
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.828427124746190202e+01 5.827513856686851179e-01 2.828427124746190202e+01 -2.780827393764648270e-01
5.656854249492380404e+01 1.370366573639860974e-01 5.656854249492380404e+01 5.720016113389657549e-03
8.485281374238570606e+01 9.000936106437045989e-03 8.485281374238570606e+01 2.891715515476228626e-02
1.131370849898476081e+02 3.951416997356024287e-03 1.131370849898476081e+02 1.755723079527411051e-02
1.414213562373095101e+02 5.288735408577746426e-03 1.414213562373095101e+02 3.167855631794506271e-02
1.697056274847714121e+02 4.494398551271265758e-03 1.697056274847714121e+02 1.551563341401959381e-02
1.979898987322333141e+02 5.925188694897471665e-03 1.979898987322333141e+02 2.036933436009976534e-02
2.262741699796952162e+02 5.128165243335679364e-03 2.262741699796952162e+02 -2.138898576757788852e-03
2.545584412271571182e+02 1.047573957425900100e-02 2.545584412271571182e+02 2.415590664586031791e-02
2.828427124746190202e+02 1.253485465929470716e-02 2.828427124746190202e+02 1.038904525028745869e-02
3.111269837220809222e+02 1.021284543566221975e-02 3.111269837220809222e+02 -4.462354772815014213e-03
3.394112549695428243e+02 2.672116368920577668e-03 3.394112549695428243e+02 7.287936425882756211e-03
3.676955262170047263e+02 -2.188945958082533314e-03 3.676955262170047263e+02 8.532907486842071162e-03
3.959797974644666283e+02 1.094778665546343596e-04 3.959797974644666283e+02 1.473744687504728763e-02
4.242640687119285303e+02 5.280290475495247327e-03 4.242640687119285303e+02 -8.995093999914677979e-03
4.525483399593904323e+02 1.302131341559402758e-02 4.525483399593904323e+02 -7.638736254725432724e-03
4.808326112068523344e+02 1.641464285374762827e-02 4.808326112068523344e+02 8.986681563937377534e-03
5.091168824543142364e+02 8.606937902617441127e-03 5.091168824543142364e+02 -1.680217293660443353e-02
5.374011537017761384e+02 1.740866898956359640e-03 5.374011537017761384e+02 1.514238617083436475e-02
5.656854249492380404e+02 -7.190127039696820200e-04 5.656854249492380404e+02 -1.774403211495495514e-02
5.939696961966999424e+02 2.858206088461929043e-03 5.939696961966999424e+02 -1.168404242465061020e-02
6.222539674441618445e+02 3.416469395101184078e-03 6.222539674441618445e+02 4.205168024149433768e-03
6.505382386916237465e+02 2.267931932100665689e-03 6.505382386916237465e+02 -1.311494809203215747e-02
6.788225099390856485e+02 -4.432132562186063413e-03 6.788225099390856485e+02 -1.153368353086465375e-02
7.071067811865475505e+02 -1.180598931955669818e-02 7.071067811865475505e+02 -8.779050244090766744e-03
7.353910524340094526e+02 -1.472129410902711134e-02 7.353910524340094526e+02 -9.297217889848051128e-03
7.636753236814713546e+02 -7.421259685254370103e-03 7.636753236814713546e+02 -7.635603154022958805e-03
