# z, TI
0.000000000000000000e+00 4.859648697098975512e-02
6.000000000000000000e+00 5.249967183109412183e-02
1.200000000000000000e+01 5.337620450085773377e-02
1.800000000000000000e+01 5.212784092890322685e-02
2.400000000000000000e+01 4.942387140409657681e-02
3.000000000000000000e+01 4.639879605046039884e-02
3.600000000000000000e+01 4.354007224351134214e-02
4.200000000000000000e+01 4.097897143090226818e-02
4.800000000000000000e+01 3.865775286924299364e-02
5.400000000000000000e+01 3.665058103331705203e-02
6.000000000000000000e+01 3.486885776594611519e-02
6.600000000000000000e+01 3.319558305500128897e-02
7.200000000000000000e+01 3.169629413816196783e-02
7.800000000000000000e+01 3.029649301643657852e-02
8.400000000000000000e+01 2.894063958238871428e-02
9.000000000000000000e+01 2.764876212057291310e-02
9.600000000000000000e+01 2.644612395523092754e-02
1.020000000000000000e+02 2.530984483668664506e-02
1.080000000000000000e+02 2.426349675179650944e-02
1.140000000000000000e+02 2.324821168960397935e-02
1.200000000000000000e+02 2.228773995716518824e-02
1.260000000000000000e+02 2.137426759111492325e-02
1.320000000000000000e+02 2.051847375746908286e-02
1.380000000000000000e+02 1.972732196526158499e-02
1.440000000000000000e+02 1.890821858755373577e-02
1.500000000000000000e+02 1.808735161652540516e-02
1.560000000000000000e+02 1.734053762282631098e-02
1.620000000000000000e+02 1.661567868872838860e-02
1.680000000000000000e+02 1.586914681576270109e-02
1.740000000000000000e+02 1.515354588604274529e-02
1.800000000000000000e+02 1.448489885695635783e-02
1.860000000000000000e+02 1.387191367961940376e-02
1.920000000000000000e+02 1.327711670469039658e-02
1.980000000000000000e+02 1.266505604173478843e-02
2.040000000000000000e+02 1.206596369078133911e-02
2.100000000000000000e+02 1.153509795816807550e-02
2.160000000000000000e+02 1.103659395930324180e-02
2.220000000000000000e+02 1.056187995501703739e-02
2.280000000000000000e+02 1.010556981051909456e-02
2.340000000000000000e+02 9.707580622894822903e-03
2.400000000000000000e+02 9.387239739228069729e-03
2.460000000000000000e+02 9.063237486508328444e-03
2.520000000000000000e+02 8.740004453981804408e-03
2.580000000000000000e+02 8.419065851384500976e-03
2.640000000000000000e+02 8.116194006484573481e-03
2.700000000000000000e+02 7.821913884225203256e-03
2.760000000000000000e+02 7.517911280956581302e-03
2.820000000000000000e+02 7.233335290384097435e-03
2.880000000000000000e+02 6.952508276171075197e-03
2.940000000000000000e+02 6.667273258831999706e-03
3.000000000000000000e+02 6.426497937443271212e-03
3.060000000000000000e+02 6.212780538279958145e-03
3.120000000000000000e+02 6.008826212747310318e-03
