# z, veer
0.000000000000000000e+00 2.236697819167522425e+02
6.000000000000000000e+00 2.239732875932479601e+02
1.200000000000000000e+01 2.243817097197064072e+02
1.800000000000000000e+01 2.248432767120986000e+02
2.400000000000000000e+01 2.253026384846991448e+02
3.000000000000000000e+01 2.257272050476474305e+02
3.600000000000000000e+01 2.261018737214351972e+02
4.200000000000000000e+01 2.264487862608160071e+02
4.800000000000000000e+01 2.267865717028940935e+02
5.400000000000000000e+01 2.271235283000080472e+02
6.000000000000000000e+01 2.274608662957086551e+02
6.600000000000000000e+01 2.278044303326757358e+02
7.200000000000000000e+01 2.281503003760268200e+02
7.800000000000000000e+01 2.285006067560142924e+02
8.400000000000000000e+01 2.288561622824003337e+02
9.000000000000000000e+01 2.292181173966391725e+02
9.600000000000000000e+01 2.295835013809011116e+02
1.020000000000000000e+02 2.299527559308992295e+02
1.080000000000000000e+02 2.303287210451083524e+02
1.140000000000000000e+02 2.307115192055744615e+02
1.200000000000000000e+02 2.310933195423078814e+02
1.260000000000000000e+02 2.314687556070523726e+02
1.320000000000000000e+02 2.318430815336098192e+02
1.380000000000000000e+02 2.322201746854494218e+02
1.440000000000000000e+02 2.325960579059289728e+02
1.500000000000000000e+02 2.329662531155018428e+02
1.560000000000000000e+02 2.333288905124207986e+02
1.620000000000000000e+02 2.336902873836472168e+02
1.680000000000000000e+02 2.340510626602186903e+02
1.740000000000000000e+02 2.344067429624800525e+02
1.800000000000000000e+02 2.347572823006718181e+02
1.860000000000000000e+02 2.351018994458978852e+02
1.920000000000000000e+02 2.354426431516103548e+02
1.980000000000000000e+02 2.357781402521560494e+02
2.040000000000000000e+02 2.361060489339880064e+02
2.100000000000000000e+02 2.364267002128105446e+02
2.160000000000000000e+02 2.367389240603035319e+02
2.220000000000000000e+02 2.370389766738755952e+02
2.280000000000000000e+02 2.373246515552444862e+02
2.340000000000000000e+02 2.375972934864008721e+02
2.400000000000000000e+02 2.378584878852294651e+02
2.460000000000000000e+02 2.381104141551718101e+02
2.520000000000000000e+02 2.383540349196246950e+02
2.580000000000000000e+02 2.385908053936658746e+02
2.640000000000000000e+02 2.388220662899992135e+02
2.700000000000000000e+02 2.390456609701072068e+02
2.760000000000000000e+02 2.392576171043781414e+02
2.820000000000000000e+02 2.394651034485535206e+02
2.880000000000000000e+02 2.396667497854356554e+02
2.940000000000000000e+02 2.398620671004022995e+02
3.000000000000000000e+02 2.400503246973687794e+02
3.060000000000000000e+02 2.402317951856075524e+02
3.120000000000000000e+02 2.404040889869964417e+02
3.180000000000000000e+02 2.405661978724466792e+02
3.240000000000000000e+02 2.407190014054685889e+02
3.300000000000000000e+02 2.408635877559383971e+02
3.360000000000000000e+02 2.410008591212774718e+02
3.420000000000000000e+02 2.411325131401140993e+02
3.480000000000000000e+02 2.412583406220924473e+02
3.540000000000000000e+02 2.413786157057222113e+02
3.600000000000000000e+02 2.414959067519531573e+02
3.660000000000000000e+02 2.416085575910278465e+02
3.720000000000000000e+02 2.417143266566248201e+02
3.780000000000000000e+02 2.418149408683680406e+02
3.840000000000000000e+02 2.419121134022340414e+02
3.900000000000000000e+02 2.420060763218455691e+02
3.960000000000000000e+02 2.420963636108835715e+02
4.020000000000000000e+02 2.421818586852766941e+02
4.080000000000000000e+02 2.422631509512974901e+02
4.140000000000000000e+02 2.423399834912582946e+02
4.200000000000000000e+02 2.424125690223965819e+02
4.260000000000000000e+02 2.424816171164828518e+02
4.320000000000000000e+02 2.425468847550795033e+02
4.380000000000000000e+02 2.426087481810914142e+02
4.440000000000000000e+02 2.426675063045874197e+02
4.500000000000000000e+02 2.427234341999461265e+02
4.560000000000000000e+02 2.427768685171072889e+02
4.620000000000000000e+02 2.428283189075836503e+02
4.680000000000000000e+02 2.428771685818474282e+02
4.740000000000000000e+02 2.429237055900833298e+02
4.800000000000000000e+02 2.429672411167634323e+02
4.860000000000000000e+02 2.430085829511506574e+02
4.920000000000000000e+02 2.430475453443263518e+02
4.980000000000000000e+02 2.430846217239424050e+02
5.040000000000000000e+02 2.431193376275667788e+02
5.100000000000000000e+02 2.431525315295014025e+02
5.160000000000000000e+02 2.431838262537289381e+02
