 z u v w u_mag
0.000000000000000000e+00 3.996253798001796476e+00 4.186258756834039474e+00 -8.612504937426245996e-03 5.787476217873793516e+00
6.000000000000000000e+00 5.238848716945335049e+00 5.430050652884460760e+00 6.852424107262571409e-03 7.545265596892324567e+00
1.200000000000000000e+01 6.156237423018411370e+00 6.290558515278987350e+00 -5.406109455024908465e-03 8.801727947894139703e+00
1.800000000000000000e+01 6.886450520523092145e+00 6.924227478630417210e+00 4.206390636317720692e-03 9.765661505558929534e+00
2.400000000000000000e+01 7.440836905590628270e+00 7.362643631645378051e+00 -3.377188008697512480e-03 1.046778804273408170e+01
3.000000000000000000e+01 7.882540349143890346e+00 7.684945305162819373e+00 2.768821599377085593e-03 1.100876170900245299e+01
3.600000000000000000e+01 8.250101225683357242e+00 7.938730170595932556e+00 -2.191990338515589255e-03 1.144934984007274537e+01
4.200000000000000000e+01 8.571117279454359306e+00 8.148259480118733578e+00 1.851811546716630383e-03 1.182616537186555306e+01
4.800000000000000000e+01 8.862193228175062387e+00 8.326062845964242953e+00 -1.467759239413860385e-03 1.215984348101468449e+01
5.400000000000000000e+01 9.134281462904588977e+00 8.481110819321980188e+00 1.266412192955230533e-03 1.246452326312493142e+01
6.000000000000000000e+01 9.391855389179028180e+00 8.617858244005343948e+00 -1.006822427734294480e-03 1.274654578223894319e+01
6.600000000000000000e+01 9.642912802743767386e+00 8.742300821631539876e+00 8.803062813388072561e-04 1.301589765449000069e+01
7.200000000000000000e+01 9.886537466716571743e+00 8.855028151773971956e+00 -6.938278668046526281e-04 1.327234520086398284e+01
7.800000000000000000e+01 1.012542535372962327e+01 8.958028468623680851e+00 6.210677266113689412e-04 1.351926451491900316e+01
8.400000000000000000e+01 1.036164156757904387e+01 9.053006309445981614e+00 -4.854129574384490596e-04 1.375938005323918745e+01
9.000000000000000000e+01 1.059455649118693188e+01 9.139131295017632439e+00 4.395067588503584629e-04 1.399172427778963801e+01
9.600000000000000000e+01 1.082326977987436756e+01 9.216699936268646809e+00 -3.431404738158962651e-04 1.421586179452028809e+01
1.020000000000000000e+02 1.104864301256722570e+01 9.286447817063766763e+00 3.201930009035672351e-04 1.443297008867968678e+01
1.080000000000000000e+02 1.126965010204893325e+01 9.346704763626231482e+00 -2.480367526883045146e-04 1.464123981848965705e+01
1.140000000000000000e+02 1.148938954253956801e+01 9.400099614438321538e+00 2.347775818991984823e-04 1.484479521167946459e+01
1.200000000000000000e+02 1.170372110323950210e+01 9.445965716709967097e+00 -1.765707285798896146e-04 1.504005837803999057e+01
1.260000000000000000e+02 1.191221909653047994e+01 9.486017563362761251e+00 1.678486927044083293e-04 1.522778687283038579e+01
1.320000000000000000e+02 1.211666908821690569e+01 9.520134611807369751e+00 -1.245542812376111621e-04 1.540930345070138152e+01
1.380000000000000000e+02 1.231708745276837114e+01 9.547167744998288796e+00 1.242012339262776259e-04 1.558393580857242000e+01
1.440000000000000000e+02 1.251423850544127347e+01 9.569222182227319351e+00 -9.046033882957866363e-05 1.575360842956570018e+01
1.500000000000000000e+02 1.270540217383759796e+01 9.585945292795237549e+00 8.954320559026725614e-05 1.591595399476381800e+01
1.560000000000000000e+02 1.289117661493414424e+01 9.598679123113132761e+00 -6.115723101103964061e-05 1.607224550054077028e+01
1.620000000000000000e+02 1.307461627384141067e+01 9.607673213828789471e+00 6.331485215836710190e-05 1.622507242806424799e+01
1.680000000000000000e+02 1.325502061859448766e+01 9.612299163404291136e+00 -3.992326318967064303e-05 1.637351113255008883e+01
1.740000000000000000e+02 1.343013290979614460e+01 9.612640328746390850e+00 4.172097840675029228e-05 1.651579014356781272e+01
1.800000000000000000e+02 1.360024416789118895e+01 9.609110552979323927e+00 -2.056780747951655495e-05 1.665237661855087836e+01
1.860000000000000000e+02 1.376546675194581049e+01 9.602244200114226302e+00 2.148811265094984589e-05 1.678365778303449929e+01
1.920000000000000000e+02 1.392672496902190638e+01 9.592113966455515950e+00 -4.982650120457863730e-06 1.691042041784514538e+01
1.980000000000000000e+02 1.408294981099233567e+01 9.578619381426127788e+00 8.245058066147091698e-06 1.703171819380620278e+01
2.040000000000000000e+02 1.423508765803924980e+01 9.563400625844698411e+00 6.943540134566048183e-06 1.714923765543285938e+01
2.100000000000000000e+02 1.438151556914766616e+01 9.545398827372505224e+00 -2.672635416638163705e-06 1.726101471059127235e+01
2.160000000000000000e+02 1.452134744648865272e+01 9.524626873690531070e+00 1.966402182723920781e-05 1.736629058679650939e+01
2.220000000000000000e+02 1.465395885156042866e+01 9.502225648944387260e+00 -1.545198202859646033e-05 1.746513104179071263e+01
2.280000000000000000e+02 1.477872682237532587e+01 9.478797240426953152e+00 3.397723939287902484e-05 1.755728804846226510e+01
2.340000000000000000e+02 1.489793020986955341e+01 9.455501202564166263e+00 -3.292052329803500085e-05 1.764524943238037835e+01
2.400000000000000000e+02 1.500951341431479058e+01 9.430610898524035335e+00 5.072530486064771231e-05 1.772630573064870063e+01
2.460000000000000000e+02 1.511808276014360608e+01 9.406365656233889538e+00 -5.328750435384107338e-05 1.780550873196740014e+01
2.520000000000000000e+02 1.522184022776917622e+01 9.381380302824162243e+00 6.982516128656329106e-05 1.788056812047158317e+01
2.580000000000000000e+02 1.532024748060925035e+01 9.354893895273095339e+00 -7.302715971580831834e-05 1.795059950709905650e+01
2.640000000000000000e+02 1.541534469823747422e+01 9.327752062447238757e+00 9.021464132887269908e-05 1.801776375447590439e+01
2.700000000000000000e+02 1.550606675126156553e+01 9.300174192235378001e+00 -9.589270587524261174e-05 1.808124293597361643e+01
2.760000000000000000e+02 1.559278586053714122e+01 9.273926286114937412e+00 1.135133494172250215e-04 1.814223469327155058e+01
2.820000000000000000e+02 1.567669713815354982e+01 9.247145908820126436e+00 -1.224509147746320422e-04 1.820078406650094394e+01
2.880000000000000000e+02 1.575694777145241687e+01 9.219887612743198346e+00 1.414602751698733959e-04 1.825616966079976322e+01
2.940000000000000000e+02 1.583443763731659892e+01 9.192913752307571684e+00 -1.536685578904442432e-04 1.830953518173107852e+01
3.000000000000000000e+02 1.590801256489679538e+01 9.165874759548856332e+00 1.744496629742674134e-04 1.835968746746746305e+01
3.060000000000000000e+02 1.597724266900575252e+01 9.138482571912108554e+00 -1.880677211450195005e-04 1.840608994482013472e+01
3.120000000000000000e+02 1.604107183259555924e+01 9.111082917965704908e+00 2.108519096410574562e-04 1.844797597355860930e+01
3.180000000000000000e+02 1.610180807211943232e+01 9.085422181663847851e+00 -2.270339408759499517e-04 1.848818864740362855e+01
3.240000000000000000e+02 1.616078497636738120e+01 9.061963563814069644e+00 2.520296185954830738e-04 1.852809096339378314e+01
