 z TI
0.000000000000000000e+00 6.953674899248428465e-02
6.000000000000000000e+00 7.080570906769083350e-02
1.200000000000000000e+01 6.740588666919318517e-02
1.800000000000000000e+01 6.252325361073524101e-02
2.400000000000000000e+01 5.767685863171687077e-02
3.000000000000000000e+01 5.367654307393621149e-02
3.600000000000000000e+01 5.051494945777344064e-02
4.200000000000000000e+01 4.793398073088121769e-02
4.800000000000000000e+01 4.577237979904284076e-02
5.400000000000000000e+01 4.396904612662808076e-02
6.000000000000000000e+01 4.241998413025951931e-02
6.600000000000000000e+01 4.105391092456084356e-02
7.200000000000000000e+01 3.985332948269211528e-02
7.800000000000000000e+01 3.874379753637296336e-02
8.400000000000000000e+01 3.773350679940923325e-02
9.000000000000000000e+01 3.679166417609625039e-02
9.600000000000000000e+01 3.594970021950296551e-02
1.020000000000000000e+02 3.515293691201957366e-02
1.080000000000000000e+02 3.439702220301407709e-02
1.140000000000000000e+02 3.366662661173537574e-02
1.200000000000000000e+02 3.296220868791929076e-02
1.260000000000000000e+02 3.227283983404993090e-02
1.320000000000000000e+02 3.162624122410170185e-02
1.380000000000000000e+02 3.097182068512743802e-02
1.440000000000000000e+02 3.034100404241384802e-02
1.500000000000000000e+02 2.976762049832249596e-02
1.560000000000000000e+02 2.920221782439139796e-02
1.620000000000000000e+02 2.863781585383103415e-02
1.680000000000000000e+02 2.811939984999427614e-02
1.740000000000000000e+02 2.758438372867757366e-02
1.800000000000000000e+02 2.706006834133962632e-02
1.860000000000000000e+02 2.657563592963439053e-02
1.920000000000000000e+02 2.610549499791957676e-02
1.980000000000000000e+02 2.562766266945293650e-02
2.040000000000000000e+02 2.516787723087470299e-02
2.100000000000000000e+02 2.472783483435838855e-02
2.160000000000000000e+02 2.430248332241753337e-02
2.220000000000000000e+02 2.384267116556766652e-02
2.280000000000000000e+02 2.339896505697983825e-02
2.340000000000000000e+02 2.296701424091048341e-02
2.400000000000000000e+02 2.254045918840696938e-02
2.460000000000000000e+02 2.209985799039941926e-02
2.520000000000000000e+02 2.166509675838658097e-02
2.580000000000000000e+02 2.123998713790808263e-02
2.640000000000000000e+02 2.083949746642014406e-02
2.700000000000000000e+02 2.045518233540443570e-02
2.760000000000000000e+02 2.004845264090946225e-02
2.820000000000000000e+02 1.965743347645955430e-02
2.880000000000000000e+02 1.929717836767835121e-02
2.940000000000000000e+02 1.892666380062171805e-02
3.000000000000000000e+02 1.856073413528110116e-02
3.060000000000000000e+02 1.821580745786479175e-02
3.120000000000000000e+02 1.788438906531751235e-02
3.180000000000000000e+02 1.754836440596969221e-02
3.240000000000000000e+02 1.720275478621828211e-02
3.300000000000000000e+02 1.687281690899871192e-02
3.360000000000000000e+02 1.653992500348937245e-02
3.420000000000000000e+02 1.620003389224278917e-02
3.480000000000000000e+02 1.587239272532726952e-02
3.540000000000000000e+02 1.556536156009893576e-02
3.600000000000000000e+02 1.526700148402695620e-02
3.660000000000000000e+02 1.495457141086970615e-02
3.720000000000000000e+02 1.464025198675652541e-02
3.780000000000000000e+02 1.433652661939532370e-02
3.840000000000000000e+02 1.403644004777464087e-02
3.900000000000000000e+02 1.372572205710008257e-02
3.960000000000000000e+02 1.343482902796640753e-02
4.020000000000000000e+02 1.316588530061628751e-02
4.080000000000000000e+02 1.289212970607878962e-02
4.140000000000000000e+02 1.262145895805618159e-02
4.200000000000000000e+02 1.234526377286657498e-02
4.260000000000000000e+02 1.207310013531238263e-02
4.320000000000000000e+02 1.181279909398128339e-02
4.380000000000000000e+02 1.155295113300561401e-02
4.440000000000000000e+02 1.128494527638765864e-02
4.500000000000000000e+02 1.101241974286031218e-02
4.560000000000000000e+02 1.074247604672192748e-02
4.620000000000000000e+02 1.045998112581586134e-02
4.680000000000000000e+02 1.016781759637168034e-02
4.740000000000000000e+02 9.883933963445765136e-03
4.800000000000000000e+02 9.617223504066850157e-03
4.860000000000000000e+02 9.375339139832614133e-03
4.920000000000000000e+02 9.152994177577276902e-03
4.980000000000000000e+02 8.916561184980983587e-03
5.040000000000000000e+02 8.684132045539142558e-03
5.100000000000000000e+02 8.455382562558195342e-03
5.160000000000000000e+02 8.206403757147744810e-03
5.220000000000000000e+02 7.942577212466864559e-03
5.280000000000000000e+02 7.666078401562389892e-03
5.340000000000000000e+02 7.405091905189253344e-03
5.400000000000000000e+02 7.148646298468829333e-03
5.460000000000000000e+02 6.888087612769118635e-03
5.520000000000000000e+02 6.630005783523927609e-03
5.580000000000000000e+02 6.370281225625070917e-03
5.640000000000000000e+02 6.113844863256637403e-03
5.700000000000000000e+02 5.877909323895117062e-03
5.760000000000000000e+02 5.667493693586974322e-03
5.820000000000000000e+02 5.449981335411986823e-03
5.880000000000000000e+02 5.245933598839462760e-03
5.940000000000000000e+02 5.054840023821460110e-03
6.000000000000000000e+02 4.886096464419652403e-03
6.060000000000000000e+02 4.747957447747135074e-03
6.120000000000000000e+02 4.658722373622884057e-03
6.180000000000000000e+02 4.632840391344085658e-03
6.240000000000000000e+02 4.689938697580636751e-03
6.300000000000000000e+02 4.816475851230078362e-03
6.360000000000000000e+02 4.888781039656052776e-03
6.420000000000000000e+02 4.753454650944421468e-03
6.480000000000000000e+02 4.461248595768422566e-03
6.540000000000000000e+02 4.164513574719293752e-03
6.600000000000000000e+02 3.964325766608286714e-03
6.660000000000000000e+02 3.898981125007831491e-03
6.720000000000000000e+02 3.944946900580847265e-03
6.780000000000000000e+02 4.046128906665240679e-03
6.840000000000000000e+02 4.151486303043681533e-03
6.900000000000000000e+02 4.230740746090873305e-03
6.960000000000000000e+02 4.269843496624804377e-03
7.020000000000000000e+02 4.266214306918837511e-03
7.080000000000000000e+02 4.221593735666197278e-03
7.140000000000000000e+02 4.140082973495363972e-03
7.200000000000000000e+02 4.024878267899933103e-03
7.260000000000000000e+02 3.881710979285450062e-03
7.320000000000000000e+02 3.720291531107929473e-03
7.380000000000000000e+02 3.557237691625035007e-03
7.440000000000000000e+02 3.408905448899677681e-03
7.500000000000000000e+02 3.286918652973332741e-03
