 z T
0.000000000000000000e+00 2.954858993342928670e+02
6.000000000000000000e+00 2.957554112965924560e+02
1.200000000000000000e+01 2.959931240917634341e+02
1.800000000000000000e+01 2.962232342316020208e+02
2.400000000000000000e+01 2.964296689200547803e+02
3.000000000000000000e+01 2.966083497971335419e+02
3.600000000000000000e+01 2.967636306003018944e+02
4.200000000000000000e+01 2.969007215122650791e+02
4.800000000000000000e+01 2.970237723937237888e+02
5.400000000000000000e+01 2.971358538228176371e+02
6.000000000000000000e+01 2.972391667774136863e+02
6.600000000000000000e+01 2.973351426137717795e+02
7.200000000000000000e+01 2.974247956431049715e+02
7.800000000000000000e+01 2.975091982532232464e+02
8.400000000000000000e+01 2.975893708491823872e+02
9.000000000000000000e+01 2.976658007373783335e+02
9.600000000000000000e+01 2.977386708586058148e+02
1.020000000000000000e+02 2.978081852606517828e+02
1.080000000000000000e+02 2.978747589990531424e+02
1.140000000000000000e+02 2.979387514823852143e+02
1.200000000000000000e+02 2.980004013667307277e+02
1.260000000000000000e+02 2.980597759656446328e+02
1.320000000000000000e+02 2.981169630164544628e+02
1.380000000000000000e+02 2.981721316861509763e+02
1.440000000000000000e+02 2.982253907210639454e+02
1.500000000000000000e+02 2.982768313901194119e+02
1.560000000000000000e+02 2.983265535979200536e+02
1.620000000000000000e+02 2.983747212557225339e+02
1.680000000000000000e+02 2.984215452542014759e+02
1.740000000000000000e+02 2.984672239256545367e+02
1.800000000000000000e+02 2.985117162694194235e+02
1.860000000000000000e+02 2.985549859621352766e+02
1.920000000000000000e+02 2.985970882886455797e+02
1.980000000000000000e+02 2.986382124073688260e+02
2.040000000000000000e+02 2.986785043233733177e+02
2.100000000000000000e+02 2.987180096865326391e+02
2.160000000000000000e+02 2.987565957011198066e+02
2.220000000000000000e+02 2.987941304906175901e+02
2.280000000000000000e+02 2.988306435462006334e+02
2.340000000000000000e+02 2.988661265058256618e+02
2.400000000000000000e+02 2.989006960059838320e+02
2.460000000000000000e+02 2.989344689015855465e+02
2.520000000000000000e+02 2.989674452345455506e+02
2.580000000000000000e+02 2.989995773817374243e+02
2.640000000000000000e+02 2.990309231358718876e+02
2.700000000000000000e+02 2.990615143264909079e+02
2.760000000000000000e+02 2.990913020994881890e+02
2.820000000000000000e+02 2.991202629887947069e+02
2.880000000000000000e+02 2.991483847352835710e+02
2.940000000000000000e+02 2.991757350075757813e+02
3.000000000000000000e+02 2.992024124953633191e+02
3.060000000000000000e+02 2.992284094035321118e+02
3.120000000000000000e+02 2.992537131801992700e+02
3.180000000000000000e+02 2.992783615500169958e+02
3.240000000000000000e+02 2.993024135050871450e+02
3.300000000000000000e+02 2.993259479554920404e+02
3.360000000000000000e+02 2.993490054650737875e+02
3.420000000000000000e+02 2.993715696722621828e+02
3.480000000000000000e+02 2.993935433921662366e+02
3.540000000000000000e+02 2.994148498811760533e+02
3.600000000000000000e+02 2.994355289278444729e+02
3.660000000000000000e+02 2.994556478764246208e+02
3.720000000000000000e+02 2.994752511390005338e+02
3.780000000000000000e+02 2.994943571490612158e+02
3.840000000000000000e+02 2.995129406418878375e+02
3.900000000000000000e+02 2.995310185370495901e+02
3.960000000000000000e+02 2.995486184119006339e+02
4.020000000000000000e+02 2.995657711131889869e+02
4.080000000000000000e+02 2.995824971866178998e+02
4.140000000000000000e+02 2.995988241039492550e+02
4.200000000000000000e+02 2.996147535291614190e+02
4.260000000000000000e+02 2.996302860424806909e+02
4.320000000000000000e+02 2.996454194326274774e+02
4.380000000000000000e+02 2.996601503676127436e+02
4.440000000000000000e+02 2.996744915300995444e+02
4.500000000000000000e+02 2.996884524642368319e+02
4.560000000000000000e+02 2.997020142602592045e+02
4.620000000000000000e+02 2.997151562511170368e+02
4.680000000000000000e+02 2.997278933105079659e+02
4.740000000000000000e+02 2.997402404368327211e+02
4.800000000000000000e+02 2.997521698970212469e+02
4.860000000000000000e+02 2.997636925322227626e+02
4.920000000000000000e+02 2.997748210692496400e+02
4.980000000000000000e+02 2.997855948550418361e+02
5.040000000000000000e+02 2.997960811174327773e+02
5.100000000000000000e+02 2.998063377517191270e+02
5.160000000000000000e+02 2.998163446913823691e+02
5.220000000000000000e+02 2.998261088226026345e+02
5.280000000000000000e+02 2.998356703366623037e+02
5.340000000000000000e+02 2.998450393074330123e+02
5.400000000000000000e+02 2.998542243923566275e+02
5.460000000000000000e+02 2.998632353571261433e+02
5.520000000000000000e+02 2.998721222819652326e+02
5.580000000000000000e+02 2.998809430165059666e+02
5.640000000000000000e+02 2.998897490573163509e+02
5.700000000000000000e+02 2.998985899249644262e+02
5.760000000000000000e+02 2.999074834367333438e+02
5.820000000000000000e+02 2.999164612344907823e+02
5.880000000000000000e+02 2.999256197084582141e+02
5.940000000000000000e+02 2.999351524038413004e+02
6.000000000000000000e+02 2.999453730195878052e+02
6.060000000000000000e+02 2.999568416486524711e+02
6.120000000000000000e+02 2.999706051084257865e+02
6.180000000000000000e+02 2.999886241940925515e+02
6.240000000000000000e+02 3.000145639106225417e+02
6.300000000000000000e+02 3.000548228722843191e+02
6.360000000000000000e+02 3.001191259756676573e+02
6.420000000000000000e+02 3.002196744743267232e+02
6.480000000000000000e+02 3.003687166905942263e+02
6.540000000000000000e+02 3.005761347687345619e+02
6.600000000000000000e+02 3.008480204536088536e+02
6.660000000000000000e+02 3.011859269366169087e+02
6.720000000000000000e+02 3.015865511117299320e+02
6.780000000000000000e+02 3.020421859535311455e+02
6.840000000000000000e+02 3.025417020653304689e+02
6.900000000000000000e+02 3.030719944440461404e+02
6.960000000000000000e+02 3.036195744071866898e+02
7.020000000000000000e+02 3.041717257993191765e+02
7.080000000000000000e+02 3.047169288576552617e+02
7.140000000000000000e+02 3.052447019440710392e+02
7.200000000000000000e+02 3.057452964972220570e+02
7.260000000000000000e+02 3.062094576296519222e+02
7.320000000000000000e+02 3.066284949817711549e+02
7.380000000000000000e+02 3.069948807889226146e+02
7.440000000000000000e+02 3.073033190397125054e+02
7.500000000000000000e+02 3.075518035586169390e+02
7.560000000000000000e+02 3.077422305351747696e+02
7.620000000000000000e+02 3.078803299447284303e+02
7.680000000000000000e+02 3.079748948426889683e+02
7.740000000000000000e+02 3.080363252612928022e+02
7.800000000000000000e+02 3.080748844051778406e+02
7.860000000000000000e+02 3.080992215457123962e+02
7.920000000000000000e+02 3.081156888763024426e+02
7.980000000000000000e+02 3.081284561234450052e+02
8.040000000000000000e+02 3.081400603190957668e+02
8.100000000000000000e+02 3.081519397456563638e+02
8.160000000000000000e+02 3.081647814553165858e+02
8.220000000000000000e+02 3.081787232131304677e+02
8.280000000000000000e+02 3.081935458667047669e+02
8.340000000000000000e+02 3.082088666206806238e+02
8.400000000000000000e+02 3.082243363400260705e+02
8.460000000000000000e+02 3.082397208969610460e+02
8.520000000000000000e+02 3.082549476012245577e+02
8.580000000000000000e+02 3.082700237939029648e+02
8.640000000000000000e+02 3.082850202884608848e+02
8.700000000000000000e+02 3.082999815414954128e+02
8.760000000000000000e+02 3.083149485304693940e+02
8.820000000000000000e+02 3.083299250123426987e+02
8.880000000000000000e+02 3.083449065545069061e+02
8.940000000000000000e+02 3.083598957837421040e+02
9.000000000000000000e+02 3.083748710911104922e+02
9.060000000000000000e+02 3.083898555901855616e+02
9.120000000000000000e+02 3.084048212651245535e+02
9.180000000000000000e+02 3.084198049194633882e+02
9.240000000000000000e+02 3.084347705980603109e+02
9.300000000000000000e+02 3.084497575104241491e+02
9.360000000000000000e+02 3.084647257600011585e+02
9.420000000000000000e+02 3.084797166179819214e+02
9.480000000000000000e+02 3.084946884975773287e+02
9.540000000000000000e+02 3.085096835102620503e+02
9.600000000000000000e+02 3.085246602849920805e+02
9.660000000000000000e+02 3.085396605031903619e+02
9.720000000000000000e+02 3.085546442377894891e+02
9.780000000000000000e+02 3.085696510299183046e+02
9.840000000000000000e+02 3.085846435407000854e+02
9.900000000000000000e+02 3.085996575578648731e+02
9.960000000000000000e+02 3.086146594870842250e+02
1.002000000000000000e+03 3.086296805225539401e+02
1.008000000000000000e+03 3.086446930725256834e+02
1.014000000000000000e+03 3.086597257424124336e+02
1.020000000000000000e+03 3.086747611555324511e+02
1.026000000000000000e+03 3.086898237964656460e+02
1.032000000000000000e+03 3.087048882778893244e+02
1.038000000000000000e+03 3.087199189785518456e+02
1.044000000000000000e+03 3.087347979340015627e+02
1.050000000000000000e+03 3.087493488769686678e+02
