# z, u, v, w, u_mag
0.000000000000000000e+00 6.571941194559714816e+00 6.695742453341043010e+00 -6.329500716544799246e-03 9.382079627076494788e+00
6.000000000000000000e+00 8.510250832151271538e+00 8.634447994863400311e+00 4.915440457546456539e-03 1.212345188317613243e+01
1.200000000000000000e+01 9.676952954211914815e+00 9.765728717907038003e+00 -4.052020729222690840e-03 1.374819596487687967e+01
1.800000000000000000e+01 1.043753741831874038e+01 1.046160507909962156e+01 3.012298690096210270e-03 1.477793548719814254e+01
2.400000000000000000e+01 1.094581679053446521e+01 1.089352323961223590e+01 -2.297895085009648512e-03 1.544278987308445927e+01
3.000000000000000000e+01 1.132959360621850564e+01 1.119876279999079038e+01 1.930127184604198912e-03 1.593022232292806883e+01
3.600000000000000000e+01 1.165207164046172217e+01 1.143978546648492234e+01 -1.353172659836727283e-03 1.632909877686849498e+01
4.200000000000000000e+01 1.193912135500210425e+01 1.164433626702881952e+01 1.171638895738078999e-03 1.667732554104067688e+01
4.800000000000000000e+01 1.220325492894089514e+01 1.182669471964614871e+01 -8.339443918974919802e-04 1.699382651282193279e+01
5.400000000000000000e+01 1.245249665603828859e+01 1.199259451509207786e+01 7.231229357689734644e-04 1.728834858206439762e+01
6.000000000000000000e+01 1.269192953024571224e+01 1.214609247680776960e+01 -5.223633198540992336e-04 1.756737424684613558e+01
6.600000000000000000e+01 1.292342006709580104e+01 1.228843480033396318e+01 4.403344368060481081e-04 1.783312693462836407e+01
7.200000000000000000e+01 1.314894329671564321e+01 1.241982862374064389e+01 -3.281289934247542017e-04 1.808720135817034702e+01
7.800000000000000000e+01 1.337087714262131755e+01 1.254284494922090154e+01 2.905429924282209534e-04 1.833312071273422461e+01
8.400000000000000000e+01 1.358944194824242757e+01 1.265781922671234305e+01 -2.073263430658435556e-04 1.857130367216485567e+01
9.000000000000000000e+01 1.380424358862333811e+01 1.276548910094521183e+01 1.801434806130569881e-04 1.880199066782161665e+01
9.600000000000000000e+01 1.401404714258096895e+01 1.286805045693812133e+01 -1.291800390223680529e-04 1.902577829928317854e+01
1.020000000000000000e+02 1.421959269398631953e+01 1.296426740722813520e+01 1.135002369110851313e-04 1.924237630340569893e+01
1.080000000000000000e+02 1.442238914837727215e+01 1.305422604135596565e+01 -8.410523064228290970e-05 1.945297217119071576e+01
1.140000000000000000e+02 1.462259141164055620e+01 1.313990053262770807e+01 8.760077842741456980e-05 1.965902249876142704e+01
