# z, Alpha
0.000000000000000000e+00 0.000000000000000000e+00
7.500000000000000000e+00 3.330500154641359567e-02
1.500000000000000000e+01 2.442445457726033844e-02
2.250000000000000000e+01 2.105312201348785023e-02
3.000000000000000000e+01 1.877870847695757919e-02
3.750000000000000000e+01 1.837574645349077454e-02
4.500000000000000000e+01 1.871974119622379570e-02
5.250000000000000000e+01 1.813137659090110348e-02
6.000000000000000000e+01 1.883474664365149265e-02
6.750000000000000000e+01 1.789367572598250106e-02
7.500000000000000000e+01 1.867982168047756242e-02
8.250000000000000000e+01 1.761283296811499977e-02
9.000000000000000000e+01 1.810135976259739932e-02
9.750000000000000000e+01 1.676462075755150508e-02
1.050000000000000000e+02 1.777225801927473370e-02
1.125000000000000000e+02 1.646147677941573947e-02
1.200000000000000000e+02 1.712776675790205622e-02
1.275000000000000000e+02 1.651866031407297000e-02
1.350000000000000000e+02 1.762709808814226162e-02
1.425000000000000000e+02 1.560549032084065750e-02
1.500000000000000000e+02 1.613134427139445784e-02
1.575000000000000000e+02 1.507579168360662081e-02
1.650000000000000000e+02 1.473986316181648271e-02
1.725000000000000000e+02 1.379856327933888516e-02
1.800000000000000000e+02 1.455148499652111037e-02
1.875000000000000000e+02 1.330168789984750508e-02
1.950000000000000000e+02 1.312489673563526846e-02
2.025000000000000000e+02 1.260026057558306760e-02
2.100000000000000000e+02 1.207662664702031582e-02
2.175000000000000000e+02 9.798634469295951568e-03
2.250000000000000000e+02 1.025978650711336336e-02
2.325000000000000000e+02 8.416802448280361754e-03
2.400000000000000000e+02 8.280780888528883887e-03
2.475000000000000000e+02 6.576677684796270427e-03
2.550000000000000000e+02 5.877751980335777469e-03
2.625000000000000000e+02 3.918496881152939287e-03
2.700000000000000000e+02 3.817756419019068415e-03
2.775000000000000000e+02 2.226419200565970397e-03
2.850000000000000000e+02 1.353527439335959958e-03
2.925000000000000000e+02 6.461507844304670463e-04
3.000000000000000000e+02 2.480610525143097365e-04
3.075000000000000000e+02 -7.098126530085563943e-04
3.150000000000000000e+02 -1.298611273803437034e-03
3.225000000000000000e+02 -2.801339787582685179e-03
3.300000000000000000e+02 -3.085754520642774133e-03
3.375000000000000000e+02 -4.039822852236263535e-03
3.450000000000000000e+02 -3.547860540920592075e-03
3.525000000000000000e+02 -4.652232627719378281e-03
3.600000000000000000e+02 -4.604456977516110418e-03
