# z, u, v, w, u_mag
0.000000000000000000e+00 2.966135807857958717e+00 -2.956345665417938751e+00 1.159416203717215932e-02 4.187848582349410265e+00
7.500000000000000000e+00 3.396761641472566318e+00 -3.391106709639870154e+00 -1.007503872464664274e-02 4.799759980618745203e+00
1.500000000000000000e+01 3.507900968187210644e+00 -3.506039535848415767e+00 8.025413748763029348e-03 4.959611561080845554e+00
2.250000000000000000e+01 3.549062601405167605e+00 -3.550533835833836971e+00 -7.018187564437094669e-03 5.020177797952024790e+00
3.000000000000000000e+01 3.571961051707207790e+00 -3.577456317139234176e+00 6.110808181461967539e-03 5.055406689666945397e+00
3.750000000000000000e+01 3.587222766162557530e+00 -3.595755862162682615e+00 -5.353007844949339566e-03 5.079139301992536382e+00
4.500000000000000000e+01 3.598838096367771300e+00 -3.610534649593295953e+00 4.733139524749207551e-03 5.097805263286501187e+00
5.250000000000000000e+01 3.608636734487842279e+00 -3.623223750020712064e+00 -4.187667382474355958e-03 5.113709706345026973e+00
6.000000000000000000e+01 3.616533424229697147e+00 -3.634052585348485298e+00 3.723060946095277032e-03 5.126954852817742214e+00
6.750000000000000000e+01 3.623754372876706320e+00 -3.643895312189575630e+00 -3.311194243891080885e-03 5.139025176543460027e+00
7.500000000000000000e+01 3.629696982852641085e+00 -3.652394733298109486e+00 2.955774012991877527e-03 5.149242294916151153e+00
8.250000000000000000e+01 3.635344500521171529e+00 -3.660342645667769901e+00 -2.641261339221080261e-03 5.158860813922499844e+00
9.000000000000000000e+01 3.639935726735321619e+00 -3.667424223586887688e+00 2.364305034906406030e-03 5.167120873412424764e+00
9.750000000000000000e+01 3.644372510882359251e+00 -3.674002002970232716e+00 -2.119439704212162847e-03 5.174915091856959748e+00
1.050000000000000000e+02 3.648053543382189456e+00 -3.679750150141483545e+00 1.902517631897464312e-03 5.181588505701987479e+00
1.125000000000000000e+02 3.651802694123303272e+00 -3.685295452455373155e+00 -1.710345953350091630e-03 5.188166189895785152e+00
1.200000000000000000e+02 3.654918436184012354e+00 -3.690223356078650152e+00 1.541305439841326314e-03 5.193859794847048406e+00
1.275000000000000000e+02 3.658158705187783966e+00 -3.694839401447926441e+00 -1.390511968504412176e-03 5.199419703039635188e+00
1.350000000000000000e+02 3.660881722148461304e+00 -3.699252748598977014e+00 1.254594812309466371e-03 5.204471870957313229e+00
1.425000000000000000e+02 3.663831753178630635e+00 -3.703503679327384557e+00 -1.134207877271157551e-03 5.209568495069335725e+00
1.500000000000000000e+02 3.666152892927638351e+00 -3.707226141139789100e+00 1.025692796287998570e-03 5.213847307691088950e+00
1.575000000000000000e+02 3.668413951472782486e+00 -3.710904368810394427e+00 -9.300985311719510125e-04 5.218052607908385987e+00
1.650000000000000000e+02 3.670516706130464435e+00 -3.714093036202050335e+00 8.438286794840966186e-04 5.221798606188698955e+00
1.725000000000000000e+02 3.672488115448148349e+00 -3.717063482833188104e+00 -7.665185268527865449e-04 5.225297166771525781e+00
1.800000000000000000e+02 3.674184299759740036e+00 -3.719794418643513900e+00 6.962946776360117275e-04 5.228432008776501938e+00
1.875000000000000000e+02 3.675853488979703876e+00 -3.722601355570798631e+00 -6.323447365027578312e-04 5.231602061013592930e+00
1.950000000000000000e+02 3.677208826990108204e+00 -3.725174858930998756e+00 5.751440284273759938e-04 5.234385619888565877e+00
2.025000000000000000e+02 3.678673660574851123e+00 -3.727441695401773281e+00 -5.253222156385497100e-04 5.237027951958080685e+00
2.100000000000000000e+02 3.679976232945916692e+00 -3.729589917378444142e+00 4.814110708212878016e-04 5.239471944634725098e+00
