# z, TI
0.000000000000000000e+00 9.510419217196450226e-02
7.500000000000000000e+00 8.468884750595054300e-02
1.500000000000000000e+01 7.961835859852610386e-02
2.250000000000000000e+01 7.732836688107468104e-02
3.000000000000000000e+01 7.600785700792304922e-02
3.750000000000000000e+01 7.506395538869356510e-02
4.500000000000000000e+01 7.418913277663638506e-02
5.250000000000000000e+01 7.351977459816087801e-02
6.000000000000000000e+01 7.282191253051020774e-02
6.750000000000000000e+01 7.232192913038225368e-02
7.500000000000000000e+01 7.173291984996379989e-02
8.250000000000000000e+01 7.131430188734451392e-02
9.000000000000000000e+01 7.083274691016029634e-02
9.750000000000000000e+01 7.050597804201393093e-02
1.050000000000000000e+02 7.009947785941564313e-02
1.125000000000000000e+02 6.984351042597496118e-02
1.200000000000000000e+02 6.953936514226091714e-02
1.275000000000000000e+02 6.933584505629260264e-02
1.350000000000000000e+02 6.905954333431653380e-02
1.425000000000000000e+02 6.888661562911832514e-02
1.500000000000000000e+02 6.866613771891375007e-02
1.575000000000000000e+02 6.853764459473740689e-02
1.650000000000000000e+02 6.834785610413740553e-02
1.725000000000000000e+02 6.823038868146388825e-02
1.800000000000000000e+02 6.806899346118537586e-02
1.875000000000000000e+02 6.798109357414525156e-02
1.950000000000000000e+02 6.785109471130185144e-02
2.025000000000000000e+02 6.776746533206404188e-02
2.100000000000000000e+02 6.763507153679861050e-02
2.175000000000000000e+02 6.755191061376895900e-02
2.250000000000000000e+02 6.743862877040023018e-02
2.325000000000000000e+02 6.735058948156522063e-02
2.400000000000000000e+02 6.722640237630324311e-02
2.475000000000000000e+02 6.713963467308681210e-02
2.550000000000000000e+02 6.703140758664245802e-02
2.625000000000000000e+02 6.696075819156384334e-02
2.700000000000000000e+02 6.687258047860632215e-02
2.775000000000000000e+02 6.680717879330312636e-02
2.850000000000000000e+02 6.671798698329683974e-02
2.925000000000000000e+02 6.665442288484411948e-02
3.000000000000000000e+02 6.657461441371601008e-02
3.075000000000000000e+02 6.651558305733228094e-02
3.150000000000000000e+02 6.645916689487893492e-02
3.225000000000000000e+02 6.641448751044884413e-02
3.300000000000000000e+02 6.634963220736661560e-02
3.375000000000000000e+02 6.630328780014747847e-02
3.450000000000000000e+02 6.624440906754414105e-02
3.525000000000000000e+02 6.619653696698231393e-02
3.600000000000000000e+02 6.613887856429509493e-02
3.675000000000000000e+02 6.607857567059448323e-02
3.750000000000000000e+02 6.600060718627132061e-02
3.825000000000000000e+02 6.593488008501428854e-02
3.900000000000000000e+02 6.586391848186064213e-02
3.975000000000000000e+02 6.580058540280299406e-02
4.050000000000000000e+02 6.572721320147795199e-02
4.125000000000000000e+02 6.566126568977191658e-02
4.200000000000000000e+02 6.558457447588265932e-02
4.275000000000000000e+02 6.551838488381078740e-02
4.350000000000000000e+02 6.543953965659478345e-02
4.425000000000000000e+02 6.534934887313700869e-02
4.500000000000000000e+02 6.525288511989911500e-02
4.575000000000000000e+02 6.516725647785100162e-02
4.650000000000000000e+02 6.507861395293317031e-02
4.725000000000000000e+02 6.499300987442231670e-02
4.800000000000000000e+02 6.490286616445301027e-02
4.875000000000000000e+02 6.480653728741271602e-02
4.950000000000000000e+02 6.470450436332532418e-02
5.025000000000000000e+02 6.460677873674065819e-02
5.100000000000000000e+02 6.450877052975460824e-02
5.175000000000000000e+02 6.440950559920521901e-02
5.250000000000000000e+02 6.430537623083421028e-02
5.325000000000000000e+02 6.419952177918093750e-02
5.400000000000000000e+02 6.409292942601428622e-02
5.475000000000000000e+02 6.398250595851148748e-02
5.550000000000000000e+02 6.386292413608533891e-02
5.625000000000000000e+02 6.374550841600518103e-02
5.700000000000000000e+02 6.362116232024471463e-02
5.775000000000000000e+02 6.349552747094017180e-02
5.850000000000000000e+02 6.337267943627836186e-02
5.925000000000000000e+02 6.325411818922606344e-02
6.000000000000000000e+02 6.313121358079279433e-02
6.075000000000000000e+02 6.301571511099790524e-02
6.150000000000000000e+02 6.289377784329386323e-02
6.225000000000000000e+02 6.277514080086774029e-02
6.300000000000000000e+02 6.266573777999979999e-02
6.375000000000000000e+02 6.255425460779830138e-02
6.450000000000000000e+02 6.244051384722051901e-02
6.525000000000000000e+02 6.231738647842978429e-02
6.600000000000000000e+02 6.219565245647986490e-02
6.675000000000000000e+02 6.207185676268667934e-02
6.750000000000000000e+02 6.194077300668624636e-02
6.825000000000000000e+02 6.180708317289031889e-02
6.900000000000000000e+02 6.167710457282866987e-02
6.975000000000000000e+02 6.155216497051205909e-02
7.050000000000000000e+02 6.143020631338706739e-02
7.125000000000000000e+02 6.131247690061331079e-02
7.200000000000000000e+02 6.119286649826044533e-02
7.275000000000000000e+02 6.107696528303318412e-02
7.350000000000000000e+02 6.096570853123607636e-02
7.425000000000000000e+02 6.085427540214264491e-02
7.500000000000000000e+02 6.073747025120458665e-02
7.575000000000000000e+02 6.061585886984843796e-02
7.650000000000000000e+02 6.049636717968871064e-02
7.725000000000000000e+02 6.038207937839948358e-02
7.800000000000000000e+02 6.027090692873960515e-02
7.875000000000000000e+02 6.016152094357102298e-02
7.950000000000000000e+02 6.005382534255697402e-02
8.025000000000000000e+02 5.995147316345664917e-02
8.100000000000000000e+02 5.984543172255495785e-02
8.175000000000000000e+02 5.973974969735192792e-02
8.250000000000000000e+02 5.962803523645484466e-02
8.325000000000000000e+02 5.952085566629172070e-02
8.400000000000000000e+02 5.941376411241839489e-02
8.475000000000000000e+02 5.931389736082891967e-02
8.550000000000000000e+02 5.922780495777323767e-02
8.625000000000000000e+02 5.914935528002542020e-02
8.700000000000000000e+02 5.906227360896522394e-02
8.775000000000000000e+02 5.898285744230211819e-02
8.850000000000000000e+02 5.890681649907803658e-02
8.925000000000000000e+02 5.883192839800711893e-02
9.000000000000000000e+02 5.876629752626961328e-02
9.075000000000000000e+02 5.870975069833658799e-02
9.150000000000000000e+02 5.866246914286654679e-02
9.225000000000000000e+02 5.860126185722955294e-02
9.300000000000000000e+02 5.854646586915773082e-02
9.375000000000000000e+02 5.849345031820604723e-02
9.450000000000000000e+02 5.843021901264588286e-02
9.525000000000000000e+02 5.836443644905278672e-02
9.600000000000000000e+02 5.829197310287994455e-02
9.675000000000000000e+02 5.821692448287034416e-02
9.750000000000000000e+02 5.814131201248309844e-02
9.825000000000000000e+02 5.803468698725823549e-02
9.900000000000000000e+02 5.790415544876467008e-02
9.975000000000000000e+02 5.777736857469989440e-02
1.005000000000000000e+03 5.763079429983091612e-02
1.012500000000000000e+03 5.747951346929832533e-02
1.020000000000000000e+03 5.729527610253760950e-02
1.027500000000000000e+03 5.705958119575569448e-02
1.035000000000000000e+03 5.676818198947832655e-02
1.042500000000000000e+03 5.640373285575382006e-02
1.050000000000000000e+03 5.597268648883228087e-02
1.057500000000000000e+03 5.546959307880761081e-02
1.065000000000000000e+03 5.488761080624989658e-02
1.072500000000000000e+03 5.421674676096238654e-02
1.080000000000000000e+03 5.342636038259632875e-02
1.087500000000000000e+03 5.249481504440816487e-02
1.095000000000000000e+03 5.138618924311985636e-02
1.102500000000000000e+03 5.005600920672406001e-02
1.110000000000000000e+03 4.849506245639446933e-02
1.117500000000000000e+03 4.664748899786715780e-02
1.125000000000000000e+03 4.446728820199445653e-02
1.132500000000000000e+03 4.197137912877104554e-02
1.140000000000000000e+03 3.904079906100928893e-02
1.147500000000000000e+03 3.564550094647284117e-02
1.155000000000000000e+03 3.195021156104958099e-02
1.162500000000000000e+03 2.823305517405574200e-02
1.170000000000000000e+03 2.449959204863443388e-02
1.177500000000000000e+03 2.080579740395840579e-02
1.185000000000000000e+03 1.734494559521690057e-02
1.192500000000000000e+03 1.444222836900949103e-02
1.200000000000000000e+03 1.233676862054279219e-02
1.207500000000000000e+03 1.094021843961715153e-02
1.215000000000000000e+03 9.942473397690967246e-03
1.222500000000000000e+03 9.096075770197515481e-03
1.230000000000000000e+03 8.318835948898777380e-03
1.237500000000000000e+03 7.630145612728390231e-03
1.245000000000000000e+03 7.056158979620520862e-03
1.252500000000000000e+03 6.587341159633487882e-03
1.260000000000000000e+03 6.199016765894349579e-03
1.267500000000000000e+03 5.864635122420939692e-03
1.275000000000000000e+03 5.570753186891892923e-03
1.282500000000000000e+03 5.305533897167114335e-03
1.290000000000000000e+03 5.068536612013308310e-03
1.297500000000000000e+03 4.853239761553789292e-03
1.305000000000000000e+03 4.661751842722415724e-03
1.312500000000000000e+03 4.486319337826814163e-03
1.320000000000000000e+03 4.330800885365454662e-03
1.327500000000000000e+03 4.186069505313560687e-03
1.335000000000000000e+03 4.058773368390191510e-03
1.342500000000000000e+03 3.938316636923637828e-03
1.350000000000000000e+03 3.833635327470719979e-03
1.357500000000000000e+03 3.732697496521884904e-03
1.365000000000000000e+03 3.646255780144383278e-03
1.372500000000000000e+03 3.561170723742599058e-03
1.380000000000000000e+03 3.489591214147733621e-03
1.387500000000000000e+03 3.417262391451591098e-03
1.395000000000000000e+03 3.357918442608925740e-03
1.402500000000000000e+03 3.296192974181433744e-03
