# z, uu, uv, uw, vv, vw, ww, tke
0.000000000000000000e+00 9.023257295478676054e-01 -1.693711230633715425e-01 -2.080732425312969980e-02 9.089727730584381549e-01 2.137036732999900851e-02 2.358763585472874180e-02 9.174430692305172164e-01
7.500000000000000000e+00 9.558134614797586526e-01 -5.339146787034011049e-02 -5.079731882283639033e-02 9.631770450874935774e-01 5.283028198434485539e-02 4.784043171965349922e-02 9.834154691434527917e-01
1.500000000000000000e+01 8.633961159598597668e-01 2.751666200258176195e-02 -6.528894869668093459e-02 8.750907945877929306e-01 6.841114374834425527e-02 1.306704115069125816e-01 9.345786610272827089e-01
2.250000000000000000e+01 7.989743346660814760e-01 6.258530409713711218e-02 -6.623522423056796282e-02 8.177513979028785407e-01 6.988042313524216176e-02 1.926115379664932736e-01 9.046686352677265619e-01
3.000000000000000000e+01 7.510013298023919814e-01 8.267286463053329093e-02 -6.759622245353101577e-02 7.765002255368308459e-01 7.219695570723136391e-02 2.459928591784010521e-01 8.867472072588119536e-01
3.750000000000000000e+01 7.137651995812233086e-01 9.677710457091429075e-02 -6.700557425343342532e-02 7.446972101725688464e-01 7.196804278782427400e-02 2.875986392135874148e-01 8.730305244836897849e-01
4.500000000000000000e+01 6.826689242526552404e-01 1.028293877815391333e-01 -6.664947524477937701e-02 7.170166832796935896e-01 7.241765901276790707e-02 3.185405091408559097e-01 8.591130583366023421e-01
5.250000000000000000e+01 6.570916466222794794e-01 1.068885436124951821e-01 -6.592352360919660759e-02 6.926001270015983424e-01 7.202773471520784732e-02 3.478927410735961345e-01 8.487922573487369782e-01
6.000000000000000000e+01 6.343259910091597620e-01 1.075415333117793193e-01 -6.528529030668174526e-02 6.707240279943402772e-01 7.209583046696110831e-02 3.687847963547473684e-01 8.369174076791237038e-01
6.750000000000000000e+01 6.139572763325001903e-01 1.074632276830784910e-01 -6.464470765694217691e-02 6.522810896513068224e-01 7.172579042801892346e-02 3.921485893351008278e-01 8.291934776594539480e-01
7.500000000000000000e+01 5.948674411204312173e-01 1.059211887436248972e-01 -6.390889609241989788e-02 6.345464883979956561e-01 7.156990811645355666e-02 4.082129272236439954e-01 8.188134283710353234e-01
8.250000000000000000e+01 5.773413131383402508e-01 1.040958986657786745e-01 -6.329739120177395317e-02 6.185273790019640838e-01 7.124513036100003915e-02 4.282275638331967116e-01 8.120481279867505231e-01
9.000000000000000000e+01 5.615026952078856493e-01 1.012050257868944564e-01 -6.253354766120211572e-02 6.034785457072947557e-01 7.099287049582037046e-02 4.419467891209745147e-01 8.034640150180774043e-01
9.750000000000000000e+01 5.477373843345575422e-01 9.852808082579544990e-02 -6.193215040152397904e-02 5.890533858292427150e-01 7.070595618405969840e-02 4.598077079278714563e-01 7.982992390458358845e-01
1.050000000000000000e+02 5.348945812177419157e-01 9.586799586788946614e-02 -6.120916208691452171e-02 5.748945629880755082e-01 7.038683671530007735e-02 4.722230374802025010e-01 7.910060908430099902e-01
1.125000000000000000e+02 5.235569582070593864e-01 9.326366915145695158e-02 -6.060003884619237502e-02 5.620755695073010871e-01 7.009025851990660638e-02 4.884799674167244476e-01 7.870562475655424883e-01
1.200000000000000000e+02 5.131938161055265013e-01 9.018479724440452150e-02 -5.986414152031611230e-02 5.505498407399370686e-01 6.971675420365665288e-02 4.998074786140584425e-01 7.817755677297609784e-01
1.275000000000000000e+02 5.031898481880160423e-01 8.699106187593383388e-02 -5.926866333746464571e-02 5.396720304229420950e-01 6.942350929052770736e-02 5.146199280108767482e-01 7.787409033109173873e-01
1.350000000000000000e+02 4.935750066598363905e-01 8.374291346024835547e-02 -5.857981631671758255e-02 5.289408234206884885e-01 6.904905990936749394e-02 5.251295785479995759e-01 7.738227043142622552e-01
1.425000000000000000e+02 4.847180623265367472e-01 8.085810827125092248e-02 -5.799417773980111018e-02 5.187911633710560189e-01 6.873418412100198993e-02 5.388028306277036217e-01 7.711560281626481661e-01
1.500000000000000000e+02 4.764821000304876875e-01 7.793440231300900745e-02 -5.731513904502855139e-02 5.094575723325370786e-01 6.834031478239087354e-02 5.486684497008679218e-01 7.673040610319463717e-01
1.575000000000000000e+02 4.688275359759547234e-01 7.491672335371032942e-02 -5.676121365847826977e-02 5.007925080429065368e-01 6.803212065575502121e-02 5.612389418017780240e-01 7.654294929103195866e-01
1.650000000000000000e+02 4.612602466608151097e-01 7.195345506339129171e-02 -5.607254803986646413e-02 4.925092253491000216e-01 6.761445614774470869e-02 5.704028208890686846e-01 7.620861464494919080e-01
1.725000000000000000e+02 4.538958403000545316e-01 6.883273977367876384e-02 -5.554728458163595006e-02 4.847646516564086405e-01 6.731419146880213145e-02 5.819602581231587690e-01 7.603103750398110261e-01
1.800000000000000000e+02 4.472356954995573841e-01 6.603811631572685525e-02 -5.488064214609275626e-02 4.771033747252630963e-01 6.688022626769472845e-02 5.905517791263517058e-01 7.574454246755860654e-01
