# Xi, RijLong, Xi, RijLat
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.535533905932737753e+01 8.382331760438020973e-01 3.535533905932737753e+01 5.085441264930952165e-01
7.071067811865475505e+01 6.407177223850124559e-01 7.071067811865475505e+01 4.035081183180309061e-01
1.060660171779821326e+02 5.282753533353425901e-01 1.060660171779821326e+02 3.668172444801578447e-01
1.414213562373095101e+02 4.517486036789448711e-01 1.414213562373095101e+02 3.361319733192347226e-01
1.767766952966368876e+02 3.945009092491231217e-01 1.767766952966368876e+02 3.175224819696849110e-01
2.121320343559642652e+02 3.458294711409191091e-01 2.121320343559642652e+02 3.003276280181895741e-01
2.474873734152916427e+02 3.079035837413757193e-01 2.474873734152916427e+02 2.819370880073708285e-01
2.828427124746190202e+02 2.719327636390272418e-01 2.828427124746190202e+02 2.569368480519374498e-01
3.181980515339463977e+02 2.403683964761543501e-01 3.181980515339463977e+02 2.356387063878102039e-01
3.535533905932737753e+02 2.089015155069813279e-01 3.535533905932737753e+02 2.257133091576568329e-01
3.889087296526011528e+02 1.814000613585825261e-01 3.889087296526011528e+02 2.182509676279150712e-01
4.242640687119285303e+02 1.531545948438555182e-01 4.242640687119285303e+02 2.025585100456323562e-01
4.596194077712559078e+02 1.266230541114907460e-01 4.596194077712559078e+02 1.871878882337392469e-01
4.949747468305832854e+02 1.022132291686277811e-01 4.949747468305832854e+02 1.695474463512347540e-01
5.303300858899106061e+02 8.019959341498446304e-02 5.303300858899106061e+02 1.557557973611215230e-01
5.656854249492380404e+02 6.169948603603399306e-02 5.656854249492380404e+02 1.480694365865090900e-01
6.010407640085653611e+02 4.472257540761075123e-02 6.010407640085653611e+02 1.421331946843599203e-01
6.363961030678927955e+02 2.984078959621782462e-02 6.363961030678927955e+02 1.295477237936054071e-01
6.717514421272201162e+02 1.644984066678551946e-02 6.717514421272201162e+02 1.338184178739666164e-01
7.071067811865475505e+02 2.729836704299565958e-03 7.071067811865475505e+02 1.233495706408850312e-01
7.424621202458748712e+02 -8.703197302611043185e-03 7.424621202458748712e+02 1.113257542620815915e-01
7.778174593052023056e+02 -1.805795702117911003e-02 7.778174593052023056e+02 1.008724910196846652e-01
8.131727983645296263e+02 -2.892296627661791394e-02 8.131727983645296263e+02 9.070600719660691647e-02
8.485281374238570606e+02 -3.915531429913290951e-02 8.485281374238570606e+02 8.210494277504401528e-02
8.838834764831843813e+02 -4.839570888410620747e-02 8.838834764831843813e+02 7.165261748021328758e-02
9.192388155425118157e+02 -5.527773215475900032e-02 9.192388155425118157e+02 6.892664299769354908e-02
9.545941546018391364e+02 -6.109862807829336689e-02 9.545941546018391364e+02 6.113133570280732121e-02
9.899494936611665707e+02 -6.532531610601725880e-02 9.899494936611665707e+02 5.064918144874618056e-02
1.025304832720494005e+03 -7.144995318485414248e-02 1.025304832720494005e+03 4.302011592394323902e-02
1.060660171779821212e+03 -7.756473392781247644e-02 1.060660171779821212e+03 3.105350339050322664e-02
1.096015510839148646e+03 -8.236894811167606856e-02 1.096015510839148646e+03 2.585196322654880613e-02
1.131370849898476081e+03 -8.519426899123061503e-02 1.131370849898476081e+03 1.856470990745256663e-02
1.166726188957803515e+03 -8.854568590712116882e-02 1.166726188957803515e+03 2.446328220653917404e-02
1.202081528017130722e+03 -8.992165229709218888e-02 1.202081528017130722e+03 1.338245139162030917e-02
1.237436867076458157e+03 -9.411423497474338817e-02 1.237436867076458157e+03 1.178158801283224304e-02
1.272792206135785591e+03 -9.585355589972398282e-02 1.272792206135785591e+03 5.186013561518221411e-03
1.308147545195113025e+03 -9.720721568429108173e-02 1.308147545195113025e+03 9.024592272521107794e-03
