# z, veer
0.000000000000000000e+00 3.148860553222044700e+02
7.500000000000000000e+00 3.149529979186987703e+02
1.500000000000000000e+01 3.149899192391175688e+02
2.250000000000000000e+01 3.150092933320059387e+02
3.000000000000000000e+01 3.150337534005474254e+02
3.750000000000000000e+01 3.150569321387161494e+02
4.500000000000000000e+01 3.150790618305931048e+02
5.250000000000000000e+01 3.151016485750683387e+02
6.000000000000000000e+01 3.151244010363779466e+02
6.750000000000000000e+01 3.151438000181030930e+02
7.500000000000000000e+01 3.151644687755641598e+02
8.250000000000000000e+01 3.151836153643238276e+02
9.000000000000000000e+01 3.152043346478839680e+02
9.750000000000000000e+01 3.152252450168818427e+02
1.050000000000000000e+02 3.152450582771006680e+02
1.125000000000000000e+02 3.152650498192921305e+02
1.200000000000000000e+02 3.152849568061322998e+02
1.275000000000000000e+02 3.153050114813795517e+02
1.350000000000000000e+02 3.153255155078671805e+02
1.425000000000000000e+02 3.153472837868732199e+02
1.500000000000000000e+02 3.153683526361243139e+02
1.575000000000000000e+02 3.153895668583501219e+02
1.650000000000000000e+02 3.154113196538012289e+02
1.725000000000000000e+02 3.154343544438123672e+02
1.800000000000000000e+02 3.154577441359035106e+02
1.875000000000000000e+02 3.154816190269080494e+02
1.950000000000000000e+02 3.155059054665101144e+02
2.025000000000000000e+02 3.155300363559734365e+02
2.100000000000000000e+02 3.155531649454587182e+02
2.175000000000000000e+02 3.155750841049003839e+02
2.250000000000000000e+02 3.155968495069913615e+02
2.325000000000000000e+02 3.156183288519206371e+02
2.400000000000000000e+02 3.156394303430137711e+02
2.475000000000000000e+02 3.156600025568239403e+02
2.550000000000000000e+02 3.156806305846901637e+02
2.625000000000000000e+02 3.157011462064640455e+02
2.700000000000000000e+02 3.157210416844092151e+02
2.775000000000000000e+02 3.157408675376989891e+02
2.850000000000000000e+02 3.157605346778906323e+02
2.925000000000000000e+02 3.157794310402500741e+02
3.000000000000000000e+02 3.157981972770260768e+02
3.075000000000000000e+02 3.158172897286042371e+02
3.150000000000000000e+02 3.158360647690565202e+02
3.225000000000000000e+02 3.158547074231149736e+02
3.300000000000000000e+02 3.158733372803650354e+02
3.375000000000000000e+02 3.158917838434491046e+02
3.450000000000000000e+02 3.159103751727717508e+02
3.525000000000000000e+02 3.159289098754158545e+02
3.600000000000000000e+02 3.159469142131632111e+02
3.675000000000000000e+02 3.159651430425410581e+02
3.750000000000000000e+02 3.159824911073272347e+02
3.825000000000000000e+02 3.159996719326181278e+02
3.900000000000000000e+02 3.160170082155634645e+02
3.975000000000000000e+02 3.160346649830843830e+02
4.050000000000000000e+02 3.160525210027034859e+02
4.125000000000000000e+02 3.160709801467008333e+02
4.200000000000000000e+02 3.160896890711969718e+02
4.275000000000000000e+02 3.161083807071442493e+02
4.350000000000000000e+02 3.161269687377556465e+02
4.425000000000000000e+02 3.161456819890984775e+02
4.500000000000000000e+02 3.161644340168774079e+02
4.575000000000000000e+02 3.161832320457760943e+02
4.650000000000000000e+02 3.162016272677051916e+02
4.725000000000000000e+02 3.162201676407017317e+02
4.800000000000000000e+02 3.162386942347976628e+02
4.875000000000000000e+02 3.162569983307298003e+02
4.950000000000000000e+02 3.162756732119770504e+02
5.025000000000000000e+02 3.162939854068669092e+02
5.100000000000000000e+02 3.163127882847244905e+02
5.175000000000000000e+02 3.163316834767339856e+02
5.250000000000000000e+02 3.163506830992915866e+02
5.325000000000000000e+02 3.163695275636573001e+02
5.400000000000000000e+02 3.163884908253974686e+02
5.475000000000000000e+02 3.164077406677180875e+02
5.550000000000000000e+02 3.164273317081806454e+02
5.625000000000000000e+02 3.164470911551790664e+02
5.700000000000000000e+02 3.164666402751864780e+02
5.775000000000000000e+02 3.164860601148471915e+02
5.850000000000000000e+02 3.165051667602629664e+02
5.925000000000000000e+02 3.165243235361334655e+02
6.000000000000000000e+02 3.165439560131124495e+02
6.075000000000000000e+02 3.165635265313251807e+02
6.150000000000000000e+02 3.165821224711012292e+02
6.225000000000000000e+02 3.166006634329409053e+02
6.300000000000000000e+02 3.166194655584689599e+02
6.375000000000000000e+02 3.166386182824332423e+02
6.450000000000000000e+02 3.166583081445761536e+02
6.525000000000000000e+02 3.166792067206326351e+02
6.600000000000000000e+02 3.167003093098168165e+02
6.675000000000000000e+02 3.167216128789024765e+02
6.750000000000000000e+02 3.167431789470446120e+02
6.825000000000000000e+02 3.167651981095918359e+02
6.900000000000000000e+02 3.167874639433537141e+02
6.975000000000000000e+02 3.168096802651054418e+02
7.050000000000000000e+02 3.168313356357693351e+02
7.125000000000000000e+02 3.168531028641159537e+02
7.200000000000000000e+02 3.168746980469244363e+02
7.275000000000000000e+02 3.168958459228578022e+02
7.350000000000000000e+02 3.169172098383048706e+02
7.425000000000000000e+02 3.169384178433983266e+02
7.500000000000000000e+02 3.169594800494685387e+02
7.575000000000000000e+02 3.169809590655908664e+02
7.650000000000000000e+02 3.170028688723328969e+02
7.725000000000000000e+02 3.170249794514183463e+02
7.800000000000000000e+02 3.170476915220766614e+02
7.875000000000000000e+02 3.170702495746424461e+02
7.950000000000000000e+02 3.170925067628151623e+02
8.025000000000000000e+02 3.171149743675242689e+02
8.100000000000000000e+02 3.171370699965951871e+02
8.175000000000000000e+02 3.171592246705361049e+02
8.250000000000000000e+02 3.171808470288760873e+02
8.325000000000000000e+02 3.172023835617571876e+02
8.400000000000000000e+02 3.172235808331316775e+02
8.475000000000000000e+02 3.172441860468871369e+02
8.550000000000000000e+02 3.172648612793049097e+02
8.625000000000000000e+02 3.172862507609447675e+02
8.700000000000000000e+02 3.173084092765245146e+02
8.775000000000000000e+02 3.173312451664564833e+02
8.850000000000000000e+02 3.173542231192811869e+02
8.925000000000000000e+02 3.173773156106914826e+02
9.000000000000000000e+02 3.174015825132771056e+02
9.075000000000000000e+02 3.174270266261025881e+02
9.150000000000000000e+02 3.174527285448782550e+02
9.225000000000000000e+02 3.174797306773263585e+02
9.300000000000000000e+02 3.175088196930773847e+02
9.375000000000000000e+02 3.175390570362592939e+02
9.450000000000000000e+02 3.175702882267457312e+02
9.525000000000000000e+02 3.176029072426857738e+02
9.600000000000000000e+02 3.176378541950705312e+02
9.675000000000000000e+02 3.176745474153738087e+02
9.750000000000000000e+02 3.177139235716741155e+02
9.825000000000000000e+02 3.177555581169540915e+02
9.900000000000000000e+02 3.177995134511228912e+02
9.975000000000000000e+02 3.178450828010128362e+02
1.005000000000000000e+03 3.178915607137695929e+02
1.012500000000000000e+03 3.179392278464044352e+02
1.020000000000000000e+03 3.179900596631145504e+02
1.027500000000000000e+03 3.180441962500188993e+02
1.035000000000000000e+03 3.181017249450540021e+02
1.042500000000000000e+03 3.181643757306010798e+02
1.050000000000000000e+03 3.182332660241332860e+02
1.057500000000000000e+03 3.183093879299856894e+02
1.065000000000000000e+03 3.183940895316989099e+02
1.072500000000000000e+03 3.184890518756950542e+02
1.080000000000000000e+03 3.185974615785053743e+02
1.087500000000000000e+03 3.187233821268274028e+02
1.095000000000000000e+03 3.188727653516368150e+02
1.102500000000000000e+03 3.190498120603983239e+02
1.110000000000000000e+03 3.192604910918407768e+02
1.117500000000000000e+03 3.195095662473908646e+02
1.125000000000000000e+03 3.198050697445636388e+02
1.132500000000000000e+03 3.201563288170820556e+02
1.140000000000000000e+03 3.205669918032615442e+02
1.147500000000000000e+03 3.210388537561171916e+02
1.155000000000000000e+03 3.215740634026847147e+02
1.162500000000000000e+03 3.221670574293957543e+02
1.170000000000000000e+03 3.228061992695231197e+02
1.177500000000000000e+03 3.234803353642096226e+02
1.185000000000000000e+03 3.241691239413314634e+02
1.192500000000000000e+03 3.248486013199013200e+02
1.200000000000000000e+03 3.254920208410549662e+02
1.207500000000000000e+03 3.260738604669327856e+02
1.215000000000000000e+03 3.265728783929286010e+02
1.222500000000000000e+03 3.269757589767818899e+02
1.230000000000000000e+03 3.272807605325907048e+02
1.237500000000000000e+03 3.274948684494709710e+02
1.245000000000000000e+03 3.276308334144870287e+02
1.252500000000000000e+03 3.277058192269844881e+02
1.260000000000000000e+03 3.277384555477145227e+02
1.267500000000000000e+03 3.277454273304089725e+02
1.275000000000000000e+03 3.277393852544562947e+02
1.282500000000000000e+03 3.277288354507092549e+02
1.290000000000000000e+03 3.277184802868903262e+02
1.297500000000000000e+03 3.277105132021609961e+02
1.305000000000000000e+03 3.277053020289545202e+02
1.312500000000000000e+03 3.277024873861786318e+02
1.320000000000000000e+03 3.277014118990871907e+02
1.327500000000000000e+03 3.277016154505624854e+02
1.335000000000000000e+03 3.277025822041861147e+02
1.342500000000000000e+03 3.277039143194602957e+02
1.350000000000000000e+03 3.277053109099138055e+02
1.357500000000000000e+03 3.277066271135196871e+02
1.365000000000000000e+03 3.277077928856821813e+02
1.372500000000000000e+03 3.277088178417751578e+02
1.380000000000000000e+03 3.277097238911777026e+02
1.387500000000000000e+03 3.277105469832061999e+02
1.395000000000000000e+03 3.277113043388786764e+02
1.402500000000000000e+03 3.277120159728298177e+02
1.410000000000000000e+03 3.277126803857560162e+02
1.417500000000000000e+03 3.277133047697006418e+02
1.425000000000000000e+03 3.277138822545851440e+02
1.432500000000000000e+03 3.277144205650500908e+02
1.440000000000000000e+03 3.277149151863604857e+02
1.447500000000000000e+03 3.277153746164701715e+02
1.455000000000000000e+03 3.277157950594740896e+02
1.462500000000000000e+03 3.277161828813602824e+02
1.470000000000000000e+03 3.277165356762935744e+02
1.477500000000000000e+03 3.277168571006048978e+02
1.485000000000000000e+03 3.277171495316579808e+02
1.492500000000000000e+03 3.277174129214484992e+02
1.500000000000000000e+03 3.277176574854698288e+02
1.507500000000000000e+03 3.277178760433800448e+02
1.515000000000000000e+03 3.277180883673619860e+02
1.522500000000000000e+03 3.277182752797527883e+02
1.530000000000000000e+03 3.277184691435030004e+02
1.537500000000000000e+03 3.277186316763554146e+02
1.545000000000000000e+03 3.277188148726835379e+02
1.552500000000000000e+03 3.277189525232697633e+02
1.560000000000000000e+03 3.277191281270678473e+02
1.567500000000000000e+03 3.277192344224941394e+02
1.575000000000000000e+03 3.277194059792366261e+02
1.582500000000000000e+03 3.277194714834188858e+02
1.590000000000000000e+03 3.277196471199179086e+02
1.597500000000000000e+03 3.277196614710824747e+02
1.605000000000000000e+03 3.277198535232247991e+02
1.612500000000000000e+03 3.277198063043775846e+02
1.620000000000000000e+03 3.277200320338854453e+02
1.627500000000000000e+03 3.277199080121289398e+02
1.635000000000000000e+03 3.277201947583069455e+02
1.642500000000000000e+03 3.277199682581303932e+02
1.650000000000000000e+03 3.277203563504943986e+02
1.657500000000000000e+03 3.277199968690085825e+02
1.665000000000000000e+03 3.277205261330186659e+02
1.672500000000000000e+03 3.277200029450358443e+02
1.680000000000000000e+03 3.277207220554030300e+02
1.687500000000000000e+03 3.277199910311211966e+02
1.695000000000000000e+03 3.277209568056821354e+02
1.702500000000000000e+03 3.277199622550568279e+02
1.710000000000000000e+03 3.277212424653777134e+02
1.717500000000000000e+03 3.277199061661988253e+02
1.725000000000000000e+03 3.277215904357266822e+02
1.732500000000000000e+03 3.277198144077619304e+02
1.740000000000000000e+03 3.277219956105609526e+02
1.747500000000000000e+03 3.277196875443817135e+02
1.755000000000000000e+03 3.277224420085539691e+02
1.762500000000000000e+03 3.277195290404549723e+02
1.770000000000000000e+03 3.277229156370959799e+02
1.777500000000000000e+03 3.277193277068681709e+02
1.785000000000000000e+03 3.277234232932034956e+02
1.792500000000000000e+03 3.277190585803328986e+02
1.800000000000000000e+03 3.277239843995198498e+02
1.807500000000000000e+03 3.277186871324126969e+02
1.815000000000000000e+03 3.277246217441588669e+02
1.822500000000000000e+03 3.277181995100423819e+02
1.830000000000000000e+03 3.277253205207779274e+02
1.837500000000000000e+03 3.277176112624224515e+02
1.845000000000000000e+03 3.277260592112085646e+02
1.852500000000000000e+03 3.277169280596042427e+02
1.860000000000000000e+03 3.277268006263085454e+02
1.867500000000000000e+03 3.277162834761624595e+02
1.875000000000000000e+03 3.277273569932997361e+02
1.882500000000000000e+03 3.277158479584225006e+02
1.890000000000000000e+03 3.277276366270347125e+02
1.897500000000000000e+03 3.277156412163622008e+02
1.905000000000000000e+03 3.277277323431217155e+02
1.912500000000000000e+03 3.277155250916168825e+02
1.920000000000000000e+03 3.277277840934160054e+02
1.927500000000000000e+03 3.277154213632761639e+02
1.935000000000000000e+03 3.277278318174528522e+02
1.942500000000000000e+03 3.277153180145437545e+02
1.950000000000000000e+03 3.277278819318704564e+02
1.957500000000000000e+03 3.277152156632079709e+02
1.965000000000000000e+03 3.277279338309169248e+02
1.972500000000000000e+03 3.277151147958195452e+02
1.980000000000000000e+03 3.277279901928516210e+02
1.987500000000000000e+03 3.277150129992798497e+02
1.995000000000000000e+03 3.277280531146097360e+02
